Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,51.644199,77.740601,51.644199,74.839996,74.839996,13582400
2017-05-02,77.996300,108.046997,75.119698,89.788399,89.788399,24464700
2017-05-03,90.118401,93.958000,74.658096,78.412102,78.412102,8826750
2017-05-04,78.641800,89.431900,78.354301,88.679100,88.679100,6149800
2017-05-05,88.577599,90.609398,81.401001,86.766296,86.766296,4400090
2017-05-06,86.697098,115.141998,86.697098,114.739998,114.739998,7706590
2017-05-07,114.931999,116.726997,103.857002,105.102997,105.102997,3392570
2017-05-08,104.612000,124.652000,100.358002,117.844002,117.844002,4710080
2017-05-09,117.813004,123.554001,97.062897,99.810204,99.810204,2728910
2017-05-10,99.820702,111.205002,99.332298,108.473000,108.473000,1340590
2017-05-11,109.641998,116.591003,106.362999,109.507004,109.507004,1502340
2017-05-12,109.978996,114.883003,105.820999,106.348999,106.348999,966219
2017-05-13,106.194000,111.985001,101.700996,111.042000,111.042000,596459
2017-05-14,111.660004,116.393997,110.087997,112.348999,112.348999,686450
2017-05-15,111.815002,122.387001,109.167999,120.134003,120.134003,2149280
2017-05-16,120.016998,125.746002,119.307999,120.221001,120.221001,1782330
2017-05-17,120.268997,124.276001,116.290001,121.550003,121.550003,1145960
2017-05-18,121.858002,137.257004,121.098000,136.707001,136.707001,1741360
2017-05-19,136.951996,179.218994,135.022003,166.397995,166.397995,5786480
2017-05-20,168.117996,180.546005,156.876007,178.841995,178.841995,2776440
2017-05-21,179.089005,217.199997,178.227005,215.994003,215.994003,4641290
2017-05-22,211.882004,243.332993,196.800995,223.003006,223.003006,6796350
2017-05-23,221.272995,239.382996,203.248001,230.289993,230.289993,3339550
2017-05-24,230.858002,284.364014,229.000000,264.302002,264.302002,4987370
2017-05-25,264.470001,285.588989,220.427002,223.195999,223.195999,3733870
2017-05-26,220.863998,254.953003,192.541000,203.658005,203.658005,2538650
2017-05-27,204.341003,215.279007,137.257996,190.468994,190.468994,2116920
2017-05-28,191.186005,221.675003,191.186005,209.283997,209.283997,1655050
2017-05-29,210.052002,226.938995,203.744003,224.755997,224.755997,1427840
2017-05-30,223.815994,255.725998,223.815994,255.725998,255.725998,2948800
2017-05-31,254.190002,260.851990,238.800003,258.484985,258.484985,3223960
2017-06-01,258.942993,266.407013,239.904999,250.666000,250.666000,2793310
2017-06-02,249.921997,254.451004,245.912994,253.371002,253.371002,1704490
2017-06-03,253.149002,264.115997,250.729004,259.770996,259.770996,1844740
2017-06-04,258.681000,266.325012,257.447998,263.657013,263.657013,1764410
2017-06-05,263.535004,271.166992,258.188995,259.372009,259.372009,2900230
2017-06-06,260.200012,270.673004,249.587997,267.437988,267.437988,3759020
2017-06-07,265.817993,269.751007,244.404007,250.050995,250.050995,1863430
2017-06-08,250.884003,261.858002,246.192993,259.282990,259.282990,1108080
2017-06-09,258.859985,264.014008,257.089996,258.230011,258.230011,1039800
2017-06-10,258.066010,264.988007,249.270996,259.322998,259.322998,2586810
2017-06-11,259.243011,273.431000,254.459000,270.171997,270.171997,1722230
2017-06-12,269.987000,276.812988,237.932999,262.816010,262.816010,4611240
2017-06-13,267.610992,274.062012,259.272003,270.415985,270.415985,3634110
2017-06-14,270.282990,275.934998,233.852005,245.447006,245.447006,1756630
2017-06-15,245.302002,248.845001,198.313004,235.520004,235.520004,1818040
2017-06-16,235.563995,251.604004,228.807007,243.410004,243.410004,1706190
2017-06-17,243.332001,245.242004,238.473999,244.451004,244.451004,960521
2017-06-18,244.548996,247.440994,238.061996,240.460999,240.460999,835268
2017-06-19,239.363998,245.966003,237.938004,241.936996,241.936996,2274500
2017-06-20,241.901993,243.914001,221.686996,233.160004,233.160004,2548470
2017-06-21,233.253998,234.953003,217.487000,222.039001,222.039001,2174910
2017-06-22,222.647003,226.050003,212.182999,216.192001,216.192001,1406290
2017-06-23,216.692993,234.279007,214.970001,229.242996,229.242996,941532
2017-06-24,229.158997,231.559998,212.623993,216.889999,216.889999,893780
2017-06-25,216.457001,217.505005,198.945999,203.815994,203.815994,1987100
2017-06-26,205.334000,208.488007,172.766006,185.358994,185.358994,2401130
2017-06-27,192.688995,200.649994,168.429993,200.462997,200.462997,1059020
2017-06-28,202.423996,219.912994,191.108994,217.869995,217.869995,1422660
2017-06-29,215.647995,282.992004,215.647995,257.964996,257.964996,9273850
2017-06-30,257.537994,388.622009,252.888000,334.671997,334.671997,39888300
2017-07-01,332.042999,341.539001,301.934998,302.046997,302.046997,8108100
2017-07-02,301.694000,326.700989,278.264008,323.277008,323.277008,6820020
2017-07-03,322.088989,358.010986,317.076996,331.604004,331.604004,7327040
2017-07-04,330.359985,341.039001,316.062988,316.062988,316.062988,3328510
2017-07-05,317.507996,346.730988,310.233002,337.933990,337.933990,7394890
2017-07-06,338.268005,343.585999,329.048004,333.940002,333.940002,2805380
2017-07-07,334.696991,334.696991,289.123993,289.123993,289.123993,2166830
2017-07-08,283.229004,305.807007,264.333008,298.954987,298.954987,1584090
2017-07-09,297.377014,301.476990,276.746002,276.746002,276.746002,960653
2017-07-10,277.140015,279.192993,218.016998,229.337006,229.337006,1872180
2017-07-11,226.550003,233.873993,196.057007,207.194000,207.194000,1552960
