Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.143847,0.144804,0.133418,0.142327,0.142327,1473715
2020-05-08,0.142735,0.165773,0.140679,0.159132,0.159132,4388257
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.140042,0.143017,0.139519,0.141787,0.141787,225052
2020-05-17,0.141789,0.143758,0.141755,0.142308,0.142308,204171
2020-05-18,0.142326,0.147081,0.142326,0.146079,0.146079,556607
2020-05-19,0.146067,0.152196,0.144645,0.151685,0.151685,1487667
2020-05-20,0.151742,0.152459,0.145922,0.149965,0.149965,717320
2020-05-21,0.149982,0.152870,0.142184,0.149772,0.149772,1148941
2020-05-22,0.149755,0.160210,0.146350,0.159666,0.159666,1529078
2020-05-23,0.159749,0.170356,0.153331,0.161543,0.161543,3183365
2020-05-24,0.161522,0.165809,0.155464,0.155488,0.155488,1373237
2020-05-25,0.155335,0.165212,0.153526,0.164329,0.164329,1738039
2020-05-26,0.164306,0.177776,0.162674,0.177696,0.177696,2455736
2020-05-27,0.177696,0.178863,0.167573,0.169172,0.169172,1687554
2020-05-28,0.169207,0.174076,0.166688,0.172228,0.172228,951184
2020-05-29,0.172130,0.172860,0.166140,0.172860,0.172860,1136272
2020-05-30,0.172839,0.178886,0.169116,0.177440,0.177440,1671926
2020-05-31,0.177454,0.179320,0.173474,0.174682,0.174682,1077935
2020-06-01,0.174763,0.185609,0.174676,0.183145,0.183145,1295315
2020-06-02,0.183168,0.196133,0.175268,0.186875,0.186875,1761933
2020-06-03,0.186911,0.200922,0.181180,0.194225,0.194225,2893133
2020-06-04,0.194322,0.197092,0.188453,0.195612,0.195612,1651317
2020-06-05,0.195601,0.196207,0.190882,0.192154,0.192154,1098370
2020-06-06,0.192154,0.200470,0.186607,0.194046,0.194046,1573580
2020-06-07,0.196878,0.204160,0.186088,0.202918,0.202918,2215896
2020-06-08,0.204024,0.233793,0.198861,0.215232,0.215232,9324500
2020-06-09,0.215454,0.220555,0.206843,0.210539,0.210539,3054125
2020-06-10,0.210554,0.219288,0.200900,0.209807,0.209807,3115097
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.206356,0.232235,0.197447,0.230624,0.230624,7186899
2020-06-15,0.230666,0.247359,0.205178,0.237372,0.237372,11563209
2020-06-16,0.237655,0.253577,0.229927,0.233472,0.233472,5255482
2020-06-17,0.233564,0.244959,0.223130,0.243155,0.243155,4857454
2020-06-18,0.243342,0.244432,0.230717,0.235981,0.235981,2628301
2020-06-19,0.235726,0.236406,0.217737,0.223467,0.223467,2406874
2020-06-20,null,null,null,null,null,null
2020-06-21,0.226855,0.234735,0.223973,0.229971,0.229971,1890022
2020-06-22,null,null,null,null,null,null
2020-06-23,0.218401,0.229553,0.213774,0.214768,0.214768,3001172
2020-06-24,0.214794,0.215648,0.196193,0.201213,0.201213,1693462
2020-06-25,0.201275,0.210939,0.193042,0.196127,0.196127,2468579
2020-06-26,0.196136,0.197624,0.186836,0.190461,0.190461,765048
2020-06-27,null,null,null,null,null,null
2020-06-28,0.178907,0.187181,0.172646,0.183269,0.183269,858460
2020-06-29,0.183269,0.185548,0.177086,0.181400,0.181400,487034
2020-06-30,0.181365,0.186558,0.178060,0.180423,0.180423,855021
2020-07-01,0.179448,0.191421,0.179448,0.185792,0.185792,1409087
2020-07-02,0.185719,0.188710,0.176684,0.180433,0.180433,662327
2020-07-03,0.180869,0.187529,0.178470,0.185803,0.185803,741645
2020-07-04,0.185806,0.190072,0.184179,0.187496,0.187496,588369
2020-07-05,0.187014,0.189623,0.180331,0.183011,0.183011,357236
2020-07-06,0.183011,0.187638,0.181338,0.185918,0.185918,544330
2020-07-07,0.185836,0.188317,0.183840,0.185838,0.185838,484787
2020-07-08,0.186703,0.199197,0.185358,0.196164,0.196164,2238755
2020-07-09,0.196074,0.199746,0.188527,0.193221,0.193221,2737873
2020-07-10,0.192969,0.193456,0.187836,0.193456,0.193456,775441
2020-07-11,0.193416,0.194919,0.190627,0.193531,0.193531,614072
2020-07-12,0.193498,0.195341,0.189920,0.193096,0.193096,413814
2020-07-13,0.193096,0.195076,0.186568,0.188691,0.188691,874347
2020-07-14,0.187910,0.188527,0.184697,0.186809,0.186809,475939
2020-07-15,0.187192,0.190787,0.184954,0.186365,0.186365,483640
2020-07-16,0.186342,0.188363,0.174303,0.180758,0.180758,760552
2020-07-17,0.180696,0.182355,0.178021,0.181655,0.181655,316885
2020-07-18,0.181693,0.186189,0.180808,0.186105,0.186105,377082
2020-07-19,0.186090,0.187235,0.183236,0.185517,0.185517,531272
2020-07-20,0.185885,0.192175,0.185217,0.190351,0.190351,742427
2020-07-21,0.190434,0.211460,0.189794,0.204274,0.204274,3725278
2020-07-22,0.204414,0.205588,0.198895,0.199508,0.199508,1438722
2020-07-23,0.199530,0.200402,0.193801,0.197579,0.197579,1006956
2020-07-24,0.197664,0.203863,0.192405,0.201757,0.201757,1168934
2020-07-25,0.201789,0.206295,0.200367,0.202471,0.202471,991461
2020-07-26,0.201915,0.202613,0.188041,0.193613,0.193613,1265823
2020-07-27,0.193357,0.200368,0.181205,0.185807,0.185807,2862072
2020-07-28,0.185197,0.197187,0.183319,0.193370,0.193370,1497293
2020-07-29,0.191924,0.261975,0.191632,0.230798,0.230798,19631872
2020-07-30,0.230781,0.231658,0.204185,0.211057,0.211057,4649424
2020-07-31,0.211005,0.211413,0.200987,0.205098,0.205098,2090639
2020-08-01,0.205098,0.207497,0.203353,0.206128,0.206128,971951
2020-08-02,0.206114,0.208278,0.189750,0.192875,0.192875,1442818
2020-08-03,0.193072,0.210142,0.192821,0.206128,0.206128,2318045
2020-08-04,0.206114,0.206779,0.198076,0.202311,0.202311,830976
2020-08-05,0.202272,0.219846,0.202272,0.207995,0.207995,4157286
2020-08-06,0.207993,0.224821,0.205198,0.217415,0.217415,3365740
2020-08-07,0.217437,0.221748,0.203937,0.210620,0.210620,1345678
2020-08-08,0.210852,0.221868,0.210406,0.217380,0.217380,2127925
2020-08-09,0.217399,0.221225,0.213783,0.219705,0.219705,1215010
2020-08-10,0.219806,0.224437,0.214598,0.223188,0.223188,1806004
2020-08-11,0.222530,0.223493,0.206094,0.211836,0.211836,1966144
2020-08-12,0.211892,0.217950,0.202368,0.216586,0.216586,1600001
2020-08-13,0.216466,0.229699,0.213680,0.227352,0.227352,3586686
2020-08-14,0.226941,0.236485,0.223540,0.233786,0.233786,3121428
2020-08-15,0.233773,0.234624,0.225844,0.229184,0.229184,1159625
2020-08-16,0.229082,0.235791,0.221352,0.234900,0.234900,1364776
2020-08-17,0.234900,0.239502,0.229890,0.233677,0.233677,2108933
2020-08-18,0.233596,0.241279,0.229157,0.236481,0.236481,1976916
2020-08-19,0.236374,0.239408,0.216480,0.220633,0.220633,1578136
2020-08-20,0.220625,0.228661,0.219581,0.228176,0.228176,1937962
2020-08-21,0.228147,0.231126,0.220411,0.223565,0.223565,2187861
2020-08-22,0.223779,0.226139,0.213345,0.225631,0.225631,1354892
2020-08-23,0.225581,0.240989,0.219291,0.237872,0.237872,2503133
2020-08-24,0.237872,0.265255,0.237872,0.254818,0.254818,5371606
2020-08-25,0.255904,0.267769,0.227733,0.236958,0.236958,6072081
2020-08-26,0.236910,0.239704,0.227005,0.237440,0.237440,2566216
2020-08-27,0.237353,0.245008,0.214705,0.222195,0.222195,3765933
2020-08-28,0.222202,0.230029,0.219791,0.228546,0.228546,3460762
2020-08-29,0.229197,0.269024,0.228568,0.260743,0.260743,5114421
2020-08-30,0.261937,0.263503,0.253687,0.257104,0.257104,2746799
2020-08-31,0.257756,0.264349,0.248175,0.256721,0.256721,2325170
2020-09-01,0.256588,0.257153,0.243585,0.243882,0.243882,1646766
2020-09-02,0.244197,0.246015,0.222786,0.226209,0.226209,1621529
2020-09-03,0.226209,0.237451,0.191544,0.193123,0.193123,4334056
2020-09-04,0.193072,0.200963,0.183719,0.193684,0.193684,2917885
2020-09-05,0.193689,0.202641,0.176887,0.183120,0.183120,1922868
2020-09-06,0.183120,0.194430,0.172958,0.188148,0.188148,1934572
2020-09-07,0.188151,0.189972,0.169713,0.180642,0.180642,2165850
2020-09-08,0.180721,0.181310,0.171047,0.177539,0.177539,1605616
2020-09-09,0.177516,0.183655,0.171734,0.181538,0.181538,983160
2020-09-10,0.181505,0.196815,0.181139,0.194913,0.194913,1134384
2020-09-11,0.194913,0.209784,0.192597,0.201420,0.201420,2619257
2020-09-12,0.201520,0.209767,0.199754,0.205326,0.205326,961327
2020-09-13,0.205326,0.205734,0.188131,0.192472,0.192472,839059
2020-09-14,0.192425,0.203238,0.189711,0.200542,0.200542,1647165
2020-09-15,0.200553,0.201529,0.190214,0.190846,0.190846,775124
2020-09-16,0.191111,0.191366,0.183996,0.185834,0.185834,846371
2020-09-17,0.185774,0.189775,0.179822,0.184882,0.184882,629826
2020-09-18,0.184882,0.187976,0.182548,0.185526,0.185526,595726
2020-09-19,0.184965,0.189145,0.184965,0.188529,0.188529,586687
2020-09-20,0.188563,0.191190,0.183110,0.186655,0.186655,625485
2020-09-21,0.186654,0.189199,0.163096,0.168916,0.168916,1071039
2020-09-22,0.168871,0.171076,0.159611,0.168362,0.168362,609881
2020-09-23,0.168362,0.170293,0.155773,0.156809,0.156809,598481
2020-09-24,0.156664,0.166077,0.154942,0.165939,0.165939,533205
2020-09-25,0.166537,0.173519,0.166159,0.170347,0.170347,888048
2020-09-26,0.170227,0.172717,0.167734,0.169186,0.169186,517489
2020-09-27,0.169524,0.172379,0.165537,0.171030,0.171030,592212
2020-09-28,0.171030,0.173304,0.168270,0.169095,0.169095,641474
2020-09-29,0.169094,0.186933,0.168319,0.184864,0.184864,1106778
2020-09-30,0.185535,0.186042,0.171977,0.174893,0.174893,604586
2020-10-01,0.174870,0.179224,0.167829,0.169625,0.169625,456012
2020-10-02,0.170338,0.171856,0.161103,0.166006,0.166006,1087600
2020-10-03,0.165694,0.169467,0.164005,0.165524,0.165524,261677
2020-10-04,0.165524,0.169548,0.163276,0.166556,0.166556,356615
2020-10-05,0.166556,0.167555,0.161817,0.165757,0.165757,511123
2020-10-06,0.166058,0.166529,0.156834,0.158302,0.158302,431006
2020-10-07,0.158302,0.159715,0.154619,0.157466,0.157466,384575
2020-10-08,0.158654,0.171401,0.158393,0.167969,0.167969,625458
2020-10-09,0.168121,0.197403,0.166836,0.185985,0.185985,2827137
2020-10-10,0.185439,0.191875,0.181957,0.187130,0.187130,1039331
2020-10-11,0.187168,0.189222,0.182142,0.184733,0.184733,539912
2020-10-12,0.184663,0.188533,0.181530,0.183957,0.183957,620203
2020-10-13,0.184015,0.186487,0.179087,0.180145,0.180145,522981
2020-10-14,0.179985,0.182029,0.175580,0.177415,0.177415,474681
2020-10-15,0.177357,0.179100,0.169196,0.173861,0.173861,660389
2020-10-16,0.174098,0.197159,0.170105,0.180150,0.180150,2751598
2020-10-17,0.179343,0.180111,0.174229,0.176081,0.176081,701817
2020-10-18,0.176439,0.177435,0.172381,0.172392,0.172392,451241
2020-10-19,0.172565,0.175681,0.168338,0.170711,0.170711,653962
2020-10-20,0.170352,0.171931,0.163420,0.167946,0.167946,625512
2020-10-21,0.168175,0.178795,0.166831,0.175226,0.175226,880363
2020-10-22,0.174717,0.182795,0.174169,0.174787,0.174787,1026456
2020-10-23,0.175055,0.190137,0.174301,0.183992,0.183992,1067677
2020-10-24,0.183992,0.187917,0.181285,0.185711,0.185711,608339
2020-10-25,0.185711,0.186129,0.177318,0.180097,0.180097,534782
2020-10-26,0.180097,0.200266,0.174868,0.180048,0.180048,2210855
2020-10-27,0.180048,0.184594,0.175817,0.182245,0.182245,898282
2020-10-28,0.182248,0.194467,0.179643,0.183899,0.183899,3532696
2020-10-29,0.183910,0.183910,0.173682,0.176903,0.176903,686181
2020-10-30,0.176909,0.178353,0.164424,0.169419,0.169419,1200099
2020-10-31,0.169419,0.172797,0.167555,0.169539,0.169539,517123
2020-11-01,0.169539,0.171166,0.167892,0.170342,0.170342,374072
2020-11-02,0.170342,0.179919,0.165119,0.168282,0.168282,1411162
2020-11-03,0.168275,0.170835,0.163538,0.170516,0.170516,534168
2020-11-04,0.170517,0.171068,0.164802,0.169644,0.169644,589822
2020-11-05,0.169645,0.175904,0.166490,0.174895,0.174895,795115
2020-11-06,0.174894,0.187351,0.173767,0.185593,0.185593,1081511
2020-11-07,0.185635,0.190540,0.176193,0.178311,0.178311,1169246
2020-11-08,0.178264,0.189003,0.176785,0.185310,0.185310,638752
2020-11-09,0.185265,0.188472,0.180648,0.184084,0.184084,816001
2020-11-10,0.184067,0.194815,0.183040,0.191651,0.191651,1181231
2020-11-11,0.191648,0.199957,0.190324,0.193868,0.193868,900313
2020-11-12,0.193864,0.199377,0.189169,0.192405,0.192405,959719
2020-11-13,0.192418,0.197684,0.191887,0.196904,0.196904,678576
2020-11-14,0.196904,0.203465,0.186501,0.188979,0.188979,3116514
2020-11-15,0.188986,0.191012,0.182111,0.184108,0.184108,651700
2020-11-16,0.184108,0.194943,0.184038,0.189176,0.189176,1693302
2020-11-17,0.191932,0.192053,0.186477,0.188440,0.188440,916487
2020-11-18,0.188445,0.197272,0.185885,0.195275,0.195275,1429836
2020-11-19,0.195282,0.195912,0.185008,0.187238,0.187238,853471
2020-11-20,0.187235,0.192521,0.186960,0.189971,0.189971,1047451
2020-11-21,0.189968,0.202821,0.187525,0.201764,0.201764,1135078
2020-11-22,0.201765,0.220744,0.193582,0.209346,0.209346,2495105
2020-11-23,0.209342,0.215209,0.203611,0.215209,0.215209,1589622
2020-11-24,0.214777,0.232595,0.209530,0.226972,0.226972,2970831
2020-11-25,0.225407,0.258974,0.223842,0.241429,0.241429,6097502
2020-11-26,0.241507,0.256268,0.192403,0.202856,0.202856,3323476
2020-11-27,0.202971,0.217819,0.191508,0.202039,0.202039,2503258
2020-11-28,0.202083,0.212191,0.197821,0.209995,0.209995,1041074
2020-11-29,0.209971,0.213671,0.206940,0.210890,0.210890,831038
2020-11-30,0.210906,0.219586,0.205587,0.218914,0.218914,1695355
2020-12-01,0.218758,0.243175,0.200040,0.228356,0.228356,3856645
2020-12-02,0.227174,0.243594,0.218333,0.239740,0.239740,2737111
2020-12-03,0.239745,0.259678,0.227647,0.236276,0.236276,3777467
2020-12-04,0.236301,0.236674,0.209042,0.211168,0.211168,2200299
2020-12-05,0.211189,0.224605,0.209447,0.222578,0.222578,1070314
2020-12-06,0.222612,0.223630,0.214770,0.220126,0.220126,1169306
2020-12-07,0.220132,0.228385,0.219563,0.225898,0.225898,1611062
2020-12-08,0.226154,0.260876,0.218188,0.222129,0.222129,8509766
2020-12-09,0.222108,0.222421,0.201355,0.216654,0.216654,2397365
2020-12-10,0.216652,0.216652,0.202708,0.207658,0.207658,1203470
2020-12-11,0.207703,0.208200,0.195637,0.198952,0.198952,1378200
2020-12-12,0.198932,0.208584,0.198747,0.207256,0.207256,1132341
2020-12-13,0.207557,0.213624,0.205218,0.210495,0.210495,1327032
2020-12-14,0.210526,0.211661,0.203558,0.209750,0.209750,1022073
2020-12-15,0.209721,0.212742,0.205576,0.212720,0.212720,1199931
2020-12-16,0.212694,0.218045,0.203802,0.217577,0.217577,1917504
2020-12-17,0.217525,0.220961,0.210148,0.215147,0.215147,2424228
2020-12-18,0.215156,0.240837,0.210943,0.229859,0.229859,4400414
2020-12-19,0.226738,0.734952,0.226738,0.464531,0.464531,365143522
2020-12-20,0.466832,0.466832,0.325050,0.333088,0.333088,28889039
2020-12-21,0.334147,0.378211,0.294643,0.329148,0.329148,33221718
2020-12-22,0.330848,0.401221,0.310756,0.353606,0.353606,21304970
2020-12-23,0.350608,0.360031,0.272518,0.286427,0.286427,10446137
2020-12-24,0.284510,0.311023,0.256778,0.308089,0.308089,5874392
2020-12-25,0.309534,0.349971,0.298556,0.318817,0.318817,11451904
2020-12-26,0.317896,0.340577,0.303423,0.334331,0.334331,8766288
2020-12-27,0.334353,0.435580,0.317090,0.344347,0.344347,28484751
2020-12-28,0.345062,0.430592,0.339525,0.395892,0.395892,29710447
2020-12-29,0.356542,0.390154,0.356542,0.368397,0.368397,9816423
