Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.372638,0.386578,0.350155,0.361317,0.361317,14352789
2020-05-08,0.361317,0.387655,0.361317,0.363312,0.363312,10178787
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.312630,0.317312,0.305252,0.307713,0.307713,2809738
2020-05-17,0.307890,0.356334,0.303824,0.356334,0.356334,7081593
2020-05-18,0.357205,0.357205,0.320312,0.323173,0.323173,8139665
2020-05-19,0.322873,0.349649,0.314480,0.314480,0.314480,12650419
2020-05-20,0.315318,0.339021,0.314738,0.317792,0.317792,11375762
2020-05-21,0.318371,0.320612,0.286375,0.294982,0.294982,5935372
2020-05-22,0.294948,0.304824,0.289473,0.298124,0.298124,4932788
2020-05-23,0.298044,0.300170,0.291270,0.295094,0.295094,3584835
2020-05-24,0.294887,0.298704,0.265360,0.266965,0.266965,4421950
2020-05-25,0.266714,0.293462,0.263112,0.276602,0.276602,7616953
2020-05-26,0.276330,0.279640,0.267778,0.271555,0.271555,6261486
2020-05-27,0.271555,0.284656,0.270643,0.276447,0.276447,4514550
2020-05-28,0.276503,0.277516,0.270222,0.271493,0.271493,3502941
2020-05-29,0.271556,0.273487,0.267245,0.270236,0.270236,2745896
2020-05-30,0.270129,0.270604,0.257081,0.257803,0.257803,4339004
2020-05-31,0.257832,0.260863,0.233912,0.234513,0.234513,4094611
2020-06-01,0.234774,0.271274,0.234774,0.258460,0.258460,8419374
2020-06-02,0.257885,0.261883,0.239009,0.242286,0.242286,7376852
2020-06-03,0.242286,0.253795,0.239744,0.247028,0.247028,7745372
2020-06-04,0.246596,0.266827,0.244809,0.264952,0.264952,9475991
2020-06-05,0.264952,0.270041,0.258778,0.261107,0.261107,9681217
2020-06-06,0.261284,0.261284,0.250415,0.252358,0.252358,7063110
2020-06-07,0.252358,0.259461,0.247737,0.251644,0.251644,7117480
2020-06-08,0.251655,0.253383,0.249833,0.250752,0.250752,6138005
2020-06-09,0.250922,0.254425,0.249508,0.250983,0.250983,5443836
2020-06-10,0.251373,0.251799,0.245764,0.248224,0.248224,4288882
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.260417,0.278658,0.254613,0.254613,0.254613,13086415
2020-06-15,0.254613,0.256905,0.241074,0.252196,0.252196,10067961
2020-06-16,0.251920,0.255529,0.247094,0.254897,0.254897,7124765
2020-06-17,0.254872,0.259324,0.249215,0.251856,0.251856,8140638
2020-06-18,0.251871,0.252487,0.242879,0.246761,0.246761,8066475
2020-06-19,0.246279,0.246455,0.239959,0.240192,0.240192,6737684
2020-06-20,null,null,null,null,null,null
2020-06-21,0.252431,0.254122,0.246396,0.249896,0.249896,7586656
2020-06-22,null,null,null,null,null,null
2020-06-23,0.248185,0.252219,0.244948,0.248467,0.248467,6290398
2020-06-24,0.248779,0.251769,0.238280,0.240652,0.240652,8038442
2020-06-25,0.240508,0.241308,0.229079,0.235941,0.235941,6869009
2020-06-26,0.236052,0.240441,0.219118,0.219118,0.219118,7170468
2020-06-27,null,null,null,null,null,null
2020-06-28,0.206851,0.215678,0.198515,0.207459,0.207459,5953509
2020-06-29,0.207459,0.231300,0.207197,0.223754,0.223754,8979656
2020-06-30,0.223707,0.224110,0.216269,0.217699,0.217699,5962083
2020-07-01,0.218055,0.219786,0.213140,0.214046,0.214046,5307885
2020-07-02,0.214191,0.214886,0.203701,0.209686,0.209686,5699591
2020-07-03,0.209680,0.210543,0.206320,0.207506,0.207506,4839684
2020-07-04,0.207110,0.215395,0.206049,0.210913,0.210913,5809017
2020-07-05,0.210537,0.211577,0.204108,0.206592,0.206592,5335143
2020-07-06,0.206592,0.225604,0.205541,0.224652,0.224652,6673798
2020-07-07,0.224279,0.224279,0.214806,0.215775,0.215775,5443011
2020-07-08,0.215775,0.219237,0.214840,0.217844,0.217844,6053327
2020-07-09,0.217961,0.224078,0.213405,0.218224,0.218224,6286198
2020-07-10,0.218132,0.240193,0.215379,0.230266,0.230266,7884728
2020-07-11,0.230266,0.236978,0.228843,0.234242,0.234242,5950685
2020-07-12,0.234418,0.234418,0.222999,0.226530,0.226530,4774818
2020-07-13,0.226530,0.228028,0.221297,0.222204,0.222204,5361663
2020-07-14,0.221979,0.221979,0.213720,0.216806,0.216806,4226686
2020-07-15,0.216647,0.220910,0.214916,0.217810,0.217810,3517284
2020-07-16,0.217857,0.217873,0.206412,0.211336,0.211336,3546475
2020-07-17,0.211392,0.213723,0.206833,0.210813,0.210813,4126563
2020-07-18,0.210489,0.212931,0.207966,0.210312,0.210312,3877662
2020-07-19,0.210403,0.216300,0.209928,0.212445,0.212445,4265368
2020-07-20,0.212521,0.218806,0.209662,0.216063,0.216063,5358308
2020-07-21,0.216229,0.274598,0.213332,0.231284,0.231284,21236648
