Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.093846,0.155040,0.086182,0.142265,0.142265,207628
2020-05-08,0.142151,0.330875,0.133729,0.173660,0.173660,247438
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.282620,0.382608,0.264086,0.281469,0.281469,326121
2020-05-17,0.281469,0.343855,0.233198,0.233198,0.233198,304542
2020-05-18,0.233187,0.320778,0.233187,0.289482,0.289482,440092
2020-05-19,0.289338,0.313368,0.275729,0.302268,0.302268,405136
2020-05-20,0.302459,0.331309,0.298495,0.299585,0.299585,411935
2020-05-21,0.299599,0.349022,0.279680,0.286797,0.286797,452264
2020-05-22,0.286773,0.297677,0.267713,0.267951,0.267951,390085
2020-05-23,0.268081,0.309865,0.262713,0.270731,0.270731,401304
2020-05-24,0.270731,0.300738,0.228729,0.261244,0.261244,410409
2020-05-25,0.260535,0.297042,0.247475,0.266555,0.266555,360828
2020-05-26,0.266519,0.280584,0.258058,0.265823,0.265823,396458
2020-05-27,0.265823,0.312289,0.174424,0.273781,0.273781,235647
2020-05-28,0.273750,0.281711,0.222173,0.230898,0.230898,343344
2020-05-29,0.230885,0.316388,0.206033,0.266264,0.266264,432293
2020-05-30,0.266264,0.286308,0.233704,0.233902,0.233902,293052
2020-05-31,0.233902,0.293117,0.231489,0.261738,0.261738,367586
2020-06-01,0.261606,0.323865,0.251971,0.322380,0.322380,472059
2020-06-02,0.322403,0.350735,0.271925,0.286364,0.286364,492883
2020-06-03,0.286406,0.318004,0.285178,0.308528,0.308528,420265
2020-06-04,0.308421,0.337386,0.283369,0.312501,0.312501,459808
2020-06-05,0.312501,0.321272,0.301597,0.308012,0.308012,451491
2020-06-06,0.308012,0.316782,0.297243,0.311367,0.311367,462325
2020-06-07,0.311366,0.319727,0.296314,0.311630,0.311630,488603
2020-06-08,0.311664,0.339598,0.300147,0.329245,0.329245,432928
2020-06-09,0.329257,0.331701,0.293171,0.327791,0.327791,506216
2020-06-10,0.327549,0.335658,0.312191,0.329521,0.329521,463226
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.323792,0.324862,0.311924,0.314172,0.314172,260620
2020-06-15,0.314159,0.326798,0.282281,0.316725,0.316725,379421
2020-06-16,0.316824,0.323555,0.312934,0.315766,0.315766,344745
2020-06-17,0.316545,0.324635,0.302565,0.311982,0.311982,380264
2020-06-18,0.311975,0.324803,0.303114,0.315503,0.315503,468422
2020-06-19,0.315867,0.322325,0.298817,0.311662,0.311662,349256
2020-06-20,null,null,null,null,null,null
2020-06-21,0.305221,0.311126,0.293479,0.300920,0.300920,342614
