Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,1.077037,1.140910,1.073024,1.109022,1.109022,1545349
2020-10-22,1.114779,1.159329,1.082394,1.129275,1.129275,1784671
2020-10-23,1.126064,1.137856,1.029514,1.057157,1.057157,1810105
2020-10-24,1.057157,1.067407,1.021587,1.035037,1.035037,195597
2020-10-25,1.035037,1.054969,0.989473,1.043647,1.043647,491521
2020-10-26,1.043647,1.141202,1.026092,1.044693,1.044693,2271863
2020-10-27,1.044693,1.107897,1.032028,1.071025,1.071025,1928704
2020-10-28,1.071025,1.096290,0.969325,0.987572,0.987572,375282
2020-10-29,0.987572,0.994411,0.862070,0.879821,0.879821,650275
2020-10-30,0.879821,0.893172,0.815576,0.835603,0.835603,488286
2020-10-31,0.835603,0.841699,0.806165,0.825242,0.825242,197882
2020-11-01,0.825242,0.871094,0.780966,0.796048,0.796048,178762
2020-11-02,0.796048,0.829018,0.772715,0.774156,0.774156,791393
2020-11-03,0.774156,0.774156,0.719609,0.731991,0.731991,490763
2020-11-04,0.731991,0.776323,0.686940,0.765566,0.765566,269365
2020-11-05,0.765566,0.904222,0.762069,0.885071,0.885071,577562
2020-11-06,0.885071,1.059728,0.885071,1.057477,1.057477,574618
2020-11-07,1.057477,1.240220,0.971635,1.007625,1.007625,844669
2020-11-08,1.007625,1.240203,0.980650,1.192963,1.192963,688575
2020-11-09,1.192963,1.194196,1.040991,1.077289,1.077289,233760
2020-11-10,1.077289,1.157905,1.062064,1.143675,1.143675,269979
2020-11-11,1.143675,1.190804,1.056687,1.069412,1.069412,316452
2020-11-12,1.069411,1.078522,0.985686,1.040037,1.040037,333849
2020-11-13,1.040037,1.138970,1.040037,1.132561,1.132561,359194
2020-11-14,1.132561,1.200966,1.046123,1.154610,1.154610,785134
2020-11-15,1.154610,1.283540,1.123504,1.161406,1.161406,993959
2020-11-16,1.161406,1.239331,1.140885,1.233443,1.233443,677448
2020-11-17,1.284766,1.472063,1.283007,1.424845,1.424845,1652343
2020-11-18,1.424845,1.500216,1.287220,1.468363,1.468363,1611938
2020-11-19,1.468363,1.700718,1.451270,1.647381,1.647381,2248909
2020-11-20,1.647381,1.763509,1.584883,1.709536,1.709536,1639467
2020-11-21,1.709536,1.922598,1.670071,1.804614,1.804614,415945
2020-11-22,1.804614,1.819971,1.532433,1.651260,1.651260,1175259
2020-11-23,1.651260,1.877530,1.622860,1.769176,1.769176,1211492
2020-11-24,1.773314,1.794004,1.569084,1.624744,1.624744,1563378
2020-11-25,1.629224,1.642662,1.468048,1.500669,1.500669,1166446
2020-11-26,1.500624,1.509669,1.125291,1.365041,1.365041,156494
2020-11-27,1.365111,1.467822,1.270922,1.309956,1.309956,304383
2020-11-28,1.309967,1.397388,1.286420,1.358425,1.358425,631291
2020-11-29,1.358437,1.405292,1.332317,1.396382,1.396382,348798
2020-11-30,1.396374,1.516844,1.361943,1.425549,1.425549,1048823
2020-12-01,1.425550,1.498150,1.339277,1.353746,1.353746,235609
2020-12-02,1.353796,1.439775,1.319585,1.439217,1.439217,83601
2020-12-03,1.439248,1.505901,1.411161,1.493555,1.493555,862182
2020-12-04,1.493019,1.598386,1.479154,1.542384,1.542384,984242
2020-12-05,1.542705,1.632347,1.500215,1.561338,1.561338,182384
2020-12-06,1.561337,1.585305,1.475136,1.502167,1.502167,956662
2020-12-07,1.502418,1.508943,1.382370,1.412043,1.412043,449308
2020-12-08,1.412094,1.425623,1.300177,1.311988,1.311988,423217
2020-12-09,1.311959,1.390813,1.284408,1.363156,1.363156,575877
2020-12-10,1.363111,1.368302,1.246405,1.256055,1.256055,435854
2020-12-11,1.256118,1.259508,1.160168,1.162528,1.162528,417879
2020-12-12,1.158693,1.226450,1.157526,1.187910,1.187910,431517
2020-12-13,1.188917,1.258408,1.166128,1.246806,1.246806,91373
2020-12-14,1.248393,1.291209,1.222813,1.251252,1.251252,68409
2020-12-15,1.251271,1.326145,1.251271,1.296674,1.296674,419031
2020-12-16,1.296675,1.308573,1.227329,1.303417,1.303417,328804
2020-12-17,1.303502,1.323691,1.255068,1.290480,1.290480,765683
2020-12-18,1.290464,1.469312,1.266773,1.458485,1.458485,165628
2020-12-19,1.458464,1.507218,1.399939,1.436489,1.436489,187029
2020-12-20,1.442212,1.468263,1.389213,1.423083,1.423083,638834
2020-12-21,1.423188,1.431134,1.348351,1.422164,1.422164,625662
2020-12-22,1.421016,1.802852,1.412088,1.563012,1.563012,3149382
2020-12-23,1.561545,1.571614,1.125294,1.229428,1.229428,1493608
2020-12-24,1.233349,1.411371,1.211891,1.374410,1.374410,988939
2020-12-25,1.374460,1.392794,1.249682,1.277578,1.277578,506715
2020-12-26,1.273185,1.444000,1.259398,1.444000,1.444000,1189158
2020-12-27,1.443890,1.619160,1.296484,1.338453,1.338453,2236800
2020-12-28,1.338197,1.477545,1.326800,1.426901,1.426901,1172548
2020-12-29,1.300007,1.446563,1.258276,1.267623,1.267623,1237959
