Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.083482,0.086738,0.080543,0.085529,0.085529,537627
2020-05-08,0.086293,0.087587,0.080512,0.083258,0.083258,476023
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.080641,0.083759,0.080074,0.082439,0.082439,169171
2020-05-17,0.082439,0.083927,0.079849,0.081877,0.081877,169484
2020-05-18,0.082198,0.084473,0.080602,0.082124,0.082124,162884
2020-05-19,0.082118,0.083537,0.080390,0.081627,0.081627,147612
2020-05-20,0.082223,0.083991,0.079818,0.080477,0.080477,133099
2020-05-21,0.081070,0.082551,0.076317,0.077876,0.077876,129698
2020-05-22,0.078352,0.088755,0.076958,0.083325,0.083325,185711
2020-05-23,0.083460,0.088261,0.081850,0.083707,0.083707,149685
2020-05-24,0.084465,0.085692,0.080461,0.082002,0.082002,286695
2020-05-25,0.081969,0.083149,0.080753,0.082388,0.082388,482146
2020-05-26,0.082456,0.090107,0.080798,0.085248,0.085248,534092
2020-05-27,0.085248,0.085835,0.077986,0.084444,0.084444,565049
2020-05-28,0.084597,0.086213,0.083286,0.084058,0.084058,380100
2020-05-29,0.083964,0.085178,0.083280,0.084744,0.084744,520662
2020-05-30,0.084783,0.089465,0.084129,0.089291,0.089291,414222
2020-05-31,0.089291,0.092588,0.085295,0.085609,0.085609,461583
2020-06-01,0.085803,0.092163,0.085481,0.091377,0.091377,485289
2020-06-02,0.091227,0.092608,0.085117,0.085556,0.085556,507478
2020-06-03,0.085556,0.087351,0.085322,0.087212,0.087212,417431
2020-06-04,0.087242,0.089723,0.086178,0.089162,0.089162,491732
2020-06-05,0.089333,0.092782,0.088093,0.088779,0.088779,544933
2020-06-06,0.088779,0.088816,0.086752,0.088176,0.088176,571681
2020-06-07,0.088176,0.089730,0.086611,0.089579,0.089579,468698
2020-06-08,0.089299,0.090092,0.088475,0.089686,0.089686,448034
2020-06-09,0.089494,0.090520,0.088395,0.090476,0.090476,566473
2020-06-10,0.090358,0.099374,0.089944,0.098932,0.098932,595949
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.096556,0.098563,0.096240,0.098063,0.098063,221099
2020-06-15,0.098063,0.098599,0.093679,0.095505,0.095505,239620
2020-06-16,0.095706,0.102824,0.095229,0.101687,0.101687,440923
2020-06-17,0.101382,0.115754,0.100394,0.112068,0.112068,605970
2020-06-18,0.112068,0.124186,0.110811,0.121634,0.121634,641479
2020-06-19,0.121756,0.122304,0.111140,0.111528,0.111528,556240
2020-06-20,null,null,null,null,null,null
2020-06-21,0.112931,0.115240,0.112931,0.114160,0.114160,381274
2020-06-22,null,null,null,null,null,null
2020-06-23,0.118304,0.118881,0.116716,0.117235,0.117235,207584
2020-06-24,0.117276,0.118921,0.112764,0.112981,0.112981,276949
2020-06-25,0.112952,0.113471,0.109468,0.109786,0.109786,130413
2020-06-26,0.109843,0.110732,0.100580,0.102822,0.102822,389915
2020-06-27,null,null,null,null,null,null
2020-06-28,0.100831,0.101203,0.097405,0.098542,0.098542,258131
2020-06-29,0.098542,0.099161,0.090251,0.093004,0.093004,292858
2020-06-30,0.092768,0.094142,0.092442,0.092513,0.092513,244719
2020-07-01,0.092513,0.094075,0.092174,0.092336,0.092336,228222
2020-07-02,0.092479,0.099656,0.092290,0.097621,0.097621,374877
2020-07-03,0.097623,0.097948,0.090493,0.093358,0.093358,200993
2020-07-04,0.093275,0.094413,0.092043,0.092732,0.092732,171326
