Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000042,0.000046,0.000042,0.000044,0.000044,5988
2020-05-08,0.000044,0.000048,0.000044,0.000046,0.000046,5490
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000044,0.000046,0.000043,0.000044,0.000044,4111
2020-05-17,0.000044,0.000051,0.000044,0.000045,0.000045,2036
2020-05-18,0.000045,0.000046,0.000041,0.000041,0.000041,4133
2020-05-19,0.000041,0.000051,0.000041,0.000050,0.000050,9778
2020-05-20,0.000050,0.000050,0.000044,0.000046,0.000046,6652
2020-05-21,0.000046,0.000047,0.000043,0.000045,0.000045,4558
2020-05-22,0.000045,0.000046,0.000041,0.000042,0.000042,4485
2020-05-23,0.000042,0.000045,0.000041,0.000044,0.000044,5977
2020-05-24,0.000044,0.000046,0.000044,0.000044,0.000044,4018
2020-05-25,0.000044,0.000046,0.000043,0.000044,0.000044,7982
2020-05-26,0.000044,0.000044,0.000043,0.000044,0.000044,3423
2020-05-27,0.000044,0.000054,0.000044,0.000054,0.000054,14366
2020-05-28,0.000052,0.000057,0.000049,0.000056,0.000056,19668
2020-05-29,0.000056,0.000057,0.000050,0.000052,0.000052,8533
2020-05-30,0.000052,0.000072,0.000051,0.000058,0.000058,29583
2020-05-31,0.000058,0.000058,0.000054,0.000055,0.000055,4090
2020-06-01,0.000055,0.000059,0.000054,0.000058,0.000058,3984
2020-06-02,0.000058,0.000060,0.000051,0.000054,0.000054,6367
2020-06-03,0.000054,0.000068,0.000054,0.000067,0.000067,16750
2020-06-04,0.000067,0.000067,0.000062,0.000066,0.000066,6079
2020-06-05,0.000066,0.000068,0.000059,0.000063,0.000063,4071
2020-06-06,0.000063,0.000073,0.000062,0.000068,0.000068,7440
2020-06-07,0.000068,0.000068,0.000062,0.000066,0.000066,3684
2020-06-08,0.000066,0.000068,0.000061,0.000062,0.000062,5177
2020-06-09,0.000062,0.000066,0.000061,0.000066,0.000066,8214
2020-06-10,0.000066,0.000069,0.000064,0.000067,0.000067,7619
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.000068,0.000073,0.000067,0.000068,0.000068,5720
2020-06-15,0.000068,0.000069,0.000064,0.000068,0.000068,7773
2020-06-16,0.000068,0.000069,0.000065,0.000065,0.000065,5155
2020-06-17,0.000065,0.000080,0.000064,0.000078,0.000078,13817
2020-06-18,0.000078,0.000082,0.000077,0.000080,0.000080,8246
2020-06-19,0.000080,0.000087,0.000079,0.000083,0.000083,11687
2020-06-20,null,null,null,null,null,null
2020-06-21,0.000085,0.000087,0.000079,0.000084,0.000084,8303
2020-06-22,null,null,null,null,null,null
2020-06-23,0.000082,0.000082,0.000077,0.000079,0.000079,6226
2020-06-24,0.000080,0.000081,0.000072,0.000078,0.000078,12877
2020-06-25,0.000078,0.000078,0.000071,0.000076,0.000076,6875
2020-06-26,0.000076,0.000077,0.000071,0.000072,0.000072,8265
2020-06-27,null,null,null,null,null,null
2020-06-28,0.000066,0.000069,0.000061,0.000066,0.000066,5998
2020-06-29,0.000066,0.000067,0.000060,0.000064,0.000064,7479
2020-06-30,0.000064,0.000066,0.000063,0.000063,0.000063,7305
2020-07-01,0.000063,0.000067,0.000062,0.000066,0.000066,4734
2020-07-02,0.000066,0.000066,0.000057,0.000060,0.000060,9525
2020-07-03,0.000060,0.000072,0.000059,0.000059,0.000059,14236
2020-07-04,0.000059,0.000061,0.000057,0.000058,0.000058,5470
2020-07-05,0.000058,0.000058,0.000056,0.000057,0.000057,4388
2020-07-06,0.000057,0.000063,0.000057,0.000063,0.000063,5466
2020-07-07,0.000062,0.000064,0.000059,0.000063,0.000063,5166
2020-07-08,0.000063,0.000063,0.000060,0.000061,0.000061,6672
2020-07-09,0.000061,0.000062,0.000055,0.000057,0.000057,5109
2020-07-10,0.000057,0.000060,0.000055,0.000056,0.000056,4628
2020-07-11,0.000056,0.000060,0.000056,0.000060,0.000060,7340
2020-07-12,0.000060,0.000062,0.000058,0.000060,0.000060,7654
2020-07-13,0.000060,0.000061,0.000053,0.000054,0.000054,13564
2020-07-14,0.000054,0.000054,0.000050,0.000053,0.000053,11550
2020-07-15,0.000053,0.000053,0.000049,0.000050,0.000050,15520
2020-07-16,0.000050,0.000050,0.000046,0.000049,0.000049,16373
2020-07-17,0.000049,0.000057,0.000047,0.000057,0.000057,19027
2020-07-18,0.000057,0.000057,0.000052,0.000054,0.000054,10240
2020-07-19,0.000054,0.000057,0.000048,0.000057,0.000057,7106
2020-07-20,0.000056,0.000057,0.000052,0.000052,0.000052,15466
2020-07-21,0.000052,0.000056,0.000052,0.000056,0.000056,10182
2020-07-22,0.000056,0.000061,0.000053,0.000057,0.000057,10108
2020-07-23,0.000057,0.000060,0.000056,0.000057,0.000057,14999
2020-07-24,0.000058,0.000062,0.000057,0.000061,0.000061,12518
2020-07-25,0.000061,0.000064,0.000059,0.000061,0.000061,17706
2020-07-26,0.000061,0.000073,0.000060,0.000062,0.000062,34039
2020-07-27,0.000062,0.000063,0.000057,0.000059,0.000059,23426
2020-07-28,0.000059,0.000066,0.000057,0.000065,0.000065,17167
2020-07-29,0.000065,0.000067,0.000058,0.000063,0.000063,14071
