Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.001389,0.001405,0.001356,0.001390,0.001390,1183398
2020-05-08,0.001390,0.001479,0.001375,0.001392,0.001392,1460076
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.001702,0.003028,0.001613,0.002039,0.002039,11247972
2020-05-17,0.002039,0.002090,0.001630,0.001678,0.001678,2890218
2020-05-18,0.001670,0.001745,0.001625,0.001650,0.001650,1468033
2020-05-19,0.001650,0.001924,0.001578,0.001768,0.001768,1672281
2020-05-20,0.001768,0.002016,0.001647,0.001710,0.001710,2578085
2020-05-21,0.001706,0.001845,0.001618,0.001640,0.001640,1856917
2020-05-22,0.001635,0.002021,0.001612,0.001873,0.001873,2743036
2020-05-23,0.001876,0.001993,0.001756,0.001879,0.001879,2379085
2020-05-24,0.001897,0.001900,0.001727,0.001727,0.001727,1006824
2020-05-25,0.001727,0.001875,0.001715,0.001844,0.001844,1251029
2020-05-26,0.001854,0.001903,0.001794,0.001805,0.001805,1243281
2020-05-27,0.001805,0.002368,0.001792,0.002218,0.002218,2523839
2020-05-28,0.002233,0.002784,0.002055,0.002211,0.002211,3778827
2020-05-29,0.002227,0.002335,0.002084,0.002099,0.002099,2797003
2020-05-30,0.002105,0.002311,0.002070,0.002206,0.002206,1768711
2020-05-31,0.002206,0.002349,0.002113,0.002131,0.002131,1420409
2020-06-01,0.002127,0.002311,0.002117,0.002155,0.002155,2043459
2020-06-02,0.002151,0.002192,0.001955,0.001973,0.001973,1454442
2020-06-03,0.001973,0.002254,0.001973,0.002115,0.002115,1684001
2020-06-04,0.002115,0.002550,0.002108,0.002334,0.002334,4381465
2020-06-05,0.002334,0.002472,0.002267,0.002387,0.002387,2267025
2020-06-06,0.002387,0.002785,0.002359,0.002566,0.002566,3235091
2020-06-07,0.002566,0.003242,0.002562,0.002904,0.002904,3774614
2020-06-08,0.002903,0.002945,0.002727,0.002748,0.002748,1730772
2020-06-09,0.002750,0.003097,0.002702,0.002924,0.002924,2213095
2020-06-10,0.002940,0.003548,0.002896,0.003514,0.003514,6024079
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.002844,0.002895,0.002717,0.002725,0.002725,1187890
2020-06-15,0.002725,0.002734,0.002435,0.002619,0.002619,2736928
2020-06-16,0.002629,0.002880,0.002606,0.002832,0.002832,1385489
2020-06-17,0.002827,0.003140,0.002720,0.003031,0.003031,2524303
2020-06-18,0.003031,0.003465,0.002819,0.002914,0.002914,4258654
2020-06-19,0.002917,0.002967,0.002772,0.002835,0.002835,1460661
2020-06-20,null,null,null,null,null,null
2020-06-21,0.002846,0.003689,0.002846,0.003395,0.003395,4872504
2020-06-22,null,null,null,null,null,null
2020-06-23,0.003131,0.003342,0.003005,0.003088,0.003088,2688529
2020-06-24,0.003090,0.003656,0.003057,0.003653,0.003653,3663875
2020-06-25,0.003574,0.003695,0.003252,0.003412,0.003412,4789171
2020-06-26,0.003411,0.003551,0.003307,0.003353,0.003353,2105722
2020-06-27,null,null,null,null,null,null
2020-06-28,0.003167,0.003379,0.003118,0.003320,0.003320,1092476
2020-06-29,0.003320,0.003438,0.003208,0.003408,0.003408,1809799
2020-06-30,0.003404,0.005365,0.003403,0.004783,0.004783,10315717
2020-07-01,0.004803,0.004803,0.003757,0.003909,0.003909,8006373
2020-07-02,0.003914,0.003970,0.003476,0.003664,0.003664,2834489
2020-07-03,0.003658,0.004298,0.003628,0.003996,0.003996,2737228
2020-07-04,0.004014,0.004127,0.003848,0.004035,0.004035,2170347
2020-07-05,0.004044,0.004071,0.003899,0.004031,0.004031,2184642
2020-07-06,0.004031,0.004324,0.003986,0.004225,0.004225,2804363
2020-07-07,0.004220,0.004516,0.004109,0.004229,0.004229,2600962
2020-07-08,0.004237,0.004485,0.003897,0.003932,0.003932,2776464
2020-07-09,0.003928,0.004187,0.003867,0.004036,0.004036,3974283
2020-07-10,0.004035,0.004185,0.003914,0.004043,0.004043,2360305
2020-07-11,0.004043,0.004236,0.004039,0.004109,0.004109,1689263
2020-07-12,0.004105,0.010183,0.004024,0.005121,0.005121,1195612
2020-07-13,0.005121,0.006482,0.003943,0.004468,0.004468,14162641
2020-07-14,0.004468,0.005205,0.004421,0.005091,0.005091,5784239
2020-07-15,0.005063,0.006163,0.005046,0.005697,0.005697,8221662
2020-07-16,0.005675,0.006117,0.005038,0.005862,0.005862,6571315
2020-07-17,0.005859,0.005930,0.005554,0.005753,0.005753,3289091
2020-07-18,0.005743,0.005903,0.005642,0.005746,0.005746,2403320
2020-07-19,0.005743,0.005762,0.005523,0.005703,0.005703,1906948
2020-07-20,0.005703,0.005746,0.005134,0.005433,0.005433,2818506
2020-07-21,0.005422,0.005727,0.005182,0.005364,0.005364,2717922
2020-07-22,0.005365,0.005593,0.005266,0.005285,0.005285,2814792
2020-07-23,0.005285,0.005641,0.005277,0.005319,0.005319,2277443
2020-07-24,0.005319,0.005498,0.005282,0.005383,0.005383,2224088
2020-07-25,0.005368,0.005399,0.004532,0.004647,0.004647,2095453
2020-07-26,0.004627,0.004759,0.004278,0.004319,0.004319,3203610
2020-07-27,0.004328,0.004395,0.003615,0.003764,0.003764,2929606
2020-07-28,0.003759,0.004027,0.003662,0.003953,0.003953,1345669
2020-07-29,0.003952,0.004829,0.003914,0.004349,0.004349,3517311
2020-07-30,0.004345,0.004364,0.003903,0.004204,0.004204,1822769
2020-07-31,0.004204,0.004304,0.003959,0.004039,0.004039,1795975
2020-08-01,0.004039,0.004089,0.003690,0.003718,0.003718,1352006
2020-08-02,0.003722,0.003868,0.003521,0.003564,0.003564,1612753
2020-08-03,0.003562,0.003868,0.003557,0.003613,0.003613,1210176
2020-08-04,0.003613,0.003805,0.003552,0.003655,0.003655,2190711
2020-08-05,0.003652,0.003737,0.003609,0.003709,0.003709,1167315
2020-08-06,0.003709,0.003853,0.003641,0.003765,0.003765,1822388
2020-08-07,0.003755,0.003881,0.003629,0.003769,0.003769,1730724
2020-08-08,0.003776,0.004268,0.003721,0.003938,0.003938,2954379
2020-08-09,0.003940,0.004056,0.003757,0.003846,0.003846,2113920
2020-08-10,0.003853,0.004036,0.003723,0.003965,0.003965,1963890
2020-08-11,0.003977,0.003995,0.003720,0.003801,0.003801,2287141
2020-08-12,0.003794,0.003824,0.003630,0.003774,0.003774,1430438
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.003567,0.004426,0.003545,0.003950,0.003950,5869521
2020-08-17,0.003950,0.004077,0.003612,0.003661,0.003661,2525049
2020-08-18,0.003647,0.003725,0.003579,0.003612,0.003612,1000359
2020-08-19,0.003608,0.003805,0.003507,0.003534,0.003534,2515379
2020-08-20,0.003534,0.003565,0.003473,0.003565,0.003565,1971950
2020-08-21,0.003565,0.003635,0.003368,0.003369,0.003369,1411252
2020-08-22,0.003377,0.003406,0.003144,0.003379,0.003379,747330
2020-08-23,0.003376,0.003412,0.003305,0.003338,0.003338,739049
2020-08-24,0.003338,0.003421,0.003322,0.003377,0.003377,1793266
2020-08-25,0.003377,0.003568,0.003312,0.003320,0.003320,1400144
2020-08-26,0.003319,0.003407,0.003245,0.003336,0.003336,858579
2020-08-27,0.003337,0.003459,0.003061,0.003153,0.003153,1327238
2020-08-28,0.003154,0.003762,0.003142,0.003548,0.003548,2018159
2020-08-29,0.003539,0.004114,0.003469,0.003836,0.003836,2855925
