Date,Open,High,Low,Close,Adj Close,Volume
2017-10-27,0.408919,0.571872,0.403292,0.497052,0.497052,71509
2017-10-28,0.497721,0.582964,0.397951,0.477654,0.477654,68469
2017-10-29,0.477424,0.491858,0.431237,0.455864,0.455864,27956
2017-10-30,0.453817,0.578122,0.423570,0.565623,0.565623,21872
2017-10-31,0.534153,0.764108,0.513500,0.685691,0.685691,110856
2017-11-01,0.665505,1.222470,0.661789,1.078480,1.078480,241493
2017-11-02,1.080660,1.236230,0.879071,1.170560,1.170560,276079
2017-11-03,1.175190,1.354390,0.990123,1.350030,1.350030,51630
2017-11-04,1.347900,1.411740,1.152860,1.402630,1.402630,55450
2017-11-05,1.235140,1.605900,1.229650,1.576310,1.576310,88533
2017-11-06,1.592890,2.071870,1.391910,1.728780,1.728780,348604
2017-11-07,1.728360,2.011720,0.763202,1.414910,1.414910,476528
2017-11-08,1.412960,1.412960,0.971682,1.317700,1.317700,126020
2017-11-09,1.312860,1.564040,1.161650,1.222940,1.222940,88687
2017-11-10,1.225710,1.358930,0.854839,0.916497,0.916497,172543
2017-11-11,0.913627,1.052790,0.731008,1.052790,1.052790,87265
2017-11-12,1.052400,1.104290,0.800991,1.041560,1.041560,63450
2017-11-13,1.043130,1.118240,0.922808,0.957364,0.957364,26403
2017-11-14,0.958108,1.103340,0.905300,1.063040,1.063040,35891
2017-11-15,1.063670,1.089670,0.976417,1.002820,1.002820,36237
2017-11-16,1.004700,1.121670,0.985271,1.038760,1.038760,32679
2017-11-17,1.028190,1.112700,0.891679,0.975336,0.975336,31044
2017-11-18,0.973898,1.129140,0.877750,0.978447,0.978447,42698
2017-11-19,0.969894,1.119880,0.907682,1.004280,1.004280,17206
2017-11-20,1.003530,1.134690,0.919725,0.964074,0.964074,37446
2017-11-21,0.963688,1.059550,0.878585,1.054890,1.054890,53901
2017-11-22,1.056830,1.091240,0.946389,1.091160,1.091160,29665
2017-11-23,1.091840,1.142630,0.936029,1.013650,1.013650,39386
2017-11-24,1.010010,1.114810,0.973021,1.097800,1.097800,63073
2017-11-25,1.096710,1.203410,1.088420,1.191930,1.191930,12393
2017-11-26,1.126510,1.177410,0.959147,1.000360,1.000360,52840
2017-11-27,1.000350,1.657180,1.000350,1.446960,1.446960,126392
2017-11-28,1.402270,1.633870,1.396090,1.615400,1.615400,117213
2017-11-29,1.629680,1.735860,1.087250,1.101990,1.101990,90903
2017-11-30,1.116800,1.630160,1.111670,1.354850,1.354850,23448
2017-12-01,1.349430,1.649580,1.255550,1.460350,1.460350,97184
2017-12-02,1.459680,1.636660,1.458460,1.621410,1.621410,25697
2017-12-03,1.622230,1.648440,1.432140,1.545900,1.545900,37540
2017-12-04,1.550120,1.592000,1.150960,1.157240,1.157240,95589
2017-12-05,1.158590,1.679370,1.158590,1.584400,1.584400,62904
2017-12-06,1.584380,1.811540,1.570440,1.753070,1.753070,216482
2017-12-07,1.748660,2.073620,1.641870,1.895880,1.895880,199030
2017-12-08,1.784690,1.839730,1.506060,1.780160,1.780160,87177
2017-12-09,1.778250,1.909410,1.589920,1.876190,1.876190,68996
2017-12-10,1.882930,1.933840,1.612340,1.757430,1.757430,83090
2017-12-11,1.751650,2.046140,1.685650,1.976080,1.976080,76912
2017-12-12,1.970400,2.353130,1.895400,2.109500,2.109500,162836
2017-12-13,2.110970,2.306200,1.864790,2.027140,2.027140,60799
2017-12-14,2.023560,2.125230,1.922190,2.023830,2.023830,35517
2017-12-15,2.026380,2.698320,1.904190,2.398630,2.398630,130752
2017-12-16,2.402310,3.262490,2.367620,2.600180,2.600180,209230
2017-12-17,2.602810,3.240910,2.253250,2.833690,2.833690,219214
2017-12-18,2.826240,3.541570,1.547360,2.159080,2.159080,206304992
2017-12-19,2.141370,2.442490,2.044610,2.137320,2.137320,52223100
2017-12-20,2.136810,2.209680,1.877030,2.162770,2.162770,46317300
2017-12-21,2.159450,2.985080,2.139940,2.910190,2.910190,86107904
2017-12-22,2.941250,3.131170,1.974810,2.728640,2.728640,55008500
2017-12-23,2.748350,4.385100,2.748350,4.062860,4.062860,96608400
2017-12-24,4.124240,4.337010,3.246370,4.337010,4.337010,51895300
2017-12-25,4.396590,7.098000,4.396590,6.913450,6.913450,200710000
2017-12-26,6.990780,7.337490,4.972620,6.179460,6.179460,217604992
2017-12-27,6.278250,6.278250,4.828290,5.188270,5.188270,124386000
2017-12-28,5.127600,6.044620,4.435730,5.794710,5.794710,143200992
2017-12-29,5.837150,6.036300,5.199500,5.512260,5.512260,72316600
2017-12-30,5.526350,5.526350,4.773230,5.203850,5.203850,65365800
2017-12-31,5.180140,5.505380,5.022370,5.353530,5.353530,62230900
2018-01-01,5.353370,6.431440,4.976930,6.156990,6.156990,103225000
2018-01-02,6.177080,7.111110,5.678370,6.491230,6.491230,159428992
2018-01-03,6.481120,7.413270,6.250850,7.343070,7.343070,147000000
2018-01-04,7.400570,8.079730,6.776070,7.240420,7.240420,160103008
2018-01-05,7.305010,7.885740,6.366220,6.841410,6.841410,161902000
2018-01-06,6.888150,7.935640,6.763120,7.761810,7.761810,149783008
2018-01-07,7.785880,10.501300,7.756190,9.918050,9.918050,283777984
2018-01-08,9.855590,11.277500,8.870210,10.413100,10.413100,227863008
2018-01-09,10.377100,12.638700,10.344400,12.188400,12.188400,259024000
2018-01-10,12.271600,12.328900,10.309900,11.043600,11.043600,151608992
2018-01-11,11.066200,11.677600,7.756000,9.198300,9.198300,200895008
2018-01-12,9.196290,10.349500,8.656710,9.962190,9.962190,114801000
2018-01-13,9.920210,10.418500,9.414290,9.924790,9.924790,107243000
2018-01-14,9.913400,10.833200,9.470850,10.588500,10.588500,106777000
2018-01-15,10.607700,10.783300,9.486620,9.874020,9.874020,95147400
2018-01-16,9.893340,9.908010,5.818790,7.510470,7.510470,113491000
2018-01-17,7.450470,8.121190,4.992320,7.469420,7.469420,106760000
2018-01-18,7.504030,8.701620,6.949320,7.932690,7.932690,91459000
2018-01-19,7.855520,8.774970,7.379410,8.430110,8.430110,77194800
2018-01-20,8.535180,10.676000,8.535180,10.331100,10.331100,118950000
2018-01-21,10.287600,10.329500,8.375610,8.882000,8.882000,79298200
2018-01-22,9.019100,9.304890,7.375630,8.157720,8.157720,85710096
2018-01-23,8.123260,8.732820,7.184630,8.115900,8.115900,87696600
2018-01-24,8.103150,9.298830,7.509900,8.336320,8.336320,184779008
2018-01-25,8.376320,8.731150,7.650690,7.840040,7.840040,84307600
2018-01-26,7.820470,8.099480,6.944480,7.941130,7.941130,65230500
2018-01-27,7.925850,8.065610,7.669370,7.863710,7.863710,42756600
2018-01-28,7.939440,9.630690,7.912360,9.411430,9.411430,154715008
2018-01-29,9.426460,9.626540,8.621140,9.467650,9.467650,120820000
2018-01-30,9.516930,10.075900,7.943000,8.268830,8.268830,205956992
2018-01-31,8.265030,8.820550,7.154010,7.684300,7.684300,178996992
2018-02-01,7.719150,7.751400,5.432210,6.092890,6.092890,128136000
