Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.036520,0.036965,0.033253,0.035907,0.035907,197215
2020-05-08,0.035907,0.036543,0.033895,0.034964,0.034964,138040
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.034957,0.035428,0.032614,0.034436,0.034436,142200
2020-05-17,0.034444,0.035471,0.034189,0.034863,0.034863,214110
2020-05-18,0.034867,0.035541,0.034164,0.034737,0.034737,207913
2020-05-19,0.034886,0.034886,0.033013,0.033934,0.033934,179510
2020-05-20,0.033933,0.034563,0.033224,0.033920,0.033920,144535
2020-05-21,0.033699,0.033942,0.030860,0.031849,0.031849,203718
2020-05-22,0.031888,0.033596,0.031245,0.033204,0.033204,154455
2020-05-23,0.033215,0.033884,0.031916,0.032567,0.032567,157300
2020-05-24,0.032673,0.033478,0.030601,0.030601,0.030601,123823
2020-05-25,0.030564,0.032254,0.030398,0.032021,0.032021,189412
2020-05-26,0.032014,0.032166,0.030857,0.031208,0.031208,176194
2020-05-27,0.031208,0.032468,0.031037,0.032468,0.032468,166581
2020-05-28,0.032480,0.032480,0.030836,0.032050,0.032050,164517
2020-05-29,0.031844,0.032899,0.030920,0.032307,0.032307,124096
2020-05-30,0.032284,0.033112,0.030300,0.032386,0.032386,143515
2020-05-31,0.032414,0.032768,0.031113,0.032024,0.032024,145157
2020-06-01,0.031954,0.033059,0.030903,0.032796,0.032796,159331
2020-06-02,0.032905,0.033595,0.029332,0.031069,0.031069,207273
2020-06-03,0.031069,0.031740,0.029926,0.030766,0.030766,193701
2020-06-04,0.030810,0.031970,0.024212,0.028030,0.028030,193336
2020-06-05,0.028030,0.029976,0.027009,0.028766,0.028766,167402
2020-06-06,0.028766,0.029938,0.028253,0.029206,0.029206,139237
2020-06-07,0.029206,0.030033,0.028514,0.030002,0.030002,251011
2020-06-08,0.030050,0.030214,0.028903,0.029225,0.029225,180974
2020-06-09,0.029183,0.029302,0.027628,0.028736,0.028736,180767
2020-06-10,0.028744,0.029021,0.026908,0.028604,0.028604,148446
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.027590,0.028402,0.026643,0.028076,0.028076,150031
2020-06-15,0.028076,0.028362,0.026790,0.027952,0.027952,179168
2020-06-16,0.027759,0.028334,0.027321,0.028011,0.028011,177941
2020-06-17,0.028011,0.028263,0.026354,0.027711,0.027711,278811
2020-06-18,0.027764,0.027933,0.026772,0.027642,0.027642,253136
2020-06-19,0.027562,0.027714,0.026340,0.026798,0.026798,257590
2020-06-20,null,null,null,null,null,null
2020-06-21,0.027279,0.027468,0.025073,0.026494,0.026494,217543
2020-06-22,null,null,null,null,null,null
2020-06-23,0.026927,0.027458,0.026017,0.027361,0.027361,333502
2020-06-24,0.027418,0.027720,0.023867,0.026006,0.026006,395638
2020-06-25,0.026599,0.027341,0.024243,0.026611,0.026611,416418
2020-06-26,0.026741,0.026973,0.023911,0.026195,0.026195,435113
2020-06-27,null,null,null,null,null,null
2020-06-28,0.026903,0.029549,0.025640,0.027477,0.027477,417857
2020-06-29,0.027406,0.028793,0.026446,0.027442,0.027442,429716
2020-06-30,0.027396,0.027805,0.025220,0.025287,0.025287,428780
2020-07-01,0.025167,0.031975,0.025087,0.029252,0.029252,277867
2020-07-02,0.029450,0.029479,0.025989,0.027846,0.027846,512115
2020-07-03,0.027880,0.028243,0.027032,0.027749,0.027749,435479
2020-07-04,0.027815,0.028382,0.026073,0.026852,0.026852,465878
2020-07-05,0.026889,0.027349,0.026512,0.027023,0.027023,486524
2020-07-06,0.027022,0.027703,0.026774,0.027555,0.027555,556292
2020-07-07,0.027468,0.027963,0.026817,0.027676,0.027676,554388
2020-07-08,0.027692,0.028365,0.026041,0.028241,0.028241,542319
2020-07-09,0.028246,0.038381,0.027698,0.031076,0.031076,673223
2020-07-10,0.031040,0.031505,0.029074,0.030245,0.030245,630703
2020-07-11,0.029995,0.031055,0.028364,0.030399,0.030399,578343
2020-07-12,0.030336,0.045010,0.029516,0.030055,0.030055,585642
2020-07-13,0.030055,0.030560,0.028113,0.029540,0.029540,590194
2020-07-14,0.029540,0.030999,0.028934,0.030102,0.030102,700729
2020-07-15,0.030251,0.030850,0.028938,0.029867,0.029867,737627
2020-07-16,0.030033,0.030406,0.028354,0.029384,0.029384,671585
2020-07-17,0.029266,0.029854,0.028666,0.029368,0.029368,655335
2020-07-18,0.029452,0.029627,0.028075,0.028970,0.028970,633204
2020-07-19,0.028953,0.029970,0.026433,0.028012,0.028012,631971
2020-07-20,0.028429,0.029044,0.026557,0.028749,0.028749,653107
2020-07-21,0.028728,0.029009,0.027714,0.028811,0.028811,637940
2020-07-22,0.028796,0.029053,0.027552,0.028492,0.028492,620415
2020-07-23,0.028492,0.028943,0.027342,0.028221,0.028221,644224
2020-07-24,0.028220,0.028457,0.027270,0.027785,0.027785,690839
2020-07-25,0.027770,0.028218,0.027424,0.028174,0.028174,704016
2020-07-26,0.028093,0.028435,0.027111,0.027529,0.027529,691290
2020-07-27,0.027528,0.030185,0.027259,0.029621,0.029621,731668
