Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.017093,0.017764,0.015888,0.016009,0.016009,28230
2014-09-18,0.015993,0.017408,0.013467,0.015316,0.015316,4512
2014-09-19,0.015303,0.015508,0.013089,0.014201,0.014201,2916
2014-09-20,0.014197,0.014933,0.012843,0.012843,0.012843,2598
2014-09-21,0.012817,0.014757,0.012817,0.013691,0.013691,2357
2014-09-22,0.013700,0.015721,0.013311,0.014575,0.014575,3375
2014-09-23,0.014573,0.015883,0.012831,0.015073,0.015073,1502
2014-09-24,0.015072,0.016489,0.014715,0.015293,0.015293,1238
2014-09-25,0.015291,0.015650,0.013765,0.014275,0.014275,423
2014-09-26,0.014270,0.015425,0.013753,0.015364,0.015364,4523
2014-09-27,0.015330,0.017074,0.015004,0.016304,0.016304,25943
2014-09-28,0.016423,0.016897,0.014719,0.014896,0.014896,5309
2014-09-29,0.014886,0.015107,0.012070,0.013747,0.013747,7423
2014-09-30,0.013770,0.014016,0.013066,0.013930,0.013930,2073
2014-10-01,0.013947,0.014053,0.012524,0.013773,0.013773,1881
2014-10-02,0.013820,0.014163,0.013094,0.014022,0.014022,1521
2014-10-03,0.014277,0.015074,0.011777,0.012320,0.012320,3184
2014-10-04,0.012334,0.013236,0.010860,0.011037,0.011037,2494
2014-10-05,0.011039,0.011106,0.006324,0.009421,0.009421,8102
2014-10-06,0.009418,0.010653,0.008946,0.010047,0.010047,725
2014-10-07,0.010163,0.010475,0.007501,0.007787,0.007787,2076
2014-10-08,0.007787,0.008699,0.005128,0.007069,0.007069,4328
2014-10-09,0.007065,0.007974,0.005701,0.007418,0.007418,1506
2014-10-10,0.007411,0.010598,0.007179,0.007574,0.007574,1831
2014-10-11,0.007570,0.007884,0.007216,0.007844,0.007844,644
2014-10-12,0.007850,0.007885,0.005623,0.007315,0.007315,1467
2014-10-13,0.007303,0.007418,0.006150,0.007313,0.007313,505
2014-10-14,0.007337,0.007976,0.005461,0.005661,0.005661,2357
2014-10-15,0.005662,0.006475,0.005278,0.005874,0.005874,1167
2014-10-16,0.005870,0.005936,0.004653,0.005886,0.005886,2413
2014-10-17,0.005163,0.005475,0.003832,0.004682,0.004682,1348
2014-10-18,0.004685,0.005218,0.003588,0.003759,0.003759,661
2014-10-19,0.003758,0.005484,0.003723,0.005261,0.005261,1198
2014-10-20,0.005257,0.006490,0.004140,0.004641,0.004641,607
2014-10-21,0.004636,0.005137,0.003911,0.004572,0.004572,301
2014-10-22,0.004568,0.004941,0.003254,0.004100,0.004100,2048
2014-10-23,0.004098,0.004114,0.003444,0.003616,0.003616,633
2014-10-24,0.003618,0.004099,0.003450,0.003858,0.003858,555
2014-10-25,0.003860,0.004073,0.003267,0.003496,0.003496,310
2014-10-26,0.003498,0.005403,0.003489,0.004033,0.004033,514
2014-10-27,0.004033,0.005668,0.003540,0.005195,0.005195,1450
2014-10-28,0.004690,0.006431,0.004640,0.005691,0.005691,493
2014-10-29,0.005207,0.006491,0.003602,0.004050,0.004050,1773
2014-10-30,0.004051,0.004690,0.003647,0.003913,0.003913,142
2014-10-31,0.003910,0.006258,0.003644,0.004403,0.004403,2039
2014-11-01,0.004407,0.006229,0.004217,0.006006,0.006006,954
2014-11-02,0.005304,0.005859,0.003475,0.003668,0.003668,1449
2014-11-03,0.003665,0.004168,0.003436,0.003443,0.003443,636
2014-11-04,0.003439,0.003798,0.003018,0.003252,0.003252,1108
2014-11-05,0.003254,0.003933,0.003254,0.003828,0.003828,411
2014-11-06,0.003828,0.003987,0.003636,0.003641,0.003641,105
2014-11-07,0.003355,0.003696,0.003333,0.003471,0.003471,221
2014-11-08,0.003468,0.003888,0.003149,0.003878,0.003878,261
2014-11-09,0.003877,0.003879,0.003507,0.003669,0.003669,93
2014-11-10,0.003641,0.004246,0.003579,0.004039,0.004039,678
2014-11-11,0.004027,0.005648,0.004027,0.004787,0.004787,1141
2014-11-12,0.004791,0.006284,0.004703,0.004791,0.004791,861
