Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.002693,0.002697,0.002581,0.002655,0.002655,1537554
2020-05-08,0.002635,0.002726,0.002602,0.002694,0.002694,1504156
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.002721,0.002930,0.002685,0.002912,0.002912,1394726
2020-05-17,0.002913,0.002965,0.002847,0.002859,0.002859,1243219
2020-05-18,0.002858,0.002952,0.002710,0.002825,0.002825,1718435
2020-05-19,0.002825,0.003196,0.002775,0.003160,0.003160,2164881
2020-05-20,0.003162,0.003208,0.002958,0.003005,0.003005,1557209
2020-05-21,0.003004,0.004144,0.002993,0.003803,0.003803,7092268
2020-05-22,0.003820,0.004063,0.003388,0.003439,0.003439,4849538
2020-05-23,0.003437,0.004386,0.003433,0.004200,0.004200,5763969
2020-05-24,0.004176,0.007224,0.004155,0.005977,0.005977,24568386
2020-05-25,0.005949,0.007547,0.005519,0.005959,0.005959,25538274
2020-05-26,0.005955,0.005955,0.005124,0.005253,0.005253,11171528
2020-05-27,0.005253,0.005412,0.004717,0.004898,0.004898,9139673
2020-05-28,0.004937,0.006262,0.004903,0.005828,0.005828,14346827
2020-05-29,0.005898,0.006481,0.005480,0.006136,0.006136,11427097
2020-05-30,0.006153,0.006445,0.005762,0.005922,0.005922,8801968
2020-05-31,0.005924,0.006358,0.004865,0.004929,0.004929,8839902
2020-06-01,0.004925,0.005414,0.004784,0.004985,0.004985,10867530
2020-06-02,0.005012,0.005152,0.004794,0.004823,0.004823,8408172
2020-06-03,0.004823,0.004867,0.004506,0.004604,0.004604,3678517
2020-06-04,0.004640,0.004700,0.004511,0.004679,0.004679,3397790
2020-06-05,0.004679,0.004718,0.004562,0.004672,0.004672,2416581
2020-06-06,0.004672,0.005391,0.004574,0.005329,0.005329,6034572
2020-06-07,0.005329,0.005723,0.004973,0.005616,0.005616,5481034
2020-06-08,0.005640,0.005859,0.005280,0.005388,0.005388,4832624
2020-06-09,0.005390,0.005403,0.005129,0.005167,0.005167,3565922
2020-06-10,0.005168,0.005282,0.005115,0.005155,0.005155,2935932
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.005270,0.005325,0.004920,0.005039,0.005039,5117782
2020-06-15,0.005039,0.005047,0.004485,0.004904,0.004904,3610820
2020-06-16,0.004924,0.005708,0.004885,0.005532,0.005532,5752959
2020-06-17,0.005534,0.005657,0.005172,0.005375,0.005375,5811022
2020-06-18,0.005375,0.005610,0.005294,0.005416,0.005416,5096583
2020-06-19,0.005423,0.005498,0.005244,0.005411,0.005411,4474021
2020-06-20,null,null,null,null,null,null
2020-06-21,0.005286,0.005452,0.005173,0.005190,0.005190,4804190
2020-06-22,null,null,null,null,null,null
2020-06-23,0.005183,0.005385,0.005108,0.005355,0.005355,2708939
2020-06-24,0.005356,0.005431,0.005016,0.005122,0.005122,3511614
2020-06-25,0.005124,0.005159,0.004751,0.004774,0.004774,3319863
2020-06-26,0.004790,0.004853,0.004603,0.004620,0.004620,2741537
2020-06-27,null,null,null,null,null,null
2020-06-28,0.004654,0.004886,0.004531,0.004593,0.004593,3314687
2020-06-29,0.004593,0.004916,0.004536,0.004834,0.004834,3676506
2020-06-30,0.004831,0.005005,0.004784,0.004874,0.004874,3653030
2020-07-01,0.004865,0.004911,0.004728,0.004814,0.004814,3092687
2020-07-02,0.004816,0.005206,0.004815,0.005184,0.005184,5400172
2020-07-03,0.005176,0.005868,0.005169,0.005807,0.005807,7530901
2020-07-04,0.005817,0.005962,0.005541,0.005799,0.005799,5657137
2020-07-05,0.005798,0.005909,0.005261,0.005375,0.005375,4705279
2020-07-06,0.005375,0.006231,0.005370,0.006067,0.006067,6953378
2020-07-07,0.006059,0.006120,0.005813,0.005828,0.005828,4175248
2020-07-08,0.005829,0.006002,0.005742,0.005812,0.005812,4361734
2020-07-09,0.005812,0.005962,0.005587,0.005689,0.005689,4037586
2020-07-10,0.005679,0.006396,0.005600,0.006221,0.006221,5674907
2020-07-11,0.006216,0.006511,0.006083,0.006177,0.006177,4812856
2020-07-12,0.006179,0.007001,0.006137,0.006918,0.006918,7464875
2020-07-13,0.006918,0.007126,0.006277,0.006369,0.006369,6686396
2020-07-14,0.006357,0.006437,0.006275,0.006407,0.006407,3101382
2020-07-15,0.006389,0.006722,0.006276,0.006375,0.006375,3853243
2020-07-16,0.006374,0.006398,0.005912,0.006184,0.006184,4154203
2020-07-17,0.006184,0.006516,0.006069,0.006401,0.006401,3820601
2020-07-18,0.006401,0.006428,0.006237,0.006281,0.006281,2475328
2020-07-19,0.006280,0.006434,0.006150,0.006395,0.006395,2899056
2020-07-20,0.006376,0.006661,0.006316,0.006359,0.006359,3450067
2020-07-21,0.006356,0.006488,0.006206,0.006436,0.006436,3031736
2020-07-22,0.006437,0.007149,0.006399,0.006782,0.006782,5834253
2020-07-23,0.006783,0.007613,0.006772,0.007613,0.007613,6489869
2020-07-24,0.007613,0.008616,0.007486,0.008191,0.008191,9428187
2020-07-25,0.008192,0.008437,0.007561,0.007726,0.007726,5126556
2020-07-26,0.007744,0.008048,0.007173,0.007339,0.007339,5994923
2020-07-27,0.007332,0.007488,0.006359,0.006428,0.006428,6111015
2020-07-28,0.006427,0.006991,0.006326,0.006937,0.006937,3835297
2020-07-29,0.006916,0.007572,0.006671,0.007391,0.007391,6483134
2020-07-30,0.007379,0.007490,0.006871,0.007361,0.007361,6671151
2020-07-31,0.007362,0.007463,0.006949,0.007086,0.007086,3281039
2020-08-01,0.007086,0.007341,0.006888,0.007191,0.007191,3532592
2020-08-02,0.007169,0.007222,0.006478,0.006615,0.006615,3869067
2020-08-03,0.006641,0.006806,0.006511,0.006658,0.006658,3033450
