Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.128383,0.149523,0.126881,0.141001,0.141001,1041
2020-05-08,0.141001,0.153195,0.133659,0.138713,0.138713,8891
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.124968,0.131052,0.121991,0.129310,0.129310,2040085
2020-05-17,0.129347,0.136719,0.127267,0.134444,0.134444,1890510
2020-05-18,0.134438,0.141716,0.132438,0.137083,0.137083,2508134
2020-05-19,0.136933,0.142966,0.134303,0.135817,0.135817,1613301
2020-05-20,0.135474,0.138242,0.120605,0.126734,0.126734,363750
2020-05-21,0.133430,0.143413,0.123064,0.128372,0.128372,900552
2020-05-22,0.128356,0.133713,0.123344,0.123389,0.123389,798851
2020-05-23,0.124032,0.142286,0.120507,0.138480,0.138480,578181
2020-05-24,0.137083,0.139706,0.124854,0.129420,0.129420,695148
2020-05-25,0.129046,0.131874,0.118344,0.130635,0.130635,552590
2020-05-26,0.125645,0.131156,0.115938,0.117555,0.117555,570710
2020-05-27,0.117555,0.128042,0.117113,0.121335,0.121335,601822
2020-05-28,0.122818,0.127029,0.120738,0.125084,0.125084,550880
2020-05-29,0.125152,0.127613,0.107212,0.122831,0.122831,695418
2020-05-30,0.118849,0.131196,0.116162,0.131196,0.131196,558806
2020-05-31,0.124509,0.182062,0.109266,0.150767,0.150767,616272
2020-06-01,0.149984,0.166456,0.077553,0.133413,0.133413,608623
2020-06-02,0.133598,0.134524,0.103162,0.112813,0.112813,451162
2020-06-03,0.112813,0.124492,0.102356,0.112164,0.112164,372657
2020-06-04,0.111943,0.127513,0.105506,0.116458,0.116458,480731
2020-06-05,0.116458,0.120399,0.102508,0.112976,0.112976,460207
2020-06-06,0.112778,0.144042,0.101358,0.118469,0.118469,425471
2020-06-07,0.118469,0.130183,0.096464,0.110652,0.110652,418766
2020-06-08,0.111449,0.115419,0.077140,0.114398,0.114398,1155243
2020-06-09,0.114317,0.128526,0.089197,0.115493,0.115493,913374
