Date,Open,High,Low,Close,Adj Close,Volume
2017-02-05,0.115808,0.115808,0.110987,0.110987,0.110987,22486
2017-02-06,0.111102,0.303831,0.106750,0.159718,0.159718,236727
2017-02-07,0.160024,0.168512,0.138552,0.149072,0.149072,141788
2017-02-08,0.149208,0.154604,0.117504,0.141392,0.141392,62766
2017-02-09,0.141617,0.146053,0.103877,0.120351,0.120351,56820
2017-02-10,0.120496,0.129979,0.109228,0.109228,0.109228,75267
2017-02-11,0.109282,0.124497,0.107970,0.116169,0.116169,43869
2017-02-12,0.115760,0.127638,0.108048,0.116802,0.116802,38080
2017-02-13,0.116774,0.132515,0.113307,0.127777,0.127777,165505
2017-02-14,0.125567,0.132630,0.119899,0.119972,0.119972,102272
2017-02-15,0.120372,0.128852,0.116729,0.118915,0.118915,56768
2017-02-16,0.118938,0.125242,0.115519,0.119300,0.119300,53164
2017-02-17,0.119529,0.125871,0.110942,0.111069,0.111069,69614
2017-02-18,0.111381,0.127584,0.100206,0.115351,0.115351,84479
2017-02-19,0.115388,0.122983,0.113382,0.118835,0.118835,46355
2017-02-20,0.118928,0.123641,0.113693,0.116306,0.116306,34053
2017-02-21,0.116231,0.116548,0.103043,0.103864,0.103864,107788
2017-02-22,0.103817,0.107424,0.102650,0.104522,0.104522,20111
2017-02-23,0.104506,0.140865,0.104460,0.112626,0.112626,144899
2017-02-24,0.113204,0.117189,0.099903,0.110815,0.110815,50325
2017-02-25,0.110506,0.113739,0.102606,0.109108,0.109108,15702
2017-02-26,0.109149,0.113110,0.104130,0.104956,0.104956,8765
2017-02-27,0.104828,0.111587,0.100317,0.105117,0.105117,13808
2017-02-28,0.105184,0.117970,0.092063,0.096978,0.096978,63644
2017-03-01,0.096983,0.118303,0.088506,0.097098,0.097098,101609
2017-03-02,0.097271,0.103857,0.095334,0.096873,0.096873,57553
2017-03-03,0.096849,0.096873,0.082116,0.087649,0.087649,65175
2017-03-04,0.087817,0.090263,0.079569,0.088057,0.088057,24346
2017-03-05,0.087996,0.093387,0.082546,0.091104,0.091104,20605
2017-03-06,0.091129,0.103550,0.090374,0.102734,0.102734,23278
2017-03-07,0.101210,0.101252,0.085423,0.087010,0.087010,32391
2017-03-08,0.086988,0.094997,0.081489,0.081625,0.081625,18934
2017-03-09,0.081650,0.091245,0.081007,0.087262,0.087262,14565
2017-03-10,0.085091,0.092129,0.074276,0.078340,0.078340,46427
2017-03-11,0.078313,0.087393,0.078313,0.082440,0.082440,26417
2017-03-12,0.082496,0.088975,0.081621,0.085742,0.085742,62661
2017-03-13,0.085770,0.095213,0.002143,0.037067,0.037067,564
2017-03-14,0.037067,0.083945,0.009245,0.009309,0.009309,9521
2017-03-15,0.009311,0.068433,0.009311,0.061446,0.061446,14990
2017-03-16,0.061530,0.103079,0.060900,0.098379,0.098379,38713
2017-03-17,0.097746,0.107186,0.089613,0.099146,0.099146,23989
2017-03-18,0.099097,0.100659,0.079644,0.085611,0.085611,22237
2017-03-19,0.085867,0.092564,0.080318,0.081371,0.081371,22686
2017-03-20,0.080891,0.096622,0.076195,0.087977,0.087977,67626
2017-03-21,0.088461,0.091561,0.085491,0.089962,0.089962,47751
2017-03-22,0.089971,0.096490,0.084477,0.088610,0.088610,40015
2017-03-23,0.088686,0.094535,0.086522,0.093382,0.093382,27133
2017-03-24,0.093056,0.107424,0.086217,0.086811,0.086811,30822
2017-03-25,0.086716,0.092034,0.083882,0.091752,0.091752,16036
2017-03-26,0.091869,0.114249,0.088247,0.106602,0.106602,46156
2017-03-27,0.107190,0.148904,0.093395,0.133740,0.133740,182978
2017-03-28,0.137595,0.186378,0.125669,0.171518,0.171518,387683
2017-03-29,0.186835,0.186835,0.142356,0.150957,0.150957,223124
2017-03-30,0.151283,0.183874,0.149252,0.157240,0.157240,211277
2017-03-31,0.157272,0.183348,0.157272,0.172230,0.172230,78458
2017-04-01,0.172228,0.203202,0.171680,0.183477,0.183477,83611
2017-04-02,0.186261,0.196957,0.171556,0.177399,0.177399,156261
2017-04-03,0.177514,0.199411,0.169403,0.182041,0.182041,124592
2017-04-04,0.182077,0.196742,0.173832,0.179850,0.179850,96429
2017-04-05,0.179991,0.194787,0.173791,0.192497,0.192497,106060
2017-04-06,0.192630,0.198273,0.160638,0.170597,0.170597,169258
2017-04-07,0.165742,0.192696,0.165599,0.174317,0.174317,40259
2017-04-08,0.172669,0.177084,0.148764,0.167815,0.167815,72567
2017-04-09,0.167898,0.183065,0.161742,0.170422,0.170422,26385
2017-04-10,0.169845,0.169845,0.157927,0.162459,0.162459,36247
2017-04-11,0.162505,0.167444,0.150694,0.158095,0.158095,50893
2017-04-12,0.158069,0.158127,0.129510,0.153767,0.153767,117215
2017-04-13,0.153833,0.162497,0.117140,0.138843,0.138843,97846
