Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,5.725205,6.091191,5.541537,5.959300,5.959300,2720434
2020-05-08,5.959300,6.204491,5.753774,5.869349,5.869349,2991713
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,6.905979,7.378110,6.832652,7.158095,7.158095,2514445
2020-05-17,7.160823,7.394869,6.778791,6.878435,6.878435,2289560
2020-05-18,6.905121,7.306597,5.900402,5.934020,5.934020,2321645
2020-05-19,5.932859,6.790179,5.147138,6.404916,6.404916,3352348
2020-05-20,6.256448,6.439543,5.152559,5.732367,5.732367,2148295
2020-05-21,5.712282,6.135876,5.420058,5.865527,5.865527,2244156
2020-05-22,5.857341,6.233935,5.587185,5.906267,5.906267,1960370
2020-05-23,5.914053,6.770374,5.656744,6.727673,6.727673,2362121
2020-05-24,6.733499,7.050337,5.969407,6.599900,6.599900,2513454
2020-05-25,6.597470,6.991612,6.181839,6.290160,6.290160,2221010
2020-05-26,6.261901,6.435806,5.995820,6.165306,6.165306,2304622
2020-05-27,6.165306,6.369713,5.942615,6.004292,6.004292,2198556
2020-05-28,6.013174,6.224868,5.814717,6.156153,6.156153,2124611
2020-05-29,6.171723,6.488381,6.041826,6.294230,6.294230,2326887
2020-05-30,6.293946,7.026385,6.178756,6.974739,6.974739,3067453
2020-05-31,6.975062,7.038978,6.641494,6.939219,6.939219,3055512
2020-06-01,6.921423,7.166252,6.739832,6.878287,6.878287,3793433
2020-06-02,6.877513,7.139803,6.610874,6.698242,6.698242,3398305
2020-06-03,6.698242,6.871993,6.444037,6.548697,6.548697,2562749
2020-06-04,6.555276,6.810575,6.463593,6.677424,6.677424,2789145
2020-06-05,6.677424,6.700834,5.835184,5.993050,5.993050,3000505
2020-06-06,6.006033,6.258072,5.727632,6.094238,6.094238,2586190
2020-06-07,6.094238,6.094238,5.216267,5.535090,5.535090,2789263
2020-06-08,5.535210,5.859722,5.471595,5.795561,5.795561,2399043
2020-06-09,5.802561,6.018817,5.507237,5.959259,5.959259,2847387
2020-06-10,5.963298,5.995235,5.705737,5.875065,5.875065,2556232
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,5.486866,5.657425,5.219615,5.402582,5.402582,1859947
2020-06-15,5.402582,5.518790,5.191790,5.293030,5.293030,2465942
2020-06-16,5.294230,5.655410,5.273563,5.550384,5.550384,2137123
2020-06-17,5.550693,5.613439,5.333714,5.433317,5.433317,2004208
2020-06-18,5.436233,5.607594,5.234719,5.505275,5.505275,2181860
2020-06-19,5.494655,5.536983,5.176688,5.421648,5.421648,2023700
2020-06-20,null,null,null,null,null,null
2020-06-21,5.458833,5.638743,5.159127,5.621585,5.621585,2033975
2020-06-22,null,null,null,null,null,null
2020-06-23,5.809134,5.906826,5.739763,5.868271,5.868271,2083141
2020-06-24,5.874145,5.933582,5.417243,5.565112,5.565112,2031785
2020-06-25,5.579614,5.685430,5.379279,5.551751,5.551751,1881826
2020-06-26,5.529653,5.773844,5.296072,5.415717,5.415717,1877727
2020-06-27,null,null,null,null,null,null
2020-06-28,5.508497,6.004024,5.434402,5.970325,5.970325,2288899
2020-06-29,5.965330,6.263038,5.795898,6.221138,6.221138,2623673
2020-06-30,6.212540,6.710667,5.956540,6.596629,6.596629,2766033
2020-07-01,6.642420,7.622561,6.583968,7.439878,7.439878,3739160
2020-07-02,7.468826,7.630264,6.879986,7.508670,7.508670,3059132
2020-07-03,7.512798,7.947854,7.296540,7.836665,7.836665,2736614
2020-07-04,7.816432,10.488977,6.976440,8.329699,8.329699,3198391
2020-07-05,8.332659,9.281236,8.291804,9.180270,9.180270,3375944
2020-07-06,9.180270,9.353871,8.559373,8.834908,8.834908,3500750
2020-07-07,8.830335,8.926295,8.093307,8.677848,8.677848,3470983
2020-07-08,8.677848,8.931395,7.650080,8.522048,8.522048,3670827
2020-07-09,8.531735,8.850594,6.851798,7.336306,7.336306,3109971
2020-07-10,7.332167,7.891815,6.505702,7.109495,7.109495,2577470
2020-07-11,7.119337,7.689548,6.770670,7.162977,7.162977,2908793
2020-07-12,7.163001,7.362175,6.978493,7.326877,7.326877,2796260
2020-07-13,7.326877,8.205526,7.169263,8.041966,8.041966,3486740
2020-07-14,8.041966,8.074039,7.611479,7.776107,7.776107,2764560
2020-07-15,7.773290,7.896451,7.442658,7.453901,7.453901,2583675
2020-07-16,7.440705,7.534229,6.972251,7.353469,7.353469,2648119
2020-07-17,7.354321,8.290960,7.218853,8.173756,8.173756,2569094
2020-07-18,8.172033,8.403699,7.696655,8.334012,8.334012,3549630
2020-07-19,8.345019,9.582277,8.089572,9.448479,9.448479,4827311
2020-07-20,9.453958,9.785750,9.255675,9.368816,9.368816,2943931
2020-07-21,9.368561,9.368561,8.472324,8.561133,8.561133,2853901
2020-07-22,8.552247,9.980398,8.324905,9.614632,9.614632,3135276
2020-07-23,9.614632,13.530436,9.460267,13.336940,13.336940,8235497
2020-07-24,13.336940,16.143000,11.047801,12.492883,12.492883,11969288
2020-07-25,12.596619,13.319424,11.834429,12.426057,12.426057,5965646
2020-07-26,12.424701,12.653932,11.689602,12.036165,12.036165,4407497
2020-07-27,12.036200,13.378463,10.652183,12.214104,12.214104,6636287
2020-07-28,12.233733,12.564713,11.826151,11.910202,11.910202,6917203
2020-07-29,11.927470,12.126735,11.610734,11.700334,11.700334,5943112
2020-07-30,11.700334,11.700596,10.162028,10.374912,10.374912,5283351
2020-07-31,10.374912,10.445158,9.805990,10.140317,10.140317,5032361
2020-08-01,10.133778,10.529726,9.759938,10.465277,10.465277,6015651
2020-08-02,10.463078,10.519723,9.608971,10.194302,10.194302,6413748
2020-08-03,10.197214,11.298205,10.059530,10.853436,10.853436,6295206
2020-08-04,10.856699,10.856699,9.829582,10.107400,10.107400,6497993
2020-08-05,10.100245,10.600472,10.100245,10.573243,10.573243,6860147
2020-08-06,10.573243,12.870623,10.573243,12.204640,12.204640,11978776
2020-08-07,12.199096,12.390101,11.034616,11.730623,11.730623,8168947
2020-08-08,11.731501,12.472752,11.683240,12.261115,12.261115,8315078
2020-08-09,12.259778,13.874004,12.043036,13.755793,13.755793,10174457
2020-08-10,13.755793,15.943455,13.053952,14.723226,14.723226,14547881
2020-08-11,14.727111,15.394884,12.312972,13.891726,13.891726,12414296
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,13.378477,13.453319,12.629142,12.954411,12.954411,7466244
2020-08-17,12.954411,13.269432,12.297234,12.742277,12.742277,9223927
2020-08-18,12.737880,13.446823,12.628826,12.984798,12.984798,11189637
2020-08-19,12.988496,13.021079,11.707765,12.221921,12.221921,8324164
2020-08-20,12.221921,14.720971,11.918807,14.713737,14.713737,10219917
2020-08-21,14.707351,15.748714,13.295981,14.951648,14.951648,14174410
2020-08-22,14.950848,19.069290,14.409958,18.392479,18.392479,21241566
2020-08-23,18.396067,18.574581,16.690157,17.653250,17.653250,11197390
2020-08-24,17.666306,23.100573,17.296612,22.919079,22.919079,24548410
2020-08-25,22.881189,38.518986,22.345325,36.459408,36.459408,112092736
2020-08-26,36.335480,36.618038,29.878073,31.836325,31.836325,45214286
2020-08-27,31.807240,32.629841,26.265692,26.943636,26.943636,34798250
2020-08-28,26.898979,33.851692,26.818928,32.227039,32.227039,34974365
2020-08-29,32.221832,38.854404,31.467049,34.280273,34.280273,45378534
2020-08-30,34.150776,35.710396,32.193600,34.130459,34.130459,38640481
2020-08-31,34.120815,47.214779,33.113129,46.220413,46.220413,72322526
2020-09-01,46.210373,47.968754,38.149120,41.382156,41.382156,82180217
2020-09-02,41.275772,58.711330,41.030075,57.690388,57.690388,235526552
2020-09-03,57.424492,60.036396,42.344765,44.930500,44.930500,139741864
2020-09-04,44.895351,45.948521,35.207802,42.449684,42.449684,126155803
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,32.310574,33.859550,31.030214,33.384144,33.384144,42076433
2020-09-23,33.376747,36.082813,31.084774,32.751869,32.751869,50999708
2020-09-24,32.751869,37.149048,32.237434,36.547668,36.547668,43242509
2020-09-25,36.621319,37.577396,35.657452,37.013348,37.013348,33018336
2020-09-26,37.019382,37.151310,35.201118,35.929001,35.929001,25990905
2020-09-27,35.929001,36.153145,32.712276,34.349491,34.349491,30311712
2020-09-28,34.349491,36.453526,32.642563,33.942028,33.942028,35919954
2020-09-29,33.927071,35.645626,33.733307,35.623024,35.623024,29473608
2020-09-30,35.615841,35.662067,33.739094,34.035782,34.035782,23984793
2020-10-01,34.000668,35.819309,32.679310,34.050755,34.050755,29979178
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
