Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.288992,0.454741,0.283204,0.426471,0.426471,294387
2020-05-08,0.426863,0.482273,0.361614,0.454534,0.454534,256431
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.363063,0.376386,0.359524,0.368654,0.368654,41328
2020-05-17,0.368713,0.382463,0.367807,0.378534,0.378534,41040
2020-05-18,0.378523,0.392509,0.377738,0.385975,0.385975,37872
2020-05-19,0.385894,0.388309,0.359093,0.375433,0.375433,62077
2020-05-20,0.375571,0.379663,0.350895,0.356415,0.356415,40495
2020-05-21,0.355789,0.361030,0.294546,0.310379,0.310379,108286
2020-05-22,0.310355,0.322862,0.302747,0.320473,0.320473,47092
2020-05-23,0.320501,0.329452,0.320027,0.328733,0.328733,29537
2020-05-24,0.328764,0.337622,0.319991,0.325038,0.325038,29064
2020-05-25,0.324307,0.353379,0.318667,0.351003,0.351003,62006
2020-05-26,0.350980,0.352524,0.338970,0.347199,0.347199,34212
2020-05-27,0.347199,0.364763,0.347143,0.363880,0.363880,28459
2020-05-28,0.363877,0.385082,0.358434,0.385082,0.385082,42467
2020-05-29,0.385178,0.388394,0.375095,0.382022,0.382022,36273
2020-05-30,0.381925,0.395130,0.378022,0.393839,0.393839,51432
2020-05-31,0.393839,0.397080,0.362506,0.367386,0.367386,67154
2020-06-01,0.367346,0.406547,0.366883,0.404539,0.404539,76734
2020-06-02,0.404779,0.419605,0.389863,0.395072,0.395072,67616
2020-06-03,0.395072,0.406353,0.394668,0.406331,0.406331,24272
2020-06-04,0.406459,0.422059,0.402834,0.420098,0.420098,60906
2020-06-05,0.420098,0.429990,0.418700,0.425872,0.425872,49670
2020-06-06,0.425872,0.432477,0.421458,0.430737,0.430737,25163
2020-06-07,0.430737,0.435366,0.418024,0.432808,0.432808,52965
2020-06-08,0.432881,0.445752,0.431319,0.445155,0.445155,56832
2020-06-09,0.444888,0.449701,0.425759,0.442724,0.442724,59037
2020-06-10,0.442756,0.455278,0.436655,0.446952,0.446952,97177
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.437784,0.440594,0.421853,0.425271,0.425271,24529
2020-06-15,0.425271,0.426920,0.392225,0.397904,0.397904,55460
2020-06-16,0.397836,0.406871,0.390488,0.396435,0.396435,23876
