Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.015017,0.016602,0.013028,0.014922,0.014922,187452
2020-05-08,0.014520,0.020960,0.013802,0.015087,0.015087,163383
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.014031,0.015881,0.013198,0.015061,0.015061,135179
2020-05-17,0.014453,0.016175,0.013642,0.015689,0.015689,142054
2020-05-18,0.015440,0.016179,0.013659,0.015176,0.015176,162540
2020-05-19,0.015966,0.034626,0.014014,0.017493,0.017493,228894
2020-05-20,0.017888,0.019426,0.014261,0.018416,0.018416,135009
2020-05-21,0.018619,0.019735,0.012715,0.013818,0.013818,102995
2020-05-22,0.014107,0.016112,0.012826,0.015091,0.015091,99370
2020-05-23,0.014680,0.016358,0.013692,0.015814,0.015814,94559
2020-05-24,0.015872,0.016548,0.013737,0.014294,0.014294,115796
2020-05-25,0.014546,0.016153,0.013549,0.014936,0.014936,127735
2020-05-26,0.015167,0.016819,0.014257,0.015758,0.015758,133172
2020-05-27,0.015758,0.017162,0.015152,0.016966,0.016966,120068
2020-05-28,0.016071,0.017452,0.014838,0.016362,0.016362,108433
2020-05-29,0.016322,0.019090,0.014988,0.016056,0.016056,103778
2020-05-30,0.017150,0.020375,0.015064,0.018861,0.018861,130505
2020-05-31,0.018861,0.020381,0.015085,0.016318,0.016318,113696
2020-06-01,0.016199,0.017693,0.015145,0.016502,0.016502,208342
2020-06-02,0.016284,0.017175,0.014444,0.015510,0.015510,240027
2020-06-03,0.015510,0.017103,0.014574,0.015410,0.015410,229967
2020-06-04,0.015415,0.022360,0.014471,0.017897,0.017897,87746
2020-06-05,0.017897,0.024506,0.015213,0.021566,0.021566,87483
2020-06-06,0.021566,0.027704,0.015056,0.017509,0.017509,116522
2020-06-07,0.017509,0.022597,0.015124,0.021266,0.021266,134702
2020-06-08,0.017948,0.022283,0.015185,0.016235,0.016235,157551
2020-06-09,0.019494,0.025342,0.015130,0.023178,0.023178,124464
2020-06-10,0.022909,0.023051,0.015013,0.017043,0.017043,124024
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.021151,0.025668,0.014610,0.015300,0.015300,66234
2020-06-15,0.015300,0.024079,0.013832,0.019015,0.019015,90643
2020-06-16,0.020518,0.021774,0.013836,0.017704,0.017704,94650
2020-06-17,0.017714,0.022746,0.013987,0.017555,0.017555,114203
2020-06-18,0.017555,0.022197,0.013833,0.014759,0.014759,75301
2020-06-19,0.014264,0.022219,0.014078,0.016583,0.016583,211197
2020-06-20,null,null,null,null,null,null
2020-06-21,0.016205,0.020244,0.014662,0.017051,0.017051,170857
2020-06-22,null,null,null,null,null,null
2020-06-23,0.016365,0.017163,0.015124,0.015313,0.015313,76818
2020-06-24,0.017007,0.017788,0.014901,0.017642,0.017642,266969
2020-06-25,0.017709,0.019756,0.016522,0.016933,0.016933,412280
2020-06-26,0.016791,0.018358,0.016025,0.016402,0.016402,175237
2020-06-27,null,null,null,null,null,null
2020-06-28,0.014707,0.016983,0.014707,0.016126,0.016126,98753
2020-06-29,0.016126,0.017207,0.015053,0.015867,0.015867,104381
2020-06-30,0.015966,0.017405,0.014744,0.016154,0.016154,68487
2020-07-01,0.016619,0.017007,0.015019,0.015583,0.015583,68117
2020-07-02,0.015340,0.017126,0.014585,0.014963,0.014963,70069
2020-07-03,0.015751,0.016999,0.014389,0.016233,0.016233,73304
2020-07-04,0.015388,0.016399,0.014289,0.014362,0.014362,80015
2020-07-05,0.014294,0.016861,0.014215,0.016044,0.016044,77503
2020-07-06,0.016044,0.045761,0.014405,0.016003,0.016003,99876
2020-07-07,0.015433,0.016545,0.014230,0.015372,0.015372,67417
2020-07-08,0.015677,0.016472,0.013287,0.014223,0.014223,169764
2020-07-09,0.014226,0.016387,0.013458,0.015372,0.015372,76241
2020-07-10,0.015439,0.016351,0.013897,0.015325,0.015325,79715
2020-07-11,0.015326,0.016876,0.014246,0.016208,0.016208,81996
2020-07-12,0.016119,0.017040,0.014613,0.016077,0.016077,105316
2020-07-13,0.016077,0.017218,0.015398,0.016165,0.016165,140187
2020-07-14,0.015838,0.016980,0.014396,0.016191,0.016191,60539
2020-07-15,0.015594,0.023864,0.014528,0.021250,0.021250,82654
2020-07-16,0.021247,0.021760,0.014931,0.014931,0.014931,112256
2020-07-17,0.015274,0.016331,0.014611,0.015060,0.015060,66102
2020-07-18,0.015060,0.016156,0.014217,0.015195,0.015195,95797
2020-07-19,0.015064,0.015690,0.014340,0.015178,0.015178,83106
2020-07-20,0.014642,0.015470,0.013898,0.014104,0.014104,110482
2020-07-21,0.014066,0.015084,0.013864,0.014757,0.014757,59573
2020-07-22,0.014527,0.015728,0.014197,0.015641,0.015641,79568
2020-07-23,0.015542,0.016617,0.014342,0.014342,0.014342,79257
2020-07-24,0.014342,0.016862,0.012143,0.013194,0.013194,87680
2020-07-25,0.014769,0.016736,0.012635,0.015341,0.015341,115933
2020-07-26,0.016124,0.016852,0.013229,0.015428,0.015428,104849
2020-07-27,0.013776,0.016490,0.012283,0.012619,0.012619,225196
2020-07-28,0.012618,0.015674,0.012242,0.014435,0.014435,137062
2020-07-29,0.014248,0.015835,0.013342,0.014709,0.014709,105647
