Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,0.647130,0.661855,0.574381,0.586721,0.586721,7588521
2020-05-21,0.579212,0.625510,0.527650,0.545515,0.545515,8856350
2020-05-22,0.547897,0.586492,0.527935,0.577087,0.577087,7254956
2020-05-23,0.577988,0.582316,0.554004,0.560439,0.560439,6898059
2020-05-24,0.558995,0.566397,0.533560,0.536708,0.536708,6976034
2020-05-25,0.537363,0.538568,0.475196,0.524909,0.524909,8057911
2020-05-26,0.523459,0.534090,0.483362,0.487847,0.487847,5815707
2020-05-27,0.487847,0.520773,0.471486,0.491232,0.491232,4825273
2020-05-28,0.491364,0.517991,0.483298,0.509115,0.509115,5735773
2020-05-29,0.502026,0.530110,0.501543,0.516246,0.516246,4359202
2020-05-30,0.518577,0.606782,0.511204,0.577977,0.577977,5303275
2020-05-31,0.572016,0.611815,0.552652,0.560062,0.560062,5197969
2020-06-01,0.561074,0.577853,0.479285,0.513464,0.513464,5548662
2020-06-02,0.514930,0.546912,0.486659,0.513043,0.513043,5760074
2020-06-03,0.513043,0.526406,0.489087,0.496250,0.496250,5082140
2020-06-04,0.497286,0.506297,0.450279,0.466051,0.466051,5512356
2020-06-05,0.466051,0.483217,0.385691,0.429784,0.429784,5141693
2020-06-06,0.432405,0.445155,0.360646,0.378823,0.378823,4746322
2020-06-07,0.378823,0.441306,0.329460,0.379026,0.379026,4761088
2020-06-08,0.367746,0.441641,0.365249,0.425018,0.425018,5288959
2020-06-09,0.417645,0.491164,0.407735,0.452105,0.452105,5265443
2020-06-10,0.452281,0.483800,0.428646,0.435558,0.435558,4482249
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.454872,0.468164,0.437193,0.447709,0.447709,4599223
2020-06-15,0.447783,0.463106,0.412596,0.445458,0.445458,5224285
2020-06-16,0.446449,0.450682,0.401426,0.419050,0.419050,5233197
2020-06-17,0.418958,0.429968,0.395418,0.407821,0.407821,4387030
2020-06-18,0.406264,0.424738,0.391813,0.393202,0.393202,4507323
2020-06-19,0.393137,0.414654,0.377978,0.377978,0.377978,4113098
2020-06-20,null,null,null,null,null,null
2020-06-21,0.381341,0.398527,0.369266,0.377695,0.377695,4101907
2020-06-22,null,null,null,null,null,null
2020-06-23,0.382655,0.421610,0.368050,0.378451,0.378451,4432142
2020-06-24,0.381713,0.395531,0.329044,0.361476,0.361476,1814731
2020-06-25,0.373167,0.381599,0.347351,0.363868,0.363868,1501387
2020-06-26,0.363961,0.370478,0.310461,0.318673,0.318673,1805312
2020-06-27,null,null,null,null,null,null
2020-06-28,0.319278,0.377371,0.285929,0.363139,0.363139,2072953
2020-06-29,0.363139,0.367007,0.284969,0.292896,0.292896,1768776
2020-06-30,0.292723,0.305525,0.256958,0.259266,0.259266,1575366
2020-07-01,0.261129,0.277310,0.257671,0.267754,0.267754,1595020
2020-07-02,0.268417,0.346290,0.263092,0.324486,0.324486,1990620
2020-07-03,0.320945,0.333377,0.296915,0.303677,0.303677,1741242
2020-07-04,0.303716,0.317748,0.279441,0.302818,0.302818,1715800
2020-07-05,0.290993,0.307768,0.281941,0.282223,0.282223,1661836
2020-07-06,0.282150,0.337468,0.280069,0.294980,0.294980,1702749
2020-07-07,0.303562,0.308874,0.246130,0.271814,0.271814,1651381
2020-07-08,0.271814,0.291741,0.249104,0.253530,0.253530,1625643
2020-07-09,0.251586,0.265157,0.236667,0.243534,0.243534,1384007
2020-07-10,0.237724,0.251071,0.234670,0.239208,0.239208,1044939
2020-07-11,0.239208,0.245568,0.209021,0.231655,0.231655,1068867
