Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000058,0.000065,0.000054,0.000060,0.000060,3711
2020-05-08,0.000060,0.000065,0.000053,0.000058,0.000058,4983
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000069,0.000077,0.000061,0.000066,0.000066,5462
2020-05-17,0.000066,0.000077,0.000063,0.000066,0.000066,5368
2020-05-18,0.000066,0.000076,0.000065,0.000068,0.000068,5614
2020-05-19,0.000068,0.000080,0.000065,0.000075,0.000075,6831
2020-05-20,0.000075,0.000078,0.000060,0.000070,0.000070,5690
2020-05-21,0.000070,0.000076,0.000060,0.000065,0.000065,6109
2020-05-22,0.000064,0.000074,0.000060,0.000071,0.000071,5340
2020-05-23,0.000071,0.000075,0.000062,0.000070,0.000070,6246
2020-05-24,0.000072,0.000075,0.000058,0.000070,0.000070,5213
2020-05-25,0.000070,0.000074,0.000064,0.000066,0.000066,5114
2020-05-26,0.000066,0.000070,0.000065,0.000066,0.000066,4521
2020-05-27,0.000066,0.000073,0.000063,0.000070,0.000070,6309
2020-05-28,0.000070,0.000074,0.000065,0.000073,0.000073,6090
2020-05-29,0.000073,0.000076,0.000069,0.000072,0.000072,3902
2020-05-30,0.000072,0.000078,0.000062,0.000066,0.000066,4969
2020-05-31,0.000066,0.000071,0.000065,0.000068,0.000068,3197
2020-06-01,0.000068,0.000072,0.000067,0.000069,0.000069,3509
2020-06-02,0.000069,0.000071,0.000064,0.000065,0.000065,4979
2020-06-03,0.000065,0.000069,0.000051,0.000058,0.000058,4311
2020-06-04,0.000058,0.000061,0.000051,0.000059,0.000059,4485
2020-06-05,0.000059,0.000059,0.000051,0.000054,0.000054,3755
2020-06-06,0.000054,0.000057,0.000051,0.000053,0.000053,3647
2020-06-07,0.000053,0.000053,0.000044,0.000049,0.000049,2151
2020-06-08,0.000049,0.000071,0.000045,0.000062,0.000062,4012
2020-06-09,0.000062,0.000063,0.000049,0.000058,0.000058,2494
2020-06-10,0.000058,0.000073,0.000054,0.000070,0.000070,4879
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.000058,0.000063,0.000054,0.000057,0.000057,4220
2020-06-15,0.000057,0.000060,0.000051,0.000054,0.000054,3662
2020-06-16,0.000054,0.000061,0.000053,0.000056,0.000056,4329
2020-06-17,0.000056,0.000059,0.000053,0.000053,0.000053,3718
2020-06-18,0.000053,0.000061,0.000053,0.000061,0.000061,3991
2020-06-19,0.000061,0.000072,0.000056,0.000056,0.000056,2760
2020-06-20,null,null,null,null,null,null
2020-06-21,0.000056,0.000060,0.000054,0.000054,0.000054,3579
2020-06-22,null,null,null,null,null,null
2020-06-23,0.000057,0.000059,0.000054,0.000057,0.000057,3320
2020-06-24,0.000057,0.000059,0.000054,0.000056,0.000056,3330
2020-06-25,0.000056,0.000057,0.000052,0.000054,0.000054,2611
2020-06-26,0.000054,0.000064,0.000050,0.000059,0.000059,5434
2020-06-27,null,null,null,null,null,null
2020-06-28,0.000054,0.000060,0.000053,0.000055,0.000055,3651
2020-06-29,0.000055,0.000064,0.000047,0.000050,0.000050,2221
2020-06-30,0.000050,0.000053,0.000046,0.000052,0.000052,2863
2020-07-01,0.000053,0.000104,0.000051,0.000083,0.000083,5539
2020-07-02,0.000083,0.000090,0.000042,0.000058,0.000058,4304
2020-07-03,0.000058,0.000064,0.000054,0.000059,0.000059,4317
2020-07-04,0.000059,0.000062,0.000054,0.000062,0.000062,5339
2020-07-05,0.000062,0.000062,0.000054,0.000054,0.000054,3078
2020-07-06,0.000054,0.000058,0.000046,0.000057,0.000057,3223
2020-07-07,0.000057,0.000062,0.000047,0.000055,0.000055,4528
2020-07-08,0.000055,0.000064,0.000053,0.000063,0.000063,5065
2020-07-09,0.000063,0.000063,0.000053,0.000055,0.000055,4295
2020-07-10,0.000055,0.000061,0.000053,0.000057,0.000057,4245
2020-07-11,0.000056,0.000062,0.000053,0.000057,0.000057,4033
2020-07-12,0.000057,0.000060,0.000053,0.000057,0.000057,4474
2020-07-13,0.000057,0.000058,0.000053,0.000055,0.000055,3883
2020-07-14,0.000055,0.000058,0.000053,0.000055,0.000055,4158
2020-07-15,0.000055,0.000058,0.000053,0.000056,0.000056,4092
2020-07-16,0.000056,0.000056,0.000051,0.000054,0.000054,3129
2020-07-17,0.000054,0.000054,0.000047,0.000050,0.000050,2220
2020-07-18,0.000050,0.000051,0.000044,0.000048,0.000048,2822
2020-07-19,0.000048,0.000051,0.000041,0.000048,0.000048,3276
2020-07-20,0.000048,0.000053,0.000041,0.000045,0.000045,3845
2020-07-21,0.000045,0.000054,0.000039,0.000041,0.000041,3586
2020-07-22,0.000041,0.000055,0.000041,0.000055,0.000055,4105
2020-07-23,0.000055,0.000056,0.000049,0.000054,0.000054,4089
2020-07-24,0.000054,0.000061,0.000043,0.000053,0.000053,271
2020-07-25,0.000053,0.000085,0.000053,0.000079,0.000079,1241
2020-07-26,0.000079,0.000079,0.000075,0.000077,0.000077,188
2020-07-27,0.000077,0.000082,0.000063,0.000064,0.000064,688
2020-07-28,0.000064,0.000067,0.000062,0.000066,0.000066,380
2020-07-29,0.000067,0.000081,0.000064,0.000076,0.000076,1416
2020-07-30,0.000076,0.000083,0.000073,0.000080,0.000080,453
2020-07-31,0.000080,0.000086,0.000078,0.000083,0.000083,351
2020-08-01,0.000083,0.000083,0.000072,0.000077,0.000077,745
2020-08-02,0.000077,0.000086,0.000068,0.000078,0.000078,391
2020-08-03,0.000078,0.000095,0.000071,0.000081,0.000081,391
2020-08-04,0.000081,0.000091,0.000078,0.000078,0.000078,333
2020-08-05,0.000078,0.000087,0.000070,0.000080,0.000080,208
2020-08-06,0.000080,0.000080,0.000075,0.000075,0.000075,663
2020-08-07,0.000075,0.000076,0.000055,0.000057,0.000057,272
2020-08-08,0.000057,0.000057,0.000050,0.000055,0.000055,258
2020-08-09,0.000055,0.000059,0.000050,0.000055,0.000055,216
2020-08-10,0.000055,0.000059,0.000047,0.000047,0.000047,137
2020-08-11,0.000048,0.000066,0.000045,0.000049,0.000049,84
2020-08-12,0.000049,0.000058,0.000044,0.000047,0.000047,198
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.000035,0.000039,0.000030,0.000035,0.000035,89
2020-08-17,0.000035,0.000065,0.000030,0.000030,0.000030,601
2020-08-18,0.000030,0.000052,0.000029,0.000034,0.000034,126
2020-08-19,0.000034,0.000062,0.000028,0.000033,0.000033,173
2020-08-20,0.000033,0.000033,0.000032,0.000033,0.000033,447
2020-08-21,0.000033,0.000036,0.000025,0.000027,0.000027,547
2020-08-22,0.000027,0.000035,0.000027,0.000032,0.000032,21
2020-08-23,0.000032,0.000032,0.000023,0.000024,0.000024,105
2020-08-24,0.000024,0.000041,0.000023,0.000033,0.000033,41
2020-08-25,0.000033,0.000033,0.000024,0.000031,0.000031,422
2020-08-26,0.000031,0.000031,0.000027,0.000031,0.000031,312
2020-08-27,0.000031,0.000036,0.000031,0.000034,0.000034,376
2020-08-28,0.000034,0.000040,0.000027,0.000036,0.000036,468
2020-08-29,0.000036,0.000039,0.000028,0.000032,0.000032,181
2020-08-30,0.000032,0.000039,0.000032,0.000034,0.000034,151
2020-08-31,0.000034,0.000056,0.000034,0.000035,0.000035,398
2020-09-01,0.000035,0.000044,0.000035,0.000038,0.000038,572
2020-09-02,0.000038,0.000043,0.000030,0.000031,0.000031,119
2020-09-03,0.000031,0.000042,0.000028,0.000031,0.000031,355
2020-09-04,0.000031,0.000031,0.000026,0.000027,0.000027,85
2020-09-05,0.000027,0.000030,0.000023,0.000023,0.000023,218
2020-09-06,0.000023,0.000028,0.000022,0.000025,0.000025,23
2020-09-07,0.000025,0.000025,0.000023,0.000025,0.000025,56
2020-09-08,0.000025,0.000034,0.000023,0.000030,0.000030,1024
2020-09-09,0.000030,0.000032,0.000030,0.000032,0.000032,165
2020-09-10,0.000032,0.000034,0.000032,0.000033,0.000033,171
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.000017,0.000024,0.000017,0.000017,0.000017,55
2020-09-23,0.000017,0.000022,0.000017,0.000019,0.000019,372
2020-09-24,0.000019,0.000026,0.000016,0.000017,0.000017,14
2020-09-25,0.000017,0.000018,0.000017,0.000018,0.000018,12
2020-09-26,0.000018,0.000021,0.000017,0.000018,0.000018,179
2020-09-27,0.000018,0.000021,0.000017,0.000018,0.000018,120
2020-09-28,0.000018,0.000022,0.000018,0.000021,0.000021,138
2020-09-29,0.000021,0.000022,0.000018,0.000018,0.000018,231
2020-09-30,0.000018,0.000022,0.000018,0.000018,0.000018,116
2020-10-01,0.000018,0.000022,0.000017,0.000018,0.000018,16
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.000021,0.000025,0.000021,0.000021,0.000021,18
2020-10-06,0.000021,0.000021,0.000020,0.000020,0.000020,3
2020-10-07,0.000020,0.000021,0.000020,0.000021,0.000021,44
2020-10-08,0.000021,0.000028,0.000020,0.000021,0.000021,491
2020-10-09,0.000021,0.000022,0.000021,0.000022,0.000022,20
2020-10-10,0.000022,0.000026,0.000022,0.000022,0.000022,91
2020-10-11,0.000022,0.000023,0.000022,0.000023,0.000023,5
2020-10-12,0.000023,0.000032,0.000022,0.000031,0.000031,388
2020-10-13,0.000023,0.000023,0.000019,0.000019,0.000019,8
2020-10-14,0.000019,0.000023,0.000019,0.000019,0.000019,12
2020-10-15,0.000019,0.000023,0.000019,0.000019,0.000019,223
2020-10-16,0.000019,0.000022,0.000018,0.000018,0.000018,12
2020-10-17,0.000018,0.000018,0.000018,0.000018,0.000018,4
2020-10-18,0.000018,0.000022,0.000018,0.000019,0.000019,3
2020-10-19,0.000019,0.000019,0.000019,0.000019,0.000019,3
2020-10-20,0.000019,0.000019,0.000018,0.000018,0.000018,21
2020-10-21,0.000018,0.000020,0.000018,0.000020,0.000020,14
2020-10-22,0.000020,0.000021,0.000012,0.000017,0.000017,673
2020-10-23,0.000017,0.000021,0.000012,0.000012,0.000012,49
2020-10-24,0.000012,0.000021,0.000012,0.000017,0.000017,55
2020-10-25,0.000017,0.000017,0.000012,0.000012,0.000012,10
2020-10-26,0.000012,0.000012,0.000012,0.000012,0.000012,86
2020-10-27,0.000012,0.000012,0.000012,0.000012,0.000012,10
2020-10-28,0.000012,0.000016,0.000011,0.000012,0.000012,239
2020-10-29,0.000012,0.000016,0.000011,0.000012,0.000012,30
2020-10-30,0.000012,0.000012,0.000007,0.000008,0.000008,7
2020-10-31,0.000008,0.000015,0.000008,0.000008,0.000008,56
2020-11-01,0.000008,0.000012,0.000008,0.000008,0.000008,33
2020-11-02,0.000008,0.000012,0.000008,0.000008,0.000008,35
2020-11-03,0.000008,0.000016,0.000007,0.000015,0.000015,199
2020-11-04,0.000015,0.000020,0.000015,0.000016,0.000016,111
2020-11-05,0.000016,0.000017,0.000016,0.000017,0.000017,41
2020-11-06,0.000017,0.000018,0.000017,0.000018,0.000018,34
2020-11-07,0.000018,0.000023,0.000013,0.000013,0.000013,9
2020-11-08,0.000013,0.000018,0.000013,0.000014,0.000014,45
2020-11-09,0.000014,0.000018,0.000013,0.000013,0.000013,31
2020-11-10,0.000013,0.000023,0.000013,0.000018,0.000018,193
2020-11-11,0.000018,0.000037,0.000018,0.000028,0.000028,1095
2020-11-12,0.000028,0.000028,0.000018,0.000018,0.000018,29
2020-11-13,0.000018,0.000024,0.000018,0.000024,0.000024,46
2020-11-14,0.000024,0.000024,0.000023,0.000023,0.000023,68
2020-11-15,0.000023,0.000023,0.000022,0.000022,0.000022,26
2020-11-16,0.000022,0.000023,0.000018,0.000018,0.000018,27
2020-11-17,0.000019,0.000048,0.000018,0.000024,0.000024,228
2020-11-18,0.000024,0.000025,0.000019,0.000019,0.000019,48
2020-11-19,0.000019,0.000024,0.000019,0.000019,0.000019,109
2020-11-20,0.000019,0.000021,0.000019,0.000020,0.000020,41
2020-11-21,0.000020,0.000022,0.000020,0.000022,0.000022,77
2020-11-22,0.000022,0.000023,0.000021,0.000022,0.000022,152
2020-11-23,0.000022,0.000030,0.000022,0.000024,0.000024,51
2020-11-24,0.000024,0.000025,0.000018,0.000018,0.000018,50
2020-11-25,0.000018,0.000018,0.000017,0.000017,0.000017,45
2020-11-26,0.000017,0.000028,0.000015,0.000016,0.000016,118
2020-11-27,0.000016,0.000021,0.000015,0.000016,0.000016,75
2020-11-28,0.000016,0.000021,0.000015,0.000016,0.000016,19
2020-11-29,0.000016,0.000017,0.000016,0.000017,0.000017,23
2020-11-30,0.000017,0.000018,0.000017,0.000018,0.000018,65
2020-12-01,0.000018,0.000024,0.000017,0.000024,0.000024,189
2020-12-02,0.000023,0.000024,0.000017,0.000018,0.000018,83
