Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,2.248120,2.835690,2.187780,2.470040,2.470040,1549870
2017-07-04,2.485460,2.581030,2.162600,2.278460,2.278460,773818
2017-07-05,2.277200,2.277200,1.857500,1.895420,1.895420,653723
2017-07-06,1.896350,2.009760,1.812170,1.969530,1.969530,670365
2017-07-07,1.971530,3.646950,1.488740,1.557800,1.557800,654395
2017-07-08,1.537100,1.591150,1.279670,1.330280,1.330280,391741
2017-07-09,1.336930,1.543620,1.283090,1.355290,1.355290,431973
2017-07-10,1.370400,1.384510,0.937533,0.965658,0.965658,451442
2017-07-11,0.964892,0.973629,0.771178,0.843858,0.843858,281620
2017-07-12,0.849572,0.996328,0.838114,0.986273,0.986273,233077
2017-07-13,0.988193,1.013680,0.879009,0.880010,0.880010,172549
2017-07-14,0.878482,0.895008,0.777571,0.799310,0.799310,181284
2017-07-15,0.798157,0.804775,0.707320,0.713138,0.713138,113408
2017-07-16,0.711666,0.729210,0.641730,0.694733,0.694733,128438
2017-07-17,0.692257,0.783760,0.690088,0.776766,0.776766,176404
2017-07-18,0.773615,0.879459,0.753951,0.841497,0.841497,159849
2017-07-19,0.847838,1.656530,0.810168,1.364110,1.364110,1366330
2017-07-20,1.288740,1.310410,1.010920,1.107000,1.107000,804218
2017-07-21,1.114610,1.145770,1.027100,1.043260,1.043260,296253
2017-07-22,1.043260,1.086870,1.015010,1.052880,1.052880,196256
2017-07-23,1.058780,1.130240,1.001160,1.127940,1.127940,195304
2017-07-24,1.128030,1.178810,1.110160,1.162610,1.162610,185499
2017-07-25,1.162940,1.171730,0.919982,0.966167,0.966167,158187
2017-07-26,0.963387,0.973040,0.875459,0.922468,0.922468,163599
2017-07-27,0.925304,0.955281,0.912731,0.949521,0.949521,121238
2017-07-28,0.950880,0.966587,0.894747,0.908533,0.908533,156927
2017-07-29,0.911228,0.921700,0.825206,0.908091,0.908091,116796
2017-07-30,0.911547,0.943569,0.887338,0.910783,0.910783,127885
2017-07-31,0.911761,0.913969,0.857909,0.890753,0.890753,129760
2017-08-01,0.891391,0.944511,0.859686,0.875193,0.875193,165041
2017-08-02,0.874486,0.916497,0.857807,0.914928,0.914928,213220
2017-08-03,0.909069,0.913010,0.872515,0.882777,0.882777,180452
2017-08-04,0.883272,1.175040,0.875599,1.113130,1.113130,378110
2017-08-05,1.073140,1.336760,1.016820,1.260640,1.260640,432594
2017-08-06,1.264520,1.761390,1.198750,1.542720,1.542720,837340
2017-08-07,1.535240,1.715350,1.402530,1.517830,1.517830,543978
2017-08-08,1.535120,1.599060,1.448630,1.505780,1.505780,301153
