Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.014380,0.017683,0.008309,0.009827,0.009827,125543444
2020-05-08,0.009827,0.010175,0.008409,0.008780,0.008780,71778788
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.005694,0.006556,0.005501,0.006556,0.006556,1477347
2020-05-17,0.006557,0.006839,0.005985,0.006064,0.006064,1522399
2020-05-18,0.006064,0.006347,0.005774,0.006038,0.006038,1063824
2020-05-19,0.006035,0.007433,0.005921,0.006747,0.006747,3954039
2020-05-20,0.006748,0.008602,0.006739,0.008115,0.008115,5989822
2020-05-21,0.008115,0.008887,0.006640,0.007057,0.007057,3217423
2020-05-22,0.007056,0.007705,0.006919,0.007380,0.007380,1160768
2020-05-23,0.007380,0.007634,0.007261,0.007345,0.007345,425141
2020-05-24,0.007245,0.007633,0.007195,0.007259,0.007259,544201
2020-05-25,0.007247,0.007591,0.006983,0.007296,0.007296,890772
2020-05-26,0.007296,0.008359,0.007157,0.007427,0.007427,997598
2020-05-27,0.007427,0.008472,0.007196,0.007349,0.007349,2652731
2020-05-28,0.007366,0.007977,0.007175,0.007247,0.007247,1113530
2020-05-29,0.007229,0.007397,0.006858,0.007158,0.007158,822746
2020-05-30,0.007191,0.007227,0.006903,0.007030,0.007030,502517
2020-05-31,0.007030,0.007119,0.006755,0.006771,0.006771,416320
2020-06-01,0.006774,0.007040,0.006576,0.006843,0.006843,930778
2020-06-02,0.006844,0.006956,0.006347,0.006606,0.006606,941834
2020-06-03,0.006606,0.006862,0.006465,0.006829,0.006829,550525
2020-06-04,0.006830,0.006995,0.006650,0.006761,0.006761,765088
2020-06-05,0.006761,0.006823,0.006575,0.006695,0.006695,412233
2020-06-06,0.006695,0.007027,0.006605,0.006845,0.006845,356569
2020-06-07,0.006845,0.008647,0.006749,0.007610,0.007610,3415319
2020-06-08,0.007610,0.008390,0.007462,0.008006,0.008006,1844405
2020-06-09,0.008010,0.008739,0.007947,0.008335,0.008335,2572950
2020-06-10,0.008336,0.008628,0.008059,0.008271,0.008271,1069305
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.007618,0.007838,0.007435,0.007485,0.007485,308433
2020-06-15,0.007485,0.007865,0.007041,0.007658,0.007658,1361832
2020-06-16,0.007657,0.007789,0.007510,0.007682,0.007682,655645
2020-06-17,0.007682,0.007737,0.007432,0.007650,0.007650,684362
2020-06-18,0.007650,0.007727,0.007413,0.007533,0.007533,537355
2020-06-19,0.007536,0.007731,0.007184,0.007524,0.007524,858945
2020-06-20,null,null,null,null,null,null
2020-06-21,0.007503,0.007602,0.007326,0.007544,0.007544,287005
2020-06-22,null,null,null,null,null,null
2020-06-23,0.007482,0.007483,0.007138,0.007423,0.007423,619001
2020-06-24,0.007421,0.007700,0.006950,0.007158,0.007158,769586
2020-06-25,0.007159,0.007322,0.006913,0.007060,0.007060,430291
2020-06-26,0.007059,0.007128,0.006818,0.006892,0.006892,422815
2020-06-27,null,null,null,null,null,null
2020-06-28,0.006534,0.006741,0.006253,0.006692,0.006692,409359
2020-06-29,0.006692,0.006736,0.006416,0.006681,0.006681,250918
2020-06-30,0.006661,0.007512,0.006587,0.007140,0.007140,956067
2020-07-01,0.007138,0.007438,0.007029,0.007029,0.007029,730269
2020-07-02,0.007030,0.007447,0.006870,0.007233,0.007233,871096
2020-07-03,0.007233,0.007650,0.007135,0.007561,0.007561,1018808
2020-07-04,0.007624,0.008362,0.007577,0.007794,0.007794,1845795
2020-07-05,0.007793,0.007807,0.007292,0.007419,0.007419,452509
2020-07-06,0.007419,0.007599,0.007350,0.007422,0.007422,506352
2020-07-07,0.007448,0.007540,0.007309,0.007454,0.007454,365932
2020-07-08,0.007454,0.007556,0.007199,0.007350,0.007350,738489
2020-07-09,0.007351,0.007427,0.007082,0.007283,0.007283,510181
2020-07-10,0.007283,0.007694,0.007148,0.007676,0.007676,878097
2020-07-11,0.007660,0.007900,0.007435,0.007602,0.007602,716628
2020-07-12,0.007584,0.007881,0.007504,0.007769,0.007769,653941
2020-07-13,0.007769,0.008730,0.007395,0.007677,0.007677,2747992
2020-07-14,0.007677,0.008069,0.007534,0.007829,0.007829,906914
2020-07-15,0.007836,0.008063,0.007697,0.007923,0.007923,573875
2020-07-16,0.007923,0.007931,0.007323,0.007666,0.007666,748667
2020-07-17,0.007666,0.007917,0.007484,0.007860,0.007860,517764
2020-07-18,0.007859,0.007916,0.007607,0.007665,0.007665,513681
2020-07-19,0.007665,0.007803,0.007535,0.007629,0.007629,337715
2020-07-20,0.007630,0.008063,0.007627,0.007923,0.007923,730097
2020-07-21,0.007923,0.008002,0.007651,0.007806,0.007806,544435
2020-07-22,0.007806,0.007954,0.007629,0.007903,0.007903,514365
2020-07-23,0.007903,0.009259,0.007785,0.009005,0.009005,2790556
2020-07-24,0.009005,0.009524,0.008182,0.008390,0.008390,4143048
2020-07-25,0.008390,0.008610,0.007920,0.007978,0.007978,1065620
2020-07-26,0.008034,0.008133,0.007570,0.007869,0.007869,972764
2020-07-27,0.007869,0.007997,0.007438,0.007635,0.007635,988018
2020-07-28,0.007605,0.007989,0.007605,0.007821,0.007821,344546
2020-07-29,0.007822,0.008543,0.007820,0.008234,0.008234,871939
2020-07-30,0.008237,0.008616,0.007852,0.008419,0.008419,1198073
2020-07-31,0.008419,0.008675,0.008170,0.008302,0.008302,751815
2020-08-01,0.008302,0.008541,0.008125,0.008382,0.008382,688374
2020-08-02,0.008391,0.008455,0.007420,0.007851,0.007851,915931
2020-08-03,0.007838,0.008368,0.007761,0.008253,0.008253,846774
2020-08-04,0.008253,0.008508,0.008132,0.008323,0.008323,710083
2020-08-05,0.008321,0.012396,0.008196,0.011687,0.011687,13274379
2020-08-06,0.011687,0.012395,0.009965,0.010217,0.010217,6495054
2020-08-07,0.010217,0.010827,0.009224,0.009691,0.009691,3169831
2020-08-08,0.009687,0.010380,0.009635,0.010352,0.010352,1035393
2020-08-09,0.010267,0.010725,0.009846,0.010214,0.010214,1353220
2020-08-10,0.010245,0.011473,0.009917,0.011434,0.011434,2127855
2020-08-11,0.011366,0.011579,0.010123,0.010436,0.010436,2054548
2020-08-12,0.010439,0.010463,0.009730,0.010186,0.010186,1372709
