Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.003032,0.003322,0.002719,0.003245,0.003245,7876443
2020-05-08,0.003245,0.004490,0.003202,0.003384,0.003384,10209947
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.003379,0.003570,0.003126,0.003285,0.003285,12845894
2020-05-17,0.003268,0.003543,0.003179,0.003425,0.003425,9889496
2020-05-18,0.003457,0.003963,0.002766,0.003463,0.003463,13715452
2020-05-19,0.003464,0.003769,0.003061,0.003083,0.003083,11307208
2020-05-20,0.003075,0.003310,0.003058,0.003117,0.003117,7837028
2020-05-21,0.003102,0.003328,0.002892,0.002977,0.002977,9382248
2020-05-22,0.002978,0.003066,0.002904,0.003022,0.003022,8084036
2020-05-23,0.003022,0.003186,0.002956,0.003118,0.003118,6321449
2020-05-24,0.003115,0.003135,0.003008,0.003032,0.003032,7986754
2020-05-25,0.003035,0.003101,0.002998,0.003038,0.003038,6543497
2020-05-26,0.003039,0.003065,0.002970,0.003040,0.003040,5790710
2020-05-27,0.003040,0.003193,0.003030,0.003186,0.003186,6739690
2020-05-28,0.003185,0.003346,0.003166,0.003343,0.003343,9045901
2020-05-29,0.003346,0.003438,0.003189,0.003282,0.003282,9089442
2020-05-30,0.003289,0.003505,0.003243,0.003494,0.003494,16183797
2020-05-31,0.003500,0.003653,0.003217,0.003258,0.003258,15017125
2020-06-01,0.003247,0.003342,0.003229,0.003252,0.003252,12540653
2020-06-02,0.003281,0.003389,0.003150,0.003244,0.003244,17400853
2020-06-03,0.003244,0.003344,0.003015,0.003208,0.003208,7423594
2020-06-04,0.003179,0.003293,0.003056,0.003214,0.003214,9507290
2020-06-05,0.003214,0.003345,0.003164,0.003307,0.003307,10100874
2020-06-06,0.003307,0.003431,0.003203,0.003320,0.003320,8637413
2020-06-07,0.003320,0.003422,0.003164,0.003344,0.003344,10707662
2020-06-08,0.003310,0.003463,0.003301,0.003379,0.003379,7011470
2020-06-09,0.003381,0.003433,0.003257,0.003397,0.003397,8406999
2020-06-10,0.003411,0.003563,0.003258,0.003517,0.003517,5596484
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.003443,0.003466,0.003145,0.003322,0.003322,3641915
2020-06-15,0.003322,0.003512,0.003213,0.003435,0.003435,6152807
2020-06-16,0.003434,0.003589,0.003303,0.003527,0.003527,3388161
2020-06-17,0.003528,0.003649,0.003471,0.003626,0.003626,4812789
2020-06-18,0.003623,0.003649,0.003589,0.003632,0.003632,3483823
2020-06-19,0.003614,0.003643,0.003422,0.003427,0.003427,4038077
2020-06-20,null,null,null,null,null,null
2020-06-21,0.003486,0.003569,0.003441,0.003449,0.003449,2526904
2020-06-22,null,null,null,null,null,null
2020-06-23,0.003616,0.003670,0.003535,0.003592,0.003592,2597169
2020-06-24,0.003593,0.003672,0.003447,0.003508,0.003508,3838692
2020-06-25,0.003531,0.003586,0.003472,0.003548,0.003548,2681849
2020-06-26,0.003547,0.003561,0.003469,0.003506,0.003506,3836545
2020-06-27,null,null,null,null,null,null
2020-06-28,0.003699,0.003747,0.003506,0.003690,0.003690,3291263
2020-06-29,0.003714,0.003808,0.003555,0.003785,0.003785,2597597
2020-06-30,0.003690,0.004173,0.003667,0.003902,0.003902,2660338
2020-07-01,0.004142,0.004220,0.003731,0.004019,0.004019,2855704
2020-07-02,0.004020,0.004117,0.003699,0.003893,0.003893,2915915
2020-07-03,0.003920,0.003962,0.003789,0.003825,0.003825,4120178
2020-07-04,0.003868,0.003882,0.003725,0.003801,0.003801,3168523
2020-07-05,0.003800,0.004197,0.003676,0.003770,0.003770,2670270
2020-07-06,0.003770,0.003907,0.003725,0.003851,0.003851,4462410
2020-07-07,0.003822,0.003872,0.003780,0.003803,0.003803,4440941
2020-07-08,0.003822,0.003992,0.003797,0.003977,0.003977,5334820
2020-07-09,0.003978,0.004006,0.003919,0.003976,0.003976,2862027
2020-07-10,0.003979,0.004055,0.003881,0.004016,0.004016,3447696
2020-07-11,0.004016,0.004363,0.003987,0.004084,0.004084,2468380
2020-07-12,0.004076,0.004126,0.004056,0.004110,0.004110,3416817
2020-07-13,0.004110,0.004181,0.004063,0.004157,0.004157,3352439
2020-07-14,0.004157,0.004686,0.004109,0.004686,0.004686,2867360
2020-07-15,0.004704,0.005887,0.004645,0.005264,0.005264,2355672
2020-07-16,0.005313,0.005970,0.005030,0.005409,0.005409,2556667
2020-07-17,0.005417,0.005847,0.005084,0.005131,0.005131,1945383
2020-07-18,0.005159,0.005391,0.004937,0.004957,0.004957,1698745
2020-07-19,0.004956,0.005188,0.004396,0.004734,0.004734,2787935
2020-07-20,0.004735,0.004953,0.004190,0.004363,0.004363,2424098
2020-07-21,0.004363,0.005002,0.004340,0.004947,0.004947,2481792
2020-07-22,0.004947,0.008445,0.004898,0.005740,0.005740,2657139
2020-07-23,0.005740,0.005815,0.004927,0.005018,0.005018,2602401
2020-07-24,0.005018,0.005186,0.004916,0.005034,0.005034,3733500
2020-07-25,0.005038,0.005344,0.004988,0.005263,0.005263,5436310
2020-07-26,0.005263,0.005339,0.005047,0.005128,0.005128,2895629
2020-07-27,0.005128,0.005449,0.004784,0.004999,0.004999,11711041
2020-07-28,0.004933,0.005369,0.004887,0.005047,0.005047,11474198
2020-07-29,0.004955,0.005133,0.004753,0.004960,0.004960,9089652
2020-07-30,0.004960,0.005050,0.004540,0.004680,0.004680,5464540
2020-07-31,0.004680,0.004935,0.004414,0.004760,0.004760,5544754
2020-08-01,0.004760,0.005130,0.004667,0.004884,0.004884,6727750
2020-08-02,0.004874,0.005128,0.004563,0.004564,0.004564,5792013
2020-08-03,0.004565,0.004897,0.004524,0.004661,0.004661,7677878
2020-08-04,0.004661,0.004875,0.004255,0.004584,0.004584,5955503
2020-08-05,0.004584,0.004778,0.004344,0.004377,0.004377,4163900
2020-08-06,0.004377,0.004600,0.004289,0.004561,0.004561,5293416
2020-08-07,0.004533,0.004670,0.004387,0.004618,0.004618,7579426
2020-08-08,0.004617,0.004744,0.004518,0.004604,0.004604,4875547
2020-08-09,0.004651,0.004747,0.004413,0.004544,0.004544,4446230
2020-08-10,0.004544,0.004588,0.004413,0.004553,0.004553,6400804
2020-08-11,0.004532,0.004745,0.004488,0.004655,0.004655,7288868
2020-08-12,0.004660,0.005038,0.004346,0.004659,0.004659,4560244
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.005141,0.005231,0.004904,0.005103,0.005103,1237576
2020-08-17,0.005103,0.005485,0.004826,0.005064,0.005064,4010582
2020-08-18,0.005068,0.005164,0.004908,0.005037,0.005037,4090471
2020-08-19,0.005025,0.005063,0.004704,0.004851,0.004851,4424412
2020-08-20,0.004851,0.004996,0.004798,0.004860,0.004860,2718131
2020-08-21,0.004836,0.004870,0.004599,0.004733,0.004733,703773
2020-08-22,0.004674,0.004753,0.004537,0.004734,0.004734,2062303
2020-08-23,0.004735,0.004965,0.004618,0.004752,0.004752,3048563
2020-08-24,0.004743,0.004905,0.004592,0.004881,0.004881,2594494
2020-08-25,0.004883,0.004883,0.004538,0.004647,0.004647,3439305
2020-08-26,0.004647,0.004743,0.004546,0.004653,0.004653,2960913
2020-08-27,0.004638,0.004949,0.004549,0.004757,0.004757,2354400
2020-08-28,0.004795,0.004811,0.004568,0.004588,0.004588,1694293
2020-08-29,0.004586,0.004614,0.004450,0.004521,0.004521,1515306
2020-08-30,0.004504,0.004536,0.004259,0.004452,0.004452,1663871
2020-08-31,0.004453,0.004455,0.003963,0.004063,0.004063,1480481
2020-09-01,0.004062,0.004356,0.003979,0.004243,0.004243,2475653
2020-09-02,0.004183,0.004271,0.003962,0.004139,0.004139,3007200
2020-09-03,0.004136,0.004212,0.003782,0.004001,0.004001,3535345
2020-09-04,0.003980,0.004030,0.003611,0.003890,0.003890,4942550
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
