Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.720713,0.773151,0.696411,0.757756,0.757756,2473
2020-05-08,0.757756,0.766140,0.729175,0.730009,0.730009,215
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.697352,0.747409,0.687981,0.741096,0.741096,962
2020-05-17,0.741309,0.747703,0.712154,0.725721,0.725721,1414
2020-05-18,0.725688,0.744690,0.721313,0.737643,0.737643,2098
2020-05-19,0.737178,0.746381,0.722583,0.734802,0.734802,1935
2020-05-20,0.735088,0.740503,0.708169,0.715052,0.715052,2928
2020-05-21,0.715045,0.723607,0.658815,0.688975,0.688975,3973
2020-05-22,0.688888,0.735861,0.683297,0.734016,0.734016,1527
2020-05-23,0.734074,1.487907,0.710193,1.203928,1.203928,2161
2020-05-24,1.204017,1.204052,0.719563,0.734123,0.734123,2923
2020-05-25,0.731997,0.860240,0.728521,0.819275,0.819275,1759
2020-05-26,0.819164,0.820839,0.720134,0.802883,0.802883,2584
2020-05-27,0.802883,0.803865,0.711913,0.729541,0.729541,343
2020-05-28,0.729648,0.849047,0.727986,0.847126,0.847126,1713
2020-05-29,0.847086,0.852596,0.754429,0.758908,0.758908,2177
2020-05-30,0.758849,0.819975,0.749803,0.772713,0.772713,1423
2020-05-31,0.772701,0.812433,0.756951,0.794262,0.794262,1774
2020-06-01,0.794075,0.955760,0.757354,0.952790,0.952790,3717
2020-06-02,0.952964,0.955294,0.792446,0.824957,0.824957,1072
2020-06-03,0.824957,0.826556,0.768339,0.805583,0.805583,255
2020-06-04,0.805717,0.825881,0.762900,0.809981,0.809981,1896
2020-06-05,0.809981,0.832415,0.797373,0.800232,0.800232,1909
2020-06-06,0.800184,0.829080,0.794079,0.803422,0.803422,2021
2020-06-07,0.803422,0.912897,0.800767,0.841565,0.841565,1306
2020-06-08,0.841657,0.917298,0.838435,0.905042,0.905042,1454
2020-06-09,0.905045,0.924318,0.855492,0.910998,0.910998,1494
2020-06-10,0.911043,0.943557,0.859757,0.939610,0.939610,180
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.858985,0.932744,0.841484,0.928380,0.928380,720
2020-06-15,0.928194,0.929905,0.835411,0.916345,0.916345,1831
