Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.154935,0.156161,0.144637,0.148945,0.148945,50052
2020-05-08,0.147650,0.157035,0.147650,0.154621,0.154621,57452
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.137473,0.137771,0.132186,0.133192,0.133192,46830
2020-05-17,0.133286,0.135484,0.132404,0.133568,0.133568,52503
2020-05-18,0.133541,0.137748,0.131036,0.135823,0.135823,55951
2020-05-19,0.134613,0.138471,0.130322,0.132372,0.132372,61522
2020-05-20,0.132769,0.135570,0.130918,0.132025,0.132025,58295
2020-05-21,0.131943,0.133706,0.130862,0.132386,0.132386,54744
2020-05-22,0.131866,0.138110,0.130731,0.132401,0.132401,63764
2020-05-23,0.132002,0.134878,0.131027,0.134182,0.134182,59854
2020-05-24,0.134357,0.138016,0.131481,0.134594,0.134594,60319
2020-05-25,0.135546,0.137189,0.129650,0.133625,0.133625,59989
2020-05-26,0.133893,0.136431,0.130212,0.131243,0.131243,60188
2020-05-27,0.131243,0.135485,0.123333,0.134091,0.134091,63791
2020-05-28,0.134115,0.135201,0.130231,0.132357,0.132357,59319
2020-05-29,0.131799,0.133760,0.125114,0.129381,0.129381,60362
2020-05-30,0.129034,0.135518,0.126694,0.132741,0.132741,69207
2020-05-31,0.132741,0.133352,0.124326,0.128713,0.128713,56512
2020-06-01,0.128202,0.131146,0.124999,0.129529,0.129529,66462
2020-06-02,0.129875,0.131142,0.124674,0.127411,0.127411,49991
2020-06-03,0.127411,0.128337,0.123866,0.125782,0.125782,54767
2020-06-04,0.125239,0.127428,0.122781,0.124033,0.124033,49677
2020-06-05,0.124033,0.127012,0.123567,0.125521,0.125521,44207
2020-06-06,0.125521,0.125576,0.120152,0.121178,0.121178,56225
2020-06-07,0.121178,0.124214,0.111176,0.121558,0.121558,56847
2020-06-08,0.121563,0.127257,0.102103,0.118983,0.118983,76889
2020-06-09,0.118633,0.122468,0.110721,0.113478,0.113478,50750
2020-06-10,0.113622,0.120180,0.111313,0.114059,0.114059,49763
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.111763,0.119382,0.108553,0.113910,0.113910,59061
2020-06-15,0.113910,0.119195,0.107003,0.114711,0.114711,76010
2020-06-16,0.115055,0.115055,0.108373,0.111362,0.111362,77754
2020-06-17,0.110176,0.112376,0.102500,0.107555,0.107555,62997
