Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.106605,0.118812,0.106533,0.110163,0.110163,5155
2014-09-18,0.110052,0.128645,0.108688,0.122712,0.122712,4956
2014-09-19,0.122546,0.141848,0.112359,0.121532,0.121532,6530
2014-09-20,0.121494,0.121713,0.087997,0.104674,0.104674,5885
2014-09-21,0.104475,0.105357,0.099425,0.102077,0.102077,4648
2014-09-22,0.102148,0.112587,0.097903,0.101706,0.101706,4733
2014-09-23,0.101691,0.112432,0.087649,0.096213,0.096213,9414
2014-09-24,0.096208,0.099227,0.091130,0.091506,0.091506,7678
2014-09-25,0.091495,0.095043,0.088060,0.091468,0.091468,5454
2014-09-26,0.091436,0.093735,0.087568,0.091014,0.091014,4214
2014-09-27,0.090596,0.095814,0.089401,0.093478,0.093478,2588
2014-09-28,0.093786,0.099833,0.087593,0.091639,0.091639,1847
2014-09-29,0.091577,0.099376,0.058456,0.085198,0.085198,8471
2014-09-30,0.085339,0.085633,0.036426,0.036523,0.036523,9411
2014-10-01,0.036567,0.076428,0.036567,0.057732,0.057732,5380
2014-10-02,0.057780,0.063175,0.052770,0.056960,0.056960,4839
2014-10-03,0.056978,0.058244,0.051139,0.051139,0.051139,4475
2014-10-04,0.051197,0.053069,0.047171,0.047484,0.047484,4262
2014-10-05,0.047491,0.080744,0.047491,0.067367,0.067367,4682
2014-10-06,0.067346,0.078861,0.058904,0.060244,0.060244,6098
2014-10-07,0.060336,0.064555,0.052461,0.060414,0.060414,5508
2014-10-08,0.060400,0.064075,0.053051,0.061833,0.061833,5281
2014-10-09,0.061799,0.067836,0.060646,0.064905,0.064905,4713
2014-10-10,0.064846,0.070128,0.063426,0.068562,0.068562,4706
2014-10-11,0.065958,0.068395,0.062376,0.063708,0.063708,4215
2014-10-12,0.063762,0.067510,0.062523,0.067400,0.067400,4013
2014-10-13,0.067183,0.068233,0.042854,0.064709,0.064709,5276
2014-10-14,0.064926,0.066681,0.056822,0.064153,0.064153,5814
2014-10-15,0.064167,0.064951,0.059312,0.060765,0.060765,3774
2014-10-16,0.060726,0.063169,0.048846,0.051933,0.051933,4000
2014-10-17,0.051957,0.054266,0.049567,0.051130,0.051130,4515
2014-10-18,0.051160,0.055026,0.049449,0.049587,0.049587,2795
2014-10-19,0.049563,0.052871,0.045785,0.045785,0.045785,2721
2014-10-20,0.045750,0.048551,0.044458,0.046136,0.046136,2891
2014-10-21,0.045500,0.051600,0.045269,0.046115,0.046115,2894
2014-10-22,0.047456,0.051400,0.046547,0.047240,0.047240,2833
2014-10-23,0.047216,0.050762,0.045645,0.046386,0.046386,2876
2014-10-24,0.046411,0.049723,0.045701,0.046980,0.046980,2583
2014-10-25,0.047015,0.051549,0.044527,0.045249,0.045249,2422
2014-10-26,0.045277,0.051176,0.044482,0.047226,0.047226,2223
2014-10-27,0.047236,0.048124,0.038844,0.042009,0.042009,3203
2014-10-28,0.042223,0.042792,0.036550,0.036968,0.036968,2454
2014-10-29,0.036887,0.039522,0.035378,0.035404,0.035404,1738
2014-10-30,0.035393,0.039296,0.035393,0.038871,0.038871,2218
2014-10-31,0.038837,0.046334,0.037830,0.038590,0.038590,1967
2014-11-01,0.038637,0.043051,0.038637,0.040705,0.040705,1867
2014-11-02,0.040746,0.051294,0.040617,0.046136,0.046136,2494
2014-11-03,0.046090,0.049241,0.041196,0.041204,0.041204,2592
2014-11-04,0.041160,0.045030,0.040839,0.044835,0.044835,2701
2014-11-05,0.044861,0.050334,0.044861,0.047436,0.047436,2661
2014-11-06,0.047432,0.053978,0.047409,0.050251,0.050251,3020
2014-11-07,0.050331,0.052688,0.047092,0.048982,0.048982,2594
2014-11-08,0.048945,0.053183,0.048869,0.051958,0.051958,2837
2014-11-09,0.051941,0.054930,0.051919,0.053190,0.053190,2556
2014-11-10,0.053044,0.054295,0.050529,0.051417,0.051417,3241
2014-11-11,0.051271,0.052521,0.048770,0.050326,0.050326,3076
2014-11-12,0.050366,0.051978,0.044306,0.047375,0.047375,3158
2014-11-13,0.047790,0.052834,0.043700,0.048728,0.048728,2826
2014-11-14,0.050186,0.052781,0.047508,0.048808,0.048808,2527
2014-11-15,0.049053,0.049757,0.044615,0.045051,0.045051,2229
2014-11-16,0.044883,0.047365,0.044522,0.045854,0.045854,2565
2014-11-17,0.045910,0.051473,0.042355,0.044009,0.044009,2421
2014-11-18,0.044047,0.045992,0.043646,0.044035,0.044035,1975
2014-11-19,0.043940,0.051167,0.043879,0.048735,0.048735,2197
2014-11-20,0.048299,0.048680,0.046103,0.047185,0.047185,2198
2014-11-21,0.047189,0.048520,0.043946,0.044128,0.044128,2089
2014-11-22,0.044360,0.048772,0.044261,0.045798,0.045798,2022
2014-11-23,0.045760,0.046949,0.044831,0.045918,0.045918,2252
2014-11-24,0.045846,0.048622,0.045846,0.046366,0.046366,2239
2014-11-25,0.046358,0.049253,0.043958,0.045224,0.045224,3222
2014-11-26,0.045288,0.048762,0.044780,0.046244,0.046244,3327
2014-11-27,0.046438,0.047693,0.044815,0.047593,0.047593,2565
2014-11-28,0.045760,0.049496,0.044988,0.046831,0.046831,2773
2014-11-29,0.046802,0.048496,0.046105,0.046629,0.046629,2967
2014-11-30,0.046609,0.048821,0.045263,0.045428,0.045428,2183
2014-12-01,0.045446,0.046430,0.044765,0.045156,0.045156,2079
2014-12-02,0.045151,0.047743,0.044983,0.045187,0.045187,2161
2014-12-03,0.045227,0.045912,0.036706,0.039049,0.039049,4810
2014-12-04,0.039080,0.042269,0.038869,0.040319,0.040319,3477
2014-12-05,0.040300,0.040866,0.036291,0.037696,0.037696,2801
2014-12-06,0.036334,0.039424,0.032046,0.032993,0.032993,3375
2014-12-07,0.032366,0.034909,0.032366,0.033998,0.033998,2640
2014-12-08,0.033991,0.039346,0.033747,0.035045,0.035045,2319
2014-12-09,0.035061,0.039236,0.023121,0.039224,0.039224,2195
2014-12-10,0.039192,0.040120,0.036694,0.037269,0.037269,1911
2014-12-11,0.037080,0.038831,0.034240,0.036477,0.036477,2121
2014-12-12,0.036906,0.036994,0.035941,0.036781,0.036781,2083
2014-12-13,0.036121,0.036710,0.033035,0.033390,0.033390,2243
2014-12-14,0.033344,0.033629,0.032852,0.033015,0.033015,1743
2014-12-15,0.032996,0.034286,0.032302,0.033240,0.033240,1934
2014-12-16,0.033432,0.033905,0.031978,0.032953,0.032953,2329
2014-12-17,0.032146,0.033111,0.029822,0.029874,0.029874,3846
2014-12-18,0.029728,0.030419,0.019613,0.026107,0.026107,1799
2014-12-19,0.026086,0.034194,0.025476,0.033023,0.033023,3101
2014-12-20,0.032938,0.032938,0.028143,0.029254,0.029254,2289
2014-12-21,0.029332,0.030019,0.028594,0.028786,0.028786,1894
2014-12-22,0.028799,0.029216,0.027648,0.028600,0.028600,2266
2014-12-23,0.028593,0.030639,0.028123,0.029742,0.029742,2065
2014-12-24,0.029872,0.029915,0.028056,0.028516,0.028516,2006
2014-12-25,0.028501,0.030212,0.027835,0.028494,0.028494,1943
2014-12-26,0.028500,0.030247,0.028082,0.028885,0.028885,1574
2014-12-27,0.028864,0.029415,0.027311,0.028011,0.028011,1249
2014-12-28,0.028055,0.028974,0.027128,0.028073,0.028073,1363
2014-12-29,0.028107,0.029558,0.026687,0.026954,0.026954,2000
2014-12-30,0.026950,0.028816,0.026359,0.027779,0.027779,1671
2014-12-31,0.027785,0.028977,0.026229,0.026405,0.026405,2003
2015-01-01,0.026755,0.029386,0.026376,0.027652,0.027652,1542
2015-01-02,0.027636,0.027972,0.026181,0.026295,0.026295,1590
2015-01-03,0.026277,0.027443,0.025152,0.025152,0.025152,1413
2015-01-04,0.024979,0.025977,0.022405,0.024231,0.024231,3968
2015-01-05,0.024170,0.024724,0.022157,0.023345,0.023345,1145
2015-01-06,0.023360,0.024769,0.022392,0.024769,0.024769,648
2015-01-07,0.024759,0.026978,0.024583,0.025523,0.025523,618
2015-01-08,0.025528,0.025528,0.021961,0.022570,0.022570,1664
2015-01-09,0.022502,0.024071,0.022403,0.023413,0.023413,1906
2015-01-10,0.023413,0.024402,0.022360,0.023699,0.023699,1183
2015-01-11,0.023945,0.024816,0.023133,0.023887,0.023887,1599
2015-01-12,0.023674,0.025167,0.023408,0.023466,0.023466,1409
2015-01-13,0.023080,0.024768,0.021779,0.023755,0.023755,2245
2015-01-14,0.023635,0.025122,0.019599,0.022183,0.022183,1565
