Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000095,0.000098,0.000011,0.000089,0.000089,4799
2020-05-08,0.000089,0.000090,0.000044,0.000050,0.000050,461
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000076,0.000095,0.000050,0.000051,0.000051,91
2020-05-17,0.000051,0.000073,0.000049,0.000068,0.000068,293
2020-05-18,0.000068,0.000070,0.000054,0.000055,0.000055,981
2020-05-19,0.000054,0.000098,0.000053,0.000082,0.000082,183
2020-05-20,0.000082,0.000083,0.000055,0.000055,0.000055,262
2020-05-21,0.000055,0.000055,0.000051,0.000053,0.000053,28
2020-05-22,0.000053,0.000054,0.000050,0.000051,0.000051,175
2020-05-23,0.000051,0.000051,0.000042,0.000042,0.000042,104
2020-05-24,0.000042,0.000064,0.000042,0.000061,0.000061,499
2020-05-25,0.000061,0.000089,0.000040,0.000054,0.000054,391
2020-05-26,0.000054,0.000055,0.000044,0.000049,0.000049,672
2020-05-27,0.000049,0.000078,0.000049,0.000078,0.000078,1861
2020-05-28,0.000078,0.000080,0.000058,0.000058,0.000058,324
2020-05-29,0.000058,0.000075,0.000053,0.000075,0.000075,1634
2020-05-30,0.000075,0.000082,0.000064,0.000081,0.000081,1723
2020-05-31,0.000081,0.000105,0.000066,0.000090,0.000090,1836
2020-06-01,0.000090,0.000171,0.000075,0.000130,0.000130,14010
2020-06-02,0.000130,0.000201,0.000108,0.000114,0.000114,7868
2020-06-03,0.000114,0.000142,0.000070,0.000081,0.000081,2727
2020-06-04,0.000081,0.000117,0.000076,0.000103,0.000103,2298
2020-06-05,0.000103,0.000131,0.000102,0.000107,0.000107,619
2020-06-06,0.000107,0.000126,0.000100,0.000100,0.000100,490
2020-06-07,0.000100,0.000120,0.000098,0.000120,0.000120,491
2020-06-08,0.000120,0.000120,0.000101,0.000115,0.000115,716
2020-06-09,0.000115,0.000123,0.000104,0.000105,0.000105,934
2020-06-10,0.000105,0.000165,0.000105,0.000136,0.000136,1673
2020-06-11,null,null,null,null,null,null
