Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.283892,0.286339,0.275520,0.282478,0.282478,4505412
2020-05-08,0.282827,0.294946,0.277684,0.291396,0.291396,4633974
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.273532,0.284421,0.270233,0.282732,0.282732,4399644
2020-05-17,0.282998,0.285400,0.277905,0.278824,0.278824,5163344
2020-05-18,0.280064,0.289562,0.277362,0.282999,0.282999,5025299
2020-05-19,0.283005,0.283436,0.276234,0.282032,0.282032,5730099
2020-05-20,0.281990,0.291157,0.275054,0.282837,0.282837,6593682
2020-05-21,0.282335,0.290713,0.270887,0.287800,0.287800,6436744
2020-05-22,0.288825,0.401054,0.286615,0.344904,0.344904,20451521
2020-05-23,0.344421,0.350276,0.323500,0.324003,0.324003,10135591
2020-05-24,0.323830,0.345650,0.299305,0.300881,0.300881,8614855
2020-05-25,0.300910,0.330152,0.292446,0.329585,0.329585,7410523
2020-05-26,0.329789,0.439987,0.326025,0.344368,0.344368,10511298
2020-05-27,0.344368,0.351377,0.329156,0.333924,0.333924,8796743
2020-05-28,0.333835,0.346439,0.329706,0.342815,0.342815,7497267
2020-05-29,0.342761,0.354093,0.338144,0.346017,0.346017,8634465
2020-05-30,0.345478,0.478486,0.341291,0.396844,0.396844,16766840
2020-05-31,0.396844,0.426670,0.364845,0.367133,0.367133,12254220
2020-06-01,0.367198,0.389681,0.366225,0.389160,0.389160,9177564
2020-06-02,0.388851,0.402225,0.354199,0.378069,0.378069,9476319
2020-06-03,0.378069,0.389667,0.373834,0.386506,0.386506,7586034
2020-06-04,0.386851,0.394124,0.376884,0.384094,0.384094,5780198
2020-06-05,0.384582,0.388077,0.380559,0.383424,0.383424,5445887
2020-06-06,0.383424,0.385475,0.377183,0.379998,0.379998,5226432
2020-06-07,0.379798,0.396021,0.357774,0.375147,0.375147,6463511
2020-06-08,0.375276,0.389861,0.370491,0.388667,0.388667,5672582
2020-06-09,0.388867,0.392292,0.382530,0.390515,0.390515,4489494
2020-06-10,0.390469,0.396025,0.379960,0.393614,0.393614,3476675
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.385461,0.387398,0.368279,0.370418,0.370418,3911451
2020-06-15,0.370418,0.370421,0.331749,0.358886,0.358886,5313618
