Date,Open,High,Low,Close,Adj Close,Volume
2017-09-12,0.607930,0.985107,0.577080,0.629251,0.629251,257746
2017-09-13,0.629451,1.752760,0.627058,1.279290,1.279290,521254
2017-09-14,1.279360,1.529590,0.936699,1.144570,1.144570,326545
2017-09-15,1.142800,1.450070,0.843508,1.347480,1.347480,150395
2017-09-16,1.360000,1.507140,1.050340,1.278380,1.278380,265917
2017-09-17,1.280430,1.341750,1.102530,1.293250,1.293250,114147
2017-09-18,1.290670,1.462680,1.183020,1.244720,1.244720,165211
2017-09-19,1.247770,1.331210,1.049510,1.214770,1.214770,114676
2017-09-20,1.213150,1.213150,0.772058,0.919734,0.919734,94403
2017-09-21,0.915207,0.993181,0.870638,0.953339,0.953339,55863
2017-09-22,0.937803,1.166830,0.908617,1.117820,1.117820,102911
2017-09-23,1.147220,1.186890,1.046360,1.073200,1.073200,252009
2017-09-24,1.069600,1.078760,0.953492,1.012810,1.012810,107388
2017-09-25,1.030670,1.179290,1.016490,1.135930,1.135930,90874
2017-09-26,1.113670,1.148200,1.044790,1.092510,1.092510,95987
2017-09-27,1.123270,1.181970,0.965260,0.996750,0.996750,87055
2017-09-28,0.996614,1.177300,0.796663,1.064400,1.064400,116005
2017-09-29,1.011970,1.091480,0.836638,0.955955,0.955955,115864
2017-09-30,0.956077,1.067290,0.938594,0.982839,0.982839,70904
2017-10-01,0.983370,1.153030,0.907513,1.089970,1.089970,143693
2017-10-02,1.075690,1.133000,0.989687,1.101270,1.101270,146971
2017-10-03,1.101320,1.595970,1.099730,1.559350,1.559350,241967
2017-10-04,1.528150,2.490990,1.334810,1.939500,1.939500,389876
2017-10-05,1.985290,2.390940,1.748860,2.334770,2.334770,320554
2017-10-06,2.370340,2.987960,2.183010,2.451060,2.451060,589588
2017-10-07,2.519400,2.519400,1.835270,2.091300,2.091300,200175
2017-10-08,2.085890,2.438130,1.764260,1.942930,1.942930,265192
2017-10-09,1.943420,2.107940,1.442210,1.837260,1.837260,209820
2017-10-10,1.731300,1.853350,1.518300,1.772840,1.772840,129318
2017-10-11,1.772540,2.300810,1.638430,1.699310,1.699310,157037
2017-10-12,1.700750,1.931500,1.644960,1.806740,1.806740,76484
2017-10-13,1.812310,2.262580,1.765470,2.041990,2.041990,151895
2017-10-14,1.974010,2.562910,1.945930,2.498430,2.498430,208909
2017-10-15,2.502900,2.502900,1.932970,2.432300,2.432300,193211
2017-10-16,2.432620,3.094710,2.152880,2.890940,2.890940,383784
2017-10-17,2.896620,3.743420,2.784120,3.577130,3.577130,889541
2017-10-18,3.424560,4.685870,3.206390,4.528130,4.528130,1980250
2017-10-19,4.530250,4.550870,3.841160,4.115560,4.115560,472055
2017-10-20,4.220370,4.544160,3.957340,4.255620,4.255620,476738
2017-10-21,4.246730,4.276410,3.636150,3.740980,3.740980,316624
2017-10-22,3.773120,4.446130,3.633760,4.397550,4.397550,318137
2017-10-23,4.423480,5.210060,4.102640,5.201480,5.201480,499088
2017-10-24,5.189970,5.878630,4.913260,5.192770,5.192770,900605
2017-10-25,5.194950,5.355510,4.544490,5.140610,5.140610,447547
2017-10-26,5.139890,5.993040,4.923390,5.783350,5.783350,459691
2017-10-27,5.784570,5.914370,5.146390,5.196100,5.196100,387179
2017-10-28,5.307430,5.392180,4.563070,4.980380,4.980380,347010
2017-10-29,4.973640,5.230110,4.572920,4.732280,4.732280,270925
2017-10-30,4.696410,4.958280,3.495120,4.482030,4.482030,698406
2017-10-31,4.467290,5.099090,4.133100,4.829250,4.829250,447235
2017-11-01,4.825720,5.095830,4.092500,4.195240,4.195240,404690
2017-11-02,4.199560,4.260770,2.767480,4.043480,4.043480,745693
2017-11-03,4.025140,4.231540,3.495510,4.035900,4.035900,228962
2017-11-04,3.972370,5.348540,3.696050,3.696050,3.696050,209124
2017-11-05,3.689120,4.195240,3.689120,3.787980,3.787980,245500
2017-11-06,3.834410,3.970730,3.292610,3.797750,3.797750,290900
2017-11-07,3.790760,4.034920,3.623940,3.956910,3.956910,180467
2017-11-08,3.944420,5.175490,3.932990,4.641850,4.641850,489596
2017-11-09,4.636940,5.295680,4.334550,4.918150,4.918150,652781
2017-11-10,4.932520,4.982620,3.872020,4.003830,4.003830,400021
2017-11-11,4.064760,4.401230,3.790350,3.878500,3.878500,470746
2017-11-12,3.876310,4.072320,3.305720,3.563190,3.563190,300980
2017-11-13,3.568610,4.153840,3.501250,3.833690,3.833690,283372
2017-11-14,3.840480,3.942960,2.908470,3.615200,3.615200,368012
2017-11-15,3.617470,3.721140,3.294330,3.520440,3.520440,393762
2017-11-16,3.535160,4.598690,3.410860,3.994940,3.994940,684305
2017-11-17,4.234420,4.234420,3.263010,3.367510,3.367510,463203
2017-11-18,3.352890,3.522650,3.127450,3.373630,3.373630,296049
2017-11-19,3.387960,3.387960,2.675190,3.167560,3.167560,471144
2017-11-20,3.165910,3.535500,2.963830,3.063150,3.063150,261967
2017-11-21,3.050680,3.214640,2.894730,3.025450,3.025450,266378
2017-11-22,2.996370,3.078140,2.715670,2.920520,2.920520,300506
2017-11-23,2.920910,3.119160,2.468400,2.727780,2.727780,416008
2017-11-24,2.742000,3.655750,2.679260,3.485020,3.485020,308611
2017-11-25,3.435740,3.596670,3.064120,3.224400,3.224400,325835
2017-11-26,3.223300,3.387330,2.919410,3.195710,3.195710,277734
2017-11-27,3.196250,3.309090,2.927210,3.052690,3.052690,286401
2017-11-28,3.058170,3.392270,2.931930,2.978960,2.978960,342147
2017-11-29,3.025160,3.204090,2.514270,2.668330,2.668330,307601
2017-11-30,2.707990,3.045710,2.421610,2.932330,2.932330,219988
2017-12-01,2.918600,3.065570,2.555810,2.948190,2.948190,346399
2017-12-02,2.946230,2.969110,2.638560,2.666120,2.666120,284357
2017-12-03,2.636430,3.069390,2.615420,2.898480,2.898480,288911
2017-12-04,2.897240,3.913950,2.857660,3.645600,3.645600,672699
2017-12-05,3.655940,4.239020,3.394820,4.069310,4.069310,518455
2017-12-06,3.964010,4.325090,3.726320,4.115420,4.115420,616653
2017-12-07,4.202740,4.594740,3.598650,4.090240,4.090240,616727
2017-12-08,4.099530,4.225680,3.137540,3.783790,3.783790,580263
2017-12-09,3.814990,3.871150,3.335230,3.615600,3.615600,345927
2017-12-10,3.630080,3.730460,3.076410,3.293200,3.293200,355318
2017-12-11,3.270330,3.839240,3.210010,3.317190,3.317190,291876
2017-12-12,3.326740,3.728200,2.950840,3.418130,3.418130,346566
2017-12-13,3.387160,4.777430,3.047580,4.381630,4.381630,594952
2017-12-14,4.282750,4.555970,3.559380,3.991780,3.991780,356777
2017-12-15,3.958420,4.146610,3.480400,3.923640,3.923640,335296
2017-12-16,3.928030,4.384480,3.680200,4.275770,4.275770,433080
2017-12-17,4.210870,4.341820,3.898460,4.093410,4.093410,452794
2017-12-18,4.103170,4.829050,3.855210,4.802790,4.802790,504052
2017-12-19,4.852270,5.026600,4.071640,4.378120,4.378120,623820
2017-12-20,4.368680,4.583020,3.784480,4.524970,4.524970,605108
2017-12-21,4.536560,5.255320,4.202050,4.815870,4.815870,600706
2017-12-22,4.831690,9.915690,3.898980,7.505050,7.505050,7843310
2017-12-23,7.570330,8.889540,7.358490,7.639310,7.639310,3941520
2017-12-24,7.625480,7.625480,6.127430,6.535220,6.535220,1545340
2017-12-25,6.577420,7.283060,6.330630,6.741330,6.741330,1261440
2017-12-26,6.824810,7.106040,5.443410,6.359770,6.359770,1692320
2017-12-27,6.365230,8.007580,5.764860,7.659780,7.659780,2012800
2017-12-28,7.687130,8.665550,6.106230,6.962310,6.962310,1511940
2017-12-29,7.152030,9.322820,6.612260,8.491400,8.491400,3289740
2017-12-30,8.437070,8.575690,6.769940,7.436270,7.436270,1538800
2017-12-31,7.350730,8.577300,6.996230,8.349390,8.349390,1713930
2018-01-01,8.357200,9.328490,7.725570,9.135450,9.135450,2443900
2018-01-02,9.047140,9.722020,7.981060,8.312940,8.312940,2407610
2018-01-03,8.311580,8.889410,7.986850,8.426250,8.426250,2770880
2018-01-04,8.481320,8.544960,7.497320,8.108260,8.108260,2888930
2018-01-05,8.121330,8.858010,7.017890,7.534360,7.534360,3280040
2018-01-06,7.754740,28.380600,7.617000,22.857901,22.857901,72246800
2018-01-07,22.148399,31.376400,17.441601,25.085699,25.085699,103923000
2018-01-08,23.975901,51.027802,23.319201,44.676201,44.676201,310931008
2018-01-09,44.805099,64.873100,40.379299,44.466999,44.466999,222014000
2018-01-10,45.336800,56.504200,36.278702,38.715199,38.715199,91383296
2018-01-11,38.282902,39.841301,27.583300,29.942600,29.942600,35328800
2018-01-12,30.129101,41.632900,28.539600,36.823399,36.823399,34940300
2018-01-13,36.803600,37.429001,29.647900,32.640999,32.640999,24524700
2018-01-14,32.548000,32.548000,24.630400,27.780500,27.780500,18080500
2018-01-15,27.646799,28.924801,22.094101,22.094101,22.094101,10330000
2018-01-16,22.130199,31.236099,14.172100,23.527300,23.527300,76247800
2018-01-17,23.404301,33.869099,22.315399,26.531300,26.531300,93353904
2018-01-18,26.368601,30.858700,25.359200,26.372400,26.372400,27568100
2018-01-19,26.035400,29.672600,25.136600,26.999800,26.999800,12536700
2018-01-20,27.246901,31.798800,26.964701,31.218399,31.218399,16059900
2018-01-21,30.940800,31.185400,23.766001,25.138700,25.138700,9588240
2018-01-22,25.840200,26.317400,19.996599,22.260099,22.260099,7241140
2018-01-23,22.173100,22.712200,19.397600,21.056801,21.056801,5872280
2018-01-24,21.094101,24.484501,20.443399,21.465099,21.465099,16784500
2018-01-25,21.977800,22.882000,20.632799,20.767099,20.767099,4307440
2018-01-26,20.668800,21.549700,18.475901,19.975000,19.975000,4449880
2018-01-27,19.954300,21.774200,19.421000,20.851999,20.851999,4554200
2018-01-28,20.944799,24.034700,20.540600,20.706301,20.706301,11389400
2018-01-29,20.620300,20.954100,18.911301,19.283800,19.283800,3493170
2018-01-30,19.253300,19.263300,15.508700,16.318399,16.318399,3546130
2018-01-31,16.350800,17.381001,15.435200,17.163099,17.163099,4591030
2018-02-01,17.155800,18.042000,13.086900,14.421000,14.421000,4344220
2018-02-02,14.534900,14.540200,10.285500,12.891500,12.891500,4566820
2018-02-03,12.979400,14.556900,11.792300,14.067100,14.067100,2578680
2018-02-04,14.070600,14.324800,11.074100,11.985900,11.985900,2230170
2018-02-05,11.876600,12.121000,7.829520,8.640650,8.640650,2505870
2018-02-06,8.858420,12.145800,6.930220,12.007600,12.007600,3613470
2018-02-07,11.982400,12.919600,9.773100,10.526700,10.526700,3084850
2018-02-08,10.486400,11.957200,10.428800,11.516800,11.516800,3217800
2018-02-09,11.541900,13.894400,11.047000,13.795800,13.795800,256549
2018-02-10,13.811300,14.065900,11.019100,11.758300,11.758300,2172730
2018-02-11,11.695400,12.040800,10.317400,10.823400,10.823400,2325390
2018-02-12,10.877200,13.707100,10.875100,13.591400,13.591400,2909730
2018-02-13,13.554300,13.646300,11.304500,11.504900,11.504900,1737860
2018-02-14,11.493300,14.863000,11.493300,14.863000,14.863000,4152390
2018-02-15,15.166200,22.274000,14.090000,18.564501,18.564501,83055104
2018-02-16,18.605801,19.493299,16.447100,18.071800,18.071800,21028200
2018-02-17,17.938299,19.041201,17.314100,17.750799,17.750799,8966690
2018-02-18,17.719400,17.749599,15.509300,16.175699,16.175699,5277620
2018-02-19,16.168800,19.813499,16.141399,18.423100,18.423100,19410400
2018-02-20,18.393400,18.667900,15.585500,15.585500,15.585500,7469010
2018-02-21,15.367900,17.625200,14.417600,15.023600,15.023600,7882850
2018-02-22,15.169000,15.803900,13.127900,13.312400,13.312400,3096320
2018-02-23,13.330500,14.653600,12.801500,14.286000,14.286000,3479680
2018-02-24,14.266800,14.533600,12.671000,13.139600,13.139600,2625070
2018-02-25,13.111100,14.990700,12.917900,13.656900,13.656900,5732600
2018-02-26,13.666900,14.950000,13.391800,13.933700,13.933700,4307770
2018-02-27,13.944100,15.003000,13.732000,14.093400,14.093400,3494090
2018-02-28,14.106200,20.060900,14.022800,16.054399,16.054399,39374500
2018-03-01,16.126499,17.786600,15.428600,15.964300,15.964300,14257000
2018-03-02,16.007401,16.007401,14.923300,15.564400,15.564400,4074000
2018-03-03,15.644000,18.588200,15.318300,17.075701,17.075701,11323300
2018-03-04,17.013300,17.013300,15.699600,16.548599,16.548599,4977800
2018-03-05,16.441999,16.578199,15.923200,15.948800,15.948800,3684860
2018-03-06,15.870800,18.981400,14.879100,15.283800,15.283800,15203600
2018-03-07,15.280500,15.724100,11.845100,13.094000,13.094000,6447580
2018-03-08,13.053700,13.344500,11.521700,11.860400,11.860400,3001220
2018-03-09,11.816700,12.072000,9.352570,11.974500,11.974500,3621810
2018-03-10,11.934300,12.874900,11.077800,11.377600,11.377600,3596990
2018-03-11,11.342600,13.056500,10.898800,12.713400,12.713400,3499730
2018-03-12,12.733200,13.442900,11.298700,11.875200,11.875200,3715790
2018-03-13,11.850300,12.344900,11.262700,11.447800,11.447800,2210290
2018-03-14,11.407600,11.787400,9.359310,9.703270,9.703270,2199010
2018-03-15,9.677540,10.462400,8.922730,10.384600,10.384600,8666500
2018-03-16,10.404500,10.976900,9.325900,9.837400,9.837400,11627400
2018-03-17,9.825200,9.899650,8.788950,8.879890,8.879890,9337750
2018-03-18,8.856470,8.914680,6.651320,8.651640,8.651640,10712700
2018-03-19,8.676640,9.188170,8.295540,8.809080,8.809080,9804430
2018-03-20,8.849190,9.815320,8.529990,9.634300,9.634300,12259800
2018-03-21,9.656770,11.038200,9.437520,9.979250,9.979250,13945800
2018-03-22,9.935360,10.139700,8.807920,9.264410,9.264410,12822900
2018-03-23,9.236800,11.811400,8.679730,11.811400,11.811400,24330300
2018-03-24,12.154400,12.831000,10.523100,10.912800,10.912800,27593800
2018-03-25,10.727400,12.646200,10.367900,11.794900,11.794900,18000400
2018-03-26,11.757200,12.741100,9.994500,11.376600,11.376600,15736200
2018-03-27,11.339600,11.576300,9.845080,9.884930,9.884930,10254500
2018-03-28,9.679610,10.215300,9.487290,9.662070,9.662070,12312800
2018-03-29,9.670560,9.808380,7.861950,7.983530,7.983530,11461700
2018-03-30,7.960230,8.278010,7.338260,7.706250,7.706250,9337130
2018-03-31,7.725550,8.137320,7.643450,7.834040,7.834040,8858460
2018-04-01,7.823230,7.927270,6.783920,7.273590,7.273590,9061680
2018-04-02,7.269260,7.799510,7.189340,7.640120,7.640120,8507680
2018-04-03,7.647430,8.427720,7.601610,8.042600,8.042600,9991750
2018-04-04,8.078180,8.140100,6.995230,7.066550,7.066550,8877440
2018-04-05,7.081670,7.382000,6.862830,7.351690,7.351690,7970170
2018-04-06,7.321200,7.548390,6.873810,7.468880,7.468880,9150730
2018-04-07,7.409260,7.699040,7.287090,7.399920,7.399920,9203160
2018-04-08,7.407550,8.283800,7.407550,8.283800,8.283800,9753520
2018-04-09,8.318850,8.318850,7.300430,7.457710,7.457710,9362700
2018-04-10,7.455690,8.053280,7.280710,7.893420,7.893420,9190000
2018-04-11,7.926760,8.559150,7.793710,8.380620,8.380620,11704700
2018-04-12,8.377290,9.407690,7.901430,9.385020,9.385020,10615200
2018-04-13,9.403180,10.655100,9.307830,9.660840,9.660840,13600700
2018-04-14,9.538930,10.495200,9.451880,10.144200,10.144200,9768740
2018-04-15,10.158500,10.808100,10.114200,10.686000,10.686000,11197100
2018-04-16,10.688600,10.744400,9.572500,9.904900,9.904900,11383100
2018-04-17,9.918570,10.255300,9.620600,9.678240,9.678240,11237700
2018-04-18,9.657680,10.612000,9.657680,10.425200,10.425200,12941100
2018-04-19,10.433700,11.431300,10.415300,11.431300,11.431300,13666300
2018-04-20,11.437900,12.077000,10.876500,12.044600,12.044600,14961600
2018-04-21,12.053700,12.115000,10.816400,11.515200,11.515200,13000600
2018-04-22,11.463600,11.854900,11.063300,11.491500,11.491500,14442700
2018-04-23,11.444900,13.498700,11.437500,12.928900,12.928900,18618900
2018-04-24,12.988600,14.006800,12.821500,13.505900,13.505900,15800000
2018-04-25,13.553600,13.566600,10.946300,11.422600,11.422600,11509600
2018-04-26,11.514800,13.234100,10.886400,13.219000,13.219000,13509500
2018-04-27,13.238100,13.301900,12.146400,12.146400,12.146400,11157100
2018-04-28,12.137900,14.025100,12.072800,13.706000,13.706000,16601700
2018-04-29,13.692100,15.885800,13.426100,15.745000,15.745000,18788900
2018-04-30,15.875500,16.524599,14.824800,15.058300,15.058300,19396200
2018-05-01,15.099300,15.502300,14.015500,15.328300,15.328300,11584900
2018-05-02,15.375300,16.193899,15.135200,15.963400,15.963400,15069900
2018-05-03,15.946400,16.046700,15.496700,15.683300,15.683300,15006300
2018-05-04,15.684300,16.057800,14.728400,14.969400,14.969400,12381300
2018-05-05,14.995900,15.352300,14.533400,14.786800,14.786800,12208100
2018-05-06,14.752000,14.834600,13.541400,13.991500,13.991500,9800430
2018-05-07,13.931900,15.649600,12.930700,15.583900,15.583900,15538200
2018-05-08,15.594100,15.818800,13.937800,14.542100,14.542100,12363600
2018-05-09,14.486700,14.988000,13.532500,14.934500,14.934500,9725130
2018-05-10,14.854300,15.510200,14.175200,14.251700,14.251700,9500540
2018-05-11,14.111700,14.111700,12.102500,12.418900,12.418900,10886800
2018-05-12,12.393300,13.194200,11.320800,12.083400,12.083400,6996960
2018-05-13,12.081600,13.239100,11.548200,13.075200,13.075200,11365300
2018-05-14,13.050700,13.390100,11.971300,12.758200,12.758200,9991030
