Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000638,0.000675,0.000629,0.000669,0.000669,261149
2020-05-08,0.000670,0.000678,0.000646,0.000665,0.000665,285195
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000692,0.000717,0.000687,0.000708,0.000708,301339
2020-05-17,0.000703,0.000757,0.000698,0.000743,0.000743,349591
2020-05-18,0.000742,0.000785,0.000737,0.000769,0.000769,417625
2020-05-19,0.000765,0.000775,0.000714,0.000719,0.000719,412834
2020-05-20,0.000719,0.000728,0.000681,0.000687,0.000687,269420
2020-05-21,0.000691,0.000696,0.000645,0.000677,0.000677,382622
2020-05-22,0.000672,0.000701,0.000668,0.000685,0.000685,255973
2020-05-23,0.000690,0.000695,0.000625,0.000653,0.000653,189752
2020-05-24,0.000654,0.000831,0.000648,0.000819,0.000819,426255
2020-05-25,0.000811,0.001015,0.000811,0.000913,0.000913,844606
2020-05-26,0.000917,0.001178,0.000880,0.001105,0.001105,521982
2020-05-27,0.001105,0.001198,0.001087,0.001152,0.001152,399693
2020-05-28,0.001153,0.001205,0.001008,0.001035,0.001035,399153
2020-05-29,0.001024,0.001146,0.001011,0.001127,0.001127,232022
2020-05-30,0.001128,0.001148,0.000987,0.001033,0.001033,200412
2020-05-31,0.001033,0.001054,0.000907,0.000941,0.000941,308391
2020-06-01,0.000936,0.000991,0.000916,0.000957,0.000957,425111
2020-06-02,0.000963,0.000990,0.000881,0.000930,0.000930,508195
2020-06-03,0.000930,0.000972,0.000909,0.000971,0.000971,209640
2020-06-04,0.000971,0.000994,0.000944,0.000960,0.000960,273315
2020-06-05,0.000960,0.001007,0.000947,0.000954,0.000954,280190
2020-06-06,0.000954,0.001401,0.000942,0.001311,0.001311,447234
2020-06-07,0.001311,0.001614,0.001201,0.001607,0.001607,692159
2020-06-08,0.001594,0.001700,0.001404,0.001646,0.001646,600733
2020-06-09,0.001643,0.003208,0.001625,0.002829,0.002829,1597728
2020-06-10,0.002593,0.003620,0.002469,0.003217,0.003217,1927904
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.002391,0.002732,0.002259,0.002522,0.002522,873693
2020-06-15,0.002522,0.002617,0.002384,0.002468,0.002468,1151253
2020-06-16,0.002480,0.002804,0.002463,0.002696,0.002696,879051
2020-06-17,0.002686,0.002765,0.002576,0.002619,0.002619,618870
2020-06-18,0.002619,0.002977,0.002579,0.002697,0.002697,680316
2020-06-19,0.002696,0.002698,0.002207,0.002250,0.002250,893454
2020-06-20,null,null,null,null,null,null
2020-06-21,0.002107,0.002164,0.001848,0.001907,0.001907,514440
2020-06-22,null,null,null,null,null,null
2020-06-23,0.002266,0.002914,0.002151,0.002557,0.002557,1282256
2020-06-24,0.002566,0.002710,0.002302,0.002351,0.002351,1303373
2020-06-25,0.002374,0.002588,0.002220,0.002546,0.002546,1497264
2020-06-26,0.002539,0.002654,0.002274,0.002425,0.002425,1346881
2020-06-27,null,null,null,null,null,null
2020-06-28,0.002176,0.002335,0.002150,0.002293,0.002293,1166982
2020-06-29,0.002293,0.002518,0.002249,0.002472,0.002472,1359599
2020-06-30,0.002465,0.002922,0.002465,0.002903,0.002903,1582978
2020-07-01,0.002901,0.003117,0.002735,0.002969,0.002969,1684374
2020-07-02,0.002960,0.003559,0.002952,0.003506,0.003506,2167734
2020-07-03,0.003536,0.003542,0.002904,0.003078,0.003078,1774806
2020-07-04,0.003106,0.003496,0.003076,0.003305,0.003305,1888446
2020-07-05,0.003304,0.003420,0.003064,0.003358,0.003358,1798068
2020-07-06,0.003358,0.003657,0.003249,0.003521,0.003521,1936453
2020-07-07,0.003517,0.003532,0.003074,0.003165,0.003165,1678261
2020-07-08,0.003159,0.003391,0.002989,0.003374,0.003374,1915736
2020-07-09,0.003374,0.003830,0.003314,0.003596,0.003596,2214743
2020-07-10,0.003598,0.004601,0.003597,0.004442,0.004442,2959560
2020-07-11,0.004442,0.004570,0.003940,0.004096,0.004096,2157799
2020-07-12,0.004085,0.004364,0.003945,0.004237,0.004237,2309863
2020-07-13,0.004237,0.005251,0.004102,0.004754,0.004754,2982067
2020-07-14,0.004728,0.005293,0.004621,0.005278,0.005278,3107936
2020-07-15,0.005287,0.007528,0.005199,0.007476,0.007476,5350683
2020-07-16,0.007474,0.007584,0.006152,0.006467,0.006467,4248942
2020-07-17,0.006505,0.007525,0.006217,0.007415,0.007415,4314119
2020-07-18,0.007391,0.009633,0.007391,0.009614,0.009614,6676578
2020-07-19,0.009598,0.013658,0.008830,0.010522,0.010522,9551230
2020-07-20,0.010539,0.010899,0.007369,0.008984,0.008984,5294020
2020-07-21,0.008839,0.008839,0.007120,0.007187,0.007187,2167655
2020-07-22,0.007195,0.007712,0.005702,0.006718,0.006718,2680916
2020-07-23,0.006718,0.007076,0.005054,0.005257,0.005257,2186104
2020-07-24,0.005257,0.005725,0.004698,0.004984,0.004984,2217781
2020-07-25,0.004984,0.007261,0.004980,0.006352,0.006352,3011606
2020-07-26,0.006383,0.006660,0.005599,0.005827,0.005827,1733025
2020-07-27,0.005800,0.005982,0.005342,0.005689,0.005689,1763653
2020-07-28,0.005698,0.007567,0.005698,0.006636,0.006636,2136709
2020-07-29,0.006640,0.006714,0.006047,0.006142,0.006142,1115297
2020-07-30,0.006152,0.006913,0.006045,0.006254,0.006254,2103298
2020-07-31,0.006252,0.006564,0.005654,0.005767,0.005767,2083287
2020-08-01,0.005767,0.006852,0.005658,0.006641,0.006641,2721502
2020-08-02,0.006635,0.007792,0.006514,0.007568,0.007568,2937483
2020-08-03,0.007546,0.007717,0.006776,0.007009,0.007009,2410020
2020-08-04,0.007009,0.007363,0.006574,0.006972,0.006972,2457372
2020-08-05,0.006975,0.007521,0.006913,0.007460,0.007460,2486363
2020-08-06,0.007460,0.007496,0.006725,0.006833,0.006833,2311963
2020-08-07,0.006822,0.007157,0.005854,0.006438,0.006438,2349886
2020-08-08,0.006438,0.006655,0.005989,0.006323,0.006323,1957522
2020-08-09,0.006333,0.006421,0.005646,0.005817,0.005817,2104883
2020-08-10,0.005819,0.006035,0.005247,0.005649,0.005649,2446666
2020-08-11,0.005651,0.005802,0.005083,0.005212,0.005212,1905371
2020-08-12,0.005215,0.006706,0.005182,0.006530,0.006530,2393915
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.006445,0.006455,0.005939,0.006106,0.006106,1999492
2020-08-17,0.006106,0.006249,0.005835,0.006000,0.006000,2096398
2020-08-18,0.006004,0.006075,0.005320,0.005498,0.005498,1929189
2020-08-19,0.005498,0.005525,0.005025,0.005105,0.005105,1682251
2020-08-20,0.005105,0.005243,0.004812,0.004952,0.004952,1662236
2020-08-21,0.004934,0.005159,0.004248,0.004384,0.004384,1869774
2020-08-22,0.004375,0.004943,0.004179,0.004744,0.004744,1502766
2020-08-23,0.004751,0.005026,0.004437,0.004476,0.004476,1362391
2020-08-24,0.004478,0.004823,0.004455,0.004545,0.004545,1391855
2020-08-25,0.004534,0.004666,0.004262,0.004322,0.004322,1441105
2020-08-26,0.004317,0.004470,0.004231,0.004413,0.004413,1424540
2020-08-27,0.004408,0.005179,0.004328,0.004873,0.004873,1782300
2020-08-28,0.004877,0.006260,0.004746,0.004913,0.004913,2023945
2020-08-29,0.004941,0.006144,0.004941,0.005299,0.005299,1743060
2020-08-30,0.005298,0.005741,0.005207,0.005243,0.005243,1425136
2020-08-31,0.005242,0.005332,0.004845,0.004896,0.004896,1528464
2020-09-01,0.004905,0.004979,0.004626,0.004635,0.004635,1573881
2020-09-02,0.004620,0.005181,0.004091,0.004941,0.004941,2161520
2020-09-03,0.004956,0.005256,0.004335,0.004335,0.004335,1615899
2020-09-04,0.004334,0.004409,0.003965,0.004184,0.004184,1377317
2020-09-05,0.004189,0.004430,0.003618,0.003848,0.003848,1254600
2020-09-06,0.003848,0.004097,0.003644,0.004002,0.004002,1241530
2020-09-07,0.003977,0.004028,0.003652,0.003863,0.003863,1170071
