Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.051490,0.057939,0.049545,0.056635,0.056635,91368
2020-05-08,0.056635,0.059149,0.052160,0.057194,0.057194,104797
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.074729,0.094910,0.069192,0.090862,0.090862,180194
2020-05-17,0.091602,0.096025,0.078034,0.078034,0.078034,191153
2020-05-18,0.078031,0.089733,0.074642,0.081279,0.081279,142533
2020-05-19,0.081253,0.088352,0.072716,0.075457,0.075457,149128
2020-05-20,0.075461,0.086025,0.075420,0.079724,0.079724,116455
2020-05-21,0.079712,0.084929,0.070778,0.074812,0.074812,116017
2020-05-22,0.074812,0.080709,0.071494,0.078460,0.078460,91785
2020-05-23,0.078999,0.079725,0.071902,0.079660,0.079660,106948
2020-05-24,0.079633,0.080200,0.070549,0.071151,0.071151,93039
2020-05-25,0.070942,0.076552,0.067212,0.068194,0.068194,108235
2020-05-26,0.068188,0.076438,0.066399,0.072551,0.072551,122661
2020-05-27,0.072551,0.078041,0.066913,0.074040,0.074040,107420
2020-05-28,0.074035,0.078236,0.067124,0.069294,0.069294,101336
2020-05-29,0.069301,0.073032,0.066585,0.067652,0.067652,99448
2020-05-30,0.067668,0.079760,0.067668,0.070507,0.070507,128132
2020-05-31,0.070507,0.074441,0.068355,0.068932,0.068932,108612
2020-06-01,0.068922,0.074222,0.068094,0.072303,0.072303,111812
2020-06-02,0.072331,0.075208,0.068296,0.070674,0.070674,103046
2020-06-03,0.070674,0.073135,0.067491,0.069808,0.069808,104970
2020-06-04,0.069830,0.073533,0.065008,0.071879,0.071879,109503
2020-06-05,0.071879,0.071902,0.064312,0.064550,0.064550,112833
2020-06-06,0.064550,0.068863,0.063471,0.063941,0.063941,101110
2020-06-07,0.063941,0.068710,0.063177,0.067861,0.067861,108518
2020-06-08,0.067870,0.069784,0.062088,0.068048,0.068048,111240
2020-06-09,0.068039,0.072266,0.063468,0.065594,0.065594,90410
2020-06-10,0.065598,0.072029,0.063413,0.067631,0.067631,121479
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.061617,0.063447,0.057958,0.058831,0.058831,100708
2020-06-15,0.058831,0.063303,0.056211,0.062905,0.062905,92528
2020-06-16,0.062911,0.063224,0.057424,0.061029,0.061029,100900
2020-06-17,0.061040,0.063001,0.057416,0.060147,0.060147,122263
2020-06-18,0.060147,0.063625,0.057522,0.063485,0.063485,97565
2020-06-19,0.063543,0.063663,0.057250,0.057938,0.057938,96966
2020-06-20,null,null,null,null,null,null
2020-06-21,0.058273,0.059593,0.053967,0.053987,0.053987,105449
2020-06-22,null,null,null,null,null,null
2020-06-23,0.055840,0.069468,0.055834,0.065026,0.065026,111987
2020-06-24,0.065089,0.068676,0.060656,0.062371,0.062371,113591
2020-06-25,0.062399,0.066830,0.059521,0.060821,0.060821,96805
2020-06-26,0.060808,0.065704,0.058739,0.061657,0.061657,99546
2020-06-27,null,null,null,null,null,null
2020-06-28,0.059872,0.064587,0.057878,0.060986,0.060986,97090
2020-06-29,0.060986,0.065724,0.059591,0.059677,0.059677,93170
2020-06-30,0.059254,0.063806,0.059195,0.062814,0.062814,110000
2020-07-01,0.062833,0.067697,0.060669,0.064668,0.064668,105202
2020-07-02,0.064691,0.067481,0.061533,0.065868,0.065868,81166
2020-07-03,0.065853,0.067066,0.062398,0.066724,0.066724,80094
2020-07-04,0.066726,0.067163,0.060959,0.065786,0.065786,104043
2020-07-05,0.065781,0.067287,0.062304,0.065220,0.065220,77472
2020-07-06,0.065220,0.068672,0.062770,0.065281,0.065281,84430
2020-07-07,0.065237,0.081573,0.063317,0.072470,0.072470,70884
2020-07-08,0.072448,0.079413,0.064211,0.066965,0.066965,80513
2020-07-09,0.066972,0.081621,0.064280,0.067099,0.067099,80050
2020-07-10,0.067149,0.076684,0.064044,0.076684,0.076684,142069
2020-07-11,0.076690,0.076690,0.062773,0.063599,0.063599,127153
2020-07-12,0.063597,0.067956,0.060148,0.063895,0.063895,96660
