Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.015737,0.015822,0.014531,0.014996,0.014996,1192834
2020-05-08,0.014999,0.016549,0.014837,0.015836,0.015836,1433623
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.015094,0.017029,0.014872,0.015369,0.015369,3103973
2020-05-17,0.015364,0.015930,0.015225,0.015490,0.015490,1574086
2020-05-18,0.015492,0.015805,0.015304,0.015314,0.015314,1255673
2020-05-19,0.015315,0.015718,0.015112,0.015523,0.015523,1291339
2020-05-20,0.015518,0.016146,0.015229,0.015716,0.015716,1517406
2020-05-21,0.015780,0.016371,0.014542,0.014973,0.014973,2067148
2020-05-22,0.015056,0.016323,0.014865,0.016287,0.016287,1478646
2020-05-23,0.016207,0.016446,0.015344,0.015691,0.015691,982542
2020-05-24,0.015700,0.020112,0.015358,0.016602,0.016602,5365875
2020-05-25,0.016621,0.018913,0.016265,0.017475,0.017475,2813279
2020-05-26,0.017529,0.020032,0.017307,0.019140,0.019140,3309885
2020-05-27,0.019140,0.021464,0.017456,0.017578,0.017578,3382604
2020-05-28,0.017586,0.018353,0.017079,0.017954,0.017954,1636216
2020-05-29,0.017836,0.019230,0.017822,0.018518,0.018518,1298058
2020-05-30,0.018571,0.018752,0.017851,0.018366,0.018366,1304394
2020-05-31,0.018366,0.019355,0.017648,0.018012,0.018012,1548382
2020-06-01,0.017920,0.019617,0.017679,0.019174,0.019174,1683528
2020-06-02,0.019024,0.020466,0.018476,0.019438,0.019438,2054713
2020-06-03,0.019438,0.022693,0.019252,0.022185,0.022185,3724127
2020-06-04,0.022252,0.023048,0.020787,0.020938,0.020938,2468263
2020-06-05,0.020938,0.026323,0.020753,0.025105,0.025105,5287310
2020-06-06,0.025105,0.026851,0.023547,0.024032,0.024032,4502299
2020-06-07,0.024032,0.025872,0.022673,0.025838,0.025838,2937212
2020-06-08,0.025639,0.025905,0.024288,0.024459,0.024459,1808681
2020-06-09,0.024456,0.027510,0.024186,0.026936,0.026936,2955967
2020-06-10,0.027109,0.027867,0.025858,0.027520,0.027520,3053818
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.029555,0.030095,0.028331,0.028408,0.028408,3687283
2020-06-15,0.028408,0.028710,0.024725,0.026981,0.026981,4799415
2020-06-16,0.027022,0.028151,0.026828,0.027507,0.027507,3369507
2020-06-17,0.027510,0.028339,0.026977,0.027930,0.027930,3577826
2020-06-18,0.027930,0.031350,0.027473,0.030237,0.030237,6062997
2020-06-19,0.030037,0.031925,0.028252,0.031034,0.031034,5909598
2020-06-20,null,null,null,null,null,null
2020-06-21,0.031011,0.031446,0.028238,0.028272,0.028272,4054126
2020-06-22,null,null,null,null,null,null
2020-06-23,0.028668,0.029276,0.027643,0.027953,0.027953,2927068
2020-06-24,0.027929,0.029564,0.027548,0.028357,0.028357,3711160
2020-06-25,0.028361,0.028655,0.026552,0.026826,0.026826,2162386
2020-06-26,0.026772,0.026955,0.023664,0.024120,0.024120,2894982
2020-06-27,null,null,null,null,null,null
2020-06-28,0.021297,0.024696,0.020795,0.023533,0.023533,2508548
2020-06-29,0.023533,0.024015,0.022140,0.022735,0.022735,1757658
2020-06-30,0.022590,0.023608,0.021461,0.021777,0.021777,1902426
2020-07-01,0.021715,0.022050,0.020913,0.021346,0.021346,1618312
2020-07-02,0.021309,0.021928,0.020488,0.021702,0.021702,1759311
2020-07-03,0.021745,0.022482,0.021029,0.021371,0.021371,2100645
2020-07-04,0.021436,0.022245,0.021254,0.022126,0.022126,1388295
2020-07-05,0.022126,0.022159,0.020410,0.020928,0.020928,1395708
2020-07-06,0.020928,0.022987,0.020878,0.021850,0.021850,2922885
2020-07-07,0.021807,0.022470,0.021385,0.021595,0.021595,1690471
2020-07-08,0.021659,0.023037,0.021448,0.022719,0.022719,1917663
2020-07-09,0.022719,0.023740,0.021933,0.022256,0.022256,2317840
2020-07-10,0.022248,0.024680,0.021992,0.024566,0.024566,2860779
2020-07-11,0.024574,0.024859,0.023567,0.024495,0.024495,1817789
2020-07-12,0.024485,0.024902,0.023311,0.023929,0.023929,1830562
2020-07-13,0.023929,0.024109,0.021514,0.021874,0.021874,2037158
2020-07-14,0.021844,0.022890,0.021554,0.022144,0.022144,2041535
2020-07-15,0.022040,0.022709,0.021721,0.022066,0.022066,1289994
2020-07-16,0.022070,0.022252,0.019837,0.020909,0.020909,1823865
2020-07-17,0.020925,0.021172,0.020115,0.020843,0.020843,1186878
2020-07-18,0.020843,0.021759,0.020483,0.021411,0.021411,1142699
2020-07-19,0.021375,0.022092,0.020859,0.021854,0.021854,1410369
2020-07-20,0.021858,0.023516,0.021226,0.022596,0.022596,2300084
2020-07-21,0.022643,0.024250,0.021881,0.022972,0.022972,2469975
2020-07-22,0.023000,0.027441,0.022897,0.025504,0.025504,5966171
2020-07-23,0.025498,0.026559,0.023615,0.024551,0.024551,2754670
2020-07-24,0.024551,0.025193,0.023677,0.023677,0.023677,2034142
2020-07-25,0.023686,0.025674,0.023626,0.024450,0.024450,1924927
2020-07-26,0.024468,0.025132,0.023602,0.024640,0.024640,1756520
2020-07-27,0.024637,0.024752,0.021140,0.021708,0.021708,2631868
2020-07-28,0.021793,0.023117,0.021303,0.022419,0.022419,1606119
2020-07-29,0.022354,0.024437,0.022150,0.023145,0.023145,1842435
2020-07-30,0.023143,0.024399,0.022889,0.023556,0.023556,1786679
2020-07-31,0.023634,0.023890,0.021754,0.021989,0.021989,1453877
2020-08-01,0.021989,0.023208,0.021827,0.022567,0.022567,1650056
2020-08-02,0.022596,0.023185,0.021369,0.022343,0.022343,1388793
2020-08-03,0.022333,0.023867,0.022303,0.022565,0.022565,1755811
2020-08-04,0.022564,0.024155,0.021989,0.023886,0.023886,2288851
2020-08-05,0.023800,0.024220,0.022956,0.023548,0.023548,1697610
2020-08-06,0.023548,0.025678,0.023199,0.024943,0.024943,2325574
2020-08-07,0.024941,0.028206,0.024941,0.027144,0.027144,3477453
2020-08-08,0.027194,0.029270,0.027059,0.027741,0.027741,2875450
2020-08-09,0.027744,0.030680,0.026797,0.029624,0.029624,3868052
2020-08-10,0.029580,0.030961,0.028186,0.030170,0.030170,3185490
2020-08-11,0.030120,0.030493,0.027235,0.027960,0.027960,2387694
2020-08-12,0.028082,0.034024,0.027471,0.032558,0.032558,5684223
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.034784,0.035556,0.033378,0.034401,0.034401,2780319
2020-08-17,0.034401,0.039034,0.031271,0.038030,0.038030,7492984
2020-08-18,0.037087,0.043537,0.035626,0.035764,0.035764,10209066
2020-08-19,0.035764,0.036472,0.030437,0.031290,0.031290,4287472
2020-08-20,0.031290,0.036318,0.031165,0.034221,0.034221,5157375
2020-08-21,0.034175,0.035634,0.029440,0.030458,0.030458,5166802
2020-08-22,0.030484,0.033762,0.028238,0.032224,0.032224,3032918
2020-08-23,0.032374,0.032374,0.030280,0.031285,0.031285,1720865
2020-08-24,0.031169,0.034126,0.030377,0.032001,0.032001,2957659
2020-08-25,0.032013,0.033922,0.029724,0.031056,0.031056,2881319
2020-08-26,0.031099,0.031660,0.029669,0.030282,0.030282,2030324
2020-08-27,0.030340,0.030470,0.027305,0.028187,0.028187,2194514
2020-08-28,0.028186,0.029921,0.027929,0.029017,0.029017,2024552
2020-08-29,0.029036,0.030306,0.028728,0.029297,0.029297,1901005
2020-08-30,0.029298,0.031012,0.029119,0.030779,0.030779,2162368
2020-08-31,0.030754,0.032017,0.030422,0.031929,0.031929,2833553
2020-09-01,0.031909,0.031997,0.028586,0.028698,0.028698,2739208
2020-09-02,0.028690,0.028709,0.025437,0.026229,0.026229,1851133
2020-09-03,0.026197,0.026696,0.020042,0.020393,0.020393,2012964
2020-09-04,0.020392,0.023753,0.020172,0.022351,0.022351,2179032
2020-09-05,0.022276,0.022867,0.017892,0.018578,0.018578,1672894
2020-09-06,0.018578,0.020069,0.017119,0.019878,0.019878,1502222
2020-09-07,0.019774,0.020354,0.017625,0.019264,0.019264,1146381
2020-09-08,0.019288,0.020740,0.017797,0.019454,0.019454,1708002
2020-09-09,0.019474,0.021204,0.018681,0.019699,0.019699,1680747
2020-09-10,0.019788,0.021897,0.019667,0.021533,0.021533,1481478
