Date,Open,High,Low,Close,Adj Close,Volume
2016-09-12,0.001214,0.001514,0.001039,0.001429,0.001429,1085
2016-09-13,0.000803,0.002865,0.000802,0.001712,0.001712,519
2016-09-14,0.001711,0.001888,0.001376,0.001734,0.001734,1079
2016-09-15,0.001734,0.001827,0.000775,0.001511,0.001511,3735
2016-09-16,0.001738,0.004819,0.000165,0.001094,0.001094,15012
2016-09-17,0.001094,0.001506,0.000512,0.001302,0.001302,5869
2016-09-18,0.001303,0.001333,0.000802,0.001165,0.001165,1140
2016-09-19,0.001165,0.002137,0.000915,0.001340,0.001340,6942
2016-09-20,0.001206,0.001340,0.000793,0.001038,0.001038,4114
2016-09-21,0.001030,0.001185,0.000600,0.000862,0.000862,7939
2016-09-22,0.000862,0.000910,0.000189,0.000502,0.000502,4806
2016-09-23,0.000502,0.000958,0.000302,0.000404,0.000404,15207
2016-09-24,0.000404,0.000652,0.000325,0.000325,0.000325,4700
2016-09-25,0.000325,0.000582,0.000271,0.000426,0.000426,9905
2016-09-26,0.000426,0.000510,0.000300,0.000450,0.000450,4357
2016-09-27,0.000450,0.000523,0.000333,0.000364,0.000364,4298
2016-09-28,0.000364,0.000526,0.000309,0.000423,0.000423,2206
2016-09-29,0.000423,0.000508,0.000363,0.000401,0.000401,1038
2016-09-30,0.000401,0.000462,0.000384,0.000396,0.000396,891
2016-10-01,0.000396,0.000452,0.000385,0.000424,0.000424,330
2016-10-02,0.000424,0.000534,0.000424,0.000446,0.000446,291
2016-10-03,0.000446,0.000502,0.000428,0.000478,0.000478,116
2016-10-04,0.000478,0.000543,0.000438,0.000487,0.000487,426
2016-10-05,0.000487,0.000505,0.000420,0.000503,0.000503,1147
2016-10-06,0.000503,0.000505,0.000413,0.000505,0.000505,522
2016-10-07,0.000505,0.000792,0.000457,0.000585,0.000585,870
2016-10-08,0.000586,0.000713,0.000521,0.000643,0.000643,258
2016-10-09,0.000643,0.000649,0.000512,0.000518,0.000518,128
2016-10-10,0.000518,0.000867,0.000518,0.000867,0.000867,362
2016-10-11,0.000867,0.000891,0.000664,0.000726,0.000726,247
2016-10-12,0.000726,0.000837,0.000473,0.000573,0.000573,1682
2016-10-13,0.000572,0.000726,0.000534,0.000560,0.000560,205
2016-10-14,0.000561,0.000710,0.000510,0.000683,0.000683,227
2016-10-15,0.000683,0.000709,0.000520,0.000649,0.000649,116
2016-10-16,0.000649,0.000658,0.000550,0.000602,0.000602,57
2016-10-17,0.000602,0.000653,0.000525,0.000537,0.000537,216
2016-10-18,0.000537,0.000681,0.000492,0.000644,0.000644,1131
2016-10-19,0.000644,0.000664,0.000497,0.000567,0.000567,180
2016-10-20,0.000568,0.000641,0.000484,0.000625,0.000625,183
2016-10-21,0.000625,0.000626,0.000519,0.000551,0.000551,192
2016-10-22,0.000551,0.000572,0.000504,0.000572,0.000572,76
2016-10-23,0.000572,0.000623,0.000507,0.000590,0.000590,170
2016-10-24,0.000591,0.000622,0.000523,0.000588,0.000588,599
2016-10-25,0.000589,0.000632,0.000533,0.000552,0.000552,258
2016-10-26,0.000552,0.000608,0.000523,0.000536,0.000536,113
2016-10-27,0.000536,0.000605,0.000519,0.000529,0.000529,237
2016-10-28,0.000529,0.000595,0.000501,0.000552,0.000552,318
2016-10-29,0.000552,0.000597,0.000465,0.000533,0.000533,146
2016-10-30,0.000533,0.000609,0.000468,0.000497,0.000497,266
2016-10-31,0.000497,0.000563,0.000441,0.000534,0.000534,122
2016-11-01,0.000534,0.000600,0.000475,0.000525,0.000525,46
2016-11-02,0.000525,0.000525,0.000027,0.000139,0.000139,1407
2016-11-03,null,null,null,null,null,null
2016-11-04,null,null,null,null,null,null
2016-11-05,null,null,null,null,null,null
2016-11-06,null,null,null,null,null,null
2016-11-07,null,null,null,null,null,null
2016-11-08,null,null,null,null,null,null
2016-11-09,null,null,null,null,null,null
2016-11-10,null,null,null,null,null,null
2016-11-11,null,null,null,null,null,null
2016-11-12,null,null,null,null,null,null
2016-11-13,null,null,null,null,null,null
2016-11-14,null,null,null,null,null,null
2016-11-15,null,null,null,null,null,null
2016-11-16,null,null,null,null,null,null
2016-11-17,null,null,null,null,null,null
2016-11-18,null,null,null,null,null,null
2016-11-19,null,null,null,null,null,null
2016-11-20,null,null,null,null,null,null
2016-11-21,null,null,null,null,null,null
2016-11-22,null,null,null,null,null,null
2016-11-23,null,null,null,null,null,null
2016-11-24,null,null,null,null,null,null
2016-11-25,null,null,null,null,null,null
2016-11-26,0.000589,0.000694,0.000482,0.000486,0.000486,141
2016-11-27,0.000485,0.000580,0.000332,0.000505,0.000505,208
2016-11-28,0.000505,0.000537,0.000353,0.000368,0.000368,90
2016-11-29,0.000500,0.000501,0.000302,0.000302,0.000302,170
2016-11-30,0.000302,0.000457,0.000291,0.000410,0.000410,84
2016-12-01,0.000410,0.000446,0.000227,0.000439,0.000439,119
2016-12-02,0.000439,0.000740,0.000296,0.000311,0.000311,222
2016-12-03,0.000311,0.000474,0.000287,0.000362,0.000362,30
2016-12-04,0.000362,0.000448,0.000292,0.000425,0.000425,20
2016-12-05,0.000426,0.000464,0.000271,0.000379,0.000379,65
2016-12-06,0.000379,0.000467,0.000289,0.000382,0.000382,13
2016-12-07,0.000382,0.000450,0.000276,0.000277,0.000277,68
2016-12-08,0.000277,0.000569,0.000276,0.000301,0.000301,126
2016-12-09,0.000301,0.000395,0.000300,0.000363,0.000363,145
2016-12-10,0.000363,0.000388,0.000302,0.000387,0.000387,86
2016-12-11,0.000387,0.000767,0.000308,0.000531,0.000531,700
2016-12-12,0.000531,0.000540,0.000320,0.000499,0.000499,96
2016-12-13,0.000500,0.000505,0.000312,0.000477,0.000477,13
