Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.013298,0.014739,0.013178,0.013297,0.013297,28923
2020-05-08,0.013297,0.013908,0.012557,0.013252,0.013252,31488
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.009953,0.010508,0.008881,0.009583,0.009583,27906
2020-05-17,0.009583,0.010269,0.009289,0.009959,0.009959,16566
2020-05-18,0.009958,0.010327,0.009496,0.009782,0.009782,20475
2020-05-19,0.009781,0.010113,0.009029,0.009895,0.009895,15296
2020-05-20,0.009898,0.010488,0.009287,0.009909,0.009909,20150
2020-05-21,0.009910,0.010112,0.009440,0.009656,0.009656,16825
2020-05-22,0.009655,0.010257,0.009532,0.009794,0.009794,17890
2020-05-23,0.009795,0.010083,0.009594,0.009822,0.009822,11308
2020-05-24,0.009822,0.010097,0.009601,0.009790,0.009790,15033
2020-05-25,0.009776,0.009968,0.008365,0.009444,0.009444,51448
2020-05-26,0.009443,0.009708,0.008896,0.009272,0.009272,14188
2020-05-27,0.009272,0.009852,0.009128,0.009828,0.009828,6243
2020-05-28,0.009827,0.010216,0.009623,0.010193,0.010193,5238
2020-05-29,0.010193,0.010260,0.009248,0.009816,0.009816,6204
2020-05-30,0.009816,0.010332,0.009074,0.009698,0.009698,27270
2020-05-31,0.009698,0.009863,0.009427,0.009472,0.009472,4604
2020-06-01,0.009472,0.010008,0.009278,0.009963,0.009963,3269
2020-06-02,0.009964,0.010130,0.008738,0.009426,0.009426,11481
2020-06-03,0.009427,0.009804,0.009182,0.009559,0.009559,6460
2020-06-04,0.009561,0.009716,0.008969,0.009311,0.009311,10149
2020-06-05,0.009311,0.009714,0.008890,0.009373,0.009373,8529
2020-06-06,0.009373,0.009686,0.009124,0.009355,0.009355,4757
2020-06-07,0.009355,0.009820,0.009225,0.009759,0.009759,10716
2020-06-08,0.009760,0.009936,0.009395,0.009771,0.009771,3001
2020-06-09,0.009771,0.010020,0.009469,0.009794,0.009794,2841
2020-06-10,0.009795,0.010157,0.009284,0.009668,0.009668,13786
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.009278,0.009511,0.009045,0.009376,0.009376,3070
2020-06-15,0.009375,0.009597,0.008781,0.009528,0.009528,5188
2020-06-16,0.009530,0.009641,0.009123,0.009142,0.009142,4881
2020-06-17,0.009144,0.009533,0.009117,0.009282,0.009282,1500
2020-06-18,0.009282,0.009435,0.009132,0.009221,0.009221,1974
2020-06-19,0.009232,0.009467,0.009087,0.009467,0.009467,11238
2020-06-20,null,null,null,null,null,null
2020-06-21,0.009134,0.009462,0.009032,0.009390,0.009390,5422
2020-06-22,null,null,null,null,null,null
2020-06-23,0.009747,0.009766,0.009038,0.009342,0.009342,9203
2020-06-24,0.009346,0.009579,0.008712,0.009021,0.009021,11197
2020-06-25,0.009027,0.009648,0.005937,0.008976,0.008976,35747
2020-06-26,0.008972,0.009022,0.008498,0.008693,0.008693,3201
2020-06-27,null,null,null,null,null,null
2020-06-28,0.008301,0.008536,0.008016,0.008482,0.008482,11756
2020-06-29,0.008482,0.008656,0.007951,0.008427,0.008427,4914
2020-06-30,0.008426,0.008573,0.007941,0.007941,0.007941,5302
2020-07-01,0.007941,0.008402,0.007510,0.008391,0.008391,19329
2020-07-02,0.008394,0.008395,0.006988,0.007649,0.007649,22412
2020-07-03,0.007647,0.008063,0.007558,0.007892,0.007892,4420
2020-07-04,0.007893,0.008726,0.007691,0.008203,0.008203,4903
2020-07-05,0.008173,0.008438,0.007303,0.008425,0.008425,8736
2020-07-06,0.008425,0.009109,0.007895,0.008845,0.008845,8431
2020-07-07,0.008844,0.009295,0.008706,0.008976,0.008976,6058
2020-07-08,0.008978,0.009243,0.008567,0.008583,0.008583,8892
2020-07-09,0.008583,0.008769,0.007527,0.007875,0.007875,18782
2020-07-10,0.007876,0.008243,0.007400,0.008168,0.008168,5930
2020-07-11,0.008166,0.008392,0.007924,0.008317,0.008317,2776
2020-07-12,0.008317,0.008378,0.008029,0.008349,0.008349,1528
2020-07-13,0.008349,0.008400,0.007305,0.007520,0.007520,15581
2020-07-14,0.007477,0.007975,0.007431,0.007667,0.007667,6156
2020-07-15,0.007667,0.007921,0.007334,0.007534,0.007534,3365
2020-07-16,0.007533,0.007950,0.007439,0.007759,0.007759,2727
2020-07-17,0.007758,0.007929,0.007541,0.007867,0.007867,1647
2020-07-18,0.007867,0.008058,0.007682,0.008054,0.008054,1060
2020-07-19,0.008053,0.008121,0.007402,0.007438,0.007438,10331
2020-07-20,0.007450,0.007852,0.006888,0.007593,0.007593,11059
2020-07-21,0.007593,0.007927,0.007138,0.007869,0.007869,5938
2020-07-22,0.007869,0.008206,0.007557,0.008193,0.008193,4467
2020-07-23,0.008193,0.008429,0.007662,0.008049,0.008049,7403
2020-07-24,0.008051,0.008164,0.007776,0.008105,0.008105,3022
2020-07-25,0.008106,0.008533,0.007926,0.008129,0.008129,4561
2020-07-26,0.008131,0.008642,0.007920,0.008122,0.008122,3218
2020-07-27,0.008122,0.009746,0.008111,0.009349,0.009349,9404
2020-07-28,0.009336,0.009645,0.008611,0.009273,0.009273,16404
2020-07-29,0.009276,0.009585,0.009026,0.009091,0.009091,9125
2020-07-30,0.009099,0.009292,0.008421,0.008992,0.008992,10790
2020-07-31,0.008992,0.009626,0.008806,0.009170,0.009170,11799
2020-08-01,0.009170,0.009349,0.008845,0.008945,0.008945,8539
2020-08-02,0.009179,0.009198,0.008186,0.008404,0.008404,7055
2020-08-03,0.008408,0.009071,0.008342,0.008773,0.008773,7545
2020-08-04,0.008772,0.010093,0.008549,0.010079,0.010079,16749
2020-08-05,0.010080,0.010112,0.009216,0.009631,0.009631,14424
2020-08-06,0.009631,0.009977,0.009373,0.009656,0.009656,5658
2020-08-07,0.009654,0.009909,0.008967,0.009626,0.009626,10789
2020-08-08,0.009629,0.010037,0.009452,0.009759,0.009759,4708
2020-08-09,0.009762,0.010152,0.009450,0.009466,0.009466,5520
2020-08-10,0.009470,0.010078,0.009393,0.009626,0.009626,6291
2020-08-11,0.009629,0.009901,0.008930,0.009111,0.009111,9929
2020-08-12,0.009116,0.009512,0.008861,0.009262,0.009262,7292
2020-08-13,0.009263,0.010375,0.009098,0.010133,0.010133,24089
2020-08-14,0.010129,0.010479,0.009600,0.009646,0.009646,11084
2020-08-15,0.009649,0.010162,0.009649,0.009741,0.009741,4140
2020-08-16,0.009739,0.010715,0.009653,0.010715,0.010715,8273
2020-08-17,0.010715,0.010728,0.009465,0.010533,0.010533,22877
2020-08-18,0.010531,0.010733,0.009446,0.009936,0.009936,14388
2020-08-19,0.009935,0.009978,0.009056,0.009511,0.009511,6970
2020-08-20,0.009511,0.009747,0.009175,0.009380,0.009380,5313
2020-08-21,0.009379,0.009720,0.009234,0.009357,0.009357,4287
2020-08-22,0.009360,0.009449,0.008817,0.009341,0.009341,13637
2020-08-23,0.009340,0.009561,0.009030,0.009325,0.009325,7571
