Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,3.283948,3.373003,3.098515,3.364120,3.364120,1338182
2020-05-08,3.364120,3.386339,3.276514,3.316674,3.316674,1154815
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,3.149296,3.193004,2.498854,2.853799,2.853799,1997017
2020-05-17,2.854331,2.954049,2.564718,2.768620,2.768620,1354330
2020-05-18,2.768296,2.837587,2.518415,2.737073,2.737073,1268117
2020-05-19,2.735542,2.760445,2.549009,2.738401,2.738401,1419548
2020-05-20,2.739042,2.775184,2.542140,2.613621,2.613621,1351265
2020-05-21,2.613704,2.636225,2.381614,2.546512,2.546512,1366637
2020-05-22,2.546275,2.575310,2.484342,2.529892,2.529892,1470221
2020-05-23,2.530179,2.581528,2.456204,2.497830,2.497830,1589061
2020-05-24,2.497948,2.546347,2.439482,2.439482,2.439482,1204470
2020-05-25,2.433468,2.542387,2.357903,2.468734,2.468734,1429817
2020-05-26,2.468417,2.472815,2.184099,2.392145,2.392145,1326175
2020-05-27,2.392145,2.481758,2.253347,2.450758,2.450758,1339897
2020-05-28,2.450673,2.563911,2.349057,2.506858,2.506858,1063989
2020-05-29,2.505743,2.535244,2.433412,2.471890,2.471890,1218202
2020-05-30,2.470203,2.689882,2.468028,2.578940,2.578940,1231969
2020-05-31,2.579954,2.684012,2.456526,2.527243,2.527243,1186256
2020-06-01,2.526963,2.680541,2.474412,2.661808,2.661808,1293619
2020-06-02,2.662294,2.768385,2.500205,2.550256,2.550256,1370261
2020-06-03,2.550256,2.579449,2.440513,2.545348,2.545348,1118928
2020-06-04,2.626400,2.650166,2.497043,2.613868,2.613868,1213693
2020-06-05,2.613868,2.623676,2.437064,2.442148,2.442148,1326130
2020-06-06,2.442148,2.505749,2.368608,2.445877,2.445877,1254431
2020-06-07,2.445877,2.556160,2.425263,2.548338,2.548338,1077930
2020-06-08,2.548729,2.560173,2.444923,2.489425,2.489425,1175469
2020-06-09,2.489818,2.537353,2.448675,2.508885,2.508885,1180224
2020-06-10,2.509054,2.527297,2.349619,2.424842,2.424842,1228235
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,2.255470,2.282716,2.094275,2.121846,2.121846,950988
2020-06-15,2.121846,2.243995,2.032081,2.127473,2.127473,1248622
2020-06-16,2.145105,2.353701,2.110655,2.240973,2.240973,1068154
2020-06-17,2.241150,2.334031,2.206879,2.316994,2.316994,1619406
2020-06-18,2.316994,2.393174,2.230825,2.302920,2.302920,1540230
2020-06-19,2.305414,2.369181,2.142244,2.149906,2.149906,1205574
2020-06-20,null,null,null,null,null,null
2020-06-21,2.219598,2.321770,2.125403,2.163637,2.163637,1246271
2020-06-22,null,null,null,null,null,null
2020-06-23,2.290544,2.366232,2.271783,2.305188,2.305188,1192779
2020-06-24,2.306226,2.319923,2.139154,2.153684,2.153684,1221580
2020-06-25,2.154779,2.320031,2.081204,2.157166,2.157166,1583392
2020-06-26,2.156551,2.215374,2.054818,2.114513,2.114513,1125818
2020-06-27,null,null,null,null,null,null
2020-06-28,2.061271,2.128256,1.979110,2.069578,2.069578,1328321
2020-06-29,2.069521,2.120059,1.955200,2.077318,2.077318,1307749
2020-06-30,2.077163,2.093840,1.962029,1.987858,1.987858,1061991
2020-07-01,1.987729,2.073370,1.957655,1.985125,1.985125,1201702
2020-07-02,1.986051,2.088675,1.961618,1.981849,1.981849,1117058
2020-07-03,1.981392,2.379104,1.903225,2.038492,2.038492,1176678
2020-07-04,2.038436,2.076310,1.930912,1.975307,1.975307,1185390
2020-07-05,1.975972,2.004551,1.910053,1.969542,1.969542,850800
2020-07-06,1.969542,2.050285,1.904257,1.972242,1.972242,1302349
2020-07-07,1.972119,2.020134,1.899638,1.999002,1.999002,1283442
2020-07-08,1.999546,2.036298,1.915454,2.018068,2.018068,1295296
2020-07-09,2.018283,2.031040,1.920022,1.986911,1.986911,1130914
2020-07-10,1.987064,2.014801,1.876839,1.942702,1.942702,1328653
2020-07-11,1.943117,1.972494,1.888709,1.941464,1.941464,1109369
2020-07-12,1.941326,1.957210,1.862576,1.890709,1.890709,1187299
2020-07-13,1.890709,1.940694,1.859954,1.932259,1.932259,1166304
2020-07-14,1.932259,1.940129,1.847278,1.922889,1.922889,1113000
2020-07-15,1.922722,1.937546,1.845280,1.891254,1.891254,1288665
2020-07-16,1.891122,2.232462,1.820347,2.064449,2.064449,1367368
2020-07-17,2.067703,2.085515,1.935378,2.044623,2.044623,1192805
2020-07-18,2.018888,2.037060,1.857023,1.873996,1.873996,1120697
2020-07-19,1.880032,1.960411,1.812684,1.923661,1.923661,1288647
2020-07-20,1.927116,1.947320,1.832536,1.857880,1.857880,1373035
2020-07-21,1.857727,1.925106,1.836060,1.918159,1.918159,1092762
2020-07-22,1.918100,1.946853,1.871611,1.946299,1.946299,1369469
2020-07-23,1.946120,1.994921,1.915694,1.942092,1.942092,1400758
2020-07-24,1.942092,1.963623,1.867488,1.867488,1.867488,1247367
2020-07-25,1.867686,2.006340,1.867249,1.929915,1.929915,1305250
2020-07-26,1.930605,2.248286,1.926366,2.151150,2.151150,1515208
2020-07-27,2.151183,2.251422,2.011139,2.129578,2.129578,1674345
2020-07-28,2.125373,2.233044,2.031168,2.152279,2.152279,1771434
2020-07-29,2.153093,2.190972,2.063992,2.141944,2.141944,1535738
2020-07-30,2.144321,2.168154,2.052233,2.154944,2.154944,1648282
2020-07-31,2.154648,2.418021,2.092601,2.191862,2.191862,2954803
2020-08-01,2.191862,2.237697,2.085996,2.105052,2.105052,1318736
2020-08-02,2.105018,2.128992,1.958021,2.040321,2.040321,1490610
2020-08-03,2.041435,2.180411,2.026506,2.087048,2.087048,2061419
2020-08-04,2.086840,2.155728,2.000452,2.077431,2.077431,2222756
2020-08-05,2.077555,2.147281,2.036150,2.107133,2.107133,1508887
2020-08-06,2.105934,2.125537,2.034496,2.064706,2.064706,1796801
2020-08-07,2.065222,2.208618,2.008865,2.060818,2.060818,2068261
2020-08-08,2.060855,2.091502,1.930657,1.949598,1.949598,1194681
2020-08-09,1.952181,2.560867,1.894570,2.536845,2.536845,3203378
2020-08-10,2.536168,2.595617,2.263341,2.507365,2.507365,2435993
2020-08-11,2.508233,2.513991,2.000131,2.081693,2.081693,1721390
2020-08-12,2.082691,2.320135,2.039964,2.039964,2.039964,1626257
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,1.942373,2.001778,1.905221,1.965135,1.965135,1551985
2020-08-17,1.965135,1.967567,1.804114,1.874760,1.874760,1566376
2020-08-18,1.873945,1.923081,1.743149,1.743149,1.743149,1111893
2020-08-19,1.743222,1.813133,1.692842,1.745154,1.745154,1120332
2020-08-20,1.745154,1.885856,1.725679,1.773344,1.773344,1454821
2020-08-21,1.772802,1.818344,1.691958,1.718901,1.718901,1188093
2020-08-22,1.719419,1.740781,1.639876,1.701545,1.701545,1097276
2020-08-23,1.701551,1.793088,1.677761,1.705713,1.705713,1081525
2020-08-24,1.705183,1.808613,1.661819,1.807893,1.807893,1155336
2020-08-25,1.807544,1.809757,1.633903,1.652320,1.652320,1030430
2020-08-26,1.650573,1.689476,1.615412,1.661594,1.661594,1137777
2020-08-27,1.661015,1.700970,1.569744,1.623611,1.623611,912921
2020-08-28,1.623720,1.706976,1.583918,1.670187,1.670187,993371
2020-08-29,1.670522,1.687655,1.569536,1.608851,1.608851,932796
2020-08-30,1.609167,1.691906,1.583781,1.625354,1.625354,1196088
2020-08-31,1.625877,1.704505,1.610015,1.648996,1.648996,1030302
2020-09-01,1.648435,1.782968,1.638022,1.755288,1.755288,1248076
2020-09-02,1.754800,1.758651,1.602680,1.613121,1.613121,1099908
2020-09-03,1.612916,1.667868,1.437199,1.444525,1.444525,979514
2020-09-04,1.444588,1.547215,1.441006,1.484231,1.484231,898574
2020-09-05,1.484019,1.540911,1.414892,1.477492,1.477492,907480
2020-09-06,1.477492,1.559005,1.445481,1.539009,1.539009,905936
2020-09-07,1.539197,1.550816,1.434505,1.469601,1.469601,995320
2020-09-08,1.470112,1.515781,1.413227,1.476849,1.476849,889423
2020-09-09,1.477010,1.531565,1.420607,1.429252,1.429252,968887
2020-09-10,1.429205,1.493808,1.417085,1.463664,1.463664,959766
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,1.503582,1.517367,1.470219,1.502685,1.502685,1020585
2020-09-18,1.502685,1.530681,1.451476,1.466244,1.466244,946861
2020-09-19,1.466697,1.568215,1.462920,1.516191,1.516191,947049
2020-09-20,1.516558,1.516558,1.426381,1.470670,1.470670,1103820
2020-09-21,1.470643,1.499242,1.355644,1.414061,1.414061,939664
2020-09-22,1.413697,1.470969,1.346014,1.461346,1.461346,1034617
2020-09-23,1.461608,1.472509,1.324151,1.343557,1.343557,972787
2020-09-24,1.343326,1.435172,1.341123,1.353244,1.353244,908875
2020-09-25,1.353262,1.398725,1.284141,1.359959,1.359959,903770
2020-09-26,1.359905,1.408477,1.246359,1.327899,1.327899,849252
2020-09-27,1.327811,1.366012,1.243272,1.324780,1.324780,975198
2020-09-28,1.324780,1.405459,1.286603,1.354703,1.354703,863737
2020-09-29,1.354228,1.383087,1.233036,1.314378,1.314378,1200731
2020-09-30,1.314321,1.331878,1.175382,1.191720,1.191720,767737
2020-10-01,1.191720,1.384786,1.191720,1.337168,1.337168,925029
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,1.379484,1.635063,1.196713,1.408711,1.408711,951823
2020-10-06,1.408566,1.494112,0.992997,1.154319,1.154319,707256
2020-10-07,1.154319,1.350858,1.119524,1.240932,1.240932,671504
2020-10-08,1.240093,1.327883,1.164896,1.321931,1.321931,920253
2020-10-09,1.307307,1.608815,1.221607,1.292034,1.292034,662103
2020-10-10,1.242992,1.622046,1.201774,1.493861,1.493861,1358342
2020-10-11,1.494452,1.554633,1.374678,1.442354,1.442354,1208045
2020-10-12,1.441625,1.684882,1.379392,1.667150,1.667150,2429378
2020-10-13,1.669398,1.670632,1.490159,1.569793,1.569793,1441006
2020-10-14,1.569195,1.595691,1.453206,1.496847,1.496847,1394880
2020-10-15,1.497728,1.527642,1.415872,1.416618,1.416618,1583838
2020-10-16,1.416474,1.479293,1.331831,1.397216,1.397216,1913984
2020-10-17,1.397496,1.443154,1.326144,1.430456,1.430456,1998749
2020-10-18,1.430189,1.430189,1.330734,1.377139,1.377139,1585143
2020-10-19,1.374499,1.466302,1.358829,1.457046,1.457046,1721608
2020-10-20,1.456581,1.492447,1.416297,1.429484,1.429484,1730904
2020-10-21,1.429668,1.699788,1.427534,1.645011,1.645011,2535496
2020-10-22,1.644062,1.853686,1.613051,1.754918,1.754918,3007227
2020-10-23,1.753038,1.792415,1.704044,1.778440,1.778440,1580707
2020-10-24,1.778384,1.789811,1.677132,1.782174,1.782174,2952634
2020-10-25,1.781599,1.814552,1.680049,1.683013,1.683013,2157121
2020-10-26,1.683724,1.695712,1.589815,1.656189,1.656189,2696321
2020-10-27,1.656547,1.697613,1.632216,1.678914,1.678914,2748769
2020-10-28,1.680731,1.725338,1.623924,1.679332,1.679332,1617536
2020-10-29,1.679155,1.706125,1.645023,1.669109,1.669109,3357325
2020-10-30,1.667876,1.696625,1.574262,1.666972,1.666972,2908623
2020-10-31,1.664746,1.718040,1.630436,1.686927,1.686927,2882533
2020-11-01,1.687152,1.738384,1.595547,1.692199,1.692199,1804784
2020-11-02,1.694983,1.705996,1.507130,1.588911,1.588911,2141047
2020-11-03,1.588989,1.589044,1.482931,1.495110,1.495110,2164376
2020-11-04,1.495152,1.545295,1.460369,1.545282,1.545282,2209220
2020-11-05,1.545893,1.692438,1.444035,1.627785,1.627785,2512699
2020-11-06,1.629976,1.667564,1.554860,1.611891,1.611891,2425771
2020-11-07,1.612087,1.637450,1.464723,1.533900,1.533900,2534997
2020-11-08,1.533970,1.593936,1.475290,1.552162,1.552162,2022559
2020-11-09,1.552228,1.599506,1.443864,1.533713,1.533713,2399275
2020-11-10,1.533378,1.553517,1.224844,1.399330,1.399330,1972191
2020-11-11,1.399233,1.417804,1.286126,1.338217,1.338217,2066207
2020-11-12,1.338065,1.372465,1.150826,1.277301,1.277301,1865679
2020-11-13,1.277304,1.323129,1.158178,1.185418,1.185418,2164627
2020-11-14,1.185431,1.321988,1.113858,1.155440,1.155440,1433154
2020-11-15,1.155496,1.335831,1.047956,1.184043,1.184043,1503959
2020-11-16,1.184040,1.292167,1.025725,1.208980,1.208980,2458420
2020-11-17,1.204225,1.454628,1.121839,1.176222,1.176222,1528965
2020-11-18,1.176116,1.680015,1.086164,1.166824,1.166824,2108022
2020-11-19,1.166833,1.527846,1.069026,1.215378,1.215378,2425119
2020-11-20,1.215347,1.530182,1.096802,1.137596,1.137596,1421507
2020-11-21,1.137557,1.449876,1.102951,1.372015,1.372015,2341006
2020-11-22,1.372041,1.457821,1.225307,1.388341,1.388341,2849996
2020-11-23,1.388268,1.525292,1.372985,1.523944,1.523944,2072810
2020-11-24,1.523904,1.551844,1.460409,1.465716,1.465716,3236671
2020-11-25,1.465713,1.516412,1.397606,1.431352,1.431352,2957940
2020-11-26,1.431350,1.441536,1.203386,1.297084,1.297084,2567919
2020-11-27,1.297174,1.381317,1.260256,1.306913,1.306913,2348605
2020-11-28,1.307006,1.383186,1.251456,1.348834,1.348834,2837784
2020-11-29,1.348868,1.458900,1.320921,1.439286,1.439286,2304818
2020-11-30,1.439317,1.508751,1.397246,1.506268,1.506268,2401388
2020-12-01,1.506124,1.507847,1.362673,1.369262,1.369262,2466118
2020-12-02,1.369043,1.458079,1.310194,1.445472,1.445472,2338340
2020-12-03,1.445391,1.517741,1.419144,1.497208,1.497208,3112853
2020-12-04,1.496955,1.511548,1.413098,1.437031,1.437031,2472116
2020-12-05,1.436285,1.500072,1.414638,1.472278,1.472278,2125328
2020-12-06,1.471826,1.521416,1.391348,1.519051,1.519051,3189878
2020-12-07,1.519815,1.524437,1.304479,1.403875,1.403875,2711106
2020-12-08,1.403588,1.460609,1.335468,1.346741,1.346741,3175226
2020-12-09,1.346837,1.391357,1.321089,1.364171,1.364171,2493063
2020-12-10,1.363476,1.383545,1.320074,1.348484,1.348484,2183169
2020-12-11,1.356675,1.368107,1.283430,1.323994,1.323994,2190374
2020-12-12,1.322888,1.472864,1.309615,1.437114,1.437114,3045875
2020-12-13,1.437776,1.503451,1.425935,1.465878,1.465878,2858531
2020-12-14,1.465610,1.634103,1.425954,1.434847,1.434847,2656253
2020-12-15,1.435981,1.474231,1.415354,1.444269,1.444269,2384527
2020-12-16,1.444476,1.524740,1.431016,1.496289,1.496289,2644389
2020-12-17,1.496110,1.575093,1.466687,1.483511,1.483511,2708976
2020-12-18,1.483014,1.607975,1.464889,1.570498,1.570498,2020519
2020-12-19,1.568483,1.595506,1.516301,1.554219,1.554219,2539202
2020-12-20,1.554731,1.578101,1.484532,1.528567,1.528567,2703095
2020-12-21,1.525741,1.560696,1.432978,1.445773,1.445773,2456943
2020-12-22,1.441990,1.495010,1.389056,1.482632,1.482632,2579077
2020-12-23,1.482651,1.538245,1.400855,1.400855,1.400855,2456521
2020-12-24,1.400964,1.498913,1.382564,1.473128,1.473128,2979349
2020-12-25,1.471631,1.509370,1.357425,1.461118,1.461118,2596641
2020-12-26,1.460915,1.587033,1.430107,1.551739,1.551739,2605830
2020-12-27,1.552284,1.692429,1.533971,1.550212,1.550212,2189383
2020-12-28,1.548691,1.632870,1.489510,1.501549,1.501549,3063569
2020-12-29,1.421721,1.519282,1.354275,1.392756,1.392756,2647952
