Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,0.113940,0.116051,0.100858,0.105057,0.105057,1515347
2020-07-28,0.106685,0.109219,0.102406,0.106349,0.106349,1734718
2020-07-29,0.106404,0.130326,0.103308,0.117120,0.117120,1901817
2020-07-30,0.118051,0.134295,0.116378,0.131353,0.131353,1771503
2020-07-31,0.131353,0.179323,0.130307,0.142007,0.142007,2054489
2020-08-01,0.142973,0.150687,0.139300,0.148394,0.148394,1498325
2020-08-02,0.147777,0.156902,0.143130,0.147092,0.147092,1431782
2020-08-03,0.146809,0.150588,0.138837,0.147955,0.147955,1583493
2020-08-04,0.147929,0.149960,0.143444,0.146021,0.146021,1359245
2020-08-05,0.146242,0.158781,0.143003,0.154261,0.154261,1262596
2020-08-06,0.154261,0.155377,0.147458,0.149360,0.149360,1520277
2020-08-07,0.149516,0.153751,0.147875,0.151221,0.151221,1352244
2020-08-08,0.150274,0.157364,0.148245,0.156614,0.156614,1322559
2020-08-09,0.156147,0.198468,0.155917,0.174508,0.174508,1290947
2020-08-10,0.174508,0.176921,0.156827,0.166356,0.166356,1483945
2020-08-11,0.165738,0.368264,0.163351,0.338557,0.338557,4841992
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.210722,0.262035,0.203683,0.251496,0.251496,1683207
2020-08-17,0.251496,0.284503,0.225026,0.231326,0.231326,1530168
2020-08-18,0.234451,0.239965,0.206977,0.217081,0.217081,1514967
2020-08-19,0.216109,0.227645,0.198926,0.215600,0.215600,1382548
2020-08-20,0.215600,0.242448,0.213716,0.232586,0.232586,1270785
2020-08-21,0.232087,0.239519,0.212125,0.217709,0.217709,1300252
2020-08-22,0.216476,0.256892,0.202675,0.223478,0.223478,1204189
2020-08-23,0.221405,0.242295,0.200278,0.209746,0.209746,1103329
2020-08-24,0.208333,0.212175,0.199563,0.203094,0.203094,1763930
2020-08-25,0.203551,0.207707,0.191731,0.195716,0.195716,1834949
2020-08-26,0.195772,0.199098,0.164266,0.176067,0.176067,1994255
2020-08-27,0.176724,0.198040,0.176656,0.185804,0.185804,1615502
2020-08-28,0.185935,0.192326,0.184338,0.187932,0.187932,1610129
2020-08-29,0.188445,0.206276,0.186845,0.204562,0.204562,1823664
2020-08-30,0.205382,0.209316,0.188936,0.189057,0.189057,1540096
