Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,7.383393,7.787995,7.312674,7.713956,7.713956,7534295
2020-05-08,7.713956,7.826458,7.606130,7.696098,7.696098,4478419
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,9.046630,9.365748,8.986014,9.299353,9.299353,11707014
2020-05-17,9.299247,9.683298,9.278971,9.568325,9.568325,13591025
2020-05-18,9.568214,9.960709,9.087325,9.263421,9.263421,6817533
2020-05-19,9.263765,9.305708,9.079157,9.223140,9.223140,13244079
2020-05-20,9.227267,9.290369,8.918055,9.066762,9.066762,15010809
2020-05-21,9.067579,9.142827,8.559166,8.807017,8.807017,11680979
2020-05-22,8.808010,9.195289,8.734605,9.145987,9.145987,15728431
2020-05-23,9.146996,9.276733,9.070145,9.183248,9.183248,10358124
2020-05-24,9.184224,9.260168,8.900656,8.908008,8.908008,12214266
2020-05-25,8.894890,9.081276,8.685284,9.055025,9.055025,7122213
2020-05-26,9.056478,9.073833,8.452255,8.905255,8.905255,7139701
2020-05-27,8.905255,9.217194,8.902012,9.217194,9.217194,7182337
2020-05-28,9.220013,9.713440,9.097552,9.691647,9.691647,5023413
2020-05-29,9.697933,9.902342,8.808754,9.734010,9.734010,3680732
2020-05-30,9.734805,9.920372,9.182714,9.544112,9.544112,14866709
2020-05-31,9.545152,9.818702,9.237569,9.276591,9.276591,14745562
2020-06-01,9.277991,10.003154,9.256862,9.951654,9.951654,9673545
2020-06-02,9.960709,10.085248,9.200528,9.508934,9.508934,2766451
2020-06-03,9.508934,9.716557,9.299499,9.662373,9.662373,36086
2020-06-04,9.664330,9.840219,9.238763,9.755896,9.755896,8461745
2020-06-05,9.755896,9.829283,9.199789,9.648815,9.648815,3677965
2020-06-06,9.650756,9.781499,9.577108,9.657368,9.657368,455
2020-06-07,9.657368,9.781490,9.203669,9.776264,9.776264,7885968
2020-06-08,9.778578,9.837097,9.576479,9.829775,9.829775,4048002
2020-06-09,9.825001,9.903998,9.685328,9.800380,9.800380,377
2020-06-10,9.801039,9.930693,9.725216,9.893507,9.893507,9225694
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,9.541463,9.548189,9.330249,9.372831,9.372831,3937419
2020-06-15,9.370232,9.449259,8.896754,9.211437,9.211437,3783093
2020-06-16,9.211409,9.427909,9.048866,9.389384,9.389384,3207958
2020-06-17,9.393591,9.434505,9.193965,9.337668,9.337668,3367557
2020-06-18,9.334804,9.363182,9.187720,9.274341,9.274341,3365207
2020-06-19,9.275419,9.275419,9.089575,9.106174,9.106174,2825206
2020-06-20,null,null,null,null,null,null
2020-06-21,9.157866,9.268693,9.034975,9.155711,9.155711,112384
2020-06-22,null,null,null,null,null,null
2020-06-23,9.744895,9.828131,9.563253,9.794204,9.794204,1
2020-06-24,9.798476,9.866994,9.320780,9.421555,9.421555,2967341
2020-06-25,9.420364,9.429704,9.194158,9.312072,9.312072,1419157
2020-06-26,9.309988,9.357614,9.159973,9.188191,9.188191,889543
2020-06-27,null,null,null,null,null,null
2020-06-28,9.057651,9.141733,8.969413,9.023723,9.023723,950320
2020-06-29,9.016024,9.196018,8.892800,9.133577,9.133577,790522
2020-06-30,9.128687,9.176621,8.806467,9.052037,9.052037,755661
2020-07-01,9.050637,9.310212,8.795330,9.243068,9.243068,883595
2020-07-02,9.244629,9.296725,9.018533,9.180941,9.180941,1367895
2020-07-03,9.179726,9.185161,8.737634,8.761395,8.761395,1287329
2020-07-04,8.756718,8.921553,8.638763,8.683928,8.683928,917571
2020-07-05,8.677017,8.842113,8.520897,8.836165,8.836165,784398
2020-07-06,8.836165,9.375008,8.811069,9.375008,9.375008,1064749
2020-07-07,9.336626,9.399304,8.981941,9.275834,9.275834,851750
2020-07-08,9.275834,9.552214,9.246730,9.382775,9.382775,1173204
2020-07-09,9.385556,9.590052,9.278903,9.429703,9.429703,901425
2020-07-10,9.428647,9.428647,9.071029,9.346522,9.346522,1822879
2020-07-11,9.347336,9.360397,9.244394,9.292545,9.292545,955266
2020-07-12,9.291633,9.439575,9.226851,9.393882,9.393882,1917845
2020-07-13,9.393882,9.478132,9.257015,9.313078,9.313078,1143839
2020-07-14,9.313078,9.387080,9.071877,9.326464,9.326464,1642860
2020-07-15,9.322030,9.362475,9.203437,9.254153,9.254153,1320097
2020-07-16,9.249274,9.267161,9.005219,9.061946,9.061946,1170837
2020-07-17,9.062629,9.092943,9.004078,9.032419,9.032419,1274691
2020-07-18,9.035472,9.175967,9.017382,9.137150,9.137150,1009725
2020-07-19,9.134686,9.262647,9.045731,9.239135,9.239135,993329
2020-07-20,9.240668,9.273515,9.106831,9.159869,9.159869,1488897
2020-07-21,9.159869,9.541168,9.141930,9.502095,9.502095,1073661
2020-07-22,9.499848,10.153840,9.167372,9.847232,9.847232,1193424
2020-07-23,9.847232,10.719307,9.389123,9.476098,9.476098,1125395
2020-07-24,9.476098,9.852162,9.285517,9.619643,9.619643,480269
2020-07-25,9.619474,10.183402,9.579097,10.096325,10.096325,1043572
2020-07-26,10.097713,10.312918,9.850661,10.006501,10.006501,1111034
2020-07-27,10.006937,11.144320,9.696145,9.862211,9.862211,1909617
2020-07-28,9.854703,9.963104,9.169074,9.690828,9.690828,1861145
2020-07-29,9.693336,9.939575,9.576690,9.610161,9.610161,1848294
2020-07-30,9.610161,10.235291,9.532163,10.189522,10.189522,62830
2020-07-31,10.189522,10.455367,9.745079,9.851246,9.851246,1924671
2020-08-01,9.851246,10.851701,9.432720,9.838432,9.838432,1227084
2020-08-02,9.831476,10.282582,9.043106,9.687952,9.687952,1899461
2020-08-03,9.687807,10.688775,9.474237,9.773526,9.773526,1731389
2020-08-04,9.766204,10.116968,9.703744,9.769195,9.769195,1937965
2020-08-05,9.770810,10.260587,9.684741,10.146636,10.146636,1919608
2020-08-06,10.146636,10.193488,9.715002,9.765421,9.765421,1767738
2020-08-07,9.764935,9.850570,9.125686,9.397501,9.397501,1395334
2020-08-08,9.395636,9.707218,9.272305,9.707218,9.707218,1570579
2020-08-09,9.719472,9.843393,9.524759,9.645207,9.645207,1741861
2020-08-10,9.642781,9.868868,9.642781,9.754235,9.754235,1120188
2020-08-11,9.756751,9.803710,9.156977,9.375073,9.375073,2181649
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,10.090909,10.656934,9.766560,10.093121,10.093121,2442310
2020-08-17,10.093121,10.353228,9.887977,10.040894,10.040894,2040
2020-08-18,10.036625,10.093414,9.656529,9.656529,9.656529,5487013
2020-08-19,9.657521,9.723241,8.940989,9.515805,9.515805,2095587
2020-08-20,9.515805,9.739268,9.101647,9.698295,9.698295,51
2020-08-21,9.695745,9.726879,8.997755,9.413350,9.413350,3985717
2020-08-22,9.417167,9.594546,9.287292,9.578932,9.578932,2157895
2020-08-23,9.572847,9.584131,9.367477,9.545659,9.545659,2
2020-08-24,9.542792,9.753841,9.493234,9.733847,9.733847,1554152
2020-08-25,9.732185,9.737349,8.579465,8.778269,8.778269,2301197
2020-08-26,8.767534,8.975707,8.719548,8.902215,8.902215,3857054
2020-08-27,8.895870,9.059681,8.645619,8.799278,8.799278,45116
2020-08-28,8.801888,9.102772,8.800626,9.071208,9.071208,2106873
2020-08-29,9.072353,9.253435,9.030212,9.160053,9.160053,2126108
2020-08-30,9.149261,9.860164,9.147472,9.855451,9.855451,2334340
2020-08-31,9.856434,9.871426,8.977298,9.232538,9.232538,1668905
2020-09-01,9.224241,10.366338,9.194119,10.283457,10.283457,4201821
2020-09-02,10.282989,10.305329,9.220884,9.357242,9.357242,83942
2020-09-03,9.353683,9.629071,8.127753,8.278438,8.278438,4094605
2020-09-04,8.319412,8.557061,7.632243,8.442549,8.442549,2036215
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,8.372085,9.005363,8.372085,8.957086,8.957086,229508
2020-09-23,8.959813,8.977460,8.255654,8.335211,8.335211,178128
2020-09-24,8.335211,9.112296,8.283876,9.092642,9.092642,256244
2020-09-25,9.088900,9.224609,8.507885,8.524711,8.524711,6879
2020-09-26,8.525652,9.253443,8.503044,9.228139,9.228139,168861
2020-09-27,9.228139,9.408648,7.968695,9.288430,9.288430,275099
2020-09-28,9.288430,9.488545,9.123069,9.127751,9.127751,144
2020-09-29,9.125844,9.377046,9.097125,9.356441,9.356441,126702
2020-09-30,9.360284,9.390561,9.194837,9.361737,9.361737,253423
2020-10-01,9.361736,9.598969,9.029119,9.180813,9.180813,143708
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,9.181893,9.233991,9.109226,9.208000,9.208000,151837
2020-10-06,9.208000,9.237259,8.808396,8.846563,8.846563,160196
2020-10-07,8.846563,8.890582,8.736994,8.890582,8.890582,208476
2020-10-08,8.890291,9.169785,8.752912,9.148760,9.148760,151600
2020-10-09,9.151205,9.564431,9.090092,9.522663,9.522663,147502
2020-10-10,9.510180,9.834614,9.430918,9.665430,9.665430,172555
2020-10-11,9.665430,9.805488,9.642691,9.761904,9.761904,142083
2020-10-12,9.761899,10.244417,9.563394,10.073042,10.073042,157298
2020-10-13,10.073045,10.073045,9.789283,9.927127,9.927127,101266
2020-10-14,9.927119,10.053336,9.788241,9.943691,9.943691,0
2020-10-15,9.943671,9.943671,9.699644,9.860335,9.860335,132712
2020-10-16,9.860454,9.922051,9.453755,9.519393,9.519393,326799
2020-10-17,9.519394,9.603203,9.386868,9.519008,9.519008,161838
2020-10-18,9.519008,9.822906,9.448900,9.817400,9.817400,155263
2020-10-19,9.817401,9.977896,9.715060,9.867266,9.867266,172536
2020-10-20,9.867271,9.950048,9.554346,9.580308,9.580308,1249906
2020-10-21,9.580304,10.459619,9.570318,10.243897,10.243897,194546
2020-10-22,10.243880,10.923961,10.185368,10.760082,10.760082,281253
2020-10-23,10.760082,10.841030,10.324055,10.629349,10.629349,264164
2020-10-24,10.630522,10.806773,10.586454,10.674878,10.674878,306582
2020-10-25,10.673149,10.815877,9.857340,10.557384,10.557384,271718
2020-10-26,10.559226,10.668736,10.024845,10.216394,10.216394,312883
2020-10-27,10.217645,10.677276,10.188784,10.503009,10.503009,336406
2020-10-28,10.508689,10.628181,9.874666,10.102269,10.102269,319379
2020-10-29,10.097237,10.207656,9.839911,10.066662,10.066662,284250
2020-10-30,10.066536,10.199285,9.817853,9.985153,9.985153,310035
2020-10-31,9.985297,10.291329,9.939398,10.055921,10.055921,275141
2020-11-01,10.055745,10.350474,9.981455,10.303786,10.303786,256861
2020-11-02,10.304114,10.475443,9.777810,9.997174,9.997174,282475
2020-11-03,9.997707,10.156432,9.574299,10.064066,10.064066,316126
2020-11-04,10.064367,10.513058,9.809571,10.456847,10.456847,301481
2020-11-05,10.457123,10.934795,10.244610,10.757955,10.757955,354699
2020-11-06,10.757800,11.881708,10.668487,11.818215,11.818215,513494
2020-11-07,11.826532,12.034462,10.727837,11.413131,11.413131,208572
2020-11-08,11.401822,11.884089,11.337907,11.758074,11.758074,13318
2020-11-09,11.755439,11.848468,11.120081,11.599549,11.599549,338006
2020-11-10,11.598986,11.765892,11.452781,11.627081,11.627081,298645
2020-11-11,11.627295,12.251147,11.625175,12.058664,12.058664,370026
2020-11-12,12.057904,12.272944,11.747211,11.841989,11.841989,320378
2020-11-13,11.842079,12.279605,11.842079,12.276882,12.276882,748577
2020-11-14,12.276850,12.284340,11.791827,12.008172,12.008172,519971
2020-11-15,12.008734,12.030275,11.463497,11.634008,11.634008,129092
2020-11-16,11.633954,12.093747,11.431378,11.987985,11.987985,367658
2020-11-17,12.033748,12.663911,11.936097,12.358959,12.358959,465698
2020-11-18,12.348991,12.885047,11.759279,12.440305,12.440305,584401
2020-11-19,12.437875,12.498707,11.965751,12.234015,12.234015,423979
2020-11-20,12.238304,13.206224,12.233518,13.149146,13.149146,406938
2020-11-21,13.147889,14.097826,13.042025,14.078175,14.078175,356474
2020-11-22,14.079193,14.752983,13.349703,13.633291,13.633291,523264
2020-11-23,13.632339,15.647890,13.425274,15.612961,15.612961,560590
2020-11-24,15.609824,15.861851,15.212988,15.763953,15.763953,482629
2020-11-25,15.763711,15.881287,14.725902,14.909280,14.909280,397626
2020-11-26,14.907248,15.004905,12.153541,13.343013,13.343013,440131
2020-11-27,13.353248,13.604856,12.091457,13.344280,13.344280,218562
2020-11-28,13.345992,14.019765,12.973144,13.958852,13.958852,272709
2020-11-29,13.958337,14.751326,13.811773,14.734647,14.734647,508102
2020-11-30,14.733936,15.848624,14.564302,15.820390,15.820390,365541
2020-12-01,15.821331,16.203211,14.873264,15.165981,15.165981,406797
2020-12-02,15.163255,15.561368,14.726162,15.451667,15.451667,425688
2020-12-03,15.450623,15.866628,15.010412,15.815184,15.815184,506479
2020-12-04,15.813640,15.863832,14.422664,14.756202,14.756202,387165
2020-12-05,14.754040,15.349319,14.647807,15.349319,15.349319,380152
2020-12-06,15.350758,15.638859,15.119359,15.537535,15.537535,349984
2020-12-07,15.542402,15.570876,15.167914,15.330555,15.330555,359358
2020-12-08,15.329128,15.380815,14.328960,14.376250,14.376250,417345
