Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.001253,0.001316,0.001206,0.001266,0.001266,1725725
2020-05-08,0.001266,0.001320,0.001235,0.001274,0.001274,203111
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.001724,0.001898,0.001630,0.001705,0.001705,1816872
2020-05-17,0.001705,0.002149,0.001701,0.001717,0.001717,1950179
2020-05-18,0.001717,0.001899,0.001668,0.001756,0.001756,1897859
2020-05-19,0.001756,0.001799,0.001561,0.001690,0.001690,1789122
2020-05-20,0.001690,0.001705,0.001591,0.001632,0.001632,1766551
2020-05-21,0.001632,0.001654,0.001451,0.001463,0.001463,1579096
2020-05-22,0.001463,0.001559,0.001463,0.001535,0.001535,1195516
2020-05-23,0.001535,0.001561,0.001451,0.001536,0.001536,1195115
2020-05-24,0.001536,0.001539,0.001411,0.001480,0.001480,1128806
2020-05-25,0.001480,0.001538,0.001450,0.001500,0.001500,1301085
2020-05-26,0.001500,0.002431,0.001496,0.001822,0.001822,4361422
2020-05-27,0.001822,0.002115,0.001786,0.001848,0.001848,1083996
2020-05-28,0.001848,0.001874,0.001672,0.001802,0.001802,2007518
2020-05-29,0.001802,0.001919,0.001793,0.001851,0.001851,2136227
2020-05-30,0.001851,0.002026,0.001683,0.001985,0.001985,2224043
2020-05-31,0.001985,0.002060,0.001906,0.002055,0.002055,2204141
2020-06-01,0.002055,0.002148,0.001882,0.002094,0.002094,1572380
2020-06-02,0.002089,0.002755,0.002082,0.002320,0.002320,2484567
2020-06-03,0.002320,0.002499,0.002146,0.002325,0.002325,2214937
2020-06-04,0.002325,0.002373,0.002057,0.002362,0.002362,3201702
2020-06-05,0.002362,0.002459,0.002223,0.002329,0.002329,2844650
2020-06-06,0.002329,0.002421,0.002324,0.002344,0.002344,2476316
2020-06-07,0.002344,0.002415,0.002267,0.002363,0.002363,2984601
2020-06-08,0.002363,0.002509,0.002302,0.002487,0.002487,3604645
2020-06-09,0.002487,0.002487,0.002077,0.002234,0.002234,3539302
2020-06-10,0.002234,0.002272,0.002106,0.002251,0.002251,2858802
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.002019,0.002116,0.002011,0.002067,0.002067,3270614
2020-06-15,0.002067,0.002319,0.002029,0.002215,0.002215,3328935
2020-06-16,0.002217,0.002265,0.002151,0.002183,0.002183,3478943
2020-06-17,0.002183,0.002256,0.002151,0.002159,0.002159,2224385
2020-06-18,0.002159,0.002186,0.002071,0.002146,0.002146,1274662
2020-06-19,0.002146,0.002207,0.002096,0.002180,0.002180,1423572
2020-06-20,null,null,null,null,null,null
2020-06-21,0.002144,0.002144,0.002094,0.002124,0.002124,1494179
