Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.467770,0.488011,0.461967,0.480051,0.480051,110032763
2020-05-08,0.480132,0.526187,0.473446,0.516971,0.516971,132654346
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.468521,0.473434,0.464405,0.468949,0.468949,87347311
2020-05-17,0.468859,0.482674,0.467218,0.470911,0.470911,85652667
2020-05-18,0.470948,0.490609,0.469666,0.481735,0.481735,91130812
2020-05-19,0.481865,0.482372,0.470850,0.481472,0.481472,78557152
2020-05-20,0.481450,0.505477,0.477233,0.490657,0.490657,117122187
2020-05-21,0.490780,0.495530,0.452608,0.464780,0.464780,108277077
2020-05-22,0.464913,0.531031,0.457819,0.516918,0.516918,164243157
2020-05-23,0.517106,0.520560,0.500362,0.503561,0.503561,93038047
2020-05-24,0.503581,0.510381,0.472069,0.472135,0.472135,80251313
2020-05-25,0.471391,0.492527,0.467887,0.489991,0.489991,77868837
2020-05-26,0.489916,0.523610,0.477162,0.507548,0.507548,137476851
2020-05-27,0.507548,0.512738,0.498722,0.505039,0.505039,103687149
2020-05-28,0.505042,0.526562,0.500407,0.520570,0.520570,83339517
2020-05-29,0.520479,0.529801,0.511428,0.516281,0.516281,80007022
2020-05-30,0.516401,0.568826,0.511466,0.563913,0.563913,146476131
2020-05-31,0.564314,0.584214,0.543516,0.551152,0.551152,140595736
2020-06-01,0.550557,0.610939,0.547001,0.600855,0.600855,191500176
2020-06-02,0.600112,0.630662,0.568399,0.596431,0.596431,166774088
2020-06-03,0.596652,0.609352,0.587182,0.603402,0.603402,105937222
2020-06-04,0.603617,0.613172,0.581612,0.599557,0.599557,103455794
2020-06-05,0.599557,0.602518,0.573364,0.573644,0.573644,94896378
2020-06-06,0.573479,0.583188,0.562336,0.577346,0.577346,87696097
2020-06-07,0.577466,0.584317,0.553001,0.573355,0.573355,81948458
2020-06-08,0.573560,0.578663,0.567092,0.573573,0.573573,77519099
2020-06-09,0.573683,0.608894,0.566992,0.602424,0.602424,115324752
2020-06-10,0.601441,0.615724,0.593711,0.604496,0.604496,121841916
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.574050,0.574108,0.549034,0.553156,0.553156,76098878
2020-06-15,0.553156,0.553156,0.507445,0.540048,0.540048,109487624
2020-06-16,0.539847,0.562371,0.536927,0.561442,0.561442,123774945
2020-06-17,0.561643,0.574188,0.556822,0.565832,0.565832,99631022
2020-06-18,0.565832,0.587755,0.562252,0.579769,0.579769,98092102
2020-06-19,0.579594,0.580566,0.562667,0.564246,0.564246,81905684
2020-06-20,null,null,null,null,null,null
2020-06-21,0.565131,0.596077,0.565131,0.585639,0.585639,83095465
2020-06-22,null,null,null,null,null,null
2020-06-23,0.642947,0.665759,0.628712,0.630815,0.630815,143747635
2020-06-24,0.630389,0.655539,0.600152,0.608912,0.608912,101304203
2020-06-25,0.608557,0.639456,0.583757,0.630180,0.630180,121433531
2020-06-26,0.629927,0.652077,0.613100,0.641710,0.641710,159258423
2020-06-27,null,null,null,null,null,null
2020-06-28,0.598497,0.607370,0.573668,0.594957,0.594957,88240179
2020-06-29,0.595157,0.604077,0.580660,0.598932,0.598932,92479856
2020-06-30,0.598829,0.602081,0.574259,0.575316,0.575316,72837184
2020-07-01,0.575089,0.591156,0.562603,0.582124,0.582124,86878258
2020-07-02,0.582884,0.588594,0.546948,0.569034,0.569034,92115997
2020-07-03,0.568348,0.572036,0.553927,0.556630,0.556630,73125557
2020-07-04,0.555769,0.580781,0.555355,0.571585,0.571585,90297025
2020-07-05,0.571370,0.613034,0.558427,0.611974,0.611974,150996793
2020-07-06,0.611974,0.623762,0.601129,0.621507,0.621507,101450448
2020-07-07,0.621140,0.628889,0.598317,0.612635,0.612635,86606819
2020-07-08,0.612858,0.655314,0.608289,0.650352,0.650352,111086967
2020-07-09,0.650352,0.660920,0.614915,0.634406,0.634406,101147899
2020-07-10,0.634243,0.634420,0.605349,0.617251,0.617251,70445735
2020-07-11,0.617605,0.693818,0.617605,0.686067,0.686067,118590935
2020-07-12,0.686228,0.705339,0.655851,0.668402,0.668402,120796284
2020-07-13,0.668402,0.709952,0.662117,0.676088,0.676088,117251662
2020-07-14,0.675380,0.788137,0.641056,0.762646,0.762646,263835338
2020-07-15,0.762140,0.775599,0.720066,0.726730,0.726730,160878730
2020-07-16,0.726709,0.746011,0.668102,0.735036,0.735036,170961412
2020-07-17,0.735741,0.767264,0.706988,0.752477,0.752477,147497756
2020-07-18,0.752560,0.783126,0.728424,0.761624,0.761624,138501799
