Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.362600,0.364464,0.353974,0.361200,0.361200,11461
2020-05-08,0.361200,0.363183,0.357586,0.360841,0.360841,11448
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.353265,0.370777,0.351213,0.370443,0.370443,3729
2020-05-17,0.370454,0.380412,0.368735,0.378060,0.378060,3804
2020-05-18,0.378056,0.378651,0.371157,0.374926,0.374926,4094
2020-05-19,0.374747,0.378922,0.373476,0.373840,0.373840,3761
2020-05-20,0.373558,0.382058,0.373499,0.376237,0.376237,3784
2020-05-21,0.376177,0.380334,0.372859,0.375852,0.375852,3792
2020-05-22,0.375951,0.381076,0.374052,0.379764,0.379764,3826
2020-05-23,0.379929,0.380869,0.375225,0.379426,0.379426,3818
2020-05-24,0.379367,0.384733,0.375800,0.379533,0.379533,3824
2020-05-25,0.379523,0.380825,0.374680,0.377254,0.377254,3793
2020-05-26,0.377289,0.378932,0.371911,0.371970,0.371970,4323
2020-05-27,0.371970,0.372099,0.350406,0.353394,0.353394,5877
2020-05-28,0.353420,0.354743,0.350440,0.352498,0.352498,3797
2020-05-29,0.352387,0.371643,0.351685,0.371447,0.371447,2603
2020-05-30,0.371990,0.387095,0.370857,0.386772,0.386772,2735
2020-05-31,0.386283,0.389304,0.383525,0.385519,0.385519,2729
2020-06-01,0.385843,0.389122,0.380711,0.387294,0.387294,2751
2020-06-02,0.387016,0.394461,0.382005,0.383543,0.383543,2709
2020-06-03,0.383543,0.582525,0.350555,0.351709,0.351709,7189
2020-06-04,0.351661,0.370322,0.349856,0.370322,0.370322,3421
2020-06-05,0.370322,0.379262,0.368836,0.376514,0.376514,3540
2020-06-06,0.376514,0.379775,0.372912,0.375920,0.375920,3497
2020-06-07,0.375920,0.379632,0.346518,0.348747,0.348747,6057
2020-06-08,0.348742,0.350858,0.346811,0.348212,0.348212,5344
2020-06-09,0.348625,0.353759,0.347357,0.353248,0.353248,3385
2020-06-10,0.353272,0.355992,0.341746,0.342217,0.342217,9361
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.342588,0.346625,0.341699,0.345342,0.345342,143
2020-06-15,0.345387,0.348050,0.342591,0.343807,0.343807,142
2020-06-16,0.343767,0.345432,0.342800,0.343694,0.343694,132
2020-06-17,0.343618,0.344926,0.339745,0.343675,0.343675,136
2020-06-18,0.343703,0.344691,0.342655,0.342655,0.342655,6014
2020-06-19,0.342647,0.343648,0.339221,0.339221,0.339221,2896
2020-06-20,null,null,null,null,null,null
2020-06-21,0.339648,0.341529,0.336829,0.341434,0.341434,18322
2020-06-22,null,null,null,null,null,null
2020-06-23,0.341174,0.344587,0.339277,0.340970,0.340970,10544
2020-06-24,0.340988,0.342932,0.339081,0.339782,0.339782,6000
2020-06-25,0.339781,0.345137,0.339383,0.339900,0.339900,2936
2020-06-26,0.339834,0.341895,0.335643,0.338511,0.338511,1798
2020-06-27,null,null,null,null,null,null
2020-06-28,0.202211,0.204001,0.194505,0.196988,0.196988,933
2020-06-29,0.196896,0.214545,0.157827,0.210443,0.210443,8445
2020-06-30,0.210383,0.215581,0.202653,0.214334,0.214334,7582
2020-07-01,0.214317,0.221829,0.214125,0.221802,0.221802,17565
2020-07-02,0.221685,0.229129,0.221038,0.228159,0.228159,15897
2020-07-03,0.228188,0.228864,0.224005,0.224901,0.224901,2352
2020-07-04,0.224875,0.232005,0.224479,0.231259,0.231259,15933
2020-07-05,0.231147,0.232406,0.230266,0.230966,0.230966,5552
2020-07-06,0.230966,0.231939,0.229056,0.230500,0.230500,5766
2020-07-07,0.230405,0.231447,0.228674,0.230996,0.230996,2327
2020-07-08,0.231000,0.231761,0.230370,0.230926,0.230926,1464
2020-07-09,0.230978,0.232112,0.229440,0.231397,0.231397,2925
2020-07-10,0.231397,0.277963,0.230713,0.231366,0.231366,3699
2020-07-11,0.231377,0.232065,0.230738,0.231812,0.231812,4961
2020-07-12,0.231862,0.231862,0.228612,0.231364,0.231364,3597
2020-07-13,0.231364,0.232737,0.230629,0.231391,0.231391,1845
2020-07-14,0.231391,0.232360,0.228815,0.231487,0.231487,3290
2020-07-15,0.231365,0.232407,0.222589,0.231608,0.231608,2821
2020-07-16,0.231614,0.232691,0.230074,0.230361,0.230361,1354
2020-07-17,0.230335,0.232696,0.222862,0.231510,0.231510,2264
2020-07-18,0.231507,0.233078,0.230149,0.230378,0.230378,1542
2020-07-19,0.230335,0.231909,0.222381,0.231018,0.231018,2345
2020-07-20,0.231019,0.232794,0.230105,0.231541,0.231541,6655
2020-07-21,0.231525,0.232810,0.230784,0.231708,0.231708,5760
2020-07-22,0.231724,0.256339,0.230883,0.254757,0.254757,3800
2020-07-23,0.254757,0.256969,0.250091,0.255716,0.255716,7067
2020-07-24,0.255716,0.257123,0.254162,0.254162,0.254162,1983
2020-07-25,0.254304,0.256923,0.252256,0.255348,0.255348,2097
2020-07-26,0.255259,0.257480,0.253463,0.256025,0.256025,5729
2020-07-27,0.255995,0.258959,0.254659,0.255995,0.255995,4317
2020-07-28,0.255928,0.260987,0.254855,0.260510,0.260510,8230
2020-07-29,0.260476,0.262142,0.259173,0.260147,0.260147,3943
2020-07-30,0.260147,0.261419,0.255403,0.260016,0.260016,2020
2020-07-31,0.260045,0.288841,0.259165,0.288193,0.288193,2977
2020-08-01,0.288193,0.320087,0.253342,0.259165,0.259165,2724
2020-08-02,0.259570,0.289392,0.258880,0.264230,0.264230,12374
2020-08-03,0.264230,0.267258,0.262561,0.265052,0.265052,9419
2020-08-04,0.265052,0.286043,0.264467,0.285316,0.285316,15692
2020-08-05,0.285278,0.288369,0.284321,0.286836,0.286836,15205
2020-08-06,0.286836,0.287545,0.285691,0.286777,0.286777,9253
2020-08-07,0.286762,0.290226,0.285995,0.288113,0.288113,23471
2020-08-08,0.288127,0.289305,0.286071,0.288077,0.288077,14641
2020-08-09,0.288046,0.292899,0.287571,0.289967,0.289967,13184
2020-08-10,0.289967,0.293573,0.285716,0.287103,0.287103,14511
2020-08-11,0.286986,0.289769,0.286860,0.287971,0.287971,18554
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.286554,0.289059,0.286151,0.287265,0.287265,7533
2020-08-17,0.287265,0.289351,0.283094,0.285627,0.285627,4079
2020-08-18,0.285720,0.289331,0.285050,0.289112,0.289112,121
2020-08-19,0.289043,0.289338,0.286554,0.287782,0.287782,3612
2020-08-20,0.287782,0.289639,0.286831,0.287287,0.287287,2459
2020-08-21,0.287282,0.289373,0.286481,0.288415,0.288415,3937
2020-08-22,0.288164,0.289334,0.286344,0.287257,0.287257,1154
2020-08-23,0.287307,0.288283,0.286547,0.287634,0.287634,6695
2020-08-24,0.287618,0.288160,0.286398,0.287884,0.287884,8902
2020-08-25,0.287963,0.290688,0.287415,0.288050,0.288050,5311
2020-08-26,0.288264,0.288579,0.287241,0.288156,0.288156,2401
2020-08-27,0.288187,0.289796,0.286783,0.288204,0.288204,3797
2020-08-28,0.288253,0.288665,0.286905,0.288363,0.288363,8651
2020-08-29,0.288267,0.289003,0.287945,0.288538,0.288538,7004
2020-08-30,0.288672,0.289074,0.287328,0.288274,0.288274,2997
2020-08-31,0.288274,0.289115,0.287814,0.288830,0.288830,1406
2020-09-01,0.288809,0.289757,0.287428,0.288772,0.288772,3700
2020-09-02,0.288664,0.290298,0.286019,0.288372,0.288372,3996
2020-09-03,0.288230,0.292884,0.284717,0.287578,0.287578,152
2020-09-04,0.287165,0.288924,0.262993,0.287477,0.287477,3467
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.289344,0.289726,0.280959,0.288682,0.288682,2573
2020-09-23,0.288630,0.292254,0.288021,0.289134,0.289134,905
2020-09-24,0.289192,0.289696,0.286946,0.288881,0.288881,118
2020-09-25,0.289022,0.289647,0.286577,0.287440,0.287440,1925
2020-09-26,0.287466,0.289709,0.285289,0.289313,0.289313,112
2020-09-27,0.289313,0.290478,0.287930,0.288549,0.288549,119
2020-09-28,0.288549,0.289532,0.283218,0.288252,0.288252,2221
2020-09-29,0.288289,0.289207,0.283308,0.288894,0.288894,128
2020-09-30,0.288730,0.289496,0.288268,0.288622,0.288622,1523
2020-10-01,0.288622,0.290507,0.287616,0.288070,0.288070,105
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.289024,0.289830,0.287963,0.288387,0.288387,848
2020-10-06,0.288305,0.289546,0.264787,0.288069,0.288069,114
