Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.123778,0.137412,0.122632,0.135426,0.135426,68599
2020-05-08,0.135426,0.137658,0.101221,0.126405,0.126405,65652
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.108775,0.111294,0.106241,0.108589,0.108589,55169
2020-05-17,0.108543,0.114705,0.107365,0.113646,0.113646,55692
2020-05-18,0.113408,0.117123,0.108205,0.110547,0.110547,54631
2020-05-19,0.110394,0.113698,0.105011,0.108607,0.108607,55042
2020-05-20,0.108661,0.115406,0.105262,0.114453,0.114453,59683
2020-05-21,0.111476,0.113440,0.097048,0.103649,0.103649,51422
2020-05-22,0.103602,0.107820,0.100478,0.103616,0.103616,52418
2020-05-23,0.103617,0.111545,0.097507,0.109174,0.109174,55949
2020-05-24,0.107719,0.113027,0.106105,0.108691,0.108691,55977
2020-05-25,0.108404,0.111640,0.104724,0.110283,0.110283,55792
2020-05-26,0.110317,0.119222,0.105216,0.117271,0.117271,61656
2020-05-27,0.117271,0.123384,0.107425,0.120742,0.120742,61173
2020-05-28,0.120744,0.126116,0.109333,0.125328,0.125328,66402
2020-05-29,0.125337,0.126751,0.116109,0.119891,0.119891,61533
2020-05-30,0.120267,0.124376,0.117445,0.121409,0.121409,62462
2020-05-31,0.121415,0.150382,0.121161,0.133116,0.133116,65560
2020-06-01,0.133114,0.143152,0.131402,0.142619,0.142619,68322
2020-06-02,0.142614,0.144902,0.135018,0.139321,0.139321,69625
2020-06-03,0.139321,0.140919,0.131604,0.137725,0.137725,79505
2020-06-04,0.139124,0.140909,0.134743,0.139017,0.139017,81132
2020-06-05,0.139017,0.141023,0.135956,0.136224,0.136224,72450
2020-06-06,0.136224,0.147033,0.135739,0.144446,0.144446,73199
2020-06-07,0.144446,0.147233,0.139710,0.145931,0.145931,77526
2020-06-08,0.144051,0.147767,0.139894,0.143755,0.143755,78320
2020-06-09,0.143689,0.151865,0.140035,0.149759,0.149759,79874
2020-06-10,0.150014,0.151877,0.128712,0.139086,0.139086,97420
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.134109,0.135816,0.120332,0.128719,0.128719,65312
2020-06-15,0.128719,0.129526,0.119083,0.124395,0.124395,56852
2020-06-16,0.124408,0.133173,0.111359,0.127303,0.127303,58346
2020-06-17,0.127358,0.130025,0.122385,0.128481,0.128481,67452
2020-06-18,0.128445,0.129979,0.122592,0.122944,0.122944,55821
2020-06-19,0.122915,0.129230,0.121175,0.122872,0.122872,56594
2020-06-20,null,null,null,null,null,null
2020-06-21,0.122564,0.126318,0.122086,0.123321,0.123321,55657
2020-06-22,null,null,null,null,null,null
2020-06-23,0.128993,0.130616,0.126666,0.130443,0.130443,58704
2020-06-24,0.130470,0.132620,0.124422,0.125404,0.125404,56088
2020-06-25,0.124619,0.127038,0.116318,0.116905,0.116905,76589
2020-06-26,0.116899,0.122633,0.112996,0.121429,0.121429,66879
2020-06-27,null,null,null,null,null,null
2020-06-28,0.119838,0.143790,0.117111,0.134398,0.134398,73251
2020-06-29,0.134456,0.152295,0.131727,0.149743,0.149743,79380
2020-06-30,0.150153,0.154726,0.148677,0.149148,0.149148,78734
2020-07-01,0.149872,0.174311,0.139340,0.169471,0.169471,88097
2020-07-02,0.171433,0.172847,0.139821,0.153342,0.153342,80209
2020-07-03,0.153305,0.159132,0.149325,0.155621,0.155621,79305
2020-07-04,0.155622,0.157677,0.148673,0.155112,0.155112,80255
2020-07-05,0.154499,0.155922,0.148869,0.149725,0.149725,76768
2020-07-06,0.149725,0.157143,0.149041,0.155690,0.155690,77627
2020-07-07,0.155435,0.156418,0.150939,0.154897,0.154897,81942
2020-07-08,0.154910,0.155886,0.144122,0.151393,0.151393,92095
2020-07-09,0.151401,0.153918,0.144702,0.148256,0.148256,109254
2020-07-10,0.148123,0.155602,0.147038,0.149867,0.149867,90075
2020-07-11,0.150103,0.151273,0.143298,0.147469,0.147469,75148
2020-07-12,0.148497,0.154834,0.133676,0.144125,0.144125,75308
2020-07-13,0.144125,0.145284,0.118005,0.136876,0.136876,85908
2020-07-14,0.136876,0.156985,0.134894,0.155344,0.155344,93542
2020-07-15,0.155440,0.164913,0.153662,0.161764,0.161764,73428
2020-07-16,0.161870,0.165620,0.147177,0.151675,0.151675,16497
2020-07-17,0.150313,0.170009,0.149786,0.169303,0.169303,9145
2020-07-18,0.167052,0.173894,0.158388,0.170423,0.170423,8022
2020-07-19,0.171922,0.174319,0.155649,0.157104,0.157104,24376
2020-07-20,0.157344,0.164250,0.151416,0.156061,0.156061,17495
2020-07-21,0.156061,0.168295,0.154019,0.159733,0.159733,31814
2020-07-22,0.159728,0.165580,0.156622,0.165241,0.165241,40708
2020-07-23,0.165241,0.166551,0.159450,0.164542,0.164542,29977
2020-07-24,0.164542,0.201469,0.161580,0.169881,0.169881,24394
2020-07-25,0.170827,0.184582,0.166882,0.184266,0.184266,9881
2020-07-26,0.184300,0.201815,0.183923,0.197376,0.197376,20103
2020-07-27,0.197381,0.225155,0.196119,0.215527,0.215527,23446
2020-07-28,0.216392,0.239777,0.198465,0.229195,0.229195,48627
2020-07-29,0.232321,0.238404,0.222636,0.230128,0.230128,36306
2020-07-30,0.230128,0.232016,0.218987,0.224931,0.224931,32721
2020-07-31,0.224902,0.251517,0.222810,0.239433,0.239433,17506
2020-08-01,0.239433,0.266972,0.235003,0.262700,0.262700,18812
2020-08-02,0.263625,0.270253,0.242362,0.243571,0.243571,12679
2020-08-03,0.243782,0.284249,0.238295,0.263026,0.263026,53970
2020-08-04,0.263001,0.310815,0.263001,0.291102,0.291102,48576
2020-08-05,0.289463,0.316816,0.286949,0.315171,0.315171,71983
2020-08-06,0.315171,0.317312,0.290534,0.311154,0.311154,51416
2020-08-07,0.311403,0.315792,0.289957,0.297317,0.297317,44780
2020-08-08,0.297248,0.313218,0.295137,0.303889,0.303889,58286
2020-08-09,0.304500,0.312427,0.289920,0.295188,0.295188,51517
2020-08-10,0.295188,0.308011,0.292473,0.303332,0.303332,59336
2020-08-11,0.303432,0.303908,0.281099,0.286023,0.286023,53247
2020-08-12,0.286109,0.295682,0.273667,0.292111,0.292111,60822
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.300764,0.305870,0.295105,0.299603,0.299603,60129
2020-08-17,0.299603,0.312598,0.289685,0.304549,0.304549,59705
2020-08-18,0.304629,0.332346,0.290207,0.314359,0.314359,49333
2020-08-19,0.314883,0.335882,0.295239,0.327398,0.327398,65125
2020-08-20,0.327398,0.330565,0.310871,0.320001,0.320001,117654
2020-08-21,0.319214,0.325207,0.301322,0.303707,0.303707,134029
2020-08-22,0.304384,0.306954,0.297937,0.302738,0.302738,132843
2020-08-23,0.302521,0.308147,0.293229,0.300234,0.300234,110869
2020-08-24,0.299912,0.311001,0.289655,0.300306,0.300306,135759
2020-08-25,0.299603,0.311525,0.273842,0.283496,0.283496,127799
2020-08-26,0.283351,0.295816,0.276054,0.283510,0.283510,118377
2020-08-27,0.283459,0.293441,0.267261,0.282623,0.282623,104967
2020-08-28,0.281986,0.299420,0.254433,0.280379,0.280379,79228
2020-08-29,0.280387,0.305660,0.258181,0.271833,0.271833,36529
