Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000119,0.000137,0.000114,0.000133,0.000133,5278
2020-05-08,0.000133,0.000139,0.000131,0.000131,0.000131,4271
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000098,0.000139,0.000090,0.000116,0.000116,1940
2020-05-17,0.000116,0.000120,0.000103,0.000109,0.000109,3235
2020-05-18,0.000109,0.000130,0.000105,0.000127,0.000127,4985
2020-05-19,0.000127,0.000137,0.000118,0.000122,0.000122,4638
2020-05-20,0.000122,0.000133,0.000119,0.000123,0.000123,5197
2020-05-21,0.000123,0.000130,0.000120,0.000125,0.000125,5068
2020-05-22,0.000125,0.000145,0.000119,0.000139,0.000139,5836
2020-05-23,0.000139,0.000140,0.000128,0.000138,0.000138,5426
2020-05-24,0.000138,0.000138,0.000112,0.000121,0.000121,6167
2020-05-25,0.000120,0.000126,0.000110,0.000115,0.000115,3821
2020-05-26,0.000115,0.000118,0.000109,0.000109,0.000109,3204
2020-05-27,0.000109,0.000120,0.000108,0.000112,0.000112,2757
2020-05-28,0.000112,0.000118,0.000083,0.000104,0.000104,4555
2020-05-29,0.000104,0.000105,0.000099,0.000102,0.000102,5286
2020-05-30,0.000102,0.000124,0.000093,0.000117,0.000117,5066
2020-05-31,0.000117,0.000120,0.000106,0.000119,0.000119,4036
2020-06-01,0.000119,0.000121,0.000099,0.000108,0.000108,3887
2020-06-02,0.000108,0.000126,0.000091,0.000101,0.000101,5272
2020-06-03,0.000106,0.000120,0.000100,0.000119,0.000119,5902
2020-06-04,0.000119,0.000122,0.000094,0.000107,0.000107,5311
2020-06-05,0.000107,0.000108,0.000094,0.000095,0.000095,4644
2020-06-06,0.000095,0.000103,0.000094,0.000099,0.000099,3934
2020-06-07,0.000099,0.000110,0.000096,0.000107,0.000107,4391
2020-06-08,0.000107,0.000115,0.000099,0.000110,0.000110,4877
2020-06-09,0.000110,0.000116,0.000099,0.000107,0.000107,4862
2020-06-10,0.000107,0.000115,0.000098,0.000112,0.000112,6169
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.000107,0.000110,0.000100,0.000108,0.000108,3851
2020-06-15,0.000108,0.000108,0.000097,0.000100,0.000100,7852
2020-06-16,0.000100,0.000108,0.000100,0.000106,0.000106,3486
2020-06-17,0.000106,0.000123,0.000102,0.000122,0.000122,4312
2020-06-18,0.000122,0.000122,0.000111,0.000113,0.000113,2518
2020-06-19,0.000113,0.000122,0.000102,0.000120,0.000120,3935
2020-06-20,null,null,null,null,null,null
2020-06-21,0.000120,0.000127,0.000108,0.000112,0.000112,2925
2020-06-22,null,null,null,null,null,null
2020-06-23,0.000125,0.000130,0.000112,0.000118,0.000118,3977
2020-06-24,0.000118,0.000122,0.000109,0.000118,0.000118,4936
2020-06-25,0.000118,0.000122,0.000113,0.000118,0.000118,5077
2020-06-26,0.000119,0.000123,0.000112,0.000121,0.000121,5394
2020-06-27,null,null,null,null,null,null
2020-06-28,0.000114,0.000114,0.000104,0.000110,0.000110,2989
2020-06-29,0.000110,0.000112,0.000094,0.000109,0.000109,5154
2020-06-30,0.000109,0.000114,0.000105,0.000108,0.000108,4216
2020-07-01,0.000108,0.000872,0.000107,0.000129,0.000129,5537
2020-07-02,0.000129,0.000135,0.000100,0.000104,0.000104,4858
2020-07-03,0.000105,0.000132,0.000101,0.000128,0.000128,5767
2020-07-04,0.000128,0.000285,0.000120,0.000284,0.000284,6229
2020-07-05,0.000284,0.000284,0.000124,0.000127,0.000127,5693
2020-07-06,0.000127,0.000132,0.000124,0.000129,0.000129,5804
2020-07-07,0.000128,0.000180,0.000109,0.000164,0.000164,7755
2020-07-08,0.000164,0.000166,0.000096,0.000144,0.000144,25910
2020-07-09,0.000144,0.000189,0.000111,0.000143,0.000143,5124
2020-07-10,0.000143,0.000190,0.000131,0.000144,0.000144,5244
2020-07-11,0.000143,0.000189,0.000138,0.000189,0.000189,6913
2020-07-12,0.000189,0.000195,0.000134,0.000142,0.000142,4819
2020-07-13,0.000142,0.000193,0.000100,0.000144,0.000144,3611
2020-07-14,0.000144,0.000189,0.000138,0.000144,0.000144,5048
2020-07-15,0.000144,0.000187,0.000103,0.000103,0.000103,2544
2020-07-16,0.000103,0.000209,0.000103,0.000199,0.000199,1530
2020-07-17,0.000199,0.000200,0.000184,0.000187,0.000187,6313
2020-07-18,0.000187,0.000213,0.000186,0.000199,0.000199,1984
2020-07-19,0.000199,0.000199,0.000187,0.000193,0.000193,10022
2020-07-20,0.000193,0.000207,0.000116,0.000134,0.000134,4108
2020-07-21,0.000134,0.000240,0.000112,0.000236,0.000236,44651
2020-07-22,0.000236,0.000248,0.000114,0.000248,0.000248,109990
2020-07-23,0.000248,0.000261,0.000137,0.000153,0.000153,18465
2020-07-24,0.000153,0.000257,0.000150,0.000211,0.000211,5180
2020-07-25,0.000211,0.000254,0.000208,0.000233,0.000233,2702
2020-07-26,0.000232,0.000265,0.000226,0.000255,0.000255,1709
2020-07-27,0.000255,0.000284,0.000236,0.000270,0.000270,9037
2020-07-28,0.000270,0.000342,0.000234,0.000277,0.000277,3971
2020-07-29,0.000277,0.000278,0.000231,0.000231,0.000231,12294
2020-07-30,0.000232,0.000326,0.000223,0.000223,0.000223,9014
2020-07-31,0.000223,0.000341,0.000142,0.000232,0.000232,23607
2020-08-01,0.000232,0.000346,0.000228,0.000238,0.000238,19973
2020-08-02,0.000238,0.000322,0.000230,0.000305,0.000305,4510
2020-08-03,0.000305,0.000308,0.000223,0.000224,0.000224,7817
2020-08-04,0.000224,0.000322,0.000212,0.000322,0.000322,6666
2020-08-05,0.000322,0.000325,0.000235,0.000243,0.000243,10402
2020-08-06,0.000243,0.000345,0.000238,0.000251,0.000251,17474
2020-08-07,0.000251,0.000351,0.000139,0.000237,0.000237,12822
2020-08-08,0.000237,0.000344,0.000236,0.000338,0.000338,5056
2020-08-09,0.000339,0.000345,0.000240,0.000240,0.000240,13101
2020-08-10,0.000240,0.000441,0.000240,0.000248,0.000248,8888
2020-08-11,0.000249,0.000445,0.000248,0.000415,0.000415,4718
2020-08-12,0.000415,0.000428,0.000349,0.000354,0.000354,3646
2020-08-13,0.000354,0.000419,0.000272,0.000322,0.000322,3209
2020-08-14,0.000322,0.000370,0.000310,0.000363,0.000363,2855
2020-08-15,0.000364,0.000369,0.000326,0.000358,0.000358,1859
2020-08-16,0.000358,0.000368,0.000316,0.000337,0.000337,2552
2020-08-17,0.000337,0.000386,0.000280,0.000369,0.000369,2518
2020-08-18,0.000369,0.000389,0.000333,0.000373,0.000373,2914
2020-08-19,0.000373,0.000376,0.000315,0.000350,0.000350,1923
2020-08-20,0.000350,0.000359,0.000311,0.000318,0.000318,3391
2020-08-21,0.000316,0.000416,0.000291,0.000340,0.000340,3988
2020-08-22,0.000340,0.000345,0.000268,0.000332,0.000332,1774
2020-08-23,0.000332,0.000348,0.000320,0.000343,0.000343,1518
2020-08-24,0.000343,0.000357,0.000340,0.000354,0.000354,5029
2020-08-25,0.000354,0.000355,0.000259,0.000334,0.000334,5995
2020-08-26,0.000333,0.000340,0.000311,0.000335,0.000335,2318
2020-08-27,0.000332,0.000338,0.000310,0.000333,0.000333,1658
2020-08-28,0.000333,0.000358,0.000296,0.000358,0.000358,2441
2020-08-29,0.000358,0.000368,0.000346,0.000353,0.000353,2066
2020-08-30,0.000353,0.000440,0.000259,0.000264,0.000264,8437
2020-08-31,0.000264,0.000378,0.000264,0.000371,0.000371,2986
2020-09-01,0.000370,0.000719,0.000313,0.000705,0.000705,4681
2020-09-02,0.000707,0.000709,0.000311,0.000313,0.000313,3474
2020-09-03,0.000313,0.000450,0.000312,0.000393,0.000393,26142
2020-09-04,0.000393,0.000480,0.000361,0.000422,0.000422,5709
2020-09-05,0.000422,0.000493,0.000342,0.000405,0.000405,8125
2020-09-06,0.000405,0.000589,0.000326,0.000508,0.000508,27517
2020-09-07,0.000508,0.000521,0.000404,0.000519,0.000519,12076
2020-09-08,0.000519,0.000597,0.000497,0.000596,0.000596,13252
2020-09-09,0.000596,0.000606,0.000410,0.000606,0.000606,20940
2020-09-10,0.000606,0.000827,0.000606,0.000826,0.000826,35671
2020-09-11,0.000826,0.000922,0.000792,0.000834,0.000834,21161
2020-09-12,0.000834,0.000838,0.000470,0.000661,0.000661,27096
2020-09-13,0.000661,0.000833,0.000623,0.000685,0.000685,3834
2020-09-14,0.000685,0.000697,0.000538,0.000644,0.000644,24691
2020-09-15,0.000642,0.000860,0.000641,0.000732,0.000732,7079
2020-09-16,0.000732,0.000876,0.000661,0.000769,0.000769,19801
2020-09-17,0.000769,0.000868,0.000561,0.000772,0.000772,14399
2020-09-18,0.000772,0.000786,0.000658,0.000692,0.000692,7086
