Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,6.804380,6.948470,6.804380,6.948470,6.948470,983921
2017-07-21,7.221400,8.013700,4.999970,5.815820,5.815820,1020090
2017-07-22,5.388100,6.126800,4.864790,5.948740,5.948740,702698
2017-07-23,5.951690,7.206990,5.690570,6.884330,6.884330,451767
2017-07-24,6.713970,7.636800,6.361580,6.669480,6.669480,438281
2017-07-25,6.938940,6.970850,4.878050,6.108550,6.108550,263620
2017-07-26,6.111330,6.157900,4.910970,5.690100,5.690100,121000
2017-07-27,5.606840,5.932320,5.394770,5.465150,5.465150,86468
2017-07-28,5.481720,6.152860,5.125830,5.329500,5.329500,193689
2017-07-29,5.380730,5.489880,4.943200,5.023970,5.023970,66002
2017-07-30,5.028500,5.567600,5.018180,5.464110,5.464110,67129
2017-07-31,5.397150,5.519090,4.758140,5.126830,5.126830,152741
2017-08-01,5.129310,6.048540,4.748810,5.362300,5.362300,143405
2017-08-02,5.364750,5.747980,5.156940,5.206100,5.206100,89192
2017-08-03,5.263360,5.779890,5.240720,5.751980,5.751980,62178
2017-08-04,5.645360,5.983640,5.518420,5.797350,5.797350,53802
2017-08-05,5.794780,7.074450,5.707010,6.768960,6.768960,85077
2017-08-06,6.770600,7.349950,6.483000,6.616350,6.616350,178446
2017-08-07,6.601950,7.430720,6.433230,7.115420,7.115420,128399
2017-08-08,6.797920,7.240680,5.510700,6.719670,6.719670,139162
2017-08-09,6.715120,6.785180,5.034310,5.650550,5.650550,321938
2017-08-10,5.649040,6.836870,5.461230,6.764240,6.764240,365844
2017-08-11,6.627870,8.824860,6.323340,7.853810,7.853810,951132
2017-08-12,7.847690,9.956680,7.778670,9.411340,9.411340,822778
2017-08-13,9.321270,9.811380,7.753580,9.570420,9.570420,581556
2017-08-14,9.545640,12.425700,8.811760,12.083200,12.083200,1940450
2017-08-15,12.202300,13.118700,9.212730,10.253400,10.253400,910936
2017-08-16,10.264700,10.387400,9.136920,9.444730,9.444730,511992
2017-08-17,9.489990,10.485300,8.775400,8.931190,8.931190,360790
2017-08-18,8.939240,9.618330,7.872120,8.143250,8.143250,414517
2017-08-19,8.136300,8.615500,6.933290,8.141680,8.141680,312599
2017-08-20,8.083370,9.001310,7.428780,7.746700,7.746700,296757
2017-08-21,8.014740,8.043800,6.687390,6.985780,6.985780,396110
2017-08-22,7.001530,8.070590,6.023010,7.781980,7.781980,658849
2017-08-23,7.765930,8.855770,7.752940,8.008330,8.008330,273039
2017-08-24,8.012090,8.306010,7.774540,8.055600,8.055600,124812
2017-08-25,8.042770,8.491540,7.990050,8.347070,8.347070,97324
2017-08-26,8.377240,8.672310,8.080580,8.269670,8.269670,174800
2017-08-27,8.264430,9.850530,8.218880,9.688210,9.688210,436408
2017-08-28,9.698930,10.177300,8.852580,10.092200,10.092200,249024
2017-08-29,10.257500,10.839500,9.188140,9.754710,9.754710,509384
2017-08-30,9.749040,11.497700,9.636940,10.184500,10.184500,710423
2017-08-31,10.166500,11.615900,10.154900,11.615900,11.615900,885794
2017-09-01,11.651700,13.670500,11.317100,13.670500,13.670500,671737
2017-09-02,13.687600,13.783900,11.424700,12.090300,12.090300,340407
2017-09-03,12.099000,12.458500,11.321200,12.025100,12.025100,186201
2017-09-04,12.029500,12.046900,9.355020,10.229500,10.229500,349726
2017-09-05,10.193600,11.665600,8.977390,11.479800,11.479800,297952
2017-09-06,11.497300,12.526200,10.873800,11.323600,11.323600,363552
2017-09-07,11.328300,11.398500,10.634800,11.335900,11.335900,213756
2017-09-08,11.333100,11.333100,9.167550,9.760090,9.760090,285640
2017-09-09,9.777500,9.917750,8.756180,9.506820,9.506820,205266
2017-09-10,9.335410,9.593070,8.379320,8.939710,8.939710,121121
2017-09-11,8.967410,9.224860,8.504980,8.677320,8.677320,136508
2017-09-12,8.675400,9.435160,7.878130,8.128230,8.128230,219707
2017-09-13,7.948230,8.548360,7.198830,7.948500,7.948500,191499
2017-09-14,7.949950,8.173450,5.938340,6.145520,6.145520,268359
2017-09-15,6.192560,8.588720,5.697700,7.658410,7.658410,279721
2017-09-16,7.729630,8.391180,7.198230,7.924650,7.924650,122942
2017-09-17,7.918970,8.493400,7.708510,8.131940,8.131940,145366
2017-09-18,8.115740,8.853060,7.961350,8.160710,8.160710,209294
2017-09-19,8.181830,8.512760,7.633680,7.633680,7.633680,180497
2017-09-20,7.888070,8.347140,7.426500,8.186350,8.186350,106929
2017-09-21,8.145700,8.199900,6.795490,6.854130,6.854130,117333
2017-09-22,6.846160,7.225450,6.256620,6.953170,6.953170,161949
2017-09-23,6.876050,7.580220,6.844300,7.580220,7.580220,42375
2017-09-24,7.566800,7.610130,6.935120,7.109340,7.109340,62151
2017-09-25,7.101980,7.614990,6.902100,7.400910,7.400910,156981
2017-09-26,7.401420,7.634670,6.605700,7.190170,7.190170,464401
2017-09-27,7.079910,8.055640,7.047500,7.847310,7.847310,295910
