Date,Open,High,Low,Close,Adj Close,Volume
2016-02-13,0.001156,0.001156,0.001140,0.001144,0.001144,641
2016-02-14,0.001147,0.001288,0.000766,0.000797,0.000797,347
2016-02-15,0.000797,0.000874,0.000521,0.000598,0.000598,217
2016-02-16,0.000436,0.000885,0.000422,0.000664,0.000664,218
2016-02-17,0.000664,0.001511,0.000664,0.000758,0.000758,460
2016-02-18,0.000758,0.000947,0.000744,0.000790,0.000790,227
2016-02-19,0.000790,0.001134,0.000784,0.000864,0.000864,358
2016-02-20,0.000866,0.005734,0.000862,0.001479,0.001479,705
2016-02-21,0.001495,0.002393,0.001377,0.001407,0.001407,630
2016-02-22,0.001658,0.002498,0.000975,0.001932,0.001932,830
2016-02-23,0.001991,0.005119,0.001991,0.003831,0.003831,6330
2016-02-24,0.003833,0.004206,0.002470,0.002523,0.002523,3330
2016-02-25,0.002523,0.003554,0.001988,0.002075,0.002075,1194
2016-02-26,0.002357,0.002357,0.001708,0.001750,0.001750,958
2016-02-27,0.001752,0.002671,0.001471,0.002223,0.002223,1297
2016-02-28,0.002224,0.003328,0.002222,0.002353,0.002353,2337
2016-02-29,0.002352,0.002779,0.001807,0.002278,0.002278,886
2016-03-01,0.002286,0.002585,0.001830,0.001884,0.001884,1269
2016-03-02,0.001884,0.004012,0.001836,0.002857,0.002857,1590
2016-03-03,0.002856,0.006134,0.002856,0.004732,0.004732,3534
2016-03-04,0.004730,0.008053,0.004506,0.006895,0.006895,1554
2016-03-05,0.007897,0.010062,0.006601,0.008497,0.008497,1250
2016-03-06,0.008498,0.008697,0.006007,0.006384,0.006384,13020
2016-03-07,0.006385,0.008012,0.003793,0.004047,0.004047,10671
2016-03-08,0.005286,0.005342,0.003835,0.004884,0.004884,5643
2016-03-09,0.004759,0.005043,0.003934,0.004038,0.004038,3399
2016-03-10,0.004037,0.004618,0.003954,0.004086,0.004086,4297
2016-03-11,0.004087,0.004869,0.004087,0.004237,0.004237,3308
2016-03-12,0.004236,0.004864,0.004188,0.004364,0.004364,2996
2016-03-13,0.004365,0.004975,0.004303,0.004572,0.004572,2685
2016-03-14,0.004574,0.006114,0.004536,0.005754,0.005754,5664
2016-03-15,0.005750,0.005750,0.004231,0.004658,0.004658,5402
2016-03-16,0.004841,0.005650,0.004572,0.005056,0.005056,2947
2016-03-17,0.005061,0.005720,0.004821,0.005116,0.005116,3154
2016-03-18,0.005118,0.006048,0.005022,0.005724,0.005724,4615
2016-03-19,0.005720,0.006736,0.005641,0.006194,0.006194,3682
2016-03-20,0.006210,0.007422,0.006199,0.006782,0.006782,5691
2016-03-21,0.006777,0.006931,0.005369,0.005709,0.005709,4140
2016-03-22,0.005687,0.006140,0.005234,0.005623,0.005623,3635
2016-03-23,0.005624,0.005987,0.005312,0.005345,0.005345,4351
2016-03-24,0.005343,0.005545,0.004854,0.004864,0.004864,2533
2016-03-25,0.004862,0.006031,0.004656,0.005300,0.005300,3528
2016-03-26,0.005300,0.005447,0.004856,0.004857,0.004857,2635
2016-03-27,0.004860,0.005041,0.004331,0.004350,0.004350,2155
2016-03-28,0.004354,0.004426,0.003250,0.003250,0.003250,3362
2016-03-29,0.003251,0.004219,0.003194,0.003497,0.003497,3184
2016-03-30,0.003502,0.003761,0.003442,0.003602,0.003602,1415
2016-03-31,0.003606,0.003832,0.003518,0.003518,0.003518,1405
2016-04-01,0.003521,0.003878,0.003247,0.003356,0.003356,2372
2016-04-02,0.003360,0.003872,0.003198,0.003412,0.003412,2201
2016-04-03,0.003415,0.006808,0.003391,0.005473,0.005473,15800
2016-04-04,0.005489,0.005489,0.003932,0.004652,0.004652,7046
2016-04-05,0.004644,0.005348,0.004354,0.004637,0.004637,2575
2016-04-06,0.004644,0.004644,0.003679,0.003683,0.003683,2921
2016-04-07,0.003685,0.004436,0.003682,0.003909,0.003909,2273
2016-04-08,0.003911,0.003937,0.003576,0.003618,0.003618,2332
2016-04-09,0.003622,0.003784,0.003553,0.003635,0.003635,1319
2016-04-10,0.003768,0.003768,0.002959,0.003291,0.003291,3314
2016-04-11,0.003293,0.003561,0.002395,0.002573,0.002573,4235
2016-04-12,0.002575,0.002741,0.002536,0.002604,0.002604,1117
