Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,3.060940,4.537546,2.948490,3.598176,3.598176,1532043
2020-05-08,3.598176,5.374959,2.826009,5.365845,5.365845,705061
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,5.301681,5.386342,5.260770,5.293812,5.293812,703518
2020-05-17,5.292838,5.306056,5.223155,5.233243,5.233243,716068
2020-05-18,5.232558,5.257304,5.163696,5.165042,5.165042,770475
2020-05-19,5.169044,5.364644,5.139522,5.358924,5.358924,701409
2020-05-20,5.357323,5.426614,5.339957,5.418097,5.418097,697938
2020-05-21,5.419942,5.445926,5.389976,5.413419,5.413419,695501
2020-05-22,5.413737,5.479249,5.401545,5.460686,5.460686,684737
2020-05-23,5.461287,5.468488,5.420770,5.462535,5.462535,686005
2020-05-24,5.462254,5.524225,5.439525,5.484008,5.484008,680790
2020-05-25,5.484551,5.487384,5.354254,5.359373,5.359373,696496
2020-05-26,5.359603,5.478074,5.344774,5.435469,5.435469,588165
2020-05-27,5.435469,5.507942,2.438406,5.337668,5.337668,575519
2020-05-28,5.337910,5.357993,5.183168,5.183279,5.183279,603845
2020-05-29,5.182850,5.309283,5.175455,5.309167,5.309167,624598
2020-05-30,5.308740,5.384584,5.294357,5.351144,5.351144,611381
2020-05-31,5.351507,5.355582,5.243379,5.257223,5.257223,631996
2020-06-01,5.258743,5.385785,5.254442,5.280684,5.280684,622605
2020-06-02,5.277561,5.278446,5.043357,5.129441,5.129441,644172
2020-06-03,5.129441,5.281077,4.988907,5.275384,5.275384,604592
2020-06-04,5.275467,5.302775,5.176642,5.196577,5.196577,644902
2020-06-05,5.196577,5.302995,5.189943,5.265348,5.265348,638008
2020-06-06,5.265348,5.348925,5.243501,5.340730,5.340730,618593
2020-06-07,5.340730,5.367358,5.293416,5.310810,5.310810,631283
2020-06-08,5.310573,5.357310,5.270794,5.351257,5.351257,621943
2020-06-09,5.353466,5.371541,5.318584,5.330020,5.330020,629278
2020-06-10,5.329447,5.403617,5.249234,5.278318,5.278318,645445
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,5.429904,5.520069,5.427307,5.486308,5.486308,593817
2020-06-15,5.486308,5.499090,5.176905,5.182608,5.182608,657481
2020-06-16,5.182042,5.378954,5.162514,5.374504,5.374504,615483
2020-06-17,5.373616,5.424157,5.370901,5.370901,5.370901,612233
2020-06-18,5.370946,5.394899,5.339051,5.380404,5.380404,610767
2020-06-19,5.380474,5.385045,5.325674,5.354508,5.354508,604320
2020-06-20,null,null,null,null,null,null
2020-06-21,5.434815,5.504477,5.430271,5.503253,5.503253,584727
2020-06-22,null,null,null,null,null,null
2020-06-23,5.306916,5.420772,5.277916,5.410791,5.410791,557833
2020-06-24,5.410955,5.431712,5.205031,5.246546,5.246546,632260
2020-06-25,5.244251,9.206483,3.118192,3.141073,3.141073,2134595
2020-06-26,3.140671,5.412097,3.138062,5.356317,5.356317,617109
2020-06-27,null,null,null,null,null,null
2020-06-28,5.389433,5.434454,5.338086,5.427639,5.427639,599577
2020-06-29,5.426026,5.459335,5.350138,5.357494,5.357494,477579
2020-06-30,5.356222,5.370006,5.304238,5.349285,5.349285,610742
2020-07-01,5.349109,5.395203,5.313499,5.330667,5.330667,616001
2020-07-02,5.329974,5.381483,5.303470,5.364691,5.364691,629893
2020-07-03,5.365007,5.400055,5.325289,5.346508,5.346508,609222
2020-07-04,5.346035,5.435860,5.325625,5.427002,5.427002,597954
2020-07-05,5.426427,5.500643,5.414220,5.453468,5.453468,596502
2020-07-06,5.453468,5.461783,5.002915,5.006222,5.006222,691135
2020-07-07,5.004192,5.199886,4.882973,5.009022,5.009022,682268
2020-07-08,5.009094,5.257565,5.009094,5.051801,5.051801,677900
2020-07-09,5.051827,5.204110,4.968645,4.997906,4.997906,688271
2020-07-10,4.996350,5.230104,4.960886,5.010673,5.010673,680017
2020-07-11,5.010442,5.414487,4.944962,5.185592,5.185592,644536
