Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,0.019846,0.020269,0.019846,0.020179,0.020179,263600
2020-08-20,0.020179,0.021261,0.019998,0.021048,0.021048,309136
2020-08-21,0.021046,0.022230,0.020941,0.021501,0.021501,286626
2020-08-22,0.021584,0.021617,0.020313,0.020501,0.020501,227223
2020-08-23,0.020365,0.024418,0.020331,0.023043,0.023043,265324
2020-08-24,0.023250,0.024658,0.022114,0.022738,0.022738,298607
2020-08-25,0.022740,0.023224,0.022496,0.022798,0.022798,351709
2020-08-26,0.022808,0.023126,0.022565,0.022685,0.022685,300077
2020-08-27,0.022650,0.023118,0.021031,0.021235,0.021235,309049
2020-08-28,0.021246,0.022827,0.021123,0.022626,0.022626,276142
2020-08-29,0.022723,0.022939,0.021899,0.022714,0.022714,243978
2020-08-30,0.022803,0.023075,0.022354,0.022527,0.022527,257361
2020-08-31,0.022520,0.022883,0.022010,0.022194,0.022194,263752
2020-09-01,0.022190,0.022357,0.021532,0.021655,0.021655,341504
2020-09-02,0.021662,0.021953,0.020855,0.021499,0.021499,371213
2020-09-03,0.021378,0.021894,0.020583,0.021171,0.021171,415119
2020-09-04,0.021128,0.021500,0.020406,0.020909,0.020909,375582
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.033355,0.038965,0.032313,0.036603,0.036603,243100
2020-09-23,0.036598,0.040535,0.031500,0.037968,0.037968,575013
2020-09-24,0.037968,0.039963,0.033914,0.038213,0.038213,569524
2020-09-25,0.038152,0.038241,0.033128,0.036445,0.036445,500380
2020-09-26,0.036491,0.036960,0.031235,0.034755,0.034755,406830
2020-09-27,0.034755,0.034895,0.030530,0.031820,0.031820,346390
2020-09-28,0.031820,0.033761,0.029709,0.031352,0.031352,441689
2020-09-29,0.031431,0.033536,0.030342,0.031533,0.031533,414674
2020-09-30,0.031370,0.032934,0.029628,0.031289,0.031289,397103
2020-10-01,0.031312,0.032550,0.028855,0.030899,0.030899,454511
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.026963,0.028985,0.026195,0.028315,0.028315,291979
2020-10-06,0.028064,0.028503,0.026486,0.027734,0.027734,327165
2020-10-07,0.027734,0.028141,0.026749,0.027311,0.027311,286991
2020-10-08,0.027489,0.029024,0.026539,0.028608,0.028608,358747
2020-10-09,0.028712,0.029114,0.027216,0.028267,0.028267,332327
2020-10-10,0.027879,0.028563,0.026859,0.027819,0.027819,304538
2020-10-11,0.027817,0.027828,0.025434,0.026115,0.026115,233764
2020-10-12,0.025869,0.031913,0.025584,0.029621,0.029621,372042
2020-10-13,0.029664,0.030871,0.027447,0.028795,0.028795,388514
2020-10-14,0.028752,0.033225,0.028510,0.032197,0.032197,362529
2020-10-15,0.032184,0.033927,0.029706,0.031890,0.031890,430458
2020-10-16,0.031880,0.032891,0.030156,0.031629,0.031629,472535
2020-10-17,0.031602,0.032418,0.029008,0.030665,0.030665,306608
2020-10-18,0.030595,0.031406,0.028356,0.029859,0.029859,317038
2020-10-19,0.029836,0.030501,0.027969,0.030094,0.030094,436310
2020-10-20,0.029888,0.030151,0.028037,0.029537,0.029537,460298
2020-10-21,0.029521,0.031361,0.026823,0.028476,0.028476,704777
2020-10-22,0.028380,0.029479,0.013025,0.024485,0.024485,496779
2020-10-23,0.023135,0.027918,0.010075,0.025938,0.025938,382824
2020-10-24,0.025939,0.029370,0.024067,0.028875,0.028875,406241
2020-10-25,0.028874,0.032882,0.027713,0.031148,0.031148,421932
