Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.009420,0.009522,0.008731,0.008831,0.008831,98170
2020-05-08,0.008826,0.009465,0.008826,0.008954,0.008954,59978
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.008582,0.009785,0.008513,0.009370,0.009370,275450
2020-05-17,0.009373,0.010008,0.009243,0.009393,0.009393,130434
2020-05-18,0.009393,0.009883,0.009199,0.009811,0.009811,80236
2020-05-19,0.009807,0.009883,0.009478,0.009811,0.009811,70479
2020-05-20,0.009815,0.010054,0.009146,0.009235,0.009235,57226
2020-05-21,0.009235,0.009728,0.008861,0.009264,0.009264,153377
2020-05-22,0.009263,0.009961,0.009098,0.009737,0.009737,221077
2020-05-23,0.009737,0.009937,0.009366,0.009484,0.009484,179034
2020-05-24,0.009485,0.010924,0.009441,0.010293,0.010293,1367000
2020-05-25,0.010264,0.011754,0.010097,0.011587,0.011587,698499
2020-05-26,0.011586,0.012121,0.010585,0.010868,0.010868,1882396
2020-05-27,0.010868,0.010925,0.010258,0.010475,0.010475,410665
2020-05-28,0.010385,0.010612,0.009898,0.010183,0.010183,341348
2020-05-29,0.010182,0.010845,0.010072,0.010654,0.010654,180167
2020-05-30,0.010653,0.011621,0.010571,0.010962,0.010962,480538
2020-05-31,0.010962,0.012087,0.010882,0.011276,0.011276,456363
2020-06-01,0.011273,0.012172,0.011002,0.011286,0.011286,265011
2020-06-02,0.011190,0.012247,0.010798,0.011712,0.011712,297203
2020-06-03,0.011712,0.012162,0.011247,0.011977,0.011977,197173
2020-06-04,0.011979,0.012447,0.011744,0.012151,0.012151,157369
2020-06-05,0.012151,0.012284,0.011822,0.011981,0.011981,72241
2020-06-06,0.011981,0.012466,0.011818,0.012055,0.012055,115680
2020-06-07,0.012055,0.013169,0.011839,0.012781,0.012781,324325
2020-06-08,0.012783,0.013731,0.012343,0.012612,0.012612,266320
2020-06-09,0.012804,0.013096,0.012626,0.012831,0.012831,165959
2020-06-10,0.012831,0.014527,0.012807,0.013520,0.013520,437157
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.013162,0.013815,0.012885,0.013032,0.013032,241240
2020-06-15,0.013032,0.013230,0.011294,0.012453,0.012453,226428
2020-06-16,0.012455,0.013524,0.012405,0.013240,0.013240,140024
2020-06-17,0.013241,0.014654,0.013090,0.014395,0.014395,629187
2020-06-18,0.014395,0.014549,0.013420,0.013644,0.013644,395710
2020-06-19,0.013660,0.013886,0.013170,0.013270,0.013270,118819
2020-06-20,null,null,null,null,null,null
2020-06-21,0.013604,0.013741,0.013104,0.013109,0.013109,55998
2020-06-22,null,null,null,null,null,null
2020-06-23,0.012840,0.014104,0.012681,0.014060,0.014060,201201
2020-06-24,0.014066,0.014087,0.012997,0.013209,0.013209,180737
2020-06-25,0.013217,0.013843,0.012328,0.013505,0.013505,411407
2020-06-26,0.013503,0.014035,0.012783,0.012994,0.012994,246645
2020-06-27,null,null,null,null,null,null
2020-06-28,0.011820,0.012522,0.011497,0.012039,0.012039,83485
2020-06-29,0.012039,0.012521,0.011873,0.012186,0.012186,132820
2020-06-30,0.012275,0.012377,0.011862,0.011872,0.011872,58764
2020-07-01,0.011963,0.012929,0.011524,0.012640,0.012640,278500
2020-07-02,0.012645,0.013075,0.012166,0.012477,0.012477,114642
2020-07-03,0.012475,0.012814,0.012368,0.012522,0.012522,76292
2020-07-04,0.012523,0.012952,0.012215,0.012679,0.012679,114650
2020-07-05,0.012679,0.012747,0.012081,0.012233,0.012233,71533
2020-07-06,0.012233,0.013906,0.012151,0.013037,0.013037,434504
2020-07-07,0.013035,0.013919,0.012971,0.013235,0.013235,152406
2020-07-08,0.013238,0.014662,0.013169,0.014147,0.014147,438288
2020-07-09,0.014148,0.014309,0.013116,0.013617,0.013617,151045
2020-07-10,0.013619,0.014582,0.013288,0.014478,0.014478,248417
2020-07-11,0.014479,0.015874,0.014062,0.014878,0.014878,716897
2020-07-12,0.014878,0.015201,0.014390,0.014564,0.014564,186824
2020-07-13,0.014564,0.014977,0.013180,0.013369,0.013369,331910
2020-07-14,0.013382,0.014631,0.013226,0.014041,0.014041,254804
2020-07-15,0.014041,0.015034,0.013952,0.014333,0.014333,183259
2020-07-16,0.014330,0.015243,0.013367,0.014969,0.014969,206742
2020-07-17,0.014968,0.015203,0.014346,0.014368,0.014368,275944
2020-07-18,0.014363,0.014558,0.014018,0.014281,0.014281,158303
2020-07-19,0.014281,0.014479,0.013700,0.014050,0.014050,156346
2020-07-20,0.014071,0.017857,0.013726,0.014183,0.014183,1541483
2020-07-21,0.014273,0.016842,0.013997,0.015833,0.015833,590231
2020-07-22,0.015833,0.018522,0.015535,0.017443,0.017443,390851
2020-07-23,0.017443,0.023535,0.017060,0.019650,0.019650,3632099
2020-07-24,0.019650,0.020000,0.018038,0.018590,0.018590,486543
2020-07-25,0.018592,0.020660,0.017819,0.018195,0.018195,786862
2020-07-26,0.018198,0.018470,0.016184,0.017333,0.017333,398096
2020-07-27,0.017333,0.017349,0.013606,0.015699,0.015699,474534
2020-07-28,0.015698,0.019271,0.014707,0.016577,0.016577,549385
2020-07-29,0.016583,0.020590,0.016263,0.017294,0.017294,818069
2020-07-30,0.017310,0.018757,0.017179,0.017668,0.017668,341765
2020-07-31,0.017666,0.018130,0.016153,0.016305,0.016305,304740
2020-08-01,0.016305,0.016460,0.015781,0.016247,0.016247,211368
2020-08-02,0.016246,0.016605,0.015188,0.016146,0.016146,203047
2020-08-03,0.016153,0.017519,0.016064,0.016980,0.016980,450267
2020-08-04,0.016979,0.017275,0.016573,0.016931,0.016931,183459
