Date,Open,High,Low,Close,Adj Close,Volume
2017-07-11,2.806810,3.626790,2.671280,3.333770,3.333770,2704070
2017-07-12,3.326000,5.509930,2.736410,5.509930,5.509930,3055770
2017-07-13,5.369880,8.822730,3.017430,4.685540,4.685540,3630010
2017-07-14,null,null,null,null,null,null
2017-07-15,1.796490,2.422960,1.328120,1.446910,1.446910,1832030
2017-07-16,1.479550,1.705210,0.905822,1.384800,1.384800,2126350
2017-07-17,1.377070,3.411280,1.377070,2.533090,2.533090,1840040
2017-07-18,2.526220,2.911550,1.726400,2.456930,2.456930,2329580
2017-07-19,2.448480,2.931720,1.902060,1.964200,1.964200,1044880
2017-07-20,1.976410,2.462290,1.976410,2.359310,2.359310,505556
2017-07-21,2.386130,2.650960,2.214760,2.386220,2.386220,661561
2017-07-22,2.388320,2.737400,2.314640,2.683860,2.683860,358007
2017-07-23,2.680810,3.519020,2.145190,2.576220,2.576220,437422
2017-07-24,2.581930,2.617770,1.845160,2.443230,2.443230,991648
2017-07-25,2.443210,2.487910,2.004010,2.243900,2.243900,434991
2017-07-26,2.223620,2.329240,1.985620,2.319600,2.319600,533922
2017-07-27,2.295300,2.687500,2.210140,2.537260,2.537260,619044
2017-07-28,2.545010,3.151080,2.088830,2.619770,2.619770,993253
2017-07-29,2.593630,2.880290,2.483670,2.844980,2.844980,945852
2017-07-30,2.838210,2.932680,2.718400,2.789480,2.789480,507801
2017-07-31,2.804740,3.394330,2.700620,3.268540,3.268540,964834
2017-08-01,3.275230,3.754820,3.268330,3.641510,3.641510,811061
2017-08-02,3.639730,5.190660,3.198000,3.392320,3.392320,492153
2017-08-03,3.390480,3.788940,3.275040,3.638130,3.638130,503479
2017-08-04,3.639900,6.996220,3.266570,3.955710,3.955710,1064530
2017-08-05,3.956910,4.440080,3.930190,4.085620,4.085620,641941
2017-08-06,4.115160,4.976020,4.058430,4.617780,4.617780,450571
2017-08-07,4.610330,6.060280,4.400320,6.048700,6.048700,1441870
2017-08-08,6.065860,7.410970,5.384210,5.417360,5.417360,2002390
2017-08-09,5.438570,5.993850,4.945990,5.935840,5.935840,782146
2017-08-10,5.921820,6.562250,5.607940,6.426270,6.426270,979250
2017-08-11,6.409980,6.413360,5.801710,6.135280,6.135280,959727
2017-08-12,6.116330,6.403850,5.711460,6.055250,6.055250,894071
2017-08-13,6.036610,6.053760,5.306240,5.541040,5.541040,516448
2017-08-14,5.505080,5.949980,4.487080,5.222070,5.222070,924743
2017-08-15,5.218020,5.250040,4.574720,4.700190,4.700190,590298
2017-08-16,4.715980,5.850410,4.154160,4.805030,4.805030,735244
2017-08-17,4.812240,6.080650,1.899710,5.570350,5.570350,649644
2017-08-18,5.555840,5.836180,5.044840,5.365290,5.365290,702786
2017-08-19,5.364130,5.369110,4.376390,4.832170,4.832170,585845
2017-08-20,4.812490,4.945610,4.525220,4.525220,4.525220,335168
2017-08-21,4.513100,4.771550,3.456320,4.329840,4.329840,658417
2017-08-22,4.196190,4.227650,3.677350,3.877680,3.877680,415849
2017-08-23,3.859750,4.128270,3.325630,3.523620,3.523620,415283
2017-08-24,3.533490,5.268100,3.147130,4.422850,4.422850,758569
2017-08-25,4.438590,4.670030,3.820150,4.415210,4.415210,430544
2017-08-26,4.422680,4.436750,3.699440,3.768090,3.768090,454791
2017-08-27,3.813380,4.065400,3.142860,3.899160,3.899160,353973
2017-08-28,3.902970,3.984700,3.635540,3.854080,3.854080,449384
2017-08-29,3.856480,4.031180,3.632100,3.888480,3.888480,398299
2017-08-30,3.885190,4.017790,3.538150,3.873600,3.873600,531823
2017-08-31,3.860340,3.872360,3.561620,3.639470,3.639470,337862
2017-09-01,3.638510,5.158750,3.542710,4.062980,4.062980,1464360
2017-09-02,4.071100,4.369030,3.549050,3.754740,3.754740,763729
2017-09-03,3.754610,4.239250,3.690780,3.853080,3.853080,565324
2017-09-04,3.881300,6.180370,3.239270,3.615890,3.615890,476314
2017-09-05,3.627660,4.011510,3.375140,3.918490,3.918490,364357
2017-09-06,3.931510,4.184710,3.696850,4.166360,4.166360,410924
2017-09-07,4.167180,4.169420,3.800600,3.933840,3.933840,403291
2017-09-08,3.927620,4.119890,3.073660,3.559430,3.559430,370638
2017-09-09,3.355880,3.759890,3.251190,3.668000,3.668000,454427
2017-09-10,3.661120,9.157800,3.174460,3.499720,3.499720,252076
2017-09-11,3.509990,13.055800,3.009480,3.291950,3.291950,374879
2017-09-12,3.274530,4.110860,3.115860,3.191130,3.191130,505448
2017-09-13,3.226570,3.345050,2.896560,3.286120,3.286120,391322
2017-09-14,3.282230,3.429000,2.580320,2.639910,2.639910,295268
2017-09-15,2.647260,3.174670,2.319090,3.010230,3.010230,337136
2017-09-16,3.006030,3.128920,2.714850,2.793400,2.793400,451852
2017-09-17,2.785500,2.982420,2.574110,2.917600,2.917600,404752
2017-09-18,2.907600,3.348890,2.907600,3.326830,3.326830,501178
2017-09-19,3.338490,3.353340,2.721290,2.934210,2.934210,347692
2017-09-20,2.931330,3.164690,2.861680,2.946810,2.946810,237960
2017-09-21,2.936490,2.950490,2.435630,2.469730,2.469730,340920
2017-09-22,2.468670,2.916990,2.457810,2.597450,2.597450,374706
2017-09-23,2.593120,2.862130,2.551220,2.844900,2.844900,249775
2017-09-24,2.844920,2.886630,2.398160,2.457570,2.457570,210021
2017-09-25,2.459190,2.874180,2.458630,2.579840,2.579840,332512
2017-09-26,2.575230,2.986750,2.297420,2.625280,2.625280,284868
2017-09-27,2.725750,2.728130,2.265530,2.461070,2.461070,547670
2017-09-28,2.454180,2.534240,2.303100,2.462880,2.462880,378847
2017-09-29,2.459810,2.542570,2.159060,2.297370,2.297370,329214
2017-09-30,2.297390,2.546110,2.141530,2.330060,2.330060,246749
2017-10-01,2.330910,2.697580,2.325410,2.440200,2.440200,361877
2017-10-02,2.440040,2.542640,2.370050,2.479350,2.479350,236482
2017-10-03,2.480610,2.499450,2.204020,2.372440,2.372440,267138
2017-10-04,2.377490,2.509050,2.343330,2.344900,2.344900,349275
2017-10-05,2.345370,2.908480,2.309770,2.827660,2.827660,333960
2017-10-06,2.828190,3.049760,2.582400,2.738360,2.738360,336478
2017-10-07,2.736020,2.798890,2.485260,2.485260,2.485260,270384
2017-10-08,2.471090,2.672120,2.375270,2.568630,2.568630,224135
2017-10-09,2.566320,2.785460,2.145680,2.709790,2.709790,292696
2017-10-10,2.713260,3.132140,2.279340,3.092620,3.092620,400775
2017-10-11,3.096100,3.261070,2.866160,3.128770,3.128770,269182
2017-10-12,3.129010,3.204060,2.575910,3.140220,3.140220,317744
2017-10-13,3.137500,3.291200,2.939240,3.112760,3.112760,265395
2017-10-14,3.115530,3.204230,2.989670,3.111580,3.111580,265240
2017-10-15,3.120050,3.386990,2.908120,3.357390,3.357390,208582
2017-10-16,3.362600,4.104090,3.134350,3.261250,3.261250,320896
2017-10-17,3.241410,3.726830,1.925570,3.050750,3.050750,323482
2017-10-18,3.047840,3.167010,2.816320,3.162160,3.162160,316907
2017-10-19,3.157390,3.172920,2.945750,3.159100,3.159100,271031
2017-10-20,3.172850,3.395320,2.932460,3.008370,3.008370,339280
2017-10-21,3.003490,3.259020,2.735360,3.053160,3.053160,256507
2017-10-22,3.053720,3.074940,2.676340,2.851350,2.851350,284913
2017-10-23,2.848860,3.254240,2.589620,3.120420,3.120420,267616
2017-10-24,3.115630,3.666620,2.910130,3.259800,3.259800,330053
2017-10-25,3.259700,4.543610,3.212920,4.094900,4.094900,249583
2017-10-26,4.089340,4.334180,3.600170,3.600170,3.600170,398411
2017-10-27,3.598820,3.775240,3.235980,3.741200,3.741200,276742
