Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.035093,0.039639,0.034726,0.038235,0.038235,776265
2020-05-08,0.038104,0.039334,0.036771,0.037759,0.037759,690806
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.027602,0.027797,0.020843,0.022252,0.022252,755688
2020-05-17,0.022252,0.025302,0.021556,0.023279,0.023279,655720
2020-05-18,0.023275,0.023984,0.022127,0.023040,0.023040,612298
2020-05-19,0.022984,0.023241,0.022328,0.022556,0.022556,489570
2020-05-20,0.022527,0.022787,0.021143,0.021297,0.021297,448598
2020-05-21,0.021296,0.021709,0.017504,0.018335,0.018335,680736
2020-05-22,0.018337,0.018374,0.016623,0.016623,0.016623,352639
2020-05-23,0.016559,0.019594,0.016012,0.018595,0.018595,285685
2020-05-24,0.018578,0.033875,0.018490,0.026306,0.026306,964437
2020-05-25,0.026306,0.029375,0.025443,0.026485,0.026485,871630
2020-05-26,0.026507,0.027404,0.023717,0.023874,0.023874,465228
2020-05-27,0.023874,0.024002,0.020559,0.021481,0.021481,724094
2020-05-28,0.021469,0.023471,0.021346,0.022784,0.022784,605305
2020-05-29,0.022774,0.024519,0.022347,0.024518,0.024518,201135
2020-05-30,0.024518,0.025460,0.024137,0.025396,0.025396,143633
2020-05-31,0.025396,0.028048,0.025024,0.026763,0.026763,584487
2020-06-01,0.026771,0.027297,0.025503,0.025967,0.025967,906124
2020-06-02,0.025958,0.027260,0.025081,0.025305,0.025305,1247607
2020-06-03,0.025305,0.026310,0.024084,0.024672,0.024672,326003
2020-06-04,0.024669,0.025193,0.024374,0.025015,0.025015,612725
2020-06-05,0.025026,0.026266,0.023513,0.023681,0.023681,571186
2020-06-06,0.023681,0.024975,0.023242,0.023816,0.023816,418247
2020-06-07,0.023830,0.024256,0.022380,0.023525,0.023525,798763
2020-06-08,0.023507,0.023673,0.022169,0.022727,0.022727,582578
2020-06-09,0.022780,0.023109,0.020998,0.021034,0.021034,627684
2020-06-10,0.021027,0.021345,0.019884,0.021177,0.021177,755962
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.020321,0.021143,0.020013,0.021082,0.021082,617101
2020-06-15,0.021032,0.021197,0.020091,0.020669,0.020669,1404506
2020-06-16,0.020668,0.020810,0.019540,0.019903,0.019903,310285
2020-06-17,0.019904,0.020575,0.019848,0.020394,0.020394,305163
2020-06-18,0.020394,0.020533,0.019883,0.019964,0.019964,126726
2020-06-19,0.019966,0.020073,0.019445,0.019490,0.019490,310463
2020-06-20,null,null,null,null,null,null
2020-06-21,0.019545,0.019933,0.019307,0.019443,0.019443,107369
2020-06-22,null,null,null,null,null,null
2020-06-23,0.019164,0.019402,0.017563,0.018037,0.018037,313816
2020-06-24,0.018120,0.018375,0.016833,0.017156,0.017156,391201
2020-06-25,0.017158,0.017331,0.015037,0.015092,0.015092,381292
2020-06-26,0.015089,0.015511,0.014121,0.015094,0.015094,348796
2020-06-27,null,null,null,null,null,null
2020-06-28,0.014835,0.015635,0.014703,0.015360,0.015360,309145
2020-06-29,0.015360,0.015709,0.014737,0.014920,0.014920,349375
2020-06-30,0.014789,0.015516,0.014789,0.014978,0.014978,287173
2020-07-01,0.014958,0.017898,0.014911,0.017711,0.017711,411854
2020-07-02,0.017756,0.019452,0.017659,0.018403,0.018403,466992
2020-07-03,0.018389,0.018541,0.016838,0.017332,0.017332,245744
2020-07-04,0.017351,0.019021,0.017031,0.018481,0.018481,254154
2020-07-05,0.018487,0.018974,0.017321,0.018246,0.018246,353805
2020-07-06,0.018246,0.018364,0.017168,0.017757,0.017757,322587
2020-07-07,0.017719,0.017881,0.016128,0.016739,0.016739,210843
2020-07-08,0.016714,0.017126,0.016233,0.016326,0.016326,396295
2020-07-09,0.016326,0.016730,0.015958,0.016694,0.016694,271417
2020-07-10,0.016691,0.016823,0.015464,0.015467,0.015467,232203
2020-07-11,0.015598,0.016539,0.015449,0.016003,0.016003,215663
2020-07-12,0.016021,0.016428,0.015688,0.016149,0.016149,345541
2020-07-13,0.016149,0.016214,0.015138,0.015351,0.015351,384133
2020-07-14,0.015318,0.015675,0.014460,0.014532,0.014532,347630
2020-07-15,0.014495,0.014879,0.014040,0.014824,0.014824,258539
2020-07-16,0.014823,0.014882,0.014113,0.014660,0.014660,266398
2020-07-17,0.014735,0.015090,0.013749,0.014091,0.014091,224962
2020-07-18,0.014077,0.014304,0.013321,0.013831,0.013831,262891
2020-07-19,0.013728,0.014200,0.013417,0.013631,0.013631,339980
2020-07-20,0.013677,0.014186,0.013047,0.013212,0.013212,392433
2020-07-21,0.013219,0.013580,0.012840,0.013397,0.013397,473505
2020-07-22,0.013389,0.015418,0.012778,0.014674,0.014674,405924
2020-07-23,0.014674,0.014729,0.012947,0.013222,0.013222,401259
2020-07-24,0.013229,0.013294,0.012264,0.012264,0.012264,275620
2020-07-25,0.012311,0.012817,0.012229,0.012466,0.012466,257247
2020-07-26,0.012437,0.012707,0.012057,0.012262,0.012262,474680
2020-07-27,0.012217,0.012612,0.010997,0.011199,0.011199,657550
2020-07-28,0.011189,0.011909,0.009631,0.009900,0.009900,562271
2020-07-29,0.009971,0.010978,0.009258,0.010491,0.010491,294600
2020-07-30,0.010472,0.011864,0.010309,0.011166,0.011166,335061
2020-07-31,0.011412,0.011857,0.010702,0.011629,0.011629,517823
2020-08-01,0.011629,0.014359,0.011551,0.014087,0.014087,539276
2020-08-02,0.014038,0.014149,0.012435,0.013458,0.013458,367248
2020-08-03,0.013459,0.013866,0.013009,0.013380,0.013380,223464
2020-08-04,0.013380,0.014987,0.013350,0.014284,0.014284,361039
2020-08-05,0.014289,0.014628,0.013362,0.014293,0.014293,427460
2020-08-06,0.014293,0.014829,0.013631,0.013880,0.013880,305133
2020-08-07,0.013828,0.014436,0.013481,0.013483,0.013483,329680
2020-08-08,0.013485,0.013993,0.012380,0.012887,0.012887,282863
2020-08-09,0.013019,0.013183,0.011978,0.012036,0.012036,334796
2020-08-10,0.012038,0.012404,0.011391,0.011605,0.011605,591306
2020-08-11,0.011630,0.012090,0.010546,0.011581,0.011581,498454
2020-08-12,0.011508,0.012005,0.010801,0.011542,0.011542,442115
2020-08-13,0.011543,0.011859,0.010708,0.011786,0.011786,246017
2020-08-14,0.011810,0.012239,0.011388,0.011559,0.011559,377858
2020-08-15,0.011567,0.011906,0.011296,0.011483,0.011483,380420
2020-08-16,0.011454,0.011607,0.011246,0.011558,0.011558,146416
2020-08-17,0.011558,0.011850,0.011354,0.011556,0.011556,498071
2020-08-18,0.011577,0.011732,0.011305,0.011495,0.011495,417324
2020-08-19,0.011495,0.011770,0.011004,0.011729,0.011729,336995
2020-08-20,0.011718,0.011802,0.011092,0.011214,0.011214,333621
2020-08-21,0.011194,0.011606,0.010674,0.010731,0.010731,521628
2020-08-22,0.010731,0.010989,0.010247,0.010811,0.010811,285238
2020-08-23,0.010786,0.011159,0.010284,0.010716,0.010716,296532
2020-08-24,0.010716,0.010799,0.010224,0.010504,0.010504,397403
2020-08-25,0.010515,0.010665,0.009780,0.010066,0.010066,531703
2020-08-26,0.010060,0.010296,0.008699,0.009119,0.009119,387866
2020-08-27,0.009528,0.009659,0.008616,0.009009,0.009009,351660
2020-08-28,0.009029,0.010016,0.008718,0.008874,0.008874,316885
2020-08-29,0.008882,0.009239,0.008714,0.009038,0.009038,280596
2020-08-30,0.009025,0.009134,0.008355,0.008972,0.008972,468138
2020-08-31,0.008915,0.009214,0.008112,0.008915,0.008915,498228
2020-09-01,0.008996,0.009003,0.007857,0.007857,0.007857,535456
2020-09-02,0.007855,0.008285,0.006725,0.006866,0.006866,453907
2020-09-03,0.006866,0.007664,0.006005,0.006214,0.006214,409251
2020-09-04,0.006193,0.007982,0.006193,0.006662,0.006662,294173
2020-09-05,0.006664,0.007282,0.006311,0.006453,0.006453,338168
2020-09-06,0.006453,0.006574,0.005865,0.005969,0.005969,280068
2020-09-07,0.005961,0.006031,0.005022,0.005165,0.005165,305802
2020-09-08,0.005179,0.005197,0.004582,0.004649,0.004649,255571
2020-09-09,0.004653,0.005543,0.004555,0.004946,0.004946,222977
2020-09-10,0.004946,0.005384,0.003263,0.003373,0.003373,355634
2020-09-11,0.003373,0.004228,0.002881,0.003123,0.003123,315976
2020-09-12,0.003123,0.003649,0.002642,0.003183,0.003183,306735
2020-09-13,0.003219,0.004020,0.003124,0.003737,0.003737,303809
2020-09-14,0.003736,0.004916,0.003478,0.004797,0.004797,443782
2020-09-15,0.004779,0.008338,0.004567,0.006490,0.006490,479242
2020-09-16,0.006497,0.007319,0.006091,0.006535,0.006535,409936
2020-09-17,0.006554,0.007386,0.006501,0.007247,0.007247,335495
2020-09-18,0.007247,0.010444,0.007154,0.010221,0.010221,424637
2020-09-19,0.010242,0.019134,0.009647,0.011193,0.011193,776876
2020-09-20,0.011193,0.011605,0.008289,0.009330,0.009330,476091
2020-09-21,0.009330,0.011335,0.008633,0.010617,0.010617,754171
2020-09-22,0.010717,0.012311,0.010401,0.011259,0.011259,312108
2020-09-23,0.011259,0.011820,0.010746,0.010873,0.010873,408666
2020-09-24,0.010949,0.011024,0.009761,0.009975,0.009975,572352
2020-09-25,0.009975,0.009999,0.007922,0.009365,0.009365,440823
2020-09-26,0.009287,0.009394,0.008659,0.008917,0.008917,187247
2020-09-27,0.008917,0.010224,0.008187,0.008844,0.008844,383031
2020-09-28,0.008844,0.009337,0.008212,0.008212,0.008212,490661
