Date,Open,High,Low,Close,Adj Close,Volume
2017-11-21,0.482456,0.531807,0.453917,0.503455,0.503455,9608310
2017-11-22,0.504107,0.535554,0.417022,0.462559,0.462559,2592760
2017-11-23,0.462955,0.829454,0.429741,0.497920,0.497920,3392260
2017-11-24,0.497269,0.669064,0.484358,0.668625,0.668625,2903120
2017-11-25,0.630772,0.725842,0.630772,0.721115,0.721115,5078390
2017-11-26,0.719136,0.751201,0.675201,0.751201,0.751201,3198190
2017-11-27,0.743308,1.164670,0.738365,1.164670,1.164670,22245000
2017-11-28,1.169600,1.382370,1.074490,1.373310,1.373310,42607800
2017-11-29,1.373840,1.479720,1.161590,1.173380,1.173380,16962700
2017-11-30,1.228420,1.382000,0.996886,1.292010,1.292010,21565300
2017-12-01,1.267860,1.267860,0.867892,1.164050,1.164050,25568500
2017-12-02,1.165020,1.182380,1.002310,1.070250,1.070250,10667500
2017-12-03,1.067420,1.080650,0.893744,0.916937,0.916937,11576700
2017-12-04,0.913694,1.006850,0.741734,0.991665,0.991665,23245800
2017-12-05,0.991411,1.001730,0.925489,0.979884,0.979884,13881100
2017-12-06,0.977510,0.984471,0.890548,0.916724,0.916724,14377300
2017-12-07,0.909802,0.913912,0.725015,0.777056,0.777056,12158600
2017-12-08,0.776695,0.814001,0.696021,0.781980,0.781980,12751700
2017-12-09,0.782465,0.782465,0.708041,0.758042,0.758042,10760400
2017-12-10,0.759597,0.759597,0.645100,0.690941,0.690941,4462490
2017-12-11,0.693588,0.719371,0.582934,0.617482,0.617482,18366400
2017-12-12,0.616150,0.645194,0.564863,0.641449,0.641449,12663300
2017-12-13,0.637412,0.806713,0.586760,0.698579,0.698579,16769400
2017-12-14,0.698387,0.762090,0.690710,0.748053,0.748053,10341200
2017-12-15,0.742477,0.790444,0.668639,0.706517,0.706517,10861900
2017-12-16,0.708296,1.209500,0.704662,1.193820,1.193820,43238500
2017-12-17,1.195400,1.236990,0.966018,0.982094,0.982094,21186400
2017-12-18,0.983205,1.123750,0.884439,1.076980,1.076980,20144900
2017-12-19,1.077920,1.105910,0.923863,0.967663,0.967663,19641000
2017-12-20,0.972433,1.005880,0.871966,0.950229,0.950229,13937000
2017-12-21,0.955009,1.090460,0.909827,0.958265,0.958265,16916700
2017-12-22,0.957511,0.960634,0.634792,0.810033,0.810033,60815500
2017-12-23,0.807703,0.959505,0.807703,0.888159,0.888159,20796800
2017-12-24,0.889168,0.889168,0.744276,0.862237,0.862237,32082500
2017-12-25,0.869468,0.905455,0.849117,0.880118,0.880118,14419500
2017-12-26,0.879772,0.919249,0.858310,0.867313,0.867313,6857160
2017-12-27,0.870666,1.004530,0.866495,0.966331,0.966331,10953900
2017-12-28,0.966213,0.982556,0.845523,0.879319,0.879319,7997100
2017-12-29,0.883780,0.902789,0.854435,0.888025,0.888025,7115610
2017-12-30,0.889306,0.889306,0.783590,0.843835,0.843835,10973500
2017-12-31,0.835605,0.877545,0.807898,0.865427,0.865427,8381010
