Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,6.420270,6.762260,5.678680,6.190530,6.190530,11221600
2017-05-25,6.187380,6.285260,4.572320,4.656620,4.656620,6211020
2017-05-26,4.660030,5.331430,3.388960,4.099790,4.099790,5116020
2017-05-27,4.047770,4.533650,3.192480,4.533650,4.533650,7046840
2017-05-28,4.858340,5.055970,4.191090,4.621810,4.621810,4353380
2017-05-29,4.642770,4.880070,4.358370,4.604770,4.604770,2205420
2017-05-30,4.621710,5.069570,4.534540,4.650710,4.650710,2836480
2017-05-31,4.607290,4.876630,4.500500,4.862880,4.862880,3011070
2017-06-01,4.855920,8.374880,4.775440,7.786880,7.786880,28193200
2017-06-02,7.858170,13.604200,7.858170,13.464800,13.464800,54232400
2017-06-03,13.168700,13.700700,11.394300,12.544600,12.544600,39565100
2017-06-04,12.728700,12.781800,11.335700,12.145600,12.145600,15253900
2017-06-05,12.133600,12.576000,10.881000,11.172300,11.172300,10290000
2017-06-06,10.975200,12.021000,10.166400,11.503700,11.503700,11135000
2017-06-07,11.573300,11.859700,10.927700,10.974500,10.974500,6104140
2017-06-08,10.919300,12.535900,10.260200,12.354000,12.354000,12978300
2017-06-09,12.350700,13.119300,11.297100,11.736100,11.736100,14694100
2017-06-10,11.750900,12.095600,11.119800,11.328000,11.328000,14370200
2017-06-11,11.363200,12.231600,11.104900,11.756900,11.756900,11384700
2017-06-12,11.774500,11.823600,10.874600,10.955500,10.955500,8663550
2017-06-13,11.060600,12.523900,10.971900,12.420900,12.420900,16198200
2017-06-14,12.404500,13.012800,11.292300,11.774600,11.774600,18671800
2017-06-15,11.804500,11.805000,9.803460,11.113100,11.113100,13740900
2017-06-16,11.113100,11.727400,10.692000,11.287700,11.287700,7179610
2017-06-17,11.242100,11.449200,11.019900,11.249900,11.249900,6961310
2017-06-18,11.253000,11.291400,10.396000,10.578200,10.578200,5475110
2017-06-19,10.487100,11.303900,10.262200,10.594200,10.594200,12893100
2017-06-20,10.572900,12.877100,10.444000,11.492700,11.492700,22123200
2017-06-21,11.404400,12.546700,11.375700,11.827900,11.827900,10464200
2017-06-22,11.923400,12.445800,11.739500,12.102800,12.102800,16740600
2017-06-23,12.129100,18.578400,11.969300,16.989700,16.989700,66737400
2017-06-24,16.804399,18.852400,16.022800,16.352400,16.352400,34660100
2017-06-25,16.343800,16.702400,14.363700,14.919000,14.919000,22702400
2017-06-26,14.963300,14.963300,10.642000,12.610700,12.610700,25803900
2017-06-27,12.266400,15.187000,11.940500,14.469200,14.469200,42563100
2017-06-28,14.677200,15.682300,12.970300,13.828500,13.828500,40650500
2017-06-29,14.086900,14.086900,12.328900,12.480300,12.480300,18516000
2017-06-30,12.455100,12.567900,11.661900,12.032400,12.032400,14022600
2017-07-01,11.964200,12.124100,10.365300,10.391700,10.391700,10832000
2017-07-02,10.410700,10.410700,8.180590,9.447530,9.447530,23967300
2017-07-03,9.331620,10.078200,8.563280,9.188050,9.188050,15403500
2017-07-04,9.238860,9.940150,8.919500,9.269160,9.269160,8178690
2017-07-05,9.329490,9.329490,7.964070,8.300740,8.300740,8151290
2017-07-06,8.437470,9.346100,7.952060,8.747150,8.747150,13670300
2017-07-07,8.731720,8.749480,6.672600,6.871230,6.871230,7176910
2017-07-08,6.902450,7.107110,5.641440,6.855790,6.855790,12481200
2017-07-09,6.910050,7.579180,6.345860,6.362100,6.362100,6985260
2017-07-10,6.416440,6.746190,5.031000,5.379370,5.379370,5648270
2017-07-11,5.226450,5.415950,3.885500,4.821690,4.821690,11515200
2017-07-12,4.673290,5.686260,4.355980,5.590610,5.590610,11808500
2017-07-13,5.652270,6.124640,5.022350,5.112460,5.112460,8076010
2017-07-14,5.112280,5.181540,4.473500,4.529620,4.529620,6385700
2017-07-15,4.544790,4.552530,3.856350,3.876690,3.876690,6403170
2017-07-16,3.929650,4.239630,3.713610,3.930360,3.930360,5467430
2017-07-17,3.907370,4.468240,3.907370,4.384340,4.384340,7531300
2017-07-18,4.407680,5.354460,4.266500,5.179670,5.179670,16788400
2017-07-19,5.178170,6.617050,4.786010,5.623250,5.623250,29526300
2017-07-20,5.686130,7.680470,5.686130,7.589760,7.589760,33148900
2017-07-21,7.839690,9.150730,7.012260,7.840630,7.840630,48210600
2017-07-22,7.812570,7.994960,7.481960,7.522130,7.522130,16650500
2017-07-23,7.554450,7.623090,6.144110,6.641940,6.641940,23752700
2017-07-24,6.665240,7.299910,6.455690,7.256080,7.256080,12601300
2017-07-25,7.306640,7.609470,5.678040,6.134450,6.134450,22782500
2017-07-26,6.139030,6.491790,5.275100,6.259890,6.259890,20824500
2017-07-27,6.285880,6.422490,6.022620,6.207120,6.207120,10757800
2017-07-28,6.227160,6.313760,5.736180,5.754310,5.754310,7599310
2017-07-29,5.800290,5.863520,5.380530,5.780900,5.780900,5188990
2017-07-30,5.772100,5.839340,5.456870,5.528540,5.528540,3168030
2017-07-31,5.525910,6.356410,5.431750,6.120940,6.120940,13123400
2017-08-01,6.121440,6.671080,5.740940,6.493090,6.493090,20864300
2017-08-02,6.563280,6.692890,6.319960,6.432510,6.432510,11978000
2017-08-03,6.419340,7.855920,6.172910,7.646780,7.646780,30278900
2017-08-04,7.677440,8.708970,7.677440,8.215860,8.215860,31879600
2017-08-05,8.217000,9.518430,7.804300,9.378180,9.378180,42482900
2017-08-06,9.336530,10.830800,9.084710,10.072500,10.072500,54977800
2017-08-07,10.030300,12.844300,9.877410,12.646900,12.646900,95630200
2017-08-08,12.644200,12.743700,10.838600,11.497100,11.497100,63155600
2017-08-09,11.489300,12.633500,11.068000,12.552400,12.552400,52016000
2017-08-10,12.554500,16.992399,12.419200,15.773400,15.773400,133259000
2017-08-11,15.634500,16.363199,14.331700,14.733000,14.733000,91215904
2017-08-12,14.728200,15.474800,12.846500,13.900200,13.900200,59321200
2017-08-13,13.920000,15.842100,12.793400,15.168900,15.168900,75650496
2017-08-14,15.098900,17.164200,14.359800,15.061600,15.061600,103750000
2017-08-15,15.007000,15.300200,13.827100,14.684900,14.684900,62353100
2017-08-16,14.668900,15.419000,14.147200,14.346700,14.346700,59126000
2017-08-17,14.356200,14.371700,12.820400,13.058600,13.058600,50489100
2017-08-18,13.089900,13.090100,11.002900,11.630100,11.630100,43226400
2017-08-19,11.615500,12.363800,9.691120,11.642300,11.642300,54327300
2017-08-20,11.540400,12.352000,10.816100,11.793400,11.793400,40638800
2017-08-21,11.804000,11.872500,10.817700,11.225300,11.225300,29380800
2017-08-22,11.196400,11.412200,10.173300,11.058200,11.058200,25086300
2017-08-23,11.048100,12.474000,11.040300,11.899800,11.899800,36722000
2017-08-24,11.867200,14.133900,11.635700,13.782900,13.782900,72955504
2017-08-25,13.746400,13.854500,12.846800,13.319600,13.319600,26327100
2017-08-26,13.260600,15.891800,12.971400,15.406200,15.406200,88172496
2017-08-27,15.420100,15.856900,14.739800,15.696600,15.696600,56474400
2017-08-28,15.656300,16.351500,14.856600,16.239599,16.239599,82850200
2017-08-29,16.279400,20.044399,16.279400,19.152000,19.152000,216784000
2017-08-30,19.054199,19.054199,14.584300,16.841900,16.841900,145512000
2017-08-31,16.716900,18.080799,16.688700,17.303101,17.303101,76872496
2017-09-01,17.304800,18.468100,16.938000,18.256800,18.256800,73618496
2017-09-02,18.260500,19.056801,15.505900,16.395000,16.395000,123479000
2017-09-03,16.406300,16.741301,14.188000,15.291400,15.291400,98105400
2017-09-04,15.295000,15.437000,10.217000,10.982800,10.982800,161203008
2017-09-05,11.070800,12.068700,8.767420,11.710900,11.710900,218916992
2017-09-06,11.727500,12.485900,10.342800,11.395300,11.395300,141347008
2017-09-07,11.404900,14.767600,10.693500,14.741100,14.741100,195986000
2017-09-08,14.743700,16.065800,12.444900,13.497000,13.497000,294168992
2017-09-09,13.395300,13.633000,12.462700,13.316000,13.316000,99008096
2017-09-10,13.273700,13.342900,11.381600,12.779200,12.779200,172687008
2017-09-11,12.640500,14.789200,12.550600,14.275600,14.275600,165283008
2017-09-12,14.379000,15.312100,12.858000,13.508900,13.508900,156187008
2017-09-13,13.454700,13.527400,11.595500,11.940700,11.940700,185348000
2017-09-14,11.939200,12.183200,7.601590,7.601590,7.601590,137040000
2017-09-15,7.715450,9.309750,5.907040,8.473830,8.473830,242984000
2017-09-16,8.488290,8.967760,7.440560,8.247340,8.247340,97992200
2017-09-17,8.185200,8.791230,7.591070,8.267550,8.267550,69847200
2017-09-18,8.312150,10.512700,8.311060,9.620230,9.620230,167586000
2017-09-19,9.654790,9.699610,8.754970,8.914410,8.914410,66250600
2017-09-20,8.922270,9.052970,8.467430,8.785130,8.785130,38916900
2017-09-21,8.773090,8.813670,7.339710,7.378330,7.378330,38239000
2017-09-22,7.338990,7.909170,7.267400,7.684160,7.684160,42861600
2017-09-23,7.697650,8.211430,7.478960,8.114400,8.114400,40760800
2017-09-24,8.100770,8.281720,7.791600,8.042330,8.042330,28266800
2017-09-25,8.030810,9.597050,8.030810,9.364140,9.364140,82385104
2017-09-26,9.383010,10.301100,9.167600,9.341290,9.341290,104988000
2017-09-27,9.369680,9.903650,9.354930,9.902740,9.902740,59847700
2017-09-28,9.948860,10.100000,9.061860,9.934960,9.934960,95333296
2017-09-29,9.963480,10.002400,9.151570,9.770880,9.770880,79526304
2017-09-30,9.769000,11.652400,9.745890,11.591900,11.591900,141320000
2017-10-01,11.585900,12.608100,11.584700,12.339500,12.339500,162762000
2017-10-02,12.357000,12.380400,11.425600,11.881600,11.881600,69789000
2017-10-03,11.913100,12.119900,10.775700,12.119900,12.119900,95756400
2017-10-04,12.156300,12.282100,11.506400,11.630700,11.630700,77387000
2017-10-05,11.599300,11.976700,10.818000,11.860000,11.860000,67610800
2017-10-06,11.873600,11.913900,11.499100,11.688500,11.688500,23341500
2017-10-07,11.665800,11.943300,11.512000,11.943300,11.943300,19498800
2017-10-08,11.962600,12.107000,11.142700,11.142700,11.142700,34305900
2017-10-09,11.140700,12.494800,10.961400,12.073400,12.073400,57974000
2017-10-10,12.043000,12.540900,11.551500,12.080300,12.080300,50232800
2017-10-11,12.037800,12.285000,11.866100,12.129300,12.129300,28771600
2017-10-12,12.131900,12.212300,11.294900,11.294900,11.294900,31335300
2017-10-13,11.300200,11.303100,10.310900,11.245900,11.245900,44760500
2017-10-14,11.256400,11.453600,10.621500,10.626200,10.626200,17709400
2017-10-15,10.643200,10.659000,10.094000,10.439700,10.439700,22057700
2017-10-16,10.455800,11.649900,10.227800,11.488400,11.488400,37568400
2017-10-17,11.479800,12.267600,11.028000,12.054000,12.054000,57046400
2017-10-18,12.039400,12.039400,10.777000,11.493800,11.493800,53960300
2017-10-19,11.464500,12.224700,11.352800,12.073500,12.073500,49308300
2017-10-20,12.101700,15.122100,11.187000,11.304300,11.304300,304280992
2017-10-21,11.253900,11.346900,10.496600,10.906400,10.906400,56075000
2017-10-22,10.966900,11.057900,10.561200,10.634500,10.634500,33890300
2017-10-23,10.586600,10.598400,9.753620,9.957400,9.957400,50654800
2017-10-24,9.963440,11.463800,9.522210,10.760700,10.760700,118813000
2017-10-25,10.783400,10.923200,10.371900,10.654400,10.654400,48104100
