Date,Open,High,Low,Close,Adj Close,Volume
2015-10-27,1.469790,1.478390,1.458200,1.468060,1.468060,728
2015-10-28,1.468060,1.555140,1.467410,1.523090,1.523090,4282
2015-10-29,1.552050,1.624600,1.517570,1.620120,1.620120,4211
2015-10-30,1.620570,1.722310,1.594820,1.693870,1.693870,5655
2015-10-31,1.696440,1.717400,1.550530,1.570830,1.570830,3770
2015-11-01,1.575020,1.689100,1.559900,1.678570,1.678570,3331
2015-11-02,1.681210,1.885260,1.636180,1.840260,1.840260,4418
2015-11-03,1.843740,2.157620,1.816850,2.077600,2.077600,6807
2015-11-04,2.078870,2.552140,1.933940,2.086620,2.086620,9165
2015-11-05,2.068950,2.273610,1.902870,1.962680,1.962680,854
2015-11-06,1.971280,1.971280,1.825210,1.825210,1.825210,73
2015-11-07,1.953620,2.009160,1.944410,1.989220,1.989220,753
2015-11-08,1.977880,2.006790,1.895120,1.921160,1.921160,1092
2015-11-09,1.931510,1.979330,1.817270,1.939310,1.939310,4313
2015-11-10,1.937920,1.967310,1.651620,1.736300,1.736300,2086
2015-11-11,1.751770,1.755720,1.455590,1.648750,1.648750,6070
2015-11-12,1.664620,1.772340,1.491830,1.623130,1.623130,2957
2015-11-13,1.624790,1.659500,1.569420,1.611700,1.611700,819
2015-11-14,1.611080,1.644240,1.526080,1.600940,1.600940,518
2015-11-15,1.601640,1.609390,1.495380,1.563050,1.563050,60
2015-11-16,1.560950,1.623290,1.502350,1.616380,1.616380,478
2015-11-17,1.616380,1.649240,1.603130,1.641960,1.641960,699
2015-11-18,1.639510,1.649000,1.620140,1.639490,1.639490,44
2015-11-19,1.639930,1.643140,1.587330,1.591140,1.591140,66
2015-11-20,1.592890,1.602080,1.498890,1.575370,1.575370,207
2015-11-21,1.575030,1.609820,1.562820,1.595080,1.595080,83
2015-11-22,1.595310,1.602350,1.542690,1.590230,1.590230,185
2015-11-23,1.589320,1.589320,1.519370,1.531560,1.531560,297
2015-11-24,1.531410,1.531620,1.508200,1.512770,1.512770,19
2015-11-25,1.534640,1.589720,1.533680,1.586120,1.586120,83
2015-11-26,1.585700,1.755040,1.577830,1.666080,1.666080,170
2015-11-27,1.662190,1.771820,1.658690,1.718600,1.718600,165
2015-11-28,1.714280,1.761730,1.683660,1.744020,1.744020,509
2015-11-29,1.744460,1.785310,1.718750,1.782210,1.782210,371
2015-11-30,1.782900,1.863820,1.477830,1.505510,1.505510,510
2015-12-01,1.505880,1.667300,1.505880,1.565950,1.565950,444
2015-12-02,1.563170,1.606870,1.462740,1.544500,1.544500,86
2015-12-03,1.545120,1.629210,1.541520,1.557190,1.557190,186
2015-12-04,1.558120,1.628550,1.551100,1.627060,1.627060,230
2015-12-05,1.629470,1.839790,1.627270,1.835840,1.835840,611
2015-12-06,1.838700,1.901260,1.819320,1.827280,1.827280,548
2015-12-07,1.832900,1.877360,1.642710,1.661250,1.661250,35
2015-12-08,1.662170,1.878340,1.637790,1.878340,1.878340,154
2015-12-09,1.873270,2.001760,1.668510,1.670250,1.670250,129
2015-12-10,1.671950,2.097090,1.671950,1.891450,1.891450,579
2015-12-11,1.889940,2.173820,1.889940,2.173820,2.173820,207
2015-12-12,2.175730,2.250400,1.975660,2.114520,2.114520,512
2015-12-13,2.114520,2.208400,2.072090,2.168780,2.168780,1
2015-12-14,2.166360,2.235340,2.152280,2.226880,2.226880,1
2015-12-15,2.133090,2.294030,2.133090,2.294030,2.294030,258
2015-12-16,2.293480,2.324590,2.188190,2.297420,2.297420,236
2015-12-17,2.296620,2.296620,2.173260,2.189170,2.189170,112
2015-12-18,2.188070,2.232850,2.183710,2.202490,2.202490,113
2015-12-19,2.344760,2.601630,2.344760,2.390200,2.390200,1881
2015-12-20,2.389750,2.631370,2.018800,2.057600,2.057600,514
2015-12-21,2.058310,2.486850,1.986150,2.050200,2.050200,360
2015-12-22,2.044580,2.529020,1.985090,1.985090,1.985090,372
2015-12-23,1.985770,2.183780,1.754500,2.096980,2.096980,859
2015-12-24,2.096980,2.296150,2.035380,2.229430,2.229430,440
2015-12-25,2.228790,2.518120,2.228790,2.515200,2.515200,685
2015-12-26,2.515770,2.585460,2.304720,2.370120,2.370120,148
2015-12-27,2.365800,2.365800,2.322460,2.343050,2.343050,146
2015-12-28,2.088020,2.421420,2.073450,2.346180,2.346180,281
