Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,0.485040,0.485040,0.485010,0.485010,0.485010,50738
2020-06-27,null,null,null,null,null,null
2020-06-28,0.475000,0.506990,0.474500,0.495180,0.495180,36323
2020-06-29,0.495180,0.495900,0.450690,0.451000,0.451000,26993
2020-06-30,0.451000,0.459990,0.413000,0.428300,0.428300,21928
2020-07-01,0.428300,0.441030,0.409000,0.418900,0.418900,31547
2020-07-02,0.418900,0.790000,0.418900,0.451051,0.451051,1846235
2020-07-03,0.450987,0.468421,0.383961,0.384074,0.384074,291401
2020-07-04,0.379024,0.417314,0.349351,0.364347,0.364347,87763
2020-07-05,0.364299,0.383060,0.349500,0.357282,0.357282,56239
2020-07-06,0.357282,0.371040,0.321199,0.345308,0.345308,171218
2020-07-07,0.345256,0.353494,0.304002,0.304156,0.304156,137460
2020-07-08,0.304156,0.319031,0.164686,0.229682,0.229682,161754
2020-07-09,0.229692,0.254696,0.193185,0.219093,0.219093,141353
2020-07-10,0.219115,0.226228,0.171881,0.191392,0.191392,95130
2020-07-11,0.191403,0.222173,0.178686,0.216136,0.216136,32247
2020-07-12,0.216133,0.217496,0.185249,0.187522,0.187522,30032
2020-07-13,0.187522,0.236239,0.151454,0.164380,0.164380,481548
2020-07-14,0.164380,0.166931,0.126659,0.133799,0.133799,268738
2020-07-15,0.133891,0.140104,0.107583,0.114115,0.114115,183734
2020-07-16,0.114096,0.122662,0.086360,0.093672,0.093672,99867
2020-07-17,0.093663,0.094097,0.047697,0.053803,0.053803,477909
2020-07-18,0.053791,0.054409,0.046236,0.049167,0.049167,106586
2020-07-19,0.049166,0.052596,0.046282,0.050090,0.050090,48312
2020-07-20,0.050162,0.062909,0.050162,0.061313,0.061313,106020
2020-07-21,0.061313,0.062562,0.057215,0.061291,0.061291,51256
2020-07-22,0.061291,0.062844,0.058392,0.061124,0.061124,20421
2020-07-23,0.061124,0.073595,0.058728,0.072427,0.072427,106706
2020-07-24,0.072427,0.098984,0.070171,0.095069,0.095069,159920
2020-07-25,0.095084,0.097988,0.078285,0.091129,0.091129,60514
2020-07-26,0.091141,0.091168,0.076540,0.084536,0.084536,70281
2020-07-27,0.084538,0.087066,0.070306,0.081142,0.081142,81927
2020-07-28,0.081137,0.087594,0.076106,0.084723,0.084723,45756
2020-07-29,0.084749,0.106729,0.081569,0.095750,0.095750,188169
2020-07-30,0.095750,0.113946,0.085599,0.113316,0.113316,327564
2020-07-31,0.113316,0.136011,0.104798,0.119192,0.119192,247911
2020-08-01,0.119194,0.174582,0.118607,0.160468,0.160468,397873
2020-08-02,0.160455,0.205666,0.146317,0.173698,0.173698,470115
2020-08-03,0.173672,0.209002,0.163506,0.189528,0.189528,456162
2020-08-04,0.189496,0.202600,0.147562,0.183361,0.183361,514406
2020-08-05,0.183380,0.225726,0.158082,0.225726,0.225726,1240969
2020-08-06,0.225726,0.252071,0.210176,0.239670,0.239670,904608
2020-08-07,0.244534,0.244535,0.197641,0.206784,0.206784,442448
2020-08-08,0.206895,0.207579,0.190861,0.200218,0.200218,148532
2020-08-09,0.200281,0.210823,0.183501,0.203418,0.203418,331385
2020-08-10,0.203418,0.204146,0.177354,0.189680,0.189680,346373
2020-08-11,0.189742,0.209218,0.155252,0.166031,0.166031,675534
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.147858,0.151263,0.122549,0.140158,0.140158,996610
2020-08-17,0.140158,0.150254,0.133353,0.147114,0.147114,427235
2020-08-18,0.145115,0.151220,0.133396,0.143436,0.143436,409192
2020-08-19,0.143431,0.158577,0.137324,0.158575,0.158575,556993
2020-08-20,0.158575,0.162472,0.143129,0.152527,0.152527,380320
2020-08-21,0.152511,0.152511,0.125069,0.136954,0.136954,372274
2020-08-22,0.137018,0.137972,0.124036,0.130469,0.130469,92084
2020-08-23,0.130458,0.137753,0.130219,0.135647,0.135647,89259
2020-08-24,0.135615,0.154252,0.119051,0.127444,0.127444,526999
2020-08-25,0.127406,0.136638,0.119933,0.120914,0.120914,270137
2020-08-26,0.120769,0.135730,0.119134,0.133514,0.133514,192127
2020-08-27,0.133476,0.134920,0.123277,0.125934,0.125934,201252
2020-08-28,0.125938,0.129387,0.119086,0.120065,0.120065,166155
2020-08-29,0.120088,0.122821,0.115584,0.121614,0.121614,141302
2020-08-30,0.121658,0.122380,0.111802,0.116252,0.116252,168193
2020-08-31,0.116283,0.116625,0.105368,0.115469,0.115469,284146
2020-09-01,0.115433,0.117632,0.102643,0.103355,0.103355,181640
2020-09-02,0.104535,0.107046,0.084438,0.087228,0.087228,236638
2020-09-03,0.089298,0.089311,0.068188,0.071436,0.071436,210463
2020-09-04,0.071466,0.078000,0.064738,0.074343,0.074343,141933
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
