Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,6.909860,8.481830,3.517630,4.341520,4.341520,4174650
2017-09-30,4.183970,6.289190,4.183970,5.680380,5.680380,6410870
2017-10-01,5.780880,7.689580,4.919290,7.276460,7.276460,15741400
2017-10-02,7.271070,7.390630,6.383290,6.527400,6.527400,13543300
2017-10-03,6.518060,6.599430,4.939580,5.413000,5.413000,5546400
2017-10-04,5.404940,5.407060,3.879200,4.244140,4.244140,4136630
2017-10-05,4.246500,4.276060,3.770310,4.194940,4.194940,3646930
2017-10-06,4.215360,4.543090,3.767440,4.050510,4.050510,2282420
2017-10-07,3.984760,3.984760,3.088840,3.334450,3.334450,3388420
2017-10-08,3.346600,3.791630,3.235710,3.473600,3.473600,2501230
2017-10-09,3.452180,3.490190,3.034110,3.065100,3.065100,2942420
2017-10-10,3.049930,3.338840,2.739240,3.320120,3.320120,2384720
2017-10-11,3.327080,4.044020,3.267090,3.829830,3.829830,3229530
2017-10-12,3.857040,3.865920,3.173880,3.588680,3.588680,2160950
2017-10-13,3.582090,3.582090,2.840290,3.264510,3.264510,2599040
2017-10-14,3.268080,3.436350,2.876210,2.954420,2.954420,1515720
2017-10-15,2.939420,3.170470,2.697820,2.960810,2.960810,1371840
2017-10-16,3.001700,4.083390,2.844310,3.432390,3.432390,5613960
2017-10-17,3.463780,3.510240,2.857040,3.048970,3.048970,6084920
2017-10-18,3.079410,3.187870,2.741030,2.961550,2.961550,4956180
2017-10-19,2.959360,3.044640,2.889290,2.984350,2.984350,3695910
2017-10-20,2.974670,3.017250,2.613250,2.756160,2.756160,4634470
2017-10-21,2.747810,2.806760,2.402080,2.526570,2.526570,5154440
2017-10-22,2.509310,3.472020,2.509310,3.472020,3.472020,5401130
2017-10-23,3.559750,3.836520,2.747530,3.072490,3.072490,13532400
2017-10-24,3.061520,3.454860,2.850140,3.054820,3.054820,6991420
2017-10-25,3.045980,3.320990,2.812670,3.289050,3.289050,6644420
2017-10-26,3.270030,3.363960,2.946900,3.041920,3.041920,5668710
2017-10-27,3.042490,3.095800,2.893660,2.915660,2.915660,3240800
2017-10-28,2.941930,3.028160,2.769150,2.852140,2.852140,3545970
2017-10-29,2.846900,3.072350,2.783550,2.967540,2.967540,3768150
2017-10-30,2.954120,2.989020,2.649890,2.710030,2.710030,3316740
2017-10-31,2.684680,2.896070,2.588720,2.650350,2.650350,4393950
2017-11-01,2.655990,2.669890,2.138190,2.250460,2.250460,4220950
2017-11-02,2.261490,2.613060,2.158410,2.295910,2.295910,4052270
2017-11-03,2.301900,2.704930,2.223700,2.579600,2.579600,4608760
2017-11-04,2.571520,2.675860,2.337530,2.344890,2.344890,3843900
2017-11-05,2.354620,2.642200,2.354620,2.597170,2.597170,3216540
2017-11-06,2.589650,3.061560,2.476420,2.839510,2.839510,6400980
2017-11-07,2.787410,3.257560,2.786880,3.137030,3.137030,6463600
2017-11-08,3.128270,4.093830,2.936790,3.671680,3.671680,10930800
2017-11-09,3.661420,4.237560,3.479750,4.193720,4.193720,10186400
2017-11-10,4.135040,4.258250,3.591510,3.809470,3.809470,6291400
2017-11-11,3.780120,4.365580,3.706050,3.886310,3.886310,6157120
2017-11-12,3.875690,3.889020,2.924420,3.423130,3.423130,5216980
2017-11-13,3.453470,3.974830,3.446110,3.954970,3.954970,4445720
2017-11-14,3.964230,4.075490,3.738040,3.873100,3.873100,4635890
2017-11-15,3.875810,3.984880,3.764770,3.837920,3.837920,4302840
2017-11-16,3.818170,3.900230,3.502270,3.586410,3.586410,5030580
2017-11-17,3.555190,3.741400,3.240460,3.374310,3.374310,4069920
2017-11-18,3.369790,4.057840,3.343630,3.951780,3.951780,4922050
2017-11-19,3.939030,4.033180,3.361600,3.571480,3.571480,7020010
2017-11-20,3.632370,3.850630,3.534600,3.736790,3.736790,5253100
2017-11-21,3.753140,3.810790,3.462100,3.658080,3.658080,4021460
2017-11-22,3.687780,3.762360,3.482860,3.670010,3.670010,4335110
2017-11-23,3.674680,3.736410,3.472100,3.618030,3.618030,5002100
2017-11-24,3.611310,3.711690,3.446400,3.645120,3.645120,4521800
2017-11-25,3.649340,3.921240,3.571350,3.919760,3.919760,4452600
2017-11-26,3.921790,4.597650,3.831940,4.370590,4.370590,6857590
2017-11-27,4.407290,4.613380,4.201260,4.345560,4.345560,6660970
2017-11-28,4.332310,4.402200,4.104660,4.231330,4.231330,6433560
2017-11-29,4.209380,4.640280,3.525870,3.548760,3.548760,7243310
2017-11-30,3.614190,4.373960,3.389300,4.373960,4.373960,8971200
2017-12-01,4.375860,4.658840,4.108070,4.583590,4.583590,7879480
2017-12-02,4.595080,5.556820,4.595080,5.183450,5.183450,16700600
2017-12-03,5.065600,5.736220,5.045190,5.555640,5.555640,12708800
2017-12-04,5.584340,6.830660,5.520370,6.713950,6.713950,19911800
2017-12-05,6.679580,6.749900,6.230820,6.386500,6.386500,13171800
2017-12-06,6.380640,8.152960,5.598460,7.484660,7.484660,35772100
2017-12-07,7.444320,8.654570,6.708990,7.040190,7.040190,31185000
2017-12-08,7.042580,8.044090,6.560510,7.751420,7.751420,20075900
2017-12-09,7.769920,8.538500,7.443220,8.072050,8.072050,19052200
2017-12-10,8.084890,8.084890,7.063330,7.282100,7.282100,14546100
2017-12-11,7.269660,8.294290,7.234580,7.364110,7.364110,15579400
2017-12-12,7.397360,7.994020,7.244320,7.677070,7.677070,20261300
2017-12-13,7.666440,8.021140,7.227910,7.654680,7.654680,16650600
2017-12-14,7.630070,9.515460,7.535940,9.447250,9.447250,24991300
2017-12-15,9.379000,9.379000,8.167120,9.055880,9.055880,25707100
2017-12-16,9.010680,10.630000,8.737270,10.171400,10.171400,23375500
2017-12-17,10.192400,10.511900,9.854450,9.962510,9.962510,17546300
2017-12-18,9.946910,11.394300,9.376290,11.162100,11.162100,32649100
2017-12-19,11.171400,11.672600,9.749760,10.108600,10.108600,36828800
2017-12-20,10.196800,10.196800,8.661620,9.079150,9.079150,27937400
2017-12-21,9.120650,11.278900,8.876010,11.278900,11.278900,33123300
2017-12-22,11.245400,11.253200,6.547310,8.760660,8.760660,27288000
2017-12-23,8.887120,10.906900,8.831100,10.023700,10.023700,17854100
2017-12-24,10.104400,10.266800,8.732960,9.954950,9.954950,13424700
2017-12-25,10.062800,12.652100,9.870700,11.866300,11.866300,34627100
2017-12-26,11.899900,12.870400,10.418200,12.749800,12.749800,32470100
2017-12-27,12.606900,15.020800,11.888800,15.020800,15.020800,42588800
2017-12-28,16.038200,16.847900,13.178900,16.362200,16.362200,130469000
2017-12-29,16.681299,17.742300,14.283400,14.330100,14.330100,66210600
2017-12-30,14.359300,14.731300,11.738800,12.394700,12.394700,40654100
2017-12-31,12.182800,13.486400,12.139300,12.810000,12.810000,33189700
2018-01-01,12.863900,13.067300,11.642800,12.410500,12.410500,35137200
2018-01-02,12.446500,12.747500,11.785800,11.938700,11.938700,45439100
2018-01-03,11.952000,12.779600,11.101600,11.533300,11.533300,44618100
2018-01-04,11.653200,13.913200,11.467100,12.921500,12.921500,59457600
2018-01-05,12.934400,13.454700,10.738200,11.057900,11.057900,43428800
2018-01-06,11.031400,13.453500,10.767100,12.526100,12.526100,41980300
2018-01-07,12.586100,13.975800,12.099200,13.127800,13.127800,45933200
2018-01-08,13.173800,16.583700,11.258900,14.637400,14.637400,85218400
2018-01-09,14.443100,16.271000,13.624500,14.544400,14.544400,52787400
2018-01-10,14.543300,14.680400,12.586400,13.136800,13.136800,35351900
2018-01-11,13.025900,13.183400,10.339200,11.429000,11.429000,26521200
2018-01-12,11.554400,13.012000,11.177500,12.195000,12.195000,21515000
2018-01-13,12.204500,12.648300,11.650200,11.729800,11.729800,22171100
2018-01-14,11.732900,11.840500,10.425900,11.331200,11.331200,19307300
2018-01-15,11.263400,11.591500,10.335900,10.335900,10.335900,20113900
2018-01-16,10.324700,10.336600,6.680820,8.297900,8.297900,20321200
2018-01-17,8.263410,8.623090,5.989380,8.443990,8.443990,17122300
2018-01-18,8.554800,9.131010,7.821420,8.229600,8.229600,16360400
2018-01-19,8.172460,8.981380,7.866320,7.905690,7.905690,20608700
2018-01-20,7.985630,9.907010,7.985630,9.826790,9.826790,19744600
2018-01-21,9.934060,10.008100,7.916290,8.141940,8.141940,10749100
2018-01-22,8.221820,8.327420,6.914160,7.459720,7.459720,12546800
2018-01-23,7.393940,7.962610,6.778920,7.563520,7.563520,10705900
2018-01-24,7.533590,8.139080,7.322600,7.913910,7.913910,15163100
2018-01-25,8.038280,8.082970,7.329020,7.535940,7.535940,14523300
2018-01-26,7.500590,8.198910,7.021130,7.919890,7.919890,17761400
2018-01-27,7.928620,8.244540,7.617000,7.883480,7.883480,11862100
2018-01-28,7.952920,8.156840,7.683730,7.716460,7.716460,14353800
2018-01-29,7.707040,7.773060,7.233910,7.616390,7.616390,10633100
2018-01-30,7.613850,7.613850,5.951410,6.177270,6.177270,11705600
2018-01-31,6.154110,6.396390,5.656680,6.050320,6.050320,11780200
2018-02-01,6.055120,6.258150,4.660620,5.181270,5.181270,10779700
2018-02-02,5.162900,5.162900,3.511210,4.756550,4.756550,7187960
2018-02-03,4.759650,5.614410,4.419420,5.328260,5.328260,9070050
2018-02-04,5.332590,5.535920,3.966230,4.431390,4.431390,9261420
2018-02-05,4.379550,4.433190,2.918420,3.534620,3.534620,7480310
2018-02-06,3.559270,4.472330,2.849370,4.358110,4.358110,8237130
2018-02-07,4.343860,5.157370,3.792060,4.106640,4.106640,8832610
2018-02-08,4.093250,4.648330,4.093250,4.419090,4.419090,6599090
2018-02-09,4.421330,4.747000,4.176540,4.675750,4.675750,3704030
2018-02-10,4.679210,4.911310,4.199950,4.451500,4.451500,3975030
2018-02-11,4.432870,4.436010,3.897650,3.897650,3.897650,3031990
2018-02-12,3.927480,4.382620,3.927480,4.321350,4.321350,3173750
2018-02-13,4.329130,4.360880,4.030260,4.061470,4.061470,2446450
2018-02-14,4.059580,4.427260,4.053470,4.354710,4.354710,4726930
2018-02-15,4.352220,4.889410,4.227790,4.889410,4.889410,7778470
2018-02-16,4.912780,5.447580,4.622030,5.418990,5.418990,9043360
2018-02-17,5.415250,5.762640,5.269470,5.353540,5.353540,7030850
2018-02-18,5.341240,5.397540,4.675900,4.705270,4.705270,5161320
2018-02-19,4.675950,5.058940,4.633100,4.699120,4.699120,6276290
