Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.002217,0.002577,0.001792,0.002479,0.002479,7140
2020-05-08,0.002479,0.003298,0.002247,0.003246,0.003246,4818
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.005326,0.005902,0.004527,0.005345,0.005345,4855
2020-05-17,0.005346,0.005772,0.004854,0.005529,0.005529,4162
2020-05-18,0.005528,0.005928,0.003873,0.004866,0.004866,12066
2020-05-19,0.004961,0.004992,0.004107,0.004661,0.004661,6112
2020-05-20,0.004663,0.005096,0.004277,0.004407,0.004407,8896
2020-05-21,0.004407,0.004601,0.003857,0.004031,0.004031,5076
2020-05-22,0.004031,0.004605,0.003837,0.004500,0.004500,9220
2020-05-23,0.004501,0.004850,0.004177,0.004758,0.004758,5831
2020-05-24,0.004758,0.005328,0.004601,0.004833,0.004833,5572
2020-05-25,0.004819,0.004956,0.004498,0.004542,0.004542,1994
2020-05-26,0.004542,0.004849,0.004501,0.004504,0.004504,430
2020-05-27,0.004504,0.005802,0.004503,0.005748,0.005748,4127
2020-05-28,0.005749,0.006235,0.005499,0.005511,0.005511,6663
2020-05-29,0.005510,0.005805,0.004822,0.005394,0.005394,6135
2020-05-30,0.005394,0.006184,0.005086,0.006013,0.006013,7375
2020-05-31,0.006012,0.006469,0.005448,0.005738,0.005738,5550
2020-06-01,0.005737,0.006315,0.005108,0.006312,0.006312,3183
2020-06-02,0.006313,0.028072,0.005641,0.005923,0.005923,4673
2020-06-03,0.005923,0.006234,0.004416,0.005408,0.005408,11593
2020-06-04,0.005409,0.006349,0.004901,0.005494,0.005494,14565
2020-06-05,0.005494,0.006423,0.005484,0.005989,0.005989,4966
2020-06-06,0.005989,0.006349,0.005620,0.005621,0.005621,2763
2020-06-07,0.005621,0.005626,0.004572,0.004877,0.004877,9698
2020-06-08,0.004877,0.005159,0.003779,0.004286,0.004286,7218
2020-06-09,0.004286,0.004938,0.004286,0.004695,0.004695,3535
2020-06-10,0.004695,0.005080,0.004383,0.004637,0.004637,3251
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.004979,0.005371,0.004602,0.004851,0.004851,2430
2020-06-15,0.004850,0.005521,0.004849,0.005110,0.005110,3241
2020-06-16,0.005110,0.005427,0.004558,0.005338,0.005338,1265
2020-06-17,0.005338,0.005563,0.004979,0.005238,0.005238,3449
2020-06-18,0.005238,0.005588,0.004462,0.005575,0.005575,3047
2020-06-19,0.005582,0.006040,0.005440,0.005911,0.005911,3519
2020-06-20,null,null,null,null,null,null
2020-06-21,0.005699,0.006190,0.005249,0.005314,0.005314,4342
2020-06-22,null,null,null,null,null,null
2020-06-23,0.005764,0.006068,0.004982,0.005458,0.005458,7626
2020-06-24,0.005461,0.006045,0.005209,0.005393,0.005393,4121
2020-06-25,0.005393,0.005586,0.004971,0.005116,0.005116,6693
2020-06-26,0.005115,0.005332,0.004848,0.004850,0.004850,2683
2020-06-27,null,null,null,null,null,null
2020-06-28,0.004781,0.004975,0.003450,0.004195,0.004195,23616
2020-06-29,0.003922,0.004585,0.003540,0.004304,0.004304,5965
2020-06-30,0.004304,0.004340,0.003478,0.003834,0.003834,6645
2020-07-01,0.003856,0.004247,0.003643,0.004232,0.004232,3403
2020-07-02,0.004232,0.004347,0.003547,0.003642,0.003642,6231
2020-07-03,0.003641,0.004390,0.003636,0.004342,0.004342,5251
2020-07-04,0.004343,0.005222,0.003978,0.004896,0.004896,6894
2020-07-05,0.004896,0.005313,0.004482,0.004943,0.004943,5502
2020-07-06,0.004943,0.005477,0.004821,0.005118,0.005118,5253
2020-07-07,0.005117,0.005207,0.004806,0.005091,0.005091,2036
2020-07-08,0.005091,0.005762,0.004630,0.005565,0.005565,13499
2020-07-09,0.005565,0.005574,0.005079,0.005373,0.005373,2569
2020-07-10,0.005374,0.005543,0.004789,0.005105,0.005105,8825
2020-07-11,0.005105,0.005999,0.004990,0.005822,0.005822,10304
2020-07-12,0.005822,0.005872,0.005094,0.005844,0.005844,16167
2020-07-13,0.005844,0.006038,0.005548,0.005849,0.005849,12290
2020-07-14,0.005849,0.005936,0.005503,0.005875,0.005875,5966
2020-07-15,0.005875,0.005920,0.005526,0.005614,0.005614,2676
2020-07-16,0.005613,0.005698,0.005380,0.005485,0.005485,6281
2020-07-17,0.005484,0.005742,0.005290,0.005610,0.005610,4163
2020-07-18,0.005608,0.005736,0.005477,0.005674,0.005674,3063
