Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.096833,0.096833,0.091898,0.095788,0.095788,22285791
2020-05-08,0.095788,0.097082,0.093420,0.093420,0.093420,26433884
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.082754,0.086130,0.081197,0.082261,0.082261,57311139
2020-05-17,0.082313,0.084970,0.082157,0.082762,0.082762,64751577
2020-05-18,0.082778,0.085423,0.081627,0.083785,0.083785,81607980
2020-05-19,0.083702,0.085144,0.080819,0.083606,0.083606,75651982
2020-05-20,0.083442,0.085611,0.081235,0.083933,0.083933,57326473
2020-05-21,0.083996,0.084397,0.077051,0.079580,0.079580,87791309
2020-05-22,0.079460,0.083947,0.077989,0.083058,0.083058,55817986
2020-05-23,0.083163,0.084409,0.082552,0.083345,0.083345,33139583
2020-05-24,0.083290,0.084870,0.081320,0.081324,0.081324,43066672
2020-05-25,0.081241,0.084009,0.080945,0.082583,0.082583,61896721
2020-05-26,0.082674,0.085556,0.082462,0.084131,0.084131,23531142
2020-05-27,0.084131,0.084911,0.082551,0.083401,0.083401,9065866
2020-05-28,0.083940,0.085048,0.083058,0.084647,0.084647,9499859
2020-05-29,0.084548,0.086128,0.083548,0.084968,0.084968,9449418
2020-05-30,0.084707,0.094047,0.084108,0.092362,0.092362,10449094
2020-05-31,0.093549,0.093549,0.086835,0.089118,0.089118,10336140
2020-06-01,0.088204,0.092160,0.087059,0.091202,0.091202,10472819
2020-06-02,0.091901,0.093650,0.087990,0.090079,0.090079,8271146
2020-06-03,0.090079,0.092833,0.089266,0.091126,0.091126,5600557
2020-06-04,0.091100,0.092494,0.090270,0.091771,0.091771,5858744
2020-06-05,0.091771,0.093277,0.089811,0.091387,0.091387,5811295
2020-06-06,0.091387,0.093107,0.090535,0.091404,0.091404,5770759
2020-06-07,0.091404,0.093305,0.090652,0.092430,0.092430,5828525
2020-06-08,0.092655,0.099611,0.091787,0.099148,0.099148,6480631
2020-06-09,0.099012,0.099619,0.093807,0.098585,0.098585,6703396
2020-06-10,0.098642,0.099317,0.096628,0.098021,0.098021,6360489
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.110161,0.111850,0.099563,0.103126,0.103126,3458636
2020-06-15,0.103004,0.103293,0.095677,0.101649,0.101649,3563052
2020-06-16,0.101649,0.107049,0.101546,0.107049,0.107049,3180181
2020-06-17,0.107026,0.108671,0.102782,0.104763,0.104763,2936270
2020-06-18,0.104866,0.105122,0.102524,0.103702,0.103702,2655503
