Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.005392,0.006095,0.005353,0.006049,0.006049,6929
2020-05-08,0.006049,0.006191,0.005719,0.005901,0.005901,1067
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.005004,0.005445,0.004825,0.005109,0.005109,2891
2020-05-17,0.005109,0.005223,0.004912,0.004979,0.004979,693
2020-05-18,0.004978,0.005292,0.004479,0.005119,0.005119,9525
2020-05-19,0.005118,0.005277,0.004678,0.005020,0.005020,4018
2020-05-20,0.005023,0.005400,0.005021,0.005258,0.005258,1244
2020-05-21,0.005243,0.005288,0.004445,0.004553,0.004553,1989
2020-05-22,0.004553,0.005283,0.004479,0.005192,0.005192,2640
2020-05-23,0.005193,0.005239,0.004793,0.004959,0.004959,3440
2020-05-24,0.004959,0.005501,0.004912,0.004959,0.004959,1668
2020-05-25,0.004948,0.005256,0.004708,0.004824,0.004824,112
2020-05-26,0.004823,0.004983,0.004449,0.004571,0.004571,1568
2020-05-27,0.004571,0.004875,0.004338,0.004491,0.004491,1126
2020-05-28,0.004491,0.004861,0.004304,0.004537,0.004537,2316
2020-05-29,0.004538,0.004715,0.002937,0.004063,0.004063,6852
2020-05-30,0.004063,0.004770,0.004025,0.004613,0.004613,1549
2020-05-31,0.004613,0.004613,0.003654,0.003780,0.003780,9748
2020-06-01,0.003779,0.004591,0.003579,0.004485,0.004485,1817
2020-06-02,0.004485,0.004836,0.003856,0.004173,0.004173,1878
2020-06-03,0.004172,0.004724,0.004172,0.004540,0.004540,2308
2020-06-04,0.004540,0.004639,0.003899,0.004601,0.004601,391
2020-06-05,0.004601,0.004618,0.004308,0.004308,0.004308,371
2020-06-06,0.004308,0.004669,0.004011,0.004134,0.004134,1133
2020-06-07,0.004135,0.004675,0.004132,0.004288,0.004288,289
2020-06-08,0.004288,0.004827,0.003908,0.004544,0.004544,1125
2020-06-09,0.004543,0.004587,0.004274,0.004310,0.004310,31161
2020-06-10,0.004310,0.004608,0.003631,0.004393,0.004393,423
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.003536,0.004096,0.003485,0.003751,0.003751,4959
2020-06-15,0.003751,0.004234,0.003679,0.004139,0.004139,1262
2020-06-16,0.004140,0.005490,0.004009,0.005424,0.005424,4214
2020-06-17,0.005424,0.005427,0.004841,0.005005,0.005005,5894
2020-06-18,0.005005,0.005227,0.004093,0.004710,0.004710,3319
2020-06-19,0.004715,0.005308,0.003762,0.005298,0.005298,2096
2020-06-20,null,null,null,null,null,null
2020-06-21,0.005290,0.005342,0.004062,0.004665,0.004665,162
2020-06-22,null,null,null,null,null,null
2020-06-23,0.004453,0.004907,0.003918,0.004731,0.004731,1817
2020-06-24,0.004733,0.004896,0.004628,0.004724,0.004724,288
2020-06-25,0.004727,0.004729,0.004519,0.004647,0.004647,50
2020-06-26,0.004646,0.004677,0.004123,0.004129,0.004129,337
2020-06-27,null,null,null,null,null,null
2020-06-28,0.003707,0.004309,0.003505,0.004125,0.004125,1628
2020-06-29,0.004125,0.004709,0.003598,0.004666,0.004666,8000
2020-06-30,0.004666,0.004705,0.004046,0.004494,0.004494,1183
2020-07-01,0.004494,0.004524,0.003882,0.004147,0.004147,580
2020-07-02,0.004148,0.004455,0.003679,0.004157,0.004157,9030
2020-07-03,0.004156,0.004176,0.001727,0.003898,0.003898,10562
2020-07-04,0.003898,0.003943,0.003799,0.003828,0.003828,8124
2020-07-05,0.003814,0.003940,0.003572,0.003575,0.003575,636
2020-07-06,0.003575,0.003839,0.003502,0.003687,0.003687,5167
2020-07-07,0.003686,0.003800,0.003237,0.003413,0.003413,5018
2020-07-08,0.003413,0.004748,0.003086,0.003656,0.003656,7518
2020-07-09,0.003656,0.003721,0.002949,0.003052,0.003052,484
2020-07-10,0.003053,0.003436,0.002975,0.003432,0.003432,2364
2020-07-11,0.003431,0.003504,0.002950,0.002988,0.002988,2553
2020-07-12,0.002988,0.003403,0.002482,0.003297,0.003297,10341
2020-07-13,0.003297,0.003450,0.002907,0.003064,0.003064,5887
2020-07-14,0.003047,0.003749,0.002682,0.002923,0.002923,14050
2020-07-15,0.002923,0.003210,0.002244,0.002253,0.002253,9754
2020-07-16,0.002253,0.003137,0.002189,0.003013,0.003013,5865
2020-07-17,0.003013,0.003122,0.002813,0.002892,0.002892,646
2020-07-18,0.002892,0.002892,0.002645,0.002737,0.002737,3111
2020-07-19,0.002737,0.002895,0.002734,0.002797,0.002797,713
2020-07-20,0.002801,0.003040,0.002484,0.002575,0.002575,15875
2020-07-21,0.002574,0.003148,0.002571,0.002811,0.002811,11383
2020-07-22,0.002811,0.002829,0.002380,0.002737,0.002737,4828
2020-07-23,0.002737,0.002807,0.001829,0.002218,0.002218,20701
2020-07-24,0.002219,0.002634,0.001914,0.002323,0.002323,5850
2020-07-25,0.002324,0.002476,0.001998,0.002436,0.002436,2584
2020-07-26,0.002436,0.002495,0.002161,0.002355,0.002355,1700
2020-07-27,0.002355,0.002534,0.002156,0.002455,0.002455,1573
2020-07-28,0.002455,0.003336,0.002329,0.003165,0.003165,2308
2020-07-29,0.003166,0.003481,0.002676,0.002997,0.002997,1706
2020-07-30,0.003000,0.003436,0.002453,0.002454,0.002454,1791
2020-07-31,0.002454,0.006432,0.002426,0.006432,0.006432,38
2020-08-01,0.006432,0.006441,0.002467,0.003519,0.003519,3740
2020-08-02,0.003519,0.003621,0.003163,0.003183,0.003183,1294
2020-08-03,0.003185,0.003852,0.002662,0.002723,0.002723,1036
2020-08-04,0.002723,0.002761,0.002587,0.002617,0.002617,406
2020-08-05,0.002617,0.002960,0.002479,0.002507,0.002507,2686
2020-08-06,0.002507,0.003204,0.002502,0.003091,0.003091,184
2020-08-07,0.003090,0.003154,0.002716,0.002775,0.002775,417
2020-08-08,0.002776,0.002828,0.002573,0.002823,0.002823,218
2020-08-09,0.002824,0.002832,0.002240,0.002428,0.002428,4048
2020-08-10,0.002429,0.002660,0.001765,0.002660,0.002660,2192
2020-08-11,0.002661,0.002985,0.001848,0.002590,0.002590,2082
2020-08-12,0.002495,0.002498,0.001707,0.002323,0.002323,2949
2020-08-13,0.002330,0.002709,0.002329,0.002612,0.002612,1260
2020-08-14,0.002611,0.002623,0.001977,0.002404,0.002404,2502
2020-08-15,0.002405,0.003820,0.002155,0.003510,0.003510,7014
2020-08-16,0.003509,0.003541,0.002494,0.002793,0.002793,865
2020-08-17,0.002793,0.003087,0.002553,0.003073,0.003073,127
2020-08-18,0.003072,0.003140,0.002787,0.003015,0.003015,577
2020-08-19,0.003015,0.005062,0.002087,0.004011,0.004011,8879
2020-08-20,0.004011,0.005255,0.002499,0.003642,0.003642,15476
2020-08-21,0.003470,0.003651,0.002605,0.002634,0.002634,332
2020-08-22,0.002634,0.003378,0.002609,0.003377,0.003377,3659
2020-08-23,0.003377,0.004490,0.003357,0.003591,0.003591,360
2020-08-24,0.003591,0.003836,0.003435,0.003451,0.003451,805
2020-08-25,0.003451,0.003465,0.003252,0.003297,0.003297,349
2020-08-26,0.003293,0.003568,0.002822,0.003465,0.003465,3727
