Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.494008,0.500661,0.468725,0.472307,0.472307,300424
2020-05-08,0.475251,0.505739,0.465244,0.483435,0.483435,201642
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.437455,0.450642,0.433287,0.442665,0.442665,63198
2020-05-17,0.442901,0.456684,0.441956,0.448469,0.448469,74606
2020-05-18,0.448446,0.454357,0.439091,0.446281,0.446281,113995
2020-05-19,0.446061,0.477885,0.435833,0.462804,0.462804,944203
2020-05-20,0.463266,0.466207,0.438827,0.462136,0.462136,118609
2020-05-21,0.462320,0.463145,0.422541,0.432353,0.432353,98277
2020-05-22,0.432297,0.492123,0.430048,0.465065,0.465065,303391
2020-05-23,0.464920,0.472015,0.443688,0.448637,0.448637,260862
2020-05-24,0.448325,0.482596,0.445971,0.448587,0.448587,484658
2020-05-25,0.446866,0.472415,0.442845,0.466265,0.466265,403945
2020-05-26,0.466205,0.495087,0.456843,0.472507,0.472507,608581
2020-05-27,0.472507,0.481921,0.454574,0.464402,0.464402,393837
2020-05-28,0.464192,0.469558,0.451885,0.468542,0.468542,229006
2020-05-29,0.468278,0.470610,0.455009,0.463678,0.463678,225648
2020-05-30,0.463502,0.497940,0.460301,0.491462,0.491462,343541
2020-05-31,0.491462,0.491523,0.475044,0.478687,0.478687,204950
2020-06-01,0.478667,0.496190,0.474152,0.483617,0.483617,293723
2020-06-02,0.483752,0.490727,0.451283,0.472308,0.472308,299099
2020-06-03,0.472308,0.475232,0.463450,0.473678,0.473678,251547
2020-06-04,0.473662,0.505253,0.469900,0.483198,0.483198,355299
2020-06-05,0.483103,0.495068,0.474057,0.485224,0.485224,350654
2020-06-06,0.485224,0.510631,0.474525,0.510176,0.510176,393532
2020-06-07,0.510222,0.574363,0.502257,0.547194,0.547194,778308
2020-06-08,0.547266,0.550397,0.517540,0.521887,0.521887,325851
2020-06-09,0.521878,0.571887,0.518924,0.555620,0.555620,476720
2020-06-10,0.552119,0.571929,0.528551,0.539211,0.539211,518402
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.507602,0.512430,0.488026,0.488652,0.488652,352745
2020-06-15,0.488652,0.490086,0.442883,0.485298,0.485298,325655
2020-06-16,0.485387,0.513429,0.482102,0.509059,0.509059,346516
2020-06-17,0.509023,0.527835,0.502153,0.522115,0.522115,359396
2020-06-18,0.522193,0.528668,0.505313,0.512424,0.512424,344396
2020-06-19,0.512841,0.520044,0.498509,0.501249,0.501249,290588
2020-06-20,null,null,null,null,null,null
2020-06-21,0.514320,0.523941,0.509375,0.518472,0.518472,302899
2020-06-22,null,null,null,null,null,null
2020-06-23,0.510424,0.549065,0.498943,0.534133,0.534133,513026
2020-06-24,0.534277,0.575916,0.526850,0.559892,0.559892,1006332
2020-06-25,0.562689,0.608682,0.517879,0.574033,0.574033,771859
2020-06-26,0.574466,0.576424,0.513911,0.516473,0.516473,486434
2020-06-27,null,null,null,null,null,null
2020-06-28,0.468123,0.502793,0.457182,0.486700,0.486700,267302
2020-06-29,0.486700,0.521172,0.472636,0.513606,0.513606,353905
2020-06-30,0.512974,0.515587,0.484946,0.487080,0.487080,239592
2020-07-01,0.487079,0.512923,0.485147,0.504005,0.504005,249964
2020-07-02,0.504345,0.520664,0.470636,0.480902,0.480902,292279
2020-07-03,0.481154,0.502763,0.480491,0.494039,0.494039,246250
2020-07-04,0.494125,0.501318,0.486293,0.491600,0.491600,223131
2020-07-05,0.489812,0.498620,0.471073,0.476296,0.476296,227455
2020-07-06,0.476296,0.513365,0.475125,0.508843,0.508843,270929
2020-07-07,0.508845,0.514656,0.491978,0.494301,0.494301,284692
2020-07-08,0.494869,0.518103,0.494010,0.517285,0.517285,346405
2020-07-09,0.517285,0.527466,0.502727,0.506419,0.506419,335376
2020-07-10,0.507079,0.531687,0.492268,0.519338,0.519338,546270
2020-07-11,0.519638,0.537914,0.512042,0.523496,0.523496,318896
2020-07-12,0.523483,0.556232,0.513074,0.554811,0.554811,416977
2020-07-13,0.554811,0.579550,0.521284,0.528773,0.528773,512755
2020-07-14,0.525722,0.549105,0.519262,0.543739,0.543739,323354
2020-07-15,0.543280,0.554688,0.531094,0.540056,0.540056,329308
2020-07-16,0.539962,0.546014,0.498967,0.510485,0.510485,363519
2020-07-17,0.510781,0.521472,0.506729,0.510979,0.510979,299390
2020-07-18,0.510945,0.524148,0.509091,0.522521,0.522521,280280
2020-07-19,0.522359,0.536397,0.514520,0.529655,0.529655,313968
2020-07-20,0.530206,0.671873,0.529472,0.621729,0.621729,1739976
2020-07-21,0.621397,0.627848,0.577860,0.604008,0.604008,633292
2020-07-22,0.604145,0.612110,0.582452,0.595239,0.595239,429910
2020-07-23,0.595300,0.720647,0.592382,0.690351,0.690351,1968763
2020-07-24,0.690182,0.952691,0.684238,0.740669,0.740669,8499744
2020-07-25,0.736476,0.788998,0.698644,0.700776,0.700776,1878265
2020-07-26,0.700749,0.715953,0.639628,0.684108,0.684108,974345
2020-07-27,0.684665,0.686600,0.536823,0.571046,0.571046,932165
2020-07-28,0.570851,0.689684,0.560149,0.635078,0.635078,1100255
2020-07-29,0.635036,0.684652,0.601222,0.603648,0.603648,860833
2020-07-30,0.603968,0.656661,0.598982,0.623926,0.623926,782901
2020-07-31,0.623984,0.631773,0.584569,0.590123,0.590123,473384
2020-08-01,0.590123,0.686118,0.572421,0.606930,0.606930,1105280
2020-08-02,0.606840,0.619506,0.554332,0.585891,0.585891,622653
2020-08-03,0.586162,0.666352,0.582991,0.645493,0.645493,1031447
2020-08-04,0.645432,0.656597,0.620173,0.626115,0.626115,587773
2020-08-05,0.625255,0.629057,0.593693,0.604436,0.604436,715017
2020-08-06,0.603972,0.625563,0.595033,0.611668,0.611668,535217
2020-08-07,0.611990,0.638755,0.603103,0.614016,0.614016,227970
2020-08-08,0.614820,0.638092,0.604026,0.629558,0.629558,277251
2020-08-09,0.630155,0.654016,0.612143,0.632412,0.632412,583464
2020-08-10,0.634160,0.710401,0.610835,0.666442,0.666442,1268616
2020-08-11,0.666338,0.668445,0.593573,0.614769,0.614769,668696
2020-08-12,0.614792,0.680492,0.590740,0.657096,0.657096,755782
2020-08-13,0.657154,0.676846,0.624351,0.659896,0.659896,664208
2020-08-14,0.659034,0.720545,0.646123,0.696325,0.696325,1043677
2020-08-15,0.697206,0.731739,0.664936,0.672792,0.672792,700687
2020-08-16,0.671998,0.735411,0.665187,0.718167,0.718167,708503
2020-08-17,0.718167,0.813200,0.697176,0.810410,0.810410,1639146
2020-08-18,0.816898,0.821668,0.724334,0.727734,0.727734,910674
2020-08-19,0.727734,0.737549,0.678873,0.678873,0.678873,509055
2020-08-20,0.679319,0.711612,0.672160,0.706346,0.706346,633824
2020-08-21,0.705574,0.736346,0.669997,0.670907,0.670907,681106
2020-08-22,0.670907,0.686362,0.653592,0.675656,0.675656,478291
2020-08-23,0.675931,0.677643,0.653751,0.671027,0.671027,436639
2020-08-24,0.671027,0.710262,0.664500,0.693148,0.693148,624179
2020-08-25,0.692723,0.694283,0.637040,0.649094,0.649094,475181
2020-08-26,0.647560,0.672043,0.637005,0.657342,0.657342,421161
2020-08-27,0.657064,0.665092,0.608603,0.630119,0.630119,520703
2020-08-28,0.629941,0.656240,0.624161,0.653055,0.653055,425130
2020-08-29,0.653741,0.667983,0.651655,0.664424,0.664424,420117
2020-08-30,0.663913,0.675941,0.657846,0.657974,0.657974,362161
2020-08-31,0.658090,0.668006,0.649586,0.650873,0.650873,454915
2020-09-01,0.650808,0.689215,0.645130,0.677600,0.677600,545826
2020-09-02,0.677570,0.677947,0.585775,0.622272,0.622272,584693
2020-09-03,0.622040,0.650904,0.551128,0.570244,0.570244,939638
2020-09-04,0.570662,0.580753,0.527462,0.563424,0.563424,515391
2020-09-05,0.563293,0.568353,0.513476,0.520203,0.520203,405458
2020-09-06,0.520203,0.553147,0.506198,0.548718,0.548718,140750
2020-09-07,0.548773,0.558723,0.515739,0.553466,0.553466,83603
2020-09-08,0.553584,0.557156,0.528791,0.540950,0.540950,71284
2020-09-09,0.540863,0.608062,0.539394,0.576339,0.576339,243291
2020-09-10,0.576837,0.614407,0.559455,0.563387,0.563387,235519
2020-09-11,0.563387,0.590945,0.548538,0.583103,0.583103,151151
2020-09-12,0.583103,0.594966,0.575037,0.588388,0.588388,85119
2020-09-13,0.587744,0.593684,0.541339,0.547863,0.547863,134818
2020-09-14,0.547619,0.581966,0.544628,0.550506,0.550506,113692
2020-09-15,0.551383,0.563286,0.519374,0.520229,0.520229,451159
2020-09-16,0.520616,0.520654,0.487757,0.504659,0.504659,178381
2020-09-17,0.504412,0.515579,0.499533,0.508599,0.508599,57209
2020-09-18,0.508599,0.527445,0.495106,0.512075,0.512075,261684
2020-09-19,0.512381,0.624441,0.498268,0.508753,0.508753,720638
2020-09-20,0.508394,0.519953,0.480267,0.492857,0.492857,156761
2020-09-21,0.493077,0.531254,0.461833,0.477485,0.477485,138365
2020-09-22,0.477833,0.499771,0.472467,0.496006,0.496006,91679
2020-09-23,0.496006,0.504646,0.479317,0.481590,0.481590,74467
2020-09-24,0.481670,0.511223,0.481220,0.508399,0.508399,78155
2020-09-25,0.508330,0.519026,0.496064,0.508002,0.508002,84826
2020-09-26,0.508146,0.517176,0.502504,0.516482,0.516482,63597
2020-09-27,0.516522,0.519521,0.504588,0.511064,0.511064,65107
2020-09-28,0.511064,0.518320,0.486044,0.487038,0.487038,99211
2020-09-29,0.486714,0.495995,0.480683,0.491741,0.491741,70098
2020-09-30,0.491566,0.492234,0.478767,0.480808,0.480808,76497
2020-10-01,0.480822,0.488542,0.451153,0.462357,0.462357,110946
2020-10-02,0.462174,0.467401,0.443189,0.464670,0.464670,106149
2020-10-03,0.464670,0.470676,0.457772,0.464707,0.464707,47330
2020-10-04,0.464707,0.529917,0.458527,0.472978,0.472978,314436
2020-10-05,0.473036,0.479276,0.461743,0.472571,0.472571,76068
2020-10-06,0.473151,0.476133,0.447946,0.450501,0.450501,75372
2020-10-07,0.450501,0.460645,0.448456,0.456856,0.456856,48416
2020-10-08,0.456719,0.476784,0.450272,0.476784,0.476784,81040
2020-10-09,0.476892,0.492137,0.467057,0.489931,0.489931,67496
2020-10-10,0.489430,0.498658,0.479827,0.482671,0.482671,70866
2020-10-11,0.482766,0.491395,0.476658,0.490248,0.490248,49461
2020-10-12,0.490247,0.496707,0.483576,0.485186,0.485186,63484
2020-10-13,0.485187,0.492377,0.478358,0.478870,0.478870,41130
2020-10-14,0.478041,0.485103,0.473736,0.482383,0.482383,55031
2020-10-15,0.482383,0.488675,0.477670,0.484717,0.484717,66967
2020-10-16,0.485780,0.486112,0.472170,0.475406,0.475406,58378
2020-10-17,0.475428,0.477431,0.470914,0.471347,0.471347,70845
2020-10-18,0.471710,0.474464,0.470111,0.473751,0.473751,36292
2020-10-19,0.473954,0.497141,0.466831,0.497086,0.497086,329900
2020-10-20,0.497086,0.500618,0.476592,0.500570,0.500570,339484
2020-10-21,0.500570,0.501570,0.500553,0.501412,0.501412,301376
2020-10-22,0.501412,0.501983,0.500413,0.501882,0.501882,194787
