Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,6.283262,6.899489,6.211530,6.848187,6.848187,270
2020-05-08,6.842701,7.721575,6.814001,6.910892,6.910892,147
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,7.971829,8.533657,7.839993,8.354129,8.354129,6083
2020-05-17,8.354129,9.572927,8.012848,8.669208,8.669208,6606
2020-05-18,8.668272,9.117640,8.132793,8.617811,8.617811,8396
2020-05-19,8.613568,8.622174,7.938372,8.168563,8.168563,8053
2020-05-20,8.173726,9.952631,7.945847,9.941235,9.941235,4196
2020-05-21,9.941536,9.972243,7.590384,7.765349,7.765349,5796
2020-05-22,7.764373,8.858121,7.354256,7.458258,7.458258,4360
2020-05-23,7.458848,8.171361,7.458848,7.605725,7.605725,3368
2020-05-24,7.605727,7.666327,6.938574,6.943690,6.943690,1183
2020-05-25,6.924854,6.924854,6.240336,6.769104,6.769104,1919
2020-05-26,6.768189,7.215875,6.476412,7.214085,7.214085,448
2020-05-27,7.214085,7.257220,6.543376,6.798110,6.798110,338
2020-05-28,6.797693,7.228859,6.706158,7.051357,7.051357,1532
2020-05-29,7.051421,7.093714,6.684912,6.843270,6.843270,327
2020-05-30,6.842739,7.211286,6.692879,7.205293,7.205293,160
2020-05-31,7.205293,7.243882,6.759490,7.015640,7.015640,686
2020-06-01,7.013983,7.269288,6.734192,7.190585,7.190585,183
2020-06-02,7.191278,7.730098,7.086439,7.264886,7.264886,908
2020-06-03,7.265960,7.479877,7.100363,7.478171,7.478171,709
2020-06-04,7.479413,7.498899,7.028925,7.252818,7.252818,36
2020-06-05,7.252824,7.628653,7.243667,7.318715,7.318715,1130
2020-06-06,7.318715,7.437134,6.804110,7.170838,7.170838,5089
2020-06-07,7.167515,7.517587,6.813561,7.464829,7.464829,7118
2020-06-08,7.465640,7.570874,7.262173,7.393614,7.393614,3606
2020-06-09,7.393487,7.540469,7.244803,7.474621,7.474621,4611
2020-06-10,7.474990,7.481322,7.039549,7.235706,7.235706,4912
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,7.877539,8.062745,7.108629,7.157245,7.157245,6031
2020-06-15,7.156946,7.471581,6.822630,7.284250,7.284250,5601
2020-06-16,7.285743,7.499659,7.182310,7.411444,7.411444,3066
2020-06-17,7.412129,7.439856,7.152818,7.361793,7.361793,3771
2020-06-18,7.361568,7.370748,7.134264,7.298320,7.298320,3628
2020-06-19,7.306925,10.161496,7.186878,9.058372,9.058372,17057
2020-06-20,null,null,null,null,null,null
2020-06-21,8.246566,8.674743,8.221768,8.565363,8.565363,3735
2020-06-22,null,null,null,null,null,null
2020-06-23,8.835900,9.442449,8.606526,9.186481,9.186481,4222
2020-06-24,9.190488,9.283883,7.990505,8.222442,8.222442,4896
2020-06-25,8.290357,8.389642,7.775699,8.057914,8.057914,3840
2020-06-26,8.056324,9.672135,7.874273,8.161853,8.161853,4067
2020-06-27,null,null,null,null,null,null
2020-06-28,8.342022,8.625387,7.704963,8.167651,8.167651,2784
2020-06-29,8.167651,8.299342,7.858363,8.097540,8.097540,4780
2020-06-30,8.074407,16.924473,8.061855,13.240721,13.240721,25506
2020-07-01,13.212282,14.921722,12.435958,13.076210,13.076210,12025
2020-07-02,13.081265,13.540915,11.221529,12.989536,12.989536,8818
2020-07-03,12.986623,14.225013,11.854706,14.088151,14.088151,4616
2020-07-04,13.922688,13.922688,11.021957,12.039167,12.039167,7459
2020-07-05,11.994531,12.381136,10.683658,11.245091,11.245091,4878
2020-07-06,11.245091,12.588169,10.763688,12.144318,12.144318,5593
2020-07-07,12.142203,12.742964,11.525788,12.095285,12.095285,3813
2020-07-08,12.098061,13.478996,11.056610,12.693012,12.693012,13642
2020-07-09,12.692524,13.854003,12.012916,13.692192,13.692192,3965
2020-07-10,13.693618,13.693618,11.519785,12.519798,12.519798,3729
2020-07-11,12.446674,13.547556,12.143670,12.143774,12.143774,971
2020-07-12,12.143537,13.387899,12.027353,12.764768,12.764768,557
2020-07-13,12.764768,12.941924,12.428364,12.526002,12.526002,444
2020-07-14,12.453711,12.607778,10.324980,11.168617,11.168617,1831
2020-07-15,11.168589,12.956841,11.137958,12.472663,12.472663,1526
2020-07-16,12.470490,13.252992,10.265506,12.251959,12.251959,2153
2020-07-17,12.250582,13.539703,11.845471,11.868782,11.868782,2300
2020-07-18,11.868390,11.928732,10.920539,10.924723,10.924723,429
2020-07-19,10.924394,11.399445,10.915225,11.329464,11.329464,56
2020-07-20,11.346898,20.930843,10.904780,14.018271,14.018271,10134
2020-07-21,14.017969,20.352034,14.008835,16.668028,16.668028,4962
2020-07-22,16.668358,16.668358,14.934197,15.246008,15.246008,574
2020-07-23,15.246008,21.770355,14.353408,15.682391,15.682391,6208
2020-07-24,15.686606,17.175344,14.856722,16.051802,16.051802,1156
2020-07-25,16.053030,16.211634,14.915524,15.054210,15.054210,277
2020-07-26,15.056981,15.650268,15.005523,15.538673,15.538673,210
2020-07-27,15.539067,22.970587,15.536733,18.166330,18.166330,6447
2020-07-28,18.165131,25.240175,17.159927,18.304592,18.304592,11836
2020-07-29,18.311106,19.993378,17.412867,18.113089,18.113089,1692
2020-07-30,18.129957,18.455053,17.571671,17.872894,17.872894,1356
2020-07-31,17.870617,18.515923,17.669798,18.227415,18.227415,208
2020-08-01,18.227415,19.214750,18.090788,18.948742,18.948742,335
2020-08-02,18.946968,19.461859,17.571890,17.802763,17.802763,1189
2020-08-03,17.811008,18.593178,17.711155,18.277573,18.277573,149
2020-08-04,18.275846,18.530624,17.897417,18.190224,18.190224,102
2020-08-05,18.192223,19.136160,18.083876,19.072371,19.072371,219
2020-08-06,19.072765,19.159353,18.662397,18.957903,18.957903,230
2020-08-07,18.955406,19.323673,18.483337,18.787760,18.787760,153
2020-08-08,18.793730,19.658117,18.710041,19.623354,19.623354,353
2020-08-09,19.629829,19.685249,18.802931,19.037113,19.037113,536
2020-08-10,19.044720,19.900379,18.906233,19.900379,19.900379,1574
2020-08-11,19.907003,19.979038,18.179016,18.598867,18.598867,1470
2020-08-12,18.608414,19.545792,18.310432,19.264715,19.264715,120
2020-08-13,19.265598,19.386971,15.632740,18.805809,18.805809,1390
2020-08-14,18.798235,19.717764,18.151741,19.144924,19.144924,1187
2020-08-15,19.150726,19.840351,17.661030,19.080017,19.080017,881
2020-08-16,19.076797,19.100935,18.493238,18.774441,18.774441,386
2020-08-17,18.774441,20.373325,18.602322,20.172319,20.172319,2352
2020-08-18,20.167999,21.819424,20.028584,20.102655,20.102655,476
2020-08-19,20.102655,27.058016,17.038275,23.896265,23.896265,15225
2020-08-20,23.895702,24.527170,20.759834,22.901669,22.901669,3552
2020-08-21,22.899107,22.918344,21.196516,21.548483,21.548483,268
2020-08-22,21.548483,21.561443,18.161726,19.638615,19.638615,2602
2020-08-23,19.636925,19.649261,19.326649,19.574347,19.574347,263
2020-08-24,19.574347,20.603207,18.604990,20.564430,20.564430,238
2020-08-25,20.560215,20.562849,17.793293,19.481918,19.481918,197
2020-08-26,19.457846,19.590614,18.332979,19.574102,19.574102,42
2020-08-27,19.567747,19.584719,18.104683,19.159969,19.159969,601
2020-08-28,19.160587,19.677183,18.136890,19.301167,19.301167,964
2020-08-29,19.304903,19.810768,18.379145,18.531820,18.531820,435
2020-08-30,18.524097,19.847866,18.503752,19.462826,19.462826,965
2020-08-31,19.466459,19.930458,18.397072,18.437881,18.437881,512
2020-09-01,18.431854,20.117664,18.300249,19.981821,19.981821,109
2020-09-02,19.982708,27.061123,18.767525,23.906872,23.906872,15102
2020-09-03,23.906872,26.735086,20.341785,20.520039,20.520039,3255
2020-09-04,20.528662,20.797600,19.463940,19.505423,19.505423,330
2020-09-05,19.501553,19.650438,18.358013,18.820452,18.820452,662
2020-09-06,18.820452,20.973162,18.565861,20.628891,20.628891,163
2020-09-07,20.630859,20.714252,18.496618,20.420752,20.420752,189
2020-09-08,20.428040,20.555349,17.696795,18.366312,18.366312,785
2020-09-09,18.366873,20.873537,18.314434,19.337749,19.337749,554
2020-09-10,19.340225,19.801689,19.191647,19.322212,19.322212,467
2020-09-11,19.322212,19.370743,18.999954,19.235865,19.235865,554
2020-09-12,19.241865,19.394714,19.056389,19.335651,19.335651,254
2020-09-13,19.335651,19.549910,17.695662,17.726625,17.726625,392
2020-09-14,17.728786,19.900702,17.707256,19.767168,19.767168,5
2020-09-15,19.773216,20.131355,18.334150,18.523432,18.523432,108
2020-09-16,18.522636,19.031998,18.344097,18.818432,18.818432,7
2020-09-17,18.819336,20.389572,18.403831,18.724192,18.724192,252
2020-09-18,18.724192,19.963345,18.094999,18.256081,18.256081,1252
2020-09-19,18.262823,18.994289,18.219814,18.719589,18.719589,299
2020-09-20,18.720606,19.659098,18.036713,19.561205,19.561205,1082
2020-09-21,19.561277,19.639580,17.337692,17.451256,17.451256,319
2020-09-22,17.447058,17.649147,17.332012,17.595058,17.595058,0
2020-09-23,17.595058,17.600004,17.001434,17.106449,17.106449,133
2020-09-24,17.103395,17.990446,17.067793,17.942804,17.942804,1923
2020-09-25,17.942013,18.257002,17.672033,17.784391,17.784391,330
2020-09-26,17.783297,18.302572,17.745838,17.943096,17.943096,765
2020-09-27,17.941782,18.032253,13.975249,15.201590,15.201590,7629
2020-09-28,15.201590,17.110905,15.201590,16.365479,16.365479,473
2020-09-29,16.361586,16.584192,16.279587,16.569271,16.569271,10
2020-09-30,16.568533,16.575020,16.314489,16.461569,16.461569,134
2020-10-01,16.461830,17.095493,16.009623,16.228634,16.228634,204
2020-10-02,16.228151,16.285116,15.909552,16.157530,16.157530,371
2020-10-03,16.157530,16.611658,16.070898,16.124935,16.124935,53
2020-10-04,16.124935,16.330601,16.098095,16.311352,16.311352,5
2020-10-05,16.312765,16.488157,16.260328,16.487144,16.487144,39
2020-10-06,16.488375,16.502014,16.131262,16.213688,16.213688,523
2020-10-07,16.213688,16.318024,16.159227,16.313705,16.313705,5
2020-10-08,16.313644,16.722708,16.138985,16.675873,16.675873,103
2020-10-09,16.695507,16.942459,16.503435,16.564074,16.564074,333
2020-10-10,16.552429,17.454178,14.260104,16.563517,16.563517,143
2020-10-11,16.563517,16.706743,14.326114,15.724213,15.724213,222
2020-10-12,15.724174,16.537025,14.237988,15.597076,15.597076,142
2020-10-13,15.597091,16.468014,14.363920,15.994405,15.994405,880
2020-10-14,15.994405,16.379402,14.517527,16.093693,16.093693,420
2020-10-15,16.093660,16.174393,14.334441,15.978442,15.978442,874
2020-10-16,15.978421,16.033432,14.201127,14.228511,14.228511,403
2020-10-17,14.228512,15.665149,14.182294,14.273840,14.273840,55
2020-10-18,14.273840,15.931754,14.260615,14.527709,14.527709,733
2020-10-19,14.527713,17.964161,14.432628,15.802421,15.802421,1338
2020-10-20,15.802434,15.894678,15.091930,15.370403,15.370403,20
2020-10-21,15.370404,16.565485,15.350532,16.112156,16.112156,307
2020-10-22,16.112068,16.536621,15.978138,16.290779,16.290779,71
2020-10-23,16.290735,16.353636,16.022799,16.163500,16.163500,0
2020-10-24,16.167955,16.606295,16.110147,16.565176,16.565176,616
2020-10-25,16.559715,16.838892,16.309410,16.454821,16.454821,46
2020-10-26,16.462635,16.707651,11.195434,16.514311,16.514311,13
2020-10-27,16.517406,17.254625,16.499887,17.102793,17.102793,270
2020-10-28,17.122747,17.352470,16.217093,17.035931,17.035931,104
2020-10-29,17.035419,18.150286,15.581207,15.931589,15.931589,172
2020-10-30,15.931417,16.184692,15.573751,16.060007,16.060007,7
2020-10-31,16.060215,16.681126,11.685312,16.338459,16.338459,125
2020-11-01,16.338196,16.434273,15.193031,16.280956,16.280956,338
2020-11-02,16.281498,16.365900,14.952926,15.645046,15.645046,431
2020-11-03,15.634674,16.003096,14.832457,15.540474,15.540474,99
2020-11-04,15.579627,17.394470,14.630351,16.727148,16.727148,7002
2020-11-05,16.727558,17.599636,14.713061,17.384193,17.384193,3903
2020-11-06,17.410351,19.202789,16.289583,16.566986,16.566986,117
2020-11-07,16.580931,16.761896,12.017799,15.403141,15.403141,2542
2020-11-08,15.387231,17.289843,13.564430,13.583038,13.583038,161
2020-11-09,13.576644,15.642282,13.494281,14.119106,14.119106,25232
2020-11-10,14.118456,16.398619,13.012425,14.074388,14.074388,1618
2020-11-11,14.073441,14.558475,12.437819,13.954859,13.954859,1505
2020-11-12,13.953153,14.322289,12.851938,12.878558,12.878558,71
2020-11-13,12.878657,13.830385,12.871439,13.810618,13.810618,183
2020-11-14,13.810577,13.810577,12.647714,13.598602,13.598602,1403
2020-11-15,13.599269,13.610361,12.660097,12.790038,12.790038,379
2020-11-16,12.789999,13.274452,12.729974,13.179357,13.179357,1068
2020-11-17,13.158424,14.021299,13.060652,13.912306,13.912306,785
2020-11-18,13.912873,14.738029,13.477509,14.606478,14.606478,5097
2020-11-19,14.607831,14.792086,12.546012,12.597998,12.597998,6743
2020-11-20,12.612169,14.134127,12.600827,13.783180,13.783180,5072
2020-11-21,13.781069,13.861857,12.435584,13.102425,13.102425,1149
2020-11-22,13.104300,13.137411,11.884713,12.323908,12.323908,516
2020-11-23,12.308800,13.071990,12.060534,12.806255,12.806255,916
2020-11-24,12.817220,13.649871,12.158165,13.639871,13.639871,2258
2020-11-25,13.638526,14.244631,13.490445,13.762708,13.762708,124
2020-11-26,13.761553,13.860117,11.445724,12.001561,12.001561,104
2020-11-27,12.005437,12.917517,11.694030,12.668594,12.668594,88
2020-11-28,12.668429,14.154834,11.245402,12.509906,12.509906,250
2020-11-29,12.509558,14.954657,11.970116,13.256288,13.256288,859
2020-11-30,13.255748,15.012258,13.255748,14.311301,14.311301,180
2020-12-01,14.310178,14.469899,12.596070,12.896254,12.896254,2989
2020-12-02,12.895285,14.382223,12.583049,13.087132,13.087132,2663
2020-12-03,13.085928,14.254812,12.898300,13.254268,13.254268,421
