Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,0.061776,0.061776,0.056150,0.056150,0.056150,13747700
2017-06-29,0.055975,0.061866,0.050574,0.051921,0.051921,18083200
2017-06-30,0.051847,0.053179,0.042477,0.044257,0.044257,10133300
2017-07-01,0.044377,0.049657,0.041178,0.043922,0.043922,10307200
2017-07-02,0.043919,0.044084,0.040498,0.042308,0.042308,7502210
2017-07-03,0.042716,0.067854,0.042716,0.056667,0.056667,28853300
2017-07-04,0.056436,0.065927,0.053898,0.056563,0.056563,18958100
2017-07-05,0.056993,0.056993,0.047856,0.050488,0.050488,11487700
2017-07-06,0.050413,0.055571,0.048901,0.050457,0.050457,10173100
2017-07-07,0.050378,0.051087,0.044133,0.044199,0.044199,7012400
2017-07-08,0.044119,0.045139,0.038215,0.044210,0.044210,6282280
2017-07-09,0.044377,0.045597,0.040175,0.040234,0.040234,3429300
2017-07-10,0.040600,0.040600,0.027199,0.031430,0.031430,6133140
2017-07-11,0.030705,0.030705,0.021993,0.025183,0.025183,7617130
2017-07-12,0.025169,0.032169,0.023227,0.030881,0.030881,5178400
2017-07-13,0.031128,0.032033,0.026461,0.028235,0.028235,5187090
2017-07-14,0.028232,0.028247,0.024148,0.025411,0.025411,3055070
2017-07-15,0.025589,0.025589,0.023127,0.023673,0.023673,2668550
2017-07-16,0.023541,0.024538,0.022307,0.023595,0.023595,2339710
2017-07-17,0.023576,0.026497,0.023576,0.026026,0.026026,3764400
2017-07-18,0.026192,0.031742,0.024709,0.028838,0.028838,5126630
2017-07-19,0.029033,0.030413,0.026156,0.026746,0.026746,4366050
2017-07-20,0.026624,0.030268,0.026509,0.029943,0.029943,3753830
2017-07-21,0.030026,0.043083,0.029853,0.038317,0.038317,11944800
2017-07-22,0.038315,0.082812,0.038116,0.082812,0.082812,38566700
2017-07-23,0.084000,0.104052,0.071342,0.084381,0.084381,159816000
2017-07-24,0.084091,0.086962,0.073987,0.076513,0.076513,48405700
2017-07-25,0.076343,0.077533,0.054538,0.059236,0.059236,52165600
2017-07-26,0.058995,0.063107,0.051011,0.059232,0.059232,51832700
2017-07-27,0.059606,0.060955,0.056348,0.058897,0.058897,27039600
2017-07-28,0.058943,0.059565,0.053043,0.054008,0.054008,17827200
2017-07-29,0.054089,0.054566,0.048771,0.053186,0.053186,17077400
2017-07-30,0.053873,0.053976,0.050226,0.050664,0.050664,8438260
2017-07-31,0.050636,0.057317,0.049297,0.054070,0.054070,17412400
2017-08-01,0.054290,0.057061,0.050170,0.055008,0.055008,23845300
2017-08-02,0.055131,0.056956,0.053739,0.054504,0.054504,15754800
2017-08-03,0.054567,0.056025,0.052421,0.055674,0.055674,15695800
2017-08-04,0.056059,0.058469,0.055694,0.057082,0.057082,16038900
2017-08-05,0.056931,0.071180,0.055491,0.065476,0.065476,37828900
2017-08-06,0.065791,0.067813,0.061447,0.061829,0.061829,24237700
2017-08-07,0.061685,0.075956,0.060547,0.071303,0.071303,40894300
2017-08-08,0.070956,0.079600,0.069076,0.072467,0.072467,35787700
2017-08-09,0.072422,0.072753,0.064506,0.065306,0.065306,18237500
2017-08-10,0.065080,0.071657,0.063417,0.065596,0.065596,27412400
2017-08-11,0.065453,0.080925,0.064439,0.078307,0.078307,58822600
2017-08-12,0.078238,0.078238,0.067853,0.068535,0.068535,24574100
2017-08-13,0.068297,0.068297,0.062305,0.063950,0.063950,21679300
2017-08-14,0.063900,0.065662,0.059116,0.061587,0.061587,23224100
2017-08-15,0.061641,0.063317,0.056849,0.060837,0.060837,19850100
2017-08-16,0.060768,0.063110,0.059068,0.059871,0.059871,11186700
2017-08-17,0.059896,0.069432,0.056410,0.061191,0.061191,22798200
2017-08-18,0.060940,0.061991,0.053693,0.054755,0.054755,13896200
2017-08-19,0.054679,0.057560,0.048092,0.055106,0.055106,12062400
2017-08-20,0.054544,0.055908,0.052646,0.055248,0.055248,6738530
2017-08-21,0.054946,0.055899,0.050010,0.051012,0.051012,9409920
2017-08-22,0.051049,0.051142,0.046338,0.050045,0.050045,5745640
2017-08-23,0.049952,0.053124,0.049889,0.051593,0.051593,8995140
2017-08-24,0.051287,0.053213,0.049911,0.052740,0.052740,8706810
2017-08-25,0.052722,0.052963,0.050250,0.050952,0.050952,5922650
2017-08-26,0.050976,0.051474,0.049837,0.050515,0.050515,5512320
2017-08-27,0.050470,0.051533,0.049893,0.051373,0.051373,6815440
2017-08-28,0.051619,0.051891,0.047593,0.048966,0.048966,7486210
2017-08-29,0.048965,0.052673,0.048639,0.049473,0.049473,10873400
2017-08-30,0.049473,0.049827,0.042816,0.046585,0.046585,9555330
2017-08-31,0.047192,0.049791,0.045627,0.048105,0.048105,7463400
2017-09-01,0.048009,0.048507,0.046649,0.047526,0.047526,7175300
2017-09-02,0.047577,0.047675,0.040137,0.041256,0.041256,8260080
2017-09-03,0.041243,0.041978,0.036952,0.039323,0.039323,6755000
2017-09-04,0.039595,0.039595,0.027089,0.029522,0.029522,9710210
2017-09-05,0.029908,0.031868,0.025217,0.031053,0.031053,5825530
2017-09-06,0.031045,0.041750,0.028647,0.040333,0.040333,9953750
2017-09-07,0.039948,0.040021,0.035976,0.037892,0.037892,5490620
2017-09-08,0.037649,0.037649,0.028983,0.030796,0.030796,4653740
2017-09-09,0.030888,0.031715,0.029218,0.031109,0.031109,2524890
2017-09-10,0.030791,0.031601,0.027488,0.029410,0.029410,2373310
2017-09-11,0.029360,0.030102,0.028196,0.028615,0.028615,2069680
2017-09-12,0.028676,0.030761,0.027502,0.028436,0.028436,2734640
2017-09-13,0.028405,0.028545,0.024557,0.026371,0.026371,1880030
2017-09-14,0.026384,0.026983,0.019745,0.019790,0.019790,1721860
2017-09-15,0.019859,0.022864,0.016075,0.021755,0.021755,2521070
2017-09-16,0.021943,0.022606,0.019901,0.021437,0.021437,1879180
2017-09-17,0.021466,0.022337,0.020087,0.021799,0.021799,1746130
2017-09-18,0.021719,0.029291,0.021719,0.029291,0.029291,3417560
2017-09-19,0.029177,0.029177,0.023694,0.024189,0.024189,2937340
2017-09-20,0.024214,0.024908,0.023272,0.023876,0.023876,1865680
2017-09-21,0.023768,0.024468,0.020821,0.021265,0.021265,1304980
2017-09-22,0.021156,0.022058,0.020542,0.021342,0.021342,1173930
2017-09-23,0.021333,0.022855,0.021094,0.022487,0.022487,869073
2017-09-24,0.022445,0.022763,0.021711,0.021889,0.021889,826610
2017-09-25,0.021839,0.023584,0.021687,0.023343,0.023343,781467
2017-09-26,0.023438,0.027928,0.023342,0.027296,0.027296,3457510
2017-09-27,0.027341,0.031716,0.027139,0.029112,0.029112,6734420
2017-09-28,0.029306,0.030202,0.027878,0.028793,0.028793,2452520
2017-09-29,0.028760,0.029207,0.026319,0.027514,0.027514,1392230
2017-09-30,0.027612,0.030873,0.027608,0.030619,0.030619,1101880
2017-10-01,0.030651,0.032855,0.029994,0.031567,0.031567,2076910
2017-10-02,0.031491,0.031589,0.029114,0.029902,0.029902,2272790
2017-10-03,0.030258,0.031116,0.026206,0.027222,0.027222,1966990
2017-10-04,0.027359,0.028062,0.026588,0.027554,0.027554,1452180
2017-10-05,0.027318,0.027944,0.026278,0.027321,0.027321,1362430
2017-10-06,0.027366,0.028738,0.027366,0.028313,0.028313,1178510
2017-10-07,0.028265,0.029151,0.026902,0.027238,0.027238,1041620
2017-10-08,0.027265,0.027417,0.023576,0.024731,0.024731,1529830
2017-10-09,0.024785,0.024816,0.022090,0.022970,0.022970,1822000
2017-10-10,0.022901,0.028860,0.022054,0.023348,0.023348,1741170
2017-10-11,0.023372,0.026700,0.023293,0.026456,0.026456,1307350
2017-10-12,0.026495,0.028187,0.025269,0.026112,0.026112,2200490
2017-10-13,0.026133,0.026884,0.024321,0.024997,0.024997,1702500
2017-10-14,0.024932,0.027287,0.024622,0.026618,0.026618,1030100
2017-10-15,0.026445,0.029672,0.024033,0.029382,0.029382,1748810
2017-10-16,0.029494,0.029789,0.027441,0.028829,0.028829,2145970
2017-10-17,0.028851,0.029080,0.026917,0.027146,0.027146,1521100
2017-10-18,0.027116,0.028935,0.025202,0.028819,0.028819,1658160
2017-10-19,0.028833,0.029112,0.026562,0.027402,0.027402,2075060
2017-10-20,0.027438,0.027918,0.026446,0.026795,0.026795,1425160
2017-10-21,0.026775,0.026820,0.024857,0.025799,0.025799,1511950
2017-10-22,0.025894,0.026583,0.024905,0.025774,0.025774,1432060
2017-10-23,0.025612,0.026747,0.023301,0.025327,0.025327,1781260
2017-10-24,0.025219,0.028666,0.024092,0.026817,0.026817,2305600
2017-10-25,0.026684,0.028416,0.025413,0.028362,0.028362,2677510
2017-10-26,0.028444,0.029689,0.027967,0.029673,0.029673,2524840
2017-10-27,0.029696,0.035528,0.029696,0.033832,0.033832,4504730
2017-10-28,0.034120,0.040257,0.033647,0.036815,0.036815,5564870
2017-10-29,0.036921,0.038941,0.034615,0.037485,0.037485,4638100
2017-10-30,0.037647,0.038575,0.036098,0.037637,0.037637,2666950
