Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,0.642902,1.065380,0.642902,0.877681,0.877681,28819
2016-04-19,0.877911,0.952174,0.685950,0.766538,0.766538,27954
2016-04-20,0.766135,0.969628,0.707862,0.832998,0.832998,29097
2016-04-21,0.833049,0.833049,0.617698,0.678366,0.678366,44460
2016-04-22,0.678877,0.712265,0.395063,0.445541,0.445541,40301
2016-04-23,0.445658,0.645597,0.445658,0.627526,0.627526,16738
2016-04-24,0.572256,0.655271,0.502921,0.563835,0.563835,11907
2016-04-25,0.564540,0.565074,0.340077,0.369118,0.369118,14376
2016-04-26,0.369367,0.461324,0.336497,0.374183,0.374183,13068
2016-04-27,0.374307,0.599489,0.351378,0.416198,0.416198,12008
2016-04-28,0.430880,0.514693,0.407969,0.449965,0.449965,7232
2016-04-29,0.450283,0.465986,0.389675,0.432963,0.432963,10592
2016-04-30,0.433501,0.468101,0.405139,0.419174,0.419174,3152
2016-05-01,0.419234,0.500108,0.402990,0.465980,0.465980,6398
2016-05-02,0.466055,0.491174,0.390714,0.402849,0.402849,20117
2016-05-03,0.402930,0.530654,0.402896,0.443710,0.443710,13657
2016-05-04,0.443663,0.455290,0.419155,0.421578,0.421578,4004
2016-05-05,0.421569,0.447833,0.363310,0.385345,0.385345,8409
2016-05-06,0.385313,0.415000,0.300293,0.354715,0.354715,18946
2016-05-07,0.354537,0.362611,0.307018,0.309534,0.309534,5602
2016-05-08,0.309497,0.336382,0.302064,0.310248,0.310248,3743
2016-05-09,0.310065,0.315774,0.245388,0.258957,0.258957,4151
2016-05-10,0.258959,0.269197,0.229942,0.255622,0.255622,4881
2016-05-11,0.255641,0.340802,0.237277,0.252230,0.252230,1383
2016-05-12,0.252159,0.269968,0.233182,0.264839,0.264839,2546
2016-05-13,0.264899,0.476388,0.264899,0.341788,0.341788,18320
2016-05-14,0.345495,0.385198,0.310701,0.375596,0.375596,2308
2016-05-15,0.375679,0.390704,0.332301,0.374065,0.374065,577
2016-05-16,0.374200,0.401270,0.341220,0.342774,0.342774,823
2016-05-17,0.342727,0.384343,0.338889,0.382058,0.382058,735
2016-05-18,0.382281,0.382281,0.318782,0.343168,0.343168,1927
2016-05-19,0.343356,0.365729,0.286867,0.347690,0.347690,2199
2016-05-20,0.346960,0.433004,0.332968,0.422897,0.422897,4043
2016-05-21,0.422913,0.456625,0.373537,0.420440,0.420440,4765
2016-05-22,0.445715,0.521956,0.428027,0.428027,0.428027,9038
2016-05-23,0.428570,0.488079,0.428570,0.444433,0.444433,2843
2016-05-24,0.444565,0.536260,0.429608,0.530240,0.530240,15787
2016-05-25,0.534247,0.581552,0.457058,0.565619,0.565619,4858
2016-05-26,0.565820,0.767267,0.498594,0.734062,0.734062,20382
2016-05-27,0.734074,0.736555,0.342864,0.514634,0.514634,19459
2016-05-28,0.514226,0.555377,0.448627,0.484494,0.484494,3547
2016-05-29,0.482347,0.512538,0.444560,0.450608,0.450608,2714
2016-05-30,0.452462,0.504110,0.444284,0.444284,0.444284,2944
2016-05-31,0.443893,0.508477,0.377707,0.425338,0.425338,12366
2016-06-01,0.425098,0.428482,0.386890,0.417857,0.417857,3057
2016-06-02,0.417316,0.420286,0.386003,0.406103,0.406103,1611
2016-06-03,0.405808,0.425632,0.365412,0.366594,0.366594,5466
2016-06-04,0.369022,0.432768,0.364243,0.424029,0.424029,6335
2016-06-05,0.424669,0.425734,0.339081,0.369761,0.369761,5815
2016-06-06,0.369551,0.385200,0.339623,0.385065,0.385065,3058
2016-06-07,0.385066,0.387278,0.306079,0.340678,0.340678,2662
2016-06-08,0.341024,0.517040,0.290535,0.369452,0.369452,8419
2016-06-09,0.369780,0.406699,0.324058,0.390428,0.390428,6334
2016-06-10,0.391214,0.414148,0.366628,0.370404,0.370404,7056
2016-06-11,0.371175,0.404918,0.345377,0.381708,0.381708,2589
2016-06-12,0.383480,0.419162,0.373625,0.376407,0.376407,5806
2016-06-13,0.375797,0.446442,0.371781,0.387242,0.387242,4608
2016-06-14,0.387306,0.396964,0.376840,0.380367,0.380367,2085
2016-06-15,0.381112,0.405612,0.349607,0.350005,0.350005,3459
2016-06-16,0.351744,0.435857,0.351744,0.404713,0.404713,4504
2016-06-17,0.405581,0.445811,0.279405,0.311305,0.311305,11844
2016-06-18,0.311079,0.327469,0.278814,0.303056,0.303056,764
2016-06-19,0.303332,0.339543,0.282141,0.335555,0.335555,3844
2016-06-20,0.335788,0.335788,0.239225,0.304109,0.304109,3416
2016-06-21,0.303419,0.303419,0.223794,0.223794,0.223794,3362
2016-06-22,0.204185,0.285018,0.191699,0.207594,0.207594,1828
2016-06-23,0.212338,0.284257,0.210550,0.282800,0.282800,6362
2016-06-24,0.283471,0.291077,0.241083,0.242289,0.242289,4239
2016-06-25,0.234966,0.276025,0.207810,0.226911,0.226911,5090
2016-06-26,0.227149,0.254460,0.197672,0.197860,0.197860,4334
2016-06-27,0.197915,0.237976,0.193811,0.206546,0.206546,2214
2016-06-28,0.207378,0.243523,0.205345,0.234085,0.234085,5700
2016-06-29,0.233446,0.273600,0.213992,0.229878,0.229878,2240
2016-06-30,0.229597,0.278549,0.229597,0.273518,0.273518,4997
2016-07-01,0.273169,0.273188,0.205356,0.205448,0.205448,6191
2016-07-02,0.204875,0.235075,0.200936,0.219718,0.219718,6802
2016-07-03,0.220002,0.240642,0.182036,0.235570,0.235570,13492
2016-07-04,0.236015,0.357351,0.221633,0.240103,0.240103,27477
2016-07-05,0.239643,0.254760,0.221280,0.251497,0.251497,13621
2016-07-06,0.241239,0.254333,0.232268,0.253098,0.253098,7716
2016-07-07,0.253167,0.378180,0.230541,0.299868,0.299868,42258
2016-07-08,0.300143,0.359037,0.255134,0.324707,0.324707,21950
2016-07-09,0.324527,0.584774,0.323116,0.546358,0.546358,49506
2016-07-10,0.533428,0.776451,0.533428,0.557304,0.557304,141994
2016-07-11,0.557299,0.968643,0.552609,0.962629,0.962629,158519
2016-07-12,0.985028,2.748000,0.941051,2.748000,2.748000,908656
2016-07-13,2.643990,4.926360,2.187230,4.058230,4.058230,1938650
2016-07-14,4.115280,4.540940,3.365440,3.706540,3.706540,1876740
2016-07-15,3.761030,4.247500,3.039060,3.219430,3.219430,979248
2016-07-16,3.219680,3.843170,2.671800,3.245730,3.245730,879048
2016-07-17,3.238770,3.640820,2.925010,3.276210,3.276210,622397
2016-07-18,3.279560,3.319890,2.491770,2.534870,2.534870,1131470
2016-07-19,2.532210,4.585170,2.455640,4.284470,4.284470,3642210
2016-07-20,4.297670,4.627390,3.728650,3.941930,3.941930,1595060
2016-07-21,3.941870,3.944540,3.365950,3.446440,3.446440,849505
2016-07-22,3.440830,3.530590,3.189120,3.352800,3.352800,914603
2016-07-23,3.388900,3.902270,3.336960,3.783540,3.783540,908794
2016-07-24,3.807760,3.813130,3.450530,3.498260,3.498260,418707
2016-07-25,3.497500,3.544370,2.991800,3.306080,3.306080,619883
2016-07-26,3.346880,3.346880,2.741160,2.805000,2.805000,699366
2016-07-27,2.798290,2.917110,2.643900,2.770600,2.770600,448176
2016-07-28,2.771770,2.862310,2.667270,2.673430,2.673430,273779
2016-07-29,2.666370,2.670300,2.174170,2.192820,2.192820,550348
2016-07-30,2.170270,2.578790,2.157250,2.423120,2.423120,471240
2016-07-31,2.459670,2.570840,2.200320,2.306080,2.306080,419088
2016-08-01,2.306570,2.402110,2.076690,2.076700,2.076700,351990
2016-08-02,2.171470,2.694330,1.934810,2.066230,2.066230,1315190
2016-08-03,2.067150,2.228630,2.006950,2.092650,2.092650,296707
2016-08-04,2.092930,2.206300,2.013640,2.064360,2.064360,213422
2016-08-05,2.064440,2.134900,1.986460,2.088990,2.088990,236386
2016-08-06,2.066860,2.091700,1.985470,2.044740,2.044740,205746
2016-08-07,2.044750,2.331450,1.919110,2.115630,2.115630,409223
2016-08-08,2.093750,2.194630,1.972570,2.012750,2.012750,254909
2016-08-09,2.000460,2.036050,1.774360,1.802930,1.802930,399471
2016-08-10,1.801890,1.867700,1.507310,1.547880,1.547880,330841
2016-08-11,1.592890,1.675710,1.479380,1.486020,1.486020,299620
2016-08-12,1.484790,1.589250,1.335460,1.404520,1.404520,357417
2016-08-13,1.415460,1.639230,1.364760,1.589850,1.589850,342685
2016-08-14,1.594490,1.627090,1.448460,1.468610,1.468610,175338
2016-08-15,1.456030,1.538020,1.432360,1.473530,1.473530,215974
2016-08-16,1.480970,1.517570,1.370380,1.388850,1.388850,218341
2016-08-17,1.389050,1.760710,1.375400,1.554070,1.554070,533559
2016-08-18,1.551310,1.581760,1.444280,1.491260,1.491260,215321
2016-08-19,1.491590,1.560440,1.413530,1.483420,1.483420,254769
2016-08-20,1.483200,1.484360,1.421150,1.438100,1.438100,129005
2016-08-21,1.438080,1.497720,1.394220,1.419510,1.419510,199210
2016-08-22,1.419960,1.436430,1.318420,1.331630,1.331630,202850
2016-08-23,1.330910,1.334440,1.113720,1.156940,1.156940,277370
2016-08-24,1.165700,1.185590,1.061570,1.129260,1.129260,187072
2016-08-25,1.115200,1.126490,0.975300,0.975300,0.975300,241623
2016-08-26,0.978825,1.019810,0.911641,0.930036,0.930036,279220
2016-08-27,0.925003,0.957126,0.835803,0.867134,0.867134,199784
2016-08-28,0.866114,0.877229,0.774730,0.784111,0.784111,148232
2016-08-29,0.784101,1.203160,0.707396,1.058540,1.058540,639514
2016-08-30,1.058790,1.154690,0.838707,0.936955,0.936955,372159
2016-08-31,0.953864,0.996726,0.883518,0.910217,0.910217,145839
2016-09-01,0.910429,0.919683,0.756310,0.814077,0.814077,189554
2016-09-02,0.795169,0.905554,0.779359,0.822189,0.822189,222109
2016-09-03,0.826087,0.878490,0.803517,0.823506,0.823506,149084
2016-09-04,0.824320,0.843905,0.776708,0.823902,0.823902,80505
2016-09-05,0.821946,0.843402,0.782737,0.806667,0.806667,66017
2016-09-06,0.803762,0.811644,0.763534,0.779240,0.779240,95706
2016-09-07,0.776917,0.785954,0.733523,0.739936,0.739936,76221
2016-09-08,0.753328,0.753328,0.597187,0.634152,0.634152,269531
2016-09-09,0.655849,0.684138,0.568913,0.640861,0.640861,161081
2016-09-10,0.652902,0.739087,0.639758,0.717760,0.717760,176959
2016-09-11,0.723441,0.737896,0.631454,0.641134,0.641134,108111
2016-09-12,0.644521,0.679461,0.625251,0.630221,0.630221,109583
2016-09-13,0.640697,0.653845,0.575210,0.590609,0.590609,142889
2016-09-14,0.588285,0.602592,0.569186,0.573209,0.573209,110774
2016-09-15,0.573152,0.577472,0.502674,0.509801,0.509801,147506
2016-09-16,0.504338,0.521154,0.479712,0.514227,0.514227,140183
2016-09-17,0.521263,0.590611,0.511579,0.528477,0.528477,193887
2016-09-18,0.528512,0.557185,0.520520,0.523530,0.523530,78569
2016-09-19,0.521045,0.521206,0.467856,0.478526,0.478526,107048
2016-09-20,0.478552,0.486127,0.429465,0.450762,0.450762,128172
2016-09-21,0.443245,0.443908,0.405142,0.418853,0.418853,90397
2016-09-22,0.418813,0.553863,0.411510,0.485323,0.485323,448410
