Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,0.013826,0.013896,0.009226,0.011175,0.011175,48503
2016-08-13,0.011172,0.016318,0.008483,0.014406,0.014406,156217
2016-08-14,0.014406,0.033588,0.013431,0.023960,0.023960,603562
2016-08-15,0.024023,0.027224,0.019404,0.024510,0.024510,221564
2016-08-16,0.023893,0.031045,0.022763,0.028699,0.028699,218752
2016-08-17,0.028310,0.030283,0.024678,0.027411,0.027411,153193
2016-08-18,0.027360,0.027938,0.020850,0.023990,0.023990,121468
2016-08-19,0.024680,0.024977,0.019230,0.020717,0.020717,68361
2016-08-20,0.020733,0.022651,0.019495,0.020357,0.020357,36073
2016-08-21,0.020540,0.021267,0.019723,0.020555,0.020555,17146
2016-08-22,0.020654,0.023463,0.020379,0.021984,0.021984,40105
2016-08-23,0.021985,0.023075,0.019797,0.022228,0.022228,117115
2016-08-24,0.022227,0.022234,0.020301,0.020950,0.020950,26100
2016-08-25,0.020950,0.021053,0.016874,0.018488,0.018488,35593
2016-08-26,0.018488,0.024320,0.018065,0.021864,0.021864,50463
2016-08-27,0.022749,0.027014,0.021072,0.023836,0.023836,78506
2016-08-28,0.023380,0.025276,0.020146,0.021103,0.021103,52311
2016-08-29,0.021109,0.023414,0.020138,0.021121,0.021121,37867
2016-08-30,0.021179,0.021537,0.020227,0.020242,0.020242,13574
2016-08-31,0.020245,0.022638,0.020113,0.021287,0.021287,24222
2016-09-01,0.021289,0.022687,0.020624,0.022091,0.022091,16398
2016-09-02,0.022095,0.024800,0.021984,0.023228,0.023228,21842
2016-09-03,0.023228,0.023769,0.021618,0.023516,0.023516,32278
2016-09-04,0.023531,0.024157,0.021402,0.022118,0.022118,26275
2016-09-05,0.022131,0.023627,0.021879,0.022383,0.022383,11452
2016-09-06,0.022380,0.025613,0.021904,0.024576,0.024576,33508
2016-09-07,0.024582,0.028025,0.024499,0.027648,0.027648,45574
2016-09-08,0.027652,0.028287,0.025115,0.026794,0.026794,24367
2016-09-09,0.026056,0.031066,0.025896,0.030533,0.030533,41129
2016-09-10,0.030536,0.047915,0.029899,0.047915,0.047915,210228
2016-09-11,0.049149,0.049802,0.036248,0.037784,0.037784,278851
2016-09-12,0.037712,0.038903,0.032017,0.034791,0.034791,138431
2016-09-13,0.034791,0.038141,0.032370,0.036959,0.036959,78786
2016-09-14,0.036929,0.038508,0.034827,0.037704,0.037704,73879
2016-09-15,0.036819,0.040551,0.035347,0.038852,0.038852,96253
2016-09-16,0.038858,0.038858,0.033921,0.034574,0.034574,57652
2016-09-17,0.034539,0.034655,0.030457,0.033547,0.033547,59863
2016-09-18,0.033564,0.037033,0.033278,0.036501,0.036501,39581
2016-09-19,0.037056,0.037067,0.034049,0.034050,0.034050,29679
2016-09-20,0.034051,0.038303,0.034051,0.036401,0.036401,48812
2016-09-21,0.036143,0.036520,0.034140,0.034957,0.034957,26078
2016-09-22,0.034965,0.035763,0.034068,0.034466,0.034466,7080
2016-09-23,0.034460,0.037279,0.034141,0.035526,0.035526,23416
2016-09-24,0.035533,0.040052,0.034995,0.038854,0.038854,44924
2016-09-25,0.038845,0.039994,0.036097,0.036110,0.036110,41029
2016-09-26,0.036109,0.037862,0.034833,0.035266,0.035266,32992
2016-09-27,0.035266,0.036093,0.033364,0.034811,0.034811,31589
2016-09-28,0.034816,0.034827,0.030868,0.032441,0.032441,25847
2016-09-29,0.032453,0.033363,0.028615,0.029073,0.029073,46506
2016-09-30,0.029079,0.030899,0.028479,0.029636,0.029636,42890
2016-10-01,0.029795,0.034331,0.028851,0.031822,0.031822,27619
2016-10-02,0.030894,0.034218,0.030783,0.031769,0.031769,16958
2016-10-03,0.031801,0.032200,0.028137,0.031855,0.031855,40970
2016-10-04,0.031851,0.032369,0.027879,0.027891,0.027891,36755
2016-10-05,0.027893,0.030338,0.027594,0.028109,0.028109,21162
2016-10-06,0.028108,0.029620,0.027624,0.028928,0.028928,14752
2016-10-07,0.028909,0.032492,0.027565,0.030634,0.030634,18575
2016-10-08,0.030651,0.031189,0.028742,0.030303,0.030303,10688
2016-10-09,0.030308,0.033976,0.028456,0.030178,0.030178,29881
2016-10-10,0.030178,0.032944,0.029584,0.032182,0.032182,18675
2016-10-11,0.032194,0.038164,0.031069,0.037798,0.037798,38473
2016-10-12,0.037798,0.039578,0.034998,0.035035,0.035035,49766
2016-10-13,0.035026,0.036879,0.033038,0.033419,0.033419,9544
2016-10-14,0.033425,0.038430,0.033203,0.038391,0.038391,22777
2016-10-15,0.038391,0.040179,0.037017,0.037600,0.037600,47180
2016-10-16,0.037610,0.039016,0.037610,0.038426,0.038426,15717
2016-10-17,0.038440,0.038524,0.034003,0.035226,0.035226,22526
2016-10-18,0.035276,0.037505,0.033850,0.035577,0.035577,19354
2016-10-19,0.035589,0.038309,0.035585,0.036885,0.036885,28046
2016-10-20,0.036894,0.037520,0.035414,0.035840,0.035840,9320
2016-10-21,0.035833,0.037749,0.035397,0.037486,0.037486,10909
2016-10-22,0.037482,0.040215,0.037482,0.038162,0.038162,50888
2016-10-23,0.038181,0.040111,0.037535,0.039260,0.039260,16980
2016-10-24,0.039265,0.040592,0.037878,0.039226,0.039226,9211
2016-10-25,0.039240,0.042082,0.038904,0.039468,0.039468,23321
2016-10-26,0.039474,0.047481,0.039474,0.045100,0.045100,73019
2016-10-27,0.045094,0.051849,0.044375,0.051045,0.051045,84386
2016-10-28,0.051073,0.058702,0.048811,0.054974,0.054974,104674
2016-10-29,0.054590,0.062648,0.051969,0.056596,0.056596,128646
2016-10-30,0.055801,0.055801,0.050531,0.052163,0.052163,53043
2016-10-31,0.052163,0.053720,0.050174,0.051525,0.051525,16826
2016-11-01,0.051521,0.061279,0.050725,0.055675,0.055675,69859
2016-11-02,0.055034,0.056684,0.052377,0.054034,0.054034,23890
2016-11-03,0.054162,0.055480,0.046454,0.048739,0.048739,27732
2016-11-04,0.048739,0.055305,0.047591,0.051577,0.051577,16437
2016-11-05,0.051568,0.053306,0.049877,0.052485,0.052485,11691
2016-11-06,0.052511,0.053348,0.050621,0.052001,0.052001,9367
2016-11-07,0.051962,0.069757,0.051333,0.059499,0.059499,60853
2016-11-08,0.059766,0.076316,0.059766,0.069018,0.069018,141259
2016-11-09,0.069555,0.073167,0.062965,0.064787,0.064787,77509
2016-11-10,0.064760,0.071325,0.064682,0.067969,0.067969,24676
2016-11-11,0.066275,0.093214,0.066275,0.087435,0.087435,129763
2016-11-12,0.087434,0.087524,0.085924,0.086053,0.086053,127701
2016-11-13,0.086051,0.086069,0.083908,0.085690,0.085690,127159
2016-11-14,0.085683,0.112875,0.085412,0.107251,0.107251,135816
2016-11-15,0.105744,0.119433,0.092993,0.106690,0.106690,212095
2016-11-16,0.106690,0.109113,0.074242,0.096157,0.096157,222205
2016-11-17,0.096150,0.096238,0.078355,0.084937,0.084937,79322
2016-11-18,0.084894,0.108019,0.081205,0.086462,0.086462,93817
2016-11-19,0.086440,0.094613,0.064243,0.079627,0.079627,226155
2016-11-20,0.079641,0.088312,0.067347,0.075914,0.075914,52089
2016-11-21,0.075917,0.076939,0.065562,0.069432,0.069432,64281
2016-11-22,0.069342,0.070790,0.059860,0.066165,0.066165,59686
2016-11-23,0.067967,0.068013,0.063006,0.065426,0.065426,19202
2016-11-24,0.065427,0.069716,0.063940,0.068121,0.068121,19374
2016-11-25,0.068107,0.068845,0.064861,0.067294,0.067294,12792
