Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,0.501384,0.565504,0.483360,0.524544,0.524544,14583796
2020-11-11,0.524561,0.547403,0.497549,0.513035,0.513035,3204335
2020-11-12,0.513126,0.532189,0.482122,0.490720,0.490720,2463865
2020-11-13,0.490677,0.521571,0.488897,0.498345,0.498345,1782387
2020-11-14,0.498458,0.498482,0.486658,0.491637,0.491637,1830482
2020-11-15,0.491491,0.492662,0.486976,0.490386,0.490386,1766181
2020-11-16,0.490385,0.500117,0.485508,0.486220,0.486220,782926
2020-11-17,0.486749,0.491258,0.486329,0.491169,0.491169,768011
2020-11-18,0.491172,0.492265,0.488379,0.490646,0.490646,765521
2020-11-19,0.490653,0.490806,0.394974,0.408807,0.408807,2014061
2020-11-20,0.408802,0.414783,0.392590,0.401847,0.401847,854426
2020-11-21,0.401839,0.412471,0.386115,0.389943,0.389943,981134
2020-11-22,0.389946,0.409407,0.377257,0.382634,0.382634,648061
2020-11-23,0.382619,0.411934,0.382318,0.408562,0.408562,899643
2020-11-24,0.407115,0.548224,0.403392,0.521308,0.521308,13785175
2020-11-25,0.522065,0.829760,0.522065,0.625052,0.625052,61613265
2020-11-26,0.628379,0.679698,0.461099,0.576645,0.576645,11215469
2020-11-27,0.576912,0.752432,0.576912,0.691996,0.691996,16164282
2020-11-28,0.692647,0.777436,0.644152,0.652353,0.652353,1929463
2020-11-29,0.657624,0.690747,0.642146,0.659498,0.659498,1781199
2020-11-30,0.658982,0.666427,0.618585,0.638468,0.638468,1494042
2020-12-01,0.637083,0.637757,0.565689,0.599254,0.599254,1795875
2020-12-02,0.599240,0.640913,0.587698,0.610598,0.610598,1857493
2020-12-03,0.611209,0.615031,0.581701,0.589528,0.589528,2313331
2020-12-04,0.589595,0.599310,0.520591,0.522687,0.522687,932007
2020-12-05,0.522062,0.563346,0.521123,0.548942,0.548942,945100
2020-12-06,0.550777,0.555979,0.525211,0.537129,0.537129,664420
2020-12-07,0.537159,0.676214,0.536798,0.622576,0.622576,5476257
2020-12-08,0.625380,0.643569,0.545414,0.563748,0.563748,2979833
2020-12-09,0.563915,0.586843,0.532187,0.580449,0.580449,2025856
2020-12-10,0.581080,0.581532,0.531792,0.540228,0.540228,1478929
2020-12-11,0.540089,0.540089,0.501552,0.526756,0.526756,877143
2020-12-12,0.526598,0.549649,0.526479,0.538443,0.538443,1840482
2020-12-13,0.538540,0.598734,0.533074,0.575852,0.575852,1053144
2020-12-14,0.575774,0.575818,0.545391,0.564950,0.564950,403965
2020-12-15,0.564927,0.573224,0.551337,0.569210,0.569210,1792166
2020-12-16,0.570113,0.612181,0.549968,0.595087,0.595087,2864595
2020-12-17,0.595130,0.624593,0.564930,0.565058,0.565058,2175674
2020-12-18,0.564952,0.611833,0.560669,0.578044,0.578044,1142896
2020-12-19,0.577507,0.617144,0.577507,0.609465,0.609465,2634502
2020-12-20,0.607434,0.608904,0.548253,0.559630,0.559630,1130883
2020-12-21,0.559054,0.624804,0.491975,0.538534,0.538534,2799095
2020-12-22,0.537912,0.545993,0.500001,0.524074,0.524074,861666
2020-12-23,0.524044,0.549801,0.450754,0.459710,0.459710,1514594
2020-12-24,0.459527,0.573743,0.429302,0.505024,0.505024,2620011
2020-12-25,0.504794,0.520542,0.472367,0.486928,0.486928,2676777
2020-12-26,0.486866,0.504367,0.473220,0.483196,0.483196,818220
2020-12-27,0.483263,0.495679,0.455722,0.485065,0.485065,1197481
2020-12-28,0.484731,0.504268,0.474110,0.483781,0.483781,859588
2020-12-29,0.485088,0.486472,0.461330,0.466927,0.466927,755117
