Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.001152,0.001310,0.001130,0.001280,0.001280,7098
2014-09-18,0.001279,0.001529,0.001272,0.001477,0.001477,12900
2014-09-19,0.001476,0.001904,0.001420,0.001556,0.001556,14970
2014-09-20,0.001555,0.001677,0.001478,0.001609,0.001609,7919
2014-09-21,0.001597,0.001602,0.001323,0.001338,0.001338,5688
2014-09-22,0.001346,0.001457,0.001227,0.001260,0.001260,5384
2014-09-23,0.001287,0.001557,0.001244,0.001502,0.001502,4514
2014-09-24,0.001501,0.001685,0.001434,0.001662,0.001662,6310
2014-09-25,0.001661,0.001661,0.001480,0.001593,0.001593,6429
2014-09-26,0.001609,0.001609,0.001434,0.001514,0.001514,3182
2014-09-27,0.001510,0.001582,0.001448,0.001562,0.001562,4071
2014-09-28,0.001563,0.001638,0.001370,0.001372,0.001372,4571
2014-09-29,0.001371,0.001478,0.001344,0.001424,0.001424,6562
2014-09-30,0.001394,0.001539,0.001350,0.001493,0.001493,9190
2014-10-01,0.001495,0.001547,0.001418,0.001457,0.001457,2770
2014-10-02,0.001451,0.001495,0.001373,0.001401,0.001401,5861
2014-10-03,0.001401,0.001465,0.001324,0.001331,0.001331,2723
2014-10-04,0.001330,0.001365,0.001083,0.001103,0.001103,4599
2014-10-05,0.001103,0.001219,0.000978,0.001189,0.001189,1587
2014-10-06,0.001189,0.001210,0.001023,0.001097,0.001097,3188
2014-10-07,0.001083,0.001179,0.001053,0.001152,0.001152,3097
2014-10-08,0.001152,0.001168,0.001053,0.001124,0.001124,2714
2014-10-09,0.001123,0.001174,0.000862,0.001078,0.001078,4008
2014-10-10,0.001077,0.001145,0.001008,0.001060,0.001060,1285
2014-10-11,0.001059,0.001141,0.001047,0.001086,0.001086,1024
2014-10-12,0.001087,0.001136,0.001024,0.001102,0.001102,1422
2014-10-13,0.001100,0.001100,0.000866,0.000970,0.000970,4223
2014-10-14,0.000973,0.001439,0.000917,0.000981,0.000981,4986
