Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.002047,0.002128,0.001996,0.002086,0.002086,624597
2020-05-08,0.002086,0.002285,0.002024,0.002266,0.002266,652461
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.002320,0.002747,0.002270,0.002668,0.002668,1743113
2020-05-17,0.002679,0.002731,0.002523,0.002525,0.002525,681400
2020-05-18,0.002520,0.002592,0.002480,0.002519,0.002519,611635
2020-05-19,0.002521,0.002934,0.002451,0.002917,0.002917,1831117
2020-05-20,0.002916,0.004036,0.002755,0.003922,0.003922,6223387
2020-05-21,0.003922,0.009129,0.003874,0.007444,0.007444,144910993
2020-05-22,0.007488,0.007551,0.005965,0.006592,0.006592,27530033
2020-05-23,0.006626,0.009105,0.006237,0.009105,0.009105,39827961
2020-05-24,0.008991,0.023661,0.008991,0.017907,0.017907,367461259
2020-05-25,0.018061,0.022235,0.014500,0.015987,0.015987,184912571
2020-05-26,0.015997,0.018445,0.013698,0.013859,0.013859,79130249
2020-05-27,0.013859,0.016772,0.010182,0.010780,0.010780,75390691
2020-05-28,0.010701,0.011651,0.008592,0.008592,0.008592,45531696
2020-05-29,0.008606,0.011787,0.008394,0.010385,0.010385,100377246
2020-05-30,0.010421,0.011003,0.009610,0.009835,0.009835,41934368
2020-05-31,0.009841,0.009934,0.008348,0.008457,0.008457,22037699
2020-06-01,0.008460,0.009795,0.008460,0.008917,0.008917,26091038
2020-06-02,0.008882,0.009188,0.008159,0.008469,0.008469,17045916
2020-06-03,0.008469,0.008929,0.008138,0.008680,0.008680,16126553
2020-06-04,0.008655,0.009044,0.008457,0.008623,0.008623,13052362
2020-06-05,0.008623,0.008906,0.008331,0.008381,0.008381,8244443
2020-06-06,0.008381,0.008459,0.008179,0.008274,0.008274,4507413
2020-06-07,0.008274,0.008473,0.007730,0.008024,0.008024,10599879
2020-06-08,0.008028,0.008160,0.007704,0.007738,0.007738,4599474
2020-06-09,0.007735,0.007735,0.007244,0.007357,0.007357,9056869
2020-06-10,0.007365,0.007388,0.006824,0.007014,0.007014,8772211
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.011548,0.011559,0.009728,0.010145,0.010145,46562279
2020-06-15,0.010145,0.010661,0.008591,0.010181,0.010181,45527254
2020-06-16,0.010191,0.010559,0.009580,0.009841,0.009841,22507838
2020-06-17,0.009868,0.009884,0.009152,0.009330,0.009330,14489942
2020-06-18,0.009331,0.009469,0.008601,0.008909,0.008909,14866025
2020-06-19,0.008886,0.010600,0.008886,0.009664,0.009664,49217172
2020-06-20,null,null,null,null,null,null
2020-06-21,0.009346,0.009573,0.009261,0.009273,0.009273,10026043
2020-06-22,null,null,null,null,null,null
2020-06-23,0.009377,0.009859,0.009327,0.009832,0.009832,10572105
2020-06-24,0.009863,0.010325,0.009064,0.009237,0.009237,13817214
2020-06-25,0.009217,0.009274,0.008713,0.008994,0.008994,6505729
2020-06-26,0.008994,0.009076,0.008615,0.008808,0.008808,6423413
2020-06-27,null,null,null,null,null,null
2020-06-28,0.008180,0.008603,0.008159,0.008563,0.008563,5933754
2020-06-29,0.008558,0.008662,0.008074,0.008397,0.008397,5027428
2020-06-30,0.008381,0.008414,0.008140,0.008184,0.008184,2796270
2020-07-01,0.008187,0.008320,0.007990,0.008211,0.008211,3297594
2020-07-02,0.008210,0.008894,0.008121,0.008604,0.008604,11379749
2020-07-03,0.008631,0.008671,0.008158,0.008183,0.008183,3504400
2020-07-04,0.008205,0.008283,0.008110,0.008230,0.008230,2621899
2020-07-05,0.008222,0.008301,0.007974,0.008066,0.008066,2991292
2020-07-06,0.008066,0.008853,0.008020,0.008606,0.008606,8004001
2020-07-07,0.008612,0.008872,0.008450,0.008809,0.008809,10237612
2020-07-08,0.008833,0.009084,0.008708,0.008859,0.008859,10328637
2020-07-09,0.008862,0.008895,0.008371,0.008525,0.008525,5484552
2020-07-10,0.008540,0.008542,0.008230,0.008403,0.008403,3147560
2020-07-11,0.008400,0.008643,0.008374,0.008519,0.008519,3445540
2020-07-12,0.008520,0.010007,0.008498,0.009554,0.009554,25690777
2020-07-13,0.009554,0.009591,0.008545,0.008676,0.008676,8205081
2020-07-14,0.008676,0.008771,0.008406,0.008599,0.008599,4321678
2020-07-15,0.008596,0.008735,0.008419,0.008581,0.008581,2418306
2020-07-16,0.008581,0.008789,0.008010,0.008304,0.008304,3875176
2020-07-17,0.008313,0.008563,0.008265,0.008454,0.008454,1648221
2020-07-18,0.008498,0.008542,0.008322,0.008398,0.008398,1802014
2020-07-19,0.008414,0.008466,0.008268,0.008341,0.008341,1250013
2020-07-20,0.008346,0.008396,0.008250,0.008283,0.008283,2004427
2020-07-21,0.008299,0.008459,0.008249,0.008380,0.008380,2359045
2020-07-22,0.008365,0.008870,0.008307,0.008710,0.008710,5727854
2020-07-23,0.008710,0.008778,0.008226,0.008425,0.008425,3216609
2020-07-24,0.008425,0.008529,0.008089,0.008132,0.008132,2624204
2020-07-25,0.008134,0.008426,0.008134,0.008265,0.008265,2652803
2020-07-26,0.008298,0.008298,0.008020,0.008161,0.008161,2447100
2020-07-27,0.008160,0.008278,0.007372,0.007806,0.007806,4922595
2020-07-28,0.007833,0.008404,0.007668,0.008240,0.008240,5402722
2020-07-29,0.008277,0.008650,0.008013,0.008257,0.008257,5774427
2020-07-30,0.008257,0.008303,0.008025,0.008146,0.008146,3070776
2020-07-31,0.008147,0.008595,0.008111,0.008294,0.008294,5321127
2020-08-01,0.008294,0.009092,0.008198,0.008817,0.008817,11356810
2020-08-02,0.008846,0.009466,0.008222,0.008309,0.008309,10963380
2020-08-03,0.008310,0.008737,0.008215,0.008585,0.008585,4580218
2020-08-04,0.008585,0.009410,0.008531,0.009151,0.009151,11038698
2020-08-05,0.009155,0.009741,0.008789,0.008942,0.008942,11841075
2020-08-06,0.008942,0.009072,0.008690,0.008869,0.008869,4875665
2020-08-07,0.008869,0.009071,0.008486,0.008768,0.008768,5487973
2020-08-08,0.008772,0.009079,0.008629,0.008985,0.008985,3840665
2020-08-09,0.009076,0.009122,0.008615,0.008818,0.008818,6389763
2020-08-10,0.008818,0.009478,0.008601,0.009321,0.009321,14266051
2020-08-11,0.009330,0.009673,0.008717,0.009041,0.009041,8805021
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.009330,0.009584,0.009171,0.009439,0.009439,4772137
2020-08-17,0.009439,0.009668,0.009127,0.009528,0.009528,6280604
2020-08-18,0.009511,0.010799,0.009229,0.010036,0.010036,19684521
2020-08-19,0.010048,0.010508,0.009289,0.009610,0.009610,10856089
2020-08-20,0.009610,0.010230,0.009304,0.010230,0.010230,8843504
2020-08-21,0.010283,0.012652,0.010071,0.010782,0.010782,39098117
2020-08-22,0.010780,0.011777,0.010089,0.011069,0.011069,17601355
2020-08-23,0.011095,0.011968,0.010887,0.011785,0.011785,13685234
2020-08-24,0.011803,0.015229,0.011605,0.013728,0.013728,50488828
2020-08-25,0.013763,0.014086,0.011763,0.012414,0.012414,26093883
2020-08-26,0.012372,0.012984,0.011414,0.011780,0.011780,13097551
2020-08-27,0.011788,0.011896,0.010256,0.010565,0.010565,12373474
2020-08-28,0.010566,0.011567,0.010214,0.011079,0.011079,9091838
2020-08-29,0.011078,0.011645,0.010631,0.011231,0.011231,9556169
2020-08-30,0.011271,0.011761,0.010925,0.011053,0.011053,7331746
2020-08-31,0.011053,0.011297,0.010640,0.010797,0.010797,4787251
2020-09-01,0.010795,0.010896,0.010347,0.010500,0.010500,4955211
2020-09-02,0.010469,0.010651,0.009200,0.009964,0.009964,7450482
2020-09-03,0.009958,0.010002,0.008427,0.008505,0.008505,6571256
2020-09-04,0.008453,0.009276,0.008020,0.009034,0.009034,6659049
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.009209,0.009246,0.008559,0.009098,0.009098,3128568
2020-09-23,0.009097,0.009158,0.008519,0.008563,0.008563,2231794
2020-09-24,0.008563,0.009685,0.008550,0.009637,0.009637,6471877
2020-09-25,0.009613,0.010456,0.009428,0.010022,0.010022,7900797
2020-09-26,0.010000,0.011194,0.009936,0.010898,0.010898,8839392
2020-09-27,0.010898,0.011026,0.009936,0.010503,0.010503,13467829
2020-09-28,0.010503,0.010740,0.010264,0.010272,0.010272,3288832
2020-09-29,0.010269,0.011417,0.010258,0.011382,0.011382,6887225
2020-09-30,0.011393,0.011901,0.010449,0.010666,0.010666,8392915
2020-10-01,0.010666,0.010811,0.009677,0.009973,0.009973,5631604
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.009970,0.010111,0.009593,0.009951,0.009951,2398512
2020-10-06,0.009938,0.009948,0.009173,0.009301,0.009301,2887055
2020-10-07,0.009301,0.009834,0.009095,0.009649,0.009649,1941062
2020-10-08,0.009626,0.009722,0.009231,0.009589,0.009589,2227288
2020-10-09,0.009645,0.010060,0.009464,0.009914,0.009914,3666724
